Year,Value,Units,Series
2024,450667538.1,долларов США,Объем отслеживаемых импортируемых экологически чистых технологий
2010,3114851.0,долларов США,Объем отслеживаемых реэкспортируемых экологически чистых технологий
2011,5384076.0,долларов США,Объем отслеживаемых реэкспортируемых экологически чистых технологий
2012,4630692.0,долларов США,Объем отслеживаемых реэкспортируемых экологически чистых технологий
2013,4046070.0,долларов США,Объем отслеживаемых реэкспортируемых экологически чистых технологий
2014,4794390.0,долларов США,Объем отслеживаемых реэкспортируемых экологически чистых технологий
2015,3395509.0,долларов США,Объем отслеживаемых реэкспортируемых экологически чистых технологий
2016,2199306.0,долларов США,Объем отслеживаемых реэкспортируемых экологически чистых технологий
2017,4679074.3,долларов США,Объем отслеживаемых реэкспортируемых экологически чистых технологий
2018,2837749.1,долларов США,Объем отслеживаемых реэкспортируемых экологически чистых технологий
2019,2850361.8,долларов США,Объем отслеживаемых реэкспортируемых экологически чистых технологий
2020,1749894.2,долларов США,Объем отслеживаемых реэкспортируемых экологически чистых технологий
2021,1658273.7,долларов США,Объем отслеживаемых реэкспортируемых экологически чистых технологий
2022,729844.4,долларов США,Объем отслеживаемых реэкспортируемых экологически чистых технологий
2023,495557.1,долларов США,Объем отслеживаемых реэкспортируемых экологически чистых технологий
2010,25144.0,долларов США,Объем отслеживаемых реимпортируемых экологически чистых технологий
2011,2621749.0,долларов США,Объем отслеживаемых реимпортируемых экологически чистых технологий
2012,83213.0,долларов США,Объем отслеживаемых реимпортируемых экологически чистых технологий
2013,108597.0,долларов США,Объем отслеживаемых реимпортируемых экологически чистых технологий
2014,71817.0,долларов США,Объем отслеживаемых реимпортируемых экологически чистых технологий
2015,190552.0,долларов США,Объем отслеживаемых реимпортируемых экологически чистых технологий
2016,133646.0,долларов США,Объем отслеживаемых реимпортируемых экологически чистых технологий
2017,148203.5,долларов США,Объем отслеживаемых реимпортируемых экологически чистых технологий
2018,600072.5,долларов США,Объем отслеживаемых реимпортируемых экологически чистых технологий
2019,34599.5,долларов США,Объем отслеживаемых реимпортируемых экологически чистых технологий
2020,39522.8,долларов США,Объем отслеживаемых реимпортируемых экологически чистых технологий
2021,207811.7,долларов США,Объем отслеживаемых реимпортируемых экологически чистых технологий
2022,323695.2,долларов США,Объем отслеживаемых реимпортируемых экологически чистых технологий
2023,147103.4,долларов США,Объем отслеживаемых реимпортируемых экологически чистых технологий
2010,252352799.0,долларов США,Общий объем торговли отслеживаемыми экологически чистыми технологиями
2011,199944664.0,долларов США,Общий объем торговли отслеживаемыми экологически чистыми технологиями
2012,200585734.0,долларов США,Общий объем торговли отслеживаемыми экологически чистыми технологиями
2013,266616349.0,долларов США,Общий объем торговли отслеживаемыми экологически чистыми технологиями
2014,268143954.0,долларов США,Общий объем торговли отслеживаемыми экологически чистыми технологиями
2015,182418288.0,долларов США,Общий объем торговли отслеживаемыми экологически чистыми технологиями
2016,190974776.0,долларов США,Общий объем торговли отслеживаемыми экологически чистыми технологиями
2017,250381533.3,долларов США,Общий объем торговли отслеживаемыми экологически чистыми технологиями
2018,327234718.9,долларов США,Общий объем торговли отслеживаемыми экологически чистыми технологиями
2019,334447508.8,долларов США,Общий объем торговли отслеживаемыми экологически чистыми технологиями
2020,375428841.1,долларов США,Общий объем торговли отслеживаемыми экологически чистыми технологиями
2021,381117792.3,долларов США,Общий объем торговли отслеживаемыми экологически чистыми технологиями
2022,470735446.9,долларов США,Общий объем торговли отслеживаемыми экологически чистыми технологиями
2023,556126900.9,долларов США,Общий объем торговли отслеживаемыми экологически чистыми технологиями
2024,561031013.7,долларов США,Общий объем торговли отслеживаемыми экологически чистыми технологиями
