Year,Indicator,Units,Sex,Category,Age,Value
2017,The share of pensioners to the total number of population at the end of the year,%,female,related to military service,,0.001
2018,The share of pensioners to the total number of population at the end of the year,%,female,related to military service,,0.001
2019,The share of pensioners to the total number of population at the end of the year,%,female,related to military service,,0.001
2020,The share of pensioners to the total number of population at the end of the year,%,female,related to military service,,0.0004
2015,The share of pensioners to the total number of population at the end of the year,%,,,up to 51 years old,1.02
2016,The share of pensioners to the total number of population at the end of the year,%,,,up to 51 years old,0.95
2017,The share of pensioners to the total number of population at the end of the year,%,,,up to 51 years old,0.79
2018,The share of pensioners to the total number of population at the end of the year,%,,,up to 51 years old,0.7
2019,The share of pensioners to the total number of population at the end of the year,%,,,up to 51 years old,0.62
2020,The share of pensioners to the total number of population at the end of the year,%,,,up to 51 years old,0.58
2015,The share of pensioners to the total number of population at the end of the year,%,male,,up to 51 years old,0.99
2016,The share of pensioners to the total number of population at the end of the year,%,male,,up to 51 years old,0.94
2017,The share of pensioners to the total number of population at the end of the year,%,male,,up to 51 years old,0.79
2018,The share of pensioners to the total number of population at the end of the year,%,male,,up to 51 years old,0.72
2019,The share of pensioners to the total number of population at the end of the year,%,male,,up to 51 years old,0.64
2020,The share of pensioners to the total number of population at the end of the year,%,male,,up to 51 years old,0.6
2015,The share of pensioners to the total number of population at the end of the year,%,female,,up to 51 years old,1.06
2016,The share of pensioners to the total number of population at the end of the year,%,female,,up to 51 years old,0.97
2017,The share of pensioners to the total number of population at the end of the year,%,female,,up to 51 years old,0.78
2018,The share of pensioners to the total number of population at the end of the year,%,female,,up to 51 years old,0.69
2019,The share of pensioners to the total number of population at the end of the year,%,female,,up to 51 years old,0.6
2020,The share of pensioners to the total number of population at the end of the year,%,female,,up to 51 years old,0.56
2015,The share of pensioners to the total number of population at the end of the year,%,,,aged 51 - 55 years,10.32
2016,The share of pensioners to the total number of population at the end of the year,%,,,aged 51 - 55 years,10.01
2017,The share of pensioners to the total number of population at the end of the year,%,,,aged 51 - 55 years,8.15
2018,The share of pensioners to the total number of population at the end of the year,%,,,aged 51 - 55 years,7.37
2019,The share of pensioners to the total number of population at the end of the year,%,,,aged 51 - 55 years,4.41
2020,The share of pensioners to the total number of population at the end of the year,%,,,aged 51 - 55 years,3.96
2015,The share of pensioners to the total number of population at the end of the year,%,male,,aged 51 - 55 years,10.47
2016,The share of pensioners to the total number of population at the end of the year,%,male,,aged 51 - 55 years,10.38
2017,The share of pensioners to the total number of population at the end of the year,%,male,,aged 51 - 55 years,8.75
2018,The share of pensioners to the total number of population at the end of the year,%,male,,aged 51 - 55 years,7.93
2019,The share of pensioners to the total number of population at the end of the year,%,male,,aged 51 - 55 years,5.06
2020,The share of pensioners to the total number of population at the end of the year,%,male,,aged 51 - 55 years,4.46
2015,The share of pensioners to the total number of population at the end of the year,%,female,,aged 51 - 55 years,10.2
2016,The share of pensioners to the total number of population at the end of the year,%,female,,aged 51 - 55 years,9.72
2017,The share of pensioners to the total number of population at the end of the year,%,female,,aged 51 - 55 years,7.68
2018,The share of pensioners to the total number of population at the end of the year,%,female,,aged 51 - 55 years,6.92
2019,The share of pensioners to the total number of population at the end of the year,%,female,,aged 51 - 55 years,3.91
2020,The share of pensioners to the total number of population at the end of the year,%,female,,aged 51 - 55 years,3.57
2015,The share of pensioners to the total number of population at the end of the year,%,,,aged 56 - 62 years,23.32
2016,The share of pensioners to the total number of population at the end of the year,%,,,aged 56 - 62 years,22.58
2017,The share of pensioners to the total number of population at the end of the year,%,,,aged 56 - 62 years,19.33
2018,The share of pensioners to the total number of population at the end of the year,%,,,aged 56 - 62 years,18.05
2019,The share of pensioners to the total number of population at the end of the year,%,,,aged 56 - 62 years,15.21
2020,The share of pensioners to the total number of population at the end of the year,%,,,aged 56 - 62 years,13.91
2015,The share of pensioners to the total number of population at the end of the year,%,male,,aged 56 - 62 years,20.14
2016,The share of pensioners to the total number of population at the end of the year,%,male,,aged 56 - 62 years,19.87
2017,The share of pensioners to the total number of population at the end of the year,%,male,,aged 56 - 62 years,17.23
2018,The share of pensioners to the total number of population at the end of the year,%,male,,aged 56 - 62 years,16.42
2019,The share of pensioners to the total number of population at the end of the year,%,male,,aged 56 - 62 years,14.14
2020,The share of pensioners to the total number of population at the end of the year,%,male,,aged 56 - 62 years,13.15
2015,The share of pensioners to the total number of population at the end of the year,%,female,,aged 56 - 62 years,25.9
2016,The share of pensioners to the total number of population at the end of the year,%,female,,aged 56 - 62 years,24.76
2017,The share of pensioners to the total number of population at the end of the year,%,female,,aged 56 - 62 years,21.0
2018,The share of pensioners to the total number of population at the end of the year,%,female,,aged 56 - 62 years,19.34
2019,The share of pensioners to the total number of population at the end of the year,%,female,,aged 56 - 62 years,16.04
2020,The share of pensioners to the total number of population at the end of the year,%,female,,aged 56 - 62 years,14.5
2015,The share of pensioners to the total number of population at the end of the year,%,,,aged 63 and older,92.73
2016,The share of pensioners to the total number of population at the end of the year,%,,,aged 63 and older,92.52
2017,The share of pensioners to the total number of population at the end of the year,%,,,aged 63 and older,91.47
2018,The share of pensioners to the total number of population at the end of the year,%,,,aged 63 and older,91.36
2019,The share of pensioners to the total number of population at the end of the year,%,,,aged 63 and older,92.57
2020,The share of pensioners to the total number of population at the end of the year,%,,,aged 63 and older,91.71
2015,The share of pensioners to the total number of population at the end of the year,%,male,,aged 63 and older,88.1
2016,The share of pensioners to the total number of population at the end of the year,%,male,,aged 63 and older,88.25
2017,The share of pensioners to the total number of population at the end of the year,%,male,,aged 63 and older,87.48
2018,The share of pensioners to the total number of population at the end of the year,%,male,,aged 63 and older,87.86
2019,The share of pensioners to the total number of population at the end of the year,%,male,,aged 63 and older,89.58
2020,The share of pensioners to the total number of population at the end of the year,%,male,,aged 63 and older,89.28
2015,The share of pensioners to the total number of population at the end of the year,%,female,,aged 63 and older,95.83
2016,The share of pensioners to the total number of population at the end of the year,%,female,,aged 63 and older,95.38
2017,The share of pensioners to the total number of population at the end of the year,%,female,,aged 63 and older,94.14
2018,The share of pensioners to the total number of population at the end of the year,%,female,,aged 63 and older,93.7
2019,The share of pensioners to the total number of population at the end of the year,%,female,,aged 63 and older,94.55
2020,The share of pensioners to the total number of population at the end of the year,%,female,,aged 63 and older,93.32
2021,The share of pensioners to the total number of population at the end of the year,%,,,,15.72
2021,The share of pensioners to the total number of population at the end of the year,%,male,,,13.14
2021,The share of pensioners to the total number of population at the end of the year,%,female,,,18.04
2021,The share of pensioners to the total number of population at the end of the year,%,,age-related,,11.4
2021,The share of pensioners to the total number of population at the end of the year,%,male,age-related,,9.19
2021,The share of pensioners to the total number of population at the end of the year,%,female,age-related,,13.37
2021,The share of pensioners to the total number of population at the end of the year,%,,on privileged terms,,0.04
2021,The share of pensioners to the total number of population at the end of the year,%,male,on privileged terms,,0.06
2021,The share of pensioners to the total number of population at the end of the year,%,female,on privileged terms,,0.02
2021,The share of pensioners to the total number of population at the end of the year,%,,long-term service,,0.01
2021,The share of pensioners to the total number of population at the end of the year,%,male,long-term service,,0.02
2021,The share of pensioners to the total number of population at the end of the year,%,female,long-term service,,0.01
2021,The share of pensioners to the total number of population at the end of the year,%,,partially,,0.33
2021,The share of pensioners to the total number of population at the end of the year,%,male,partially,,0.06
2021,The share of pensioners to the total number of population at the end of the year,%,female,partially,,0.58
2021,The share of pensioners to the total number of population at the end of the year,%,,disability,,3.62
2021,The share of pensioners to the total number of population at the end of the year,%,male,disability,,3.49
2021,The share of pensioners to the total number of population at the end of the year,%,female,disability,,3.73
2021,The share of pensioners to the total number of population at the end of the year,%,,in case of losing a breadwinner,,0.24
2021,The share of pensioners to the total number of population at the end of the year,%,male,in case of losing a breadwinner,,0.15
2021,The share of pensioners to the total number of population at the end of the year,%,female,in case of losing a breadwinner,,0.32
2021,The share of pensioners to the total number of population at the end of the year,%,,by other laws,,0.02
2021,The share of pensioners to the total number of population at the end of the year,%,male,by other laws,,0.05
2021,The share of pensioners to the total number of population at the end of the year,%,female,by other laws,,0.004
2021,The share of pensioners to the total number of population at the end of the year,%,,related to military service,,0.05
2021,The share of pensioners to the total number of population at the end of the year,%,male,related to military service,,0.12
2021,The share of pensioners to the total number of population at the end of the year,%,female,related to military service,,0.0004
2021,The share of pensioners to the total number of population at the end of the year,%,,,up to 51 years old,0.56
2021,The share of pensioners to the total number of population at the end of the year,%,male,,up to 51 years old,0.58
2021,The share of pensioners to the total number of population at the end of the year,%,female,,up to 51 years old,0.53
2021,The share of pensioners to the total number of population at the end of the year,%,,,aged 51 - 55 years,3.5
2021,The share of pensioners to the total number of population at the end of the year,%,male,,aged 51 - 55 years,3.88
2021,The share of pensioners to the total number of population at the end of the year,%,female,,aged 51 - 55 years,3.21
2021,The share of pensioners to the total number of population at the end of the year,%,,,aged 56 - 62 years,12.82
2021,The share of pensioners to the total number of population at the end of the year,%,male,,aged 56 - 62 years,12.24
2021,The share of pensioners to the total number of population at the end of the year,%,female,,aged 56 - 62 years,13.27
2021,The share of pensioners to the total number of population at the end of the year,%,,,aged 63 and older,90.14
2021,The share of pensioners to the total number of population at the end of the year,%,male,,aged 63 and older,88.22
2021,The share of pensioners to the total number of population at the end of the year,%,female,,aged 63 and older,91.41
2022,The share of pensioners to the total number of population at the end of the year,%,,,,15.67
2022,The share of pensioners to the total number of population at the end of the year,%,male,,,13.03
2022,The share of pensioners to the total number of population at the end of the year,%,female,,,18.02
2022,The share of pensioners to the total number of population at the end of the year,%,,age-related,,11.62
2022,The share of pensioners to the total number of population at the end of the year,%,male,age-related,,9.42
2022,The share of pensioners to the total number of population at the end of the year,%,female,age-related,,13.59
2022,The share of pensioners to the total number of population at the end of the year,%,,on privileged terms,,0.03
2022,The share of pensioners to the total number of population at the end of the year,%,male,on privileged terms,,0.05
2022,The share of pensioners to the total number of population at the end of the year,%,female,on privileged terms,,0.02
2022,The share of pensioners to the total number of population at the end of the year,%,,long-term service,,0.01
2022,The share of pensioners to the total number of population at the end of the year,%,male,long-term service,,0.02
2022,The share of pensioners to the total number of population at the end of the year,%,female,long-term service,,0.01
2022,The share of pensioners to the total number of population at the end of the year,%,,partially,,0.3
2022,The share of pensioners to the total number of population at the end of the year,%,male,partially,,0.05
2022,The share of pensioners to the total number of population at the end of the year,%,female,partially,,0.52
2022,The share of pensioners to the total number of population at the end of the year,%,,disability,,3.47
2022,The share of pensioners to the total number of population at the end of the year,%,male,disability,,3.35
2022,The share of pensioners to the total number of population at the end of the year,%,female,disability,,3.59
2022,The share of pensioners to the total number of population at the end of the year,%,,in case of losing a breadwinner,,0.23
2022,The share of pensioners to the total number of population at the end of the year,%,male,in case of losing a breadwinner,,0.14
2022,The share of pensioners to the total number of population at the end of the year,%,female,in case of losing a breadwinner,,0.3
2022,The share of pensioners to the total number of population at the end of the year,%,,by other laws,,0.03
2022,The share of pensioners to the total number of population at the end of the year,%,male,by other laws,,0.05
2022,The share of pensioners to the total number of population at the end of the year,%,female,by other laws,,0.004
2022,The share of pensioners to the total number of population at the end of the year,%,,related to military service,,0.05
2022,The share of pensioners to the total number of population at the end of the year,%,male,related to military service,,0.11
2022,The share of pensioners to the total number of population at the end of the year,%,female,related to military service,,0.0004
2022,The share of pensioners to the total number of population at the end of the year,%,,,up to 51 years old,0.5
2022,The share of pensioners to the total number of population at the end of the year,%,male,,up to 51 years old,0.53
2022,The share of pensioners to the total number of population at the end of the year,%,female,,up to 51 years old,0.47
2022,The share of pensioners to the total number of population at the end of the year,%,,,aged 51 - 55 years,3.03
2022,The share of pensioners to the total number of population at the end of the year,%,male,,aged 51 - 55 years,3.32
2022,The share of pensioners to the total number of population at the end of the year,%,female,,aged 51 - 55 years,2.81
2022,The share of pensioners to the total number of population at the end of the year,%,,,aged 56 - 62 years,11.24
2022,The share of pensioners to the total number of population at the end of the year,%,male,,aged 56 - 62 years,10.71
2022,The share of pensioners to the total number of population at the end of the year,%,female,,aged 56 - 62 years,11.63
2022,The share of pensioners to the total number of population at the end of the year,%,,,aged 63 and older,88.48
2022,The share of pensioners to the total number of population at the end of the year,%,male,,aged 63 and older,87.05
2022,The share of pensioners to the total number of population at the end of the year,%,female,,aged 63 and older,89.42
2023,The share of pensioners to the total number of population at the end of the year,%,,,,15.83
2023,The share of pensioners to the total number of population at the end of the year,%,male,,,13.22
2023,The share of pensioners to the total number of population at the end of the year,%,female,,,18.18
2023,The share of pensioners to the total number of population at the end of the year,%,,age-related,,11.94
2023,The share of pensioners to the total number of population at the end of the year,%,male,age-related,,9.74
2023,The share of pensioners to the total number of population at the end of the year,%,female,age-related,,13.91
2023,The share of pensioners to the total number of population at the end of the year,%,,on privileged terms,,0.03
2023,The share of pensioners to the total number of population at the end of the year,%,male,on privileged terms,,0.05
2023,The share of pensioners to the total number of population at the end of the year,%,female,on privileged terms,,0.02
2023,The share of pensioners to the total number of population at the end of the year,%,,long-term service,,0.01
2023,The share of pensioners to the total number of population at the end of the year,%,male,long-term service,,0.02
2023,The share of pensioners to the total number of population at the end of the year,%,female,long-term service,,0.01
2023,The share of pensioners to the total number of population at the end of the year,%,,partially,,0.27
2023,The share of pensioners to the total number of population at the end of the year,%,male,partially,,0.04
2023,The share of pensioners to the total number of population at the end of the year,%,female,partially,,0.47
2023,The share of pensioners to the total number of population at the end of the year,%,,disability,,3.38
2023,The share of pensioners to the total number of population at the end of the year,%,male,disability,,3.25
2023,The share of pensioners to the total number of population at the end of the year,%,female,disability,,3.49
2023,The share of pensioners to the total number of population at the end of the year,%,,in case of losing a breadwinner,,0.21
2023,The share of pensioners to the total number of population at the end of the year,%,male,in case of losing a breadwinner,,0.14
2023,The share of pensioners to the total number of population at the end of the year,%,female,in case of losing a breadwinner,,0.28
2023,The share of pensioners to the total number of population at the end of the year,%,,by other laws,,0.03
2023,The share of pensioners to the total number of population at the end of the year,%,male,by other laws,,0.02
2023,The share of pensioners to the total number of population at the end of the year,%,female,by other laws,,0.0
2023,The share of pensioners to the total number of population at the end of the year,%,,related to military service,,0.05
2023,The share of pensioners to the total number of population at the end of the year,%,male,related to military service,,0.11
2023,The share of pensioners to the total number of population at the end of the year,%,female,related to military service,,0.0004
2023,The share of pensioners to the total number of population at the end of the year,%,,,up to 51 years old,0.49
2023,The share of pensioners to the total number of population at the end of the year,%,male,,up to 51 years old,0.53
2023,The share of pensioners to the total number of population at the end of the year,%,female,,up to 51 years old,0.45
2023,The share of pensioners to the total number of population at the end of the year,%,,,aged 51 - 55 years,2.49
2023,The share of pensioners to the total number of population at the end of the year,%,male,,aged 51 - 55 years,2.64
2023,The share of pensioners to the total number of population at the end of the year,%,female,,aged 51 - 55 years,2.36
2023,The share of pensioners to the total number of population at the end of the year,%,,,aged 56 - 62 years,9.38
2023,The share of pensioners to the total number of population at the end of the year,%,male,,aged 56 - 62 years,0.86
2023,The share of pensioners to the total number of population at the end of the year,%,female,,aged 56 - 62 years,9.97
2023,The share of pensioners to the total number of population at the end of the year,%,,,aged 63 and older,73.02
2023,The share of pensioners to the total number of population at the end of the year,%,male,,aged 63 and older,70.97
2023,The share of pensioners to the total number of population at the end of the year,%,female,,aged 63 and older,74.41
2024,The share of pensioners to the total number of population at the end of the year,%,,,,16.27
2024,The share of pensioners to the total number of population at the end of the year,%,male,,,13.69
2024,The share of pensioners to the total number of population at the end of the year,%,female,,,18.58
2024,The share of pensioners to the total number of population at the end of the year,%,,age-related,,12.38
2024,The share of pensioners to the total number of population at the end of the year,%,male,age-related,,10.11
2024,The share of pensioners to the total number of population at the end of the year,%,female,age-related,,14.41
2024,The share of pensioners to the total number of population at the end of the year,%,,on privileged terms,,0.03
2024,The share of pensioners to the total number of population at the end of the year,%,male,on privileged terms,,0.04
2024,The share of pensioners to the total number of population at the end of the year,%,female,on privileged terms,,0.01
2024,The share of pensioners to the total number of population at the end of the year,%,,long-term service,,0.01
2024,The share of pensioners to the total number of population at the end of the year,%,male,long-term service,,0.01
2024,The share of pensioners to the total number of population at the end of the year,%,female,long-term service,,0.0
2024,The share of pensioners to the total number of population at the end of the year,%,,partially,,0.24
2024,The share of pensioners to the total number of population at the end of the year,%,male,partially,,0.04
2024,The share of pensioners to the total number of population at the end of the year,%,female,partially,,0.42
2024,The share of pensioners to the total number of population at the end of the year,%,,disability,,3.34
2024,The share of pensioners to the total number of population at the end of the year,%,male,disability,,3.21
2024,The share of pensioners to the total number of population at the end of the year,%,female,disability,,3.46
2024,The share of pensioners to the total number of population at the end of the year,%,,in case of losing a breadwinner,,0.2
