Year,Units,Sex,Age,Value
2020,per 100 000 population,female,aged 60 and over,0.6
2021,per 100 000 population,total,aged 15-34 years,0.7
2021,per 100 000 population,total,aged 35-59 years,0.9
2021,per 100 000 population,total,aged 60 and over,1.0
2021,per 100 000 population,male,aged 15-34 years,1.5
2021,per 100 000 population,male,aged 35-59 years,1.8
2021,per 100 000 population,male,aged 60 and over,0.9
2021,per 100 000 population,female,aged 15-34 years,0.0
2021,per 100 000 population,female,aged 35-59 years,0.2
2021,per 100 000 population,female,aged 60 and over,1.2
2022,per 100 000 population,total,aged 15-34 years,2.9
2022,per 100 000 population,total,aged 35-59 years,1.1
2022,per 100 000 population,total,aged 60 and over,1.2
2022,per 100 000 population,male,aged 15-34 years,5.0
2022,per 100 000 population,male,aged 35-59 years,1.8
2022,per 100 000 population,male,aged 60 and over,1.2
2022,per 100 000 population,female,aged 15-34 years,0.8
2022,per 100 000 population,female,aged 35-59 years,0.6
2022,per 100 000 population,female,aged 60 and over,1.1
2023,per 100 000 population,total,aged 15-34 years,0.4
2023,per 100 000 population,total,aged 35-59 years,1.4
2023,per 100 000 population,total,aged 60 and over,0.1
2023,per 100 000 population,male,aged 15-34 years,0.5
2023,per 100 000 population,male,aged 35-59 years,2.7
2023,per 100 000 population,male,aged 60 and over,0.0
2023,per 100 000 population,female,aged 15-34 years,0.3
2023,per 100 000 population,female,aged 35-59 years,0.2
2023,per 100 000 population,female,aged 60 and over,0.2
2024,per 100 000 population,total,aged 15-34 years,1.1
2024,per 100 000 population,total,aged 35-59 years,0.7
2024,per 100 000 population,total,aged 60 and over,0.5
2024,per 100 000 population,male,aged 15-34 years,2.1
2024,per 100 000 population,male,aged 35-59 years,1.3
2024,per 100 000 population,male,aged 60 and over,1.3
2024,per 100 000 population,female,aged 15-34 years,0.0
2024,per 100 000 population,female,aged 35-59 years,0.2
2024,per 100 000 population,female,aged 60 and over,0.0
2015,per 100 000 population,total,,1.6
2015,per 100 000 population,male,,2.2
2015,per 100 000 population,female,,1.0
2016,per 100 000 population,total,,1.4
2016,per 100 000 population,male,,2.3
2016,per 100 000 population,female,,0.6
2017,per 100 000 population,total,,1.6
2017,per 100 000 population,male,,2.8
2017,per 100 000 population,female,,0.5
2018,per 100 000 population,total,,0.4
2018,per 100 000 population,male,,0.7
2018,per 100 000 population,female,,0.1
2019,per 100 000 population,total,,1.0
2019,per 100 000 population,male,,1.9
2019,per 100 000 population,female,,0.3
2020,per 100 000 population,total,,0.8
2020,per 100 000 population,male,,1.5
2020,per 100 000 population,female,,0.2
2021,per 100 000 population,total,,0.9
2021,per 100 000 population,male,,1.5
2021,per 100 000 population,female,,0.4
2022,per 100 000 population,total,,1.7
2022,per 100 000 population,male,,2.9
2022,per 100 000 population,female,,0.8
2023,per 100 000 population,total,,0.7
2023,per 100 000 population,male,,1.3
2023,per 100 000 population,female,,0.2
2024,per 100 000 population,total,,0.8
2024,per 100 000 population,male,,1.6
2024,per 100 000 population,female,,0.1
