Year,Units,Տեսակ,Տարիք,Սեռ,Տարածք,Value
2016,%,,15-19 տարեկան,,գյուղ,15.1
2017,%,,15-19 տարեկան,,գյուղ,16.4
2018,%,,15-19 տարեկան,,գյուղ,13.2
2019,%,,15-19 տարեկան,,գյուղ,10.9
2020,%,,15-19 տարեկան,,գյուղ,8.5
2015,%,ընդամենը,20-24 տարեկան,,,39.5
2016,%,ընդամենը,20-24 տարեկան,,,40.9
2017,%,ընդամենը,20-24 տարեկան,,,40.3
2018,%,ընդամենը,20-24 տարեկան,,,37.8
2019,%,ընդամենը,20-24 տարեկան,,,36.3
2020,%,ընդամենը,20-24 տարեկան,,,36.2
2015,%,,20-24 տարեկան,արական,,29.3
2016,%,,20-24 տարեկան,արական,,27.8
2017,%,,20-24 տարեկան,արական,,29.7
2018,%,,20-24 տարեկան,արական,,24.6
2019,%,,20-24 տարեկան,արական,,29.3
2020,%,,20-24 տարեկան,արական,,28.1
2015,%,,20-24 տարեկան,իգական,,48.4
2016,%,,20-24 տարեկան,իգական,,52.7
2017,%,,20-24 տարեկան,իգական,,50.1
2018,%,,20-24 տարեկան,իգական,,50.4
2019,%,,20-24 տարեկան,իգական,,43.5
2020,%,,20-24 տարեկան,իգական,,44.9
2015,%,,20-24 տարեկան,,քաղաք,38.8
2016,%,,20-24 տարեկան,,քաղաք,41.2
2017,%,,20-24 տարեկան,,քաղաք,40.2
2018,%,,20-24 տարեկան,,քաղաք,32.3
2019,%,,20-24 տարեկան,,քաղաք,31.7
2020,%,,20-24 տարեկան,,քաղաք,29.3
2015,%,,20-24 տարեկան,,գյուղ,40.4
2016,%,,20-24 տարեկան,,գյուղ,40.5
2017,%,,20-24 տարեկան,,գյուղ,40.4
2018,%,,20-24 տարեկան,,գյուղ,43.7
2019,%,,20-24 տարեկան,,գյուղ,42.8
2020,%,,20-24 տարեկան,,գյուղ,44.5
2015,%,ընդամենը,15-24 տարեկան,,,27.5
2016,%,ընդամենը,15-24 տարեկան,,,28.5
2017,%,ընդամենը,15-24 տարեկան,,,28.7
2018,%,ընդամենը,15-24 տարեկան,,,25.7
2019,%,ընդամենը,15-24 տարեկան,,,23.3
2020,%,ընդամենը,15-24 տարեկան,,,23.0
2015,%,,15-24 տարեկան,արական,,20.0
2016,%,,15-24 տարեկան,արական,,19.5
2017,%,,15-24 տարեկան,արական,,20.7
2018,%,,15-24 տարեկան,արական,,16.8
2019,%,,15-24 տարեկան,արական,,17.8
2020,%,,15-24 տարեկան,արական,,17.5
2015,%,,15-24 տարեկան,իգական,,34.8
2016,%,,15-24 տարեկան,իգական,,37.8
2017,%,,15-24 տարեկան,իգական,,37.5
2018,%,,15-24 տարեկան,իգական,,34.1
2019,%,,15-24 տարեկան,իգական,,29.3
2020,%,,15-24 տարեկան,իգական,,28.8
2015,%,,15-24 տարեկան,,քաղաք,27.7
2016,%,,15-24 տարեկան,,քաղաք,28.6
2017,%,,15-24 տարեկան,,քաղաք,29.3
2018,%,,15-24 տարեկան,,քաղաք,21.9
2019,%,,15-24 տարեկան,,քաղաք,20.4
2020,%,,15-24 տարեկան,,քաղաք,19.4
2015,%,,15-24 տարեկան,,գյուղ,27.3
2016,%,,15-24 տարեկան,,գյուղ,28.3
2017,%,,15-24 տարեկան,,գյուղ,28.1
2018,%,,15-24 տարեկան,,գյուղ,30.0
2019,%,,15-24 տարեկան,,գյուղ,27.3
2020,%,,15-24 տարեկան,,գյուղ,27.8
2015,%,ընդամենը,25-29 տարեկան,,,46.7
2016,%,ընդամենը,25-29 տարեկան,,,45.1
2017,%,ընդամենը,25-29 տարեկան,,,44.5
2018,%,ընդամենը,25-29 տարեկան,,,43.8
2019,%,ընդամենը,25-29 տարեկան,,,43.0
2020,%,ընդամենը,25-29 տարեկան,,,44.5
2015,%,,25-29 տարեկան,արական,,30.1
2016,%,,25-29 տարեկան,արական,,28.5
2017,%,,25-29 տարեկան,արական,,28.4
2018,%,,25-29 տարեկան,արական,,27.7
2019,%,,25-29 տարեկան,արական,,25.7
2020,%,,25-29 տարեկան,արական,,31.3
2015,%,,25-29 տարեկան,իգական,,60.8
2016,%,,25-29 տարեկան,իգական,,60.4
2017,%,,25-29 տարեկան,իգական,,59.1
2018,%,,25-29 տարեկան,իգական,,60.6
2019,%,,25-29 տարեկան,իգական,,59.7
2020,%,,25-29 տարեկան,իգական,,58.0
2015,%,,25-29 տարեկան,,քաղաք,49.6
2016,%,,25-29 տարեկան,,քաղաք,46.2
2017,%,,25-29 տարեկան,,քաղաք,46.1
2018,%,,25-29 տարեկան,,քաղաք,44.4
2019,%,,25-29 տարեկան,,քաղաք,44.2
2020,%,,25-29 տարեկան,,քաղաք,43.2
2015,%,,25-29 տարեկան,,գյուղ,41.8
2016,%,,25-29 տարեկան,,գյուղ,42.8
2017,%,,25-29 տարեկան,,գյուղ,42.0
2018,%,,25-29 տարեկան,,գյուղ,43.0
2019,%,,25-29 տարեկան,,գյուղ,40.9
2020,%,,25-29 տարեկան,,գյուղ,46.1
