Year,Units,Category,Age,Sex,Location,Value
2016,%,,aged 15-19 years,,rural,15.1
2017,%,,aged 15-19 years,,rural,16.4
2018,%,,aged 15-19 years,,rural,13.2
2019,%,,aged 15-19 years,,rural,10.9
2020,%,,aged 15-19 years,,rural,8.5
2015,%,total,aged 20-24 years,,,39.5
2016,%,total,aged 20-24 years,,,40.9
2017,%,total,aged 20-24 years,,,40.3
2018,%,total,aged 20-24 years,,,37.8
2019,%,total,aged 20-24 years,,,36.3
2020,%,total,aged 20-24 years,,,36.2
2015,%,,aged 20-24 years,male,,29.3
2016,%,,aged 20-24 years,male,,27.8
2017,%,,aged 20-24 years,male,,29.7
2018,%,,aged 20-24 years,male,,24.6
2019,%,,aged 20-24 years,male,,29.3
2020,%,,aged 20-24 years,male,,28.1
2015,%,,aged 20-24 years,female,,48.4
2016,%,,aged 20-24 years,female,,52.7
2017,%,,aged 20-24 years,female,,50.1
2018,%,,aged 20-24 years,female,,50.4
2019,%,,aged 20-24 years,female,,43.5
2020,%,,aged 20-24 years,female,,44.9
2015,%,,aged 20-24 years,,urban,38.8
2016,%,,aged 20-24 years,,urban,41.2
2017,%,,aged 20-24 years,,urban,40.2
2018,%,,aged 20-24 years,,urban,32.3
2019,%,,aged 20-24 years,,urban,31.7
2020,%,,aged 20-24 years,,urban,29.3
2015,%,,aged 20-24 years,,rural,40.4
2016,%,,aged 20-24 years,,rural,40.5
2017,%,,aged 20-24 years,,rural,40.4
2018,%,,aged 20-24 years,,rural,43.7
2019,%,,aged 20-24 years,,rural,42.8
2020,%,,aged 20-24 years,,rural,44.5
2015,%,total,aged 15-24 years,,,27.5
2016,%,total,aged 15-24 years,,,28.5
2017,%,total,aged 15-24 years,,,28.7
2018,%,total,aged 15-24 years,,,25.7
2019,%,total,aged 15-24 years,,,23.3
2020,%,total,aged 15-24 years,,,23.0
2015,%,,aged 15-24 years,male,,20.0
2016,%,,aged 15-24 years,male,,19.5
2017,%,,aged 15-24 years,male,,20.7
2018,%,,aged 15-24 years,male,,16.8
2019,%,,aged 15-24 years,male,,17.8
2020,%,,aged 15-24 years,male,,17.5
2015,%,,aged 15-24 years,female,,34.8
2016,%,,aged 15-24 years,female,,37.8
2017,%,,aged 15-24 years,female,,37.5
2018,%,,aged 15-24 years,female,,34.1
2019,%,,aged 15-24 years,female,,29.3
2020,%,,aged 15-24 years,female,,28.8
2015,%,,aged 15-24 years,,urban,27.7
2016,%,,aged 15-24 years,,urban,28.6
2017,%,,aged 15-24 years,,urban,29.3
2018,%,,aged 15-24 years,,urban,21.9
2019,%,,aged 15-24 years,,urban,20.4
2020,%,,aged 15-24 years,,urban,19.4
2015,%,,aged 15-24 years,,rural,27.3
2016,%,,aged 15-24 years,,rural,28.3
2017,%,,aged 15-24 years,,rural,28.1
2018,%,,aged 15-24 years,,rural,30.0
2019,%,,aged 15-24 years,,rural,27.3
2020,%,,aged 15-24 years,,rural,27.8
2015,%,total,aged 25-29 years,,,46.7
2016,%,total,aged 25-29 years,,,45.1
2017,%,total,aged 25-29 years,,,44.5
2018,%,total,aged 25-29 years,,,43.8
2019,%,total,aged 25-29 years,,,43.0
2020,%,total,aged 25-29 years,,,44.5
2015,%,,aged 25-29 years,male,,30.1
2016,%,,aged 25-29 years,male,,28.5
2017,%,,aged 25-29 years,male,,28.4
2018,%,,aged 25-29 years,male,,27.7
2019,%,,aged 25-29 years,male,,25.7
2020,%,,aged 25-29 years,male,,31.3
2015,%,,aged 25-29 years,female,,60.8
2016,%,,aged 25-29 years,female,,60.4
2017,%,,aged 25-29 years,female,,59.1
2018,%,,aged 25-29 years,female,,60.6
2019,%,,aged 25-29 years,female,,59.7
2020,%,,aged 25-29 years,female,,58.0
2015,%,,aged 25-29 years,,urban,49.6
2016,%,,aged 25-29 years,,urban,46.2
2017,%,,aged 25-29 years,,urban,46.1
2018,%,,aged 25-29 years,,urban,44.4
2019,%,,aged 25-29 years,,urban,44.2
2020,%,,aged 25-29 years,,urban,43.2
2015,%,,aged 25-29 years,,rural,41.8
2016,%,,aged 25-29 years,,rural,42.8
2017,%,,aged 25-29 years,,rural,42.0
2018,%,,aged 25-29 years,,rural,43.0
2019,%,,aged 25-29 years,,rural,40.9
2020,%,,aged 25-29 years,,rural,46.1
