Year,Units,Կատեգորիա,Սեռ,Value
2018,մարդ,մնացել է առանց ծնողական խնամքի,տղամարդ,10.0
2019,մարդ,մնացել է առանց ծնողական խնամքի,տղամարդ,0.0
2020,մարդ,մնացել է առանց ծնողական խնամքի,տղամարդ,3.0
2015,մարդ,մնացել է առանց ծնողական խնամքի,կին,13.0
2016,մարդ,մնացել է առանց ծնողական խնամքի,կին,8.0
2017,մարդ,մնացել է առանց ծնողական խնամքի,կին,14.0
2018,մարդ,մնացել է առանց ծնողական խնամքի,կին,12.0
2019,մարդ,մնացել է առանց ծնողական խնամքի,կին,0.0
2020,մարդ,մնացել է առանց ծնողական խնամքի,կին,7.0
2015,մարդ,այլ,,3.0
2016,մարդ,այլ,,4.0
2017,մարդ,այլ,,7.0
2018,մարդ,այլ,,5.0
2019,մարդ,այլ,,9.0
2020,մարդ,այլ,,4.0
2015,մարդ,այլ,տղամարդ,1.0
2016,մարդ,այլ,տղամարդ,2.0
2017,մարդ,այլ,տղամարդ,3.0
2018,մարդ,այլ,տղամարդ,1.0
2019,մարդ,այլ,տղամարդ,6.0
2020,մարդ,այլ,տղամարդ,4.0
2015,մարդ,այլ,կին,2.0
2016,մարդ,այլ,կին,2.0
2017,մարդ,այլ,կին,4.0
2018,մարդ,այլ,կին,4.0
2019,մարդ,այլ,կին,3.0
2020,մարդ,այլ,կին,0.0
2015,%,երկու ծնող ունեցող երեխա,,37.5
2016,%,երկու ծնող ունեցող երեխա,,37.33
2017,%,երկու ծնող ունեցող երեխա,,25.0
2018,%,երկու ծնող ունեցող երեխա,,27.08
2019,%,երկու ծնող ունեցող երեխա,,31.58
2020,%,երկու ծնող ունեցող երեխա,,30.3
2015,%,երկու ծնող ունեցող երեխա,տղամարդ,46.0
2016,%,երկու ծնող ունեցող երեխա,տղամարդ,51.35
2017,%,երկու ծնող ունեցող երեխա,տղամարդ,37.04
2018,%,երկու ծնող ունեցող երեխա,տղամարդ,31.82
2019,%,երկու ծնող ունեցող երեխա,տղամարդ,10.0
2020,%,երկու ծնող ունեցող երեխա,տղամարդ,29.41
2015,%,երկու ծնող ունեցող երեխա,կին,28.26
2016,%,երկու ծնող ունեցող երեխա,կին,23.68
2017,%,երկու ծնող ունեցող երեխա,կին,13.79
2018,%,երկու ծնող ունեցող երեխա,կին,23.08
2019,%,երկու ծնող ունեցող երեխա,կին,55.56
2020,%,երկու ծնող ունեցող երեխա,կին,31.25
2015,%,միայնակ մոր երեխա,,35.42
2016,%,միայնակ մոր երեխա,,41.33
2017,%,միայնակ մոր երեխա,,23.21
2018,%,միայնակ մոր երեխա,,16.67
2019,%,միայնակ մոր երեխա,,21.05
2020,%,միայնակ մոր երեխա,,27.27
2015,%,միայնակ մոր երեխա,տղամարդ,32.0
2016,%,միայնակ մոր երեխա,տղամարդ,32.43
2017,%,միայնակ մոր երեխա,տղամարդ,22.22
2018,%,միայնակ մոր երեխա,տղամարդ,18.18
2019,%,միայնակ մոր երեխա,տղամարդ,30.0
2020,%,միայնակ մոր երեխա,տղամարդ,29.41
2015,%,միայնակ մոր երեխա,կին,39.13
2016,%,միայնակ մոր երեխա,կին,50.0
2017,%,միայնակ մոր երեխա,կին,24.14
2018,%,միայնակ մոր երեխա,կին,15.38
2019,%,միայնակ մոր երեխա,կին,11.11
2020,%,միայնակ մոր երեխա,կին,25.0
2015,%,մնացել է առանց ծնողական խնամքի,,23.96
2016,%,մնացել է առանց ծնողական խնամքի,,16.0
2017,%,մնացել է առանց ծնողական խնամքի,,39.29
2018,%,մնացել է առանց ծնողական խնամքի,,45.83
2019,%,մնացել է առանց ծնողական խնամքի,,0.0
2020,%,մնացել է առանց ծնողական խնամքի,,30.3
2015,%,մնացել է առանց ծնողական խնամքի,տղամարդ,20.0
2016,%,մնացել է առանց ծնողական խնամքի,տղամարդ,10.81
2017,%,մնացել է առանց ծնողական խնամքի,տղամարդ,29.63
2018,%,մնացել է առանց ծնողական խնամքի,տղամարդ,45.45
2019,%,մնացել է առանց ծնողական խնամքի,տղամարդ,0.0
2020,%,մնացել է առանց ծնողական խնամքի,տղամարդ,17.65
2015,%,մնացել է առանց ծնողական խնամքի,կին,28.26
2016,%,մնացել է առանց ծնողական խնամքի,կին,21.05
2017,%,մնացել է առանց ծնողական խնամքի,կին,48.28
2018,%,մնացել է առանց ծնողական խնամքի,կին,46.15
2019,%,մնացել է առանց ծնողական խնամքի,կին,0.0
2020,%,մնացել է առանց ծնողական խնամքի,կին,43.75
2015,%,այլ,,3.13
2016,%,այլ,,5.33
2017,%,այլ,,12.5
2018,%,այլ,,10.42
2019,%,այլ,,47.37
2020,%,այլ,,12.12
2015,%,այլ,տղամարդ,2.0
2016,%,այլ,տղամարդ,5.41
2017,%,այլ,տղամարդ,11.1
2018,%,այլ,տղամարդ,4.55
2019,%,այլ,տղամարդ,60.0
2020,%,այլ,տղամարդ,23.53
2015,%,այլ,կին,4.35
2016,%,այլ,կին,5.26
2017,%,այլ,կին,13.79
2018,%,այլ,կին,15.38
2019,%,այլ,կին,33.33
2020,%,այլ,կին,0.0
2021,մարդ,երկու ծնող ունեցող երեխա,,7.0
2021,մարդ,երկու ծնող ունեցող երեխա,տղամարդ,5.0
2021,մարդ,երկու ծնող ունեցող երեխա,կին,2.0
2021,մարդ,միայնակ մոր երեխա,,4.0
2021,մարդ,միայնակ մոր երեխա,տղամարդ,1.0
2021,մարդ,միայնակ մոր երեխա,կին,3.0
2021,մարդ,մնացել է առանց ծնողական խնամքի,,1.0
2021,մարդ,մնացել է առանց ծնողական խնամքի,տղամարդ,0.0
2021,մարդ,մնացել է առանց ծնողական խնամքի,կին,1.0
2021,մարդ,այլ,,5.0
2021,մարդ,այլ,տղամարդ,2.0
2021,մարդ,այլ,կին,3.0
2021,%,երկու ծնող ունեցող երեխա,,41.18
2021,%,երկու ծնող ունեցող երեխա,տղամարդ,62.5
2021,%,երկու ծնող ունեցող երեխա,կին,22.22
2021,%,միայնակ մոր երեխա,,23.53
2021,%,միայնակ մոր երեխա,տղամարդ,12.5
2021,%,միայնակ մոր երեխա,կին,33.33
2021,%,մնացել է առանց ծնողական խնամքի,,5.88
2021,%,մնացել է առանց ծնողական խնամքի,տղամարդ,0.0
2021,%,մնացել է առանց ծնողական խնամքի,կին,11.11
2021,%,այլ,,29.41
2021,%,այլ,տղամարդ,25.0
2021,%,այլ,կին,33.33
2022,մարդ,երկու ծնող ունեցող երեխա,,1.0
2022,մարդ,երկու ծնող ունեցող երեխա,տղամարդ,0.0
2022,մարդ,երկու ծնող ունեցող երեխա,կին,1.0
2022,մարդ,միայնակ մոր երեխա,,2.0
2022,մարդ,միայնակ մոր երեխա,տղամարդ,1.0
2022,մարդ,միայնակ մոր երեխա,կին,1.0
2022,մարդ,մնացել է առանց ծնողական խնամքի,,7.0
2022,մարդ,մնացել է առանց ծնողական խնամքի,տղամարդ,2.0
2022,մարդ,մնացել է առանց ծնողական խնամքի,կին,5.0
2022,մարդ,այլ,,2.0
2022,մարդ,այլ,տղամարդ,1.0
2022,մարդ,այլ,կին,1.0
2022,%,երկու ծնող ունեցող երեխա,,8.33
2022,%,երկու ծնող ունեցող երեխա,տղամարդ,0.0
2022,%,երկու ծնող ունեցող երեխա,կին,12.5
2022,%,միայնակ մոր երեխա,,16.67
2022,%,միայնակ մոր երեխա,տղամարդ,25.0
2022,%,միայնակ մոր երեխա,կին,12.5
2022,%,մնացել է առանց ծնողական խնամքի,,58.33
2022,%,մնացել է առանց ծնողական խնամքի,տղամարդ,50.0
2022,%,մնացել է առանց ծնողական խնամքի,կին,62.5
2022,%,այլ,,16.67
2022,%,այլ,տղամարդ,25.0
2022,%,այլ,կին,12.5
2023,մարդ,երկու ծնող ունեցող երեխա,,2.0
2023,մարդ,երկու ծնող ունեցող երեխա,տղամարդ,0.0
2023,մարդ,երկու ծնող ունեցող երեխա,կին,2.0
2023,մարդ,միայնակ մոր երեխա,,6.0
2023,մարդ,միայնակ մոր երեխա,տղամարդ,2.0
2023,մարդ,միայնակ մոր երեխա,կին,4.0
2023,մարդ,մնացել է առանց ծնողական խնամքի,,7.0
2023,մարդ,մնացել է առանց ծնողական խնամքի,տղամարդ,4.0
2023,մարդ,մնացել է առանց ծնողական խնամքի,կին,3.0
2023,մարդ,այլ,,3.0
2023,մարդ,այլ,տղամարդ,2.0
2023,մարդ,այլ,կին,1.0
2023,%,երկու ծնող ունեցող երեխա,,11.11
2023,%,երկու ծնող ունեցող երեխա,տղամարդ,0.0
2023,%,երկու ծնող ունեցող երեխա,կին,20.0
2023,%,միայնակ մոր երեխա,,33.33
2023,%,միայնակ մոր երեխա,տղամարդ,25.0
2023,%,միայնակ մոր երեխա,կին,40.0
2023,%,մնացել է առանց ծնողական խնամքի,,38.89
2023,%,մնացել է առանց ծնողական խնամքի,տղամարդ,50.0
2023,%,մնացել է առանց ծնողական խնամքի,կին,30.0
2023,%,այլ,,16.67
2023,%,այլ,տղամարդ,25.0
2023,%,այլ,կին,10.0
