Year,Units,Սեռ,Կատեգորիա,Տարիք,Value
2018,%,տղամարդ,,56-62 տարեկան,1.26
2019,%,տղամարդ,,56-62 տարեկան,1.73
2020,%,տղամարդ,,56-62 տարեկան,2.18
2015,%,կին,,56-62 տարեկան,1.55
2016,%,կին,,56-62 տարեկան,1.69
2017,%,կին,,56-62 տարեկան,1.46
2018,%,կին,,56-62 տարեկան,1.65
2019,%,կին,,56-62 տարեկան,2.03
2020,%,կին,,56-62 տարեկան,2.32
2015,%,,,63 և բարձր տարիքի,1.24
2016,%,,,63 և բարձր տարիքի,1.39
2017,%,,,63 և բարձր տարիքի,1.54
2018,%,,,63 և բարձր տարիքի,1.81
2019,%,,,63 և բարձր տարիքի,2.3
2020,%,,,63 և բարձր տարիքի,2.78
2015,%,տղամարդ,,63 և բարձր տարիքի,0.6
2016,%,տղամարդ,,63 և բարձր տարիքի,0.72
2017,%,տղամարդ,,63 և բարձր տարիքի,0.84
2018,%,տղամարդ,,63 և բարձր տարիքի,1.05
2019,%,տղամարդ,,63 և բարձր տարիքի,1.36
2020,%,տղամարդ,,63 և բարձր տարիքի,1.67
2015,%,կին,,63 և բարձր տարիքի,1.67
2016,%,կին,,63 և բարձր տարիքի,1.84
2017,%,կին,,63 և բարձր տարիքի,2.01
2018,%,կին,,63 և բարձր տարիքի,2.31
2019,%,կին,,63 և բարձր տարիքի,2.92
2020,%,կին,,63 և բարձր տարիքի,3.51
2021,%,,,,2.84
2021,%,տղամարդ,,,3.02
2021,%,կին,,,2.69
2021,%,,ծերության,,0.44
2021,%,տղամարդ,ծերության,,0.21
2021,%,կին,ծերության,,0.63
2021,%,,հաշմանդամության,,1.95
2021,%,տղամարդ,հաշմանդամության,,2.39
2021,%,կին,հաշմանդամության,,1.56
2021,%,,կերակրողին կորցնելու դեպքում,,0.46
2021,%,տղամարդ,կերակրողին կորցնելու դեպքում,,0.41
2021,%,կին,կերակրողին կորցնելու դեպքում,,0.5
2021,%,,,մինչև 51 տարեկան,2.63
2021,%,տղամարդ,,մինչև 51 տարեկան,3.09
2021,%,կին,,մինչև 51 տարեկան,2.19
2021,%,,,51-55 տարեկան,3.84
2021,%,տղամարդ,,51-55 տարեկան,4.13
2021,%,կին,,51-55 տարեկան,3.22
2021,%,,,56-62 տարեկան,2.73
2021,%,տղամարդ,,56-62 տարեկան,2.81
2021,%,կին,,56-62 տարեկան,2.67
2021,%,,,63 և բարձր տարիքի,3.52
2021,%,տղամարդ,,63 և բարձր տարիքի,2.15
2021,%,կին,,63 և բարձր տարիքի,4.42
2022,%,,,,3.03
2022,%,տղամարդ,,,3.15
2022,%,կին,,,2.93
2022,%,,ծերության,,0.59
2022,%,տղամարդ,ծերության,,0.3
2022,%,կին,ծերության,,0.85
2022,%,,հաշմանդամության,,1.98
2022,%,տղամարդ,հաշմանդամության,,2.44
2022,%,կին,հաշմանդամության,,1.58
2022,%,,կերակրողին կորցնելու դեպքում,,0.46
2022,%,տղամարդ,կերակրողին կորցնելու դեպքում,,0.42
2022,%,կին,կերակրողին կորցնելու դեպքում,,0.5
2022,%,,,մինչև 51 տարեկան,2.62
2022,%,տղամարդ,,մինչև 51 տարեկան,3.08
2022,%,կին,,մինչև 51 տարեկան,2.17
2022,%,,,51-55 տարեկան,3.95
2022,%,տղամարդ,,51-55 տարեկան,4.92
2022,%,կին,,51-55 տարեկան,3.2
2022,%,,,56-62 տարեկան,3.01
2022,%,տղամարդ,,56-62 տարեկան,3.26
2022,%,կին,,56-62 տարեկան,2.82
2022,%,,,63 և բարձր տարիքի,4.51
2022,%,տղամարդ,,63 և բարձր տարիքի,2.83
2022,%,կին,,63 և բարձր տարիքի,5.61
2023,%,,,,3.34
2023,%,տղամարդ,,,3.38
2023,%,կին,,,3.3
2023,%,,ծերության,,0.85
2023,%,տղամարդ,ծերության,,0.47
2023,%,կին,ծերության,,1.19
2023,%,,հաշմանդամության,,2.03
2023,%,տղամարդ,հաշմանդամության,,2.49
2023,%,կին,հաշմանդամության,,1.61
2023,%,,կերակրողին կորցնելու դեպքում,,0.46
2023,%,տղամարդ,կերակրողին կորցնելու դեպքում,,0.41
2023,%,կին,կերակրողին կորցնելու դեպքում,,0.49
2023,%,,,մինչև 51 տարեկան,2.77
2023,%,տղամարդ,,մինչև 51 տարեկան,3.24
2023,%,կին,,մինչև 51 տարեկան,2.3
2023,%,,,51-55 տարեկան,3.88
2023,%,տղամարդ,,51-55 տարեկան,4.73
2023,%,կին,,51-55 տարեկան,3.17
2023,%,,,56-62 տարեկան,3.12
2023,%,տղամարդ,,56-62 տարեկան,3.43
2023,%,կին,,56-62 տարեկան,2.87
2023,%,,,63 և բարձր տարիքի,5.06
2023,%,տղամարդ,,63 և բարձր տարիքի,3.39
2023,%,կին,,63 և բարձր տարիքի,6.19
2024,%,,,,3.65
2024,%,տղամարդ,,,3.62
2024,%,կին,,,3.68
2024,%,,ծերության,,1.11
2024,%,տղամարդ,ծերության,,0.65
2024,%,կին,ծերության,,1.53
2024,%,,հաշմանդամության,,2.08
2024,%,տղամարդ,հաշմանդամության,,2.54
2024,%,կին,հաշմանդամության,,1.66
2024,%,,կերակրողին կորցնելու դեպքում,,0.46
2024,%,տղամարդ,կերակրողին կորցնելու դեպքում,,0.42
2024,%,կին,կերակրողին կորցնելու դեպքում,,0.5
2024,%,,,մինչև 51 տարեկան,2.78
2024,%,տղամարդ,,մինչև 51 տարեկան,3.25
2024,%,կին,,մինչև 51 տարեկան,2.31
2024,%,,,51-55 տարեկան,4.04
2024,%,տղամարդ,,51-55 տարեկան,6.53
2024,%,կին,,51-55 տարեկան,2.74
2024,%,,,56-62 տարեկան,3.47
2024,%,տղամարդ,,56-62 տարեկան,3.4
2024,%,կին,,56-62 տարեկան,3.56
2024,%,,,63 և բարձր տարիքի,6.37
2024,%,տղամարդ,,63 և բարձր տարիքի,13.45
2024,%,կին,,63 և բարձր տարիքի,1.58
