Year,Units,Индикатор,Value
2016,%,"Темп расходов на конечное потребление домашних хозяйств и некоммерческих организаций, обслуживающих домашние хозяйства",-2.1
2017,%,"Темп расходов на конечное потребление домашних хозяйств и некоммерческих организаций, обслуживающих домашние хозяйства",14.0
2018,%,"Темп расходов на конечное потребление домашних хозяйств и некоммерческих организаций, обслуживающих домашние хозяйства",4.8
2019,%,"Темп расходов на конечное потребление домашних хозяйств и некоммерческих организаций, обслуживающих домашние хозяйства",11.4
2020,%,"Темп расходов на конечное потребление домашних хозяйств и некоммерческих организаций, обслуживающих домашние хозяйства",-14.0
2021,%,"Темп расходов на конечное потребление домашних хозяйств и некоммерческих организаций, обслуживающих домашние хозяйства",2.4
2022,%,"Темп расходов на конечное потребление домашних хозяйств и некоммерческих организаций, обслуживающих домашние хозяйства",5.4
2023,%,"Темп расходов на конечное потребление домашних хозяйств и некоммерческих организаций, обслуживающих домашние хозяйства",6.4
2024,%,"Темп расходов на конечное потребление домашних хозяйств и некоммерческих организаций, обслуживающих домашние хозяйства",7.9
2015,%,"Индекс потребительских цен РА, к 2015 году",0.0
2016,%,"Индекс потребительских цен РА, к 2015 году",-1.4
2017,%,"Индекс потребительских цен РА, к 2015 году",-0.4
2018,%,"Индекс потребительских цен РА, к 2015 году",2.1
2019,%,"Индекс потребительских цен РА, к 2015 году",3.5
2020,%,"Индекс потребительских цен РА, к 2015 году",4.8
2021,%,"Индекс потребительских цен РА, к 2015 году",12.3
2022,%,"Индекс потребительских цен РА, к 2015 году",22.0
2023,%,"Индекс потребительских цен РА, к 2015 году",24.4
2024,%,"Индекс потребительских цен РА, к 2015 году",24.8
2013,%,Темп экспорта товаров и услуг,8.6
2014,%,Темп экспорта товаров и услуг,6.4
2015,%,Темп экспорта товаров и услуг,4.9
2016,%,Темп экспорта товаров и услуг,21.3
2017,%,Темп экспорта товаров и услуг,19.3
2018,%,Темп экспорта товаров и услуг,5.0
2019,%,Темп экспорта товаров и услуг,18.6
2020,%,Темп экспорта товаров и услуг,-33.9
2021,%,Темп экспорта товаров и услуг,18.2
2022,%,Темп экспорта товаров и услуг,65.3
2023,%,Темп экспорта товаров и услуг,32.3
2024,%,Темп экспорта товаров и услуг,27.6
2013,%,Темп импорта товаров и услуг,0.0
2014,%,Темп импорта товаров и услуг,-2.7
2015,%,Темп импорта товаров и услуг,-15.3
2016,%,Темп импорта товаров и услуг,6.3
2017,%,Темп импорта товаров и услуг,24.6
2018,%,Темп импорта товаров и услуг,13.3
2019,%,Темп импорта товаров и услуг,13.3
2020,%,Темп импорта товаров и услуг,-31.9
2021,%,Темп импорта товаров и услуг,11.5
2022,%,Темп импорта товаров и услуг,38.6
2023,%,Темп импорта товаров и услуг,32.5
2024,%,Темп импорта товаров и услуг,28.3
2015,%,Merchandise trade as a proportion of GDP,44.8
2016,%,Merchandise trade as a proportion of GDP,48.0
2017,%,Merchandise trade as a proportion of GDP,55.0
2018,%,Merchandise trade as a proportion of GDP,59.3
2019,%,Merchandise trade as a proportion of GDP,60.0
2020,%,Merchandise trade as a proportion of GDP,56.2
2021,%,Merchandise trade as a proportion of GDP,60.4
2022,%,Merchandise trade as a proportion of GDP,72.7
2023,%,Merchandise trade as a proportion of GDP,88.1
2024,%,Merchandise trade as a proportion of GDP,116.4
2015,%,Current account balance as a proportion of GDP,-2.7
2016,%,Current account balance as a proportion of GDP,-1.0
2017,%,Current account balance as a proportion of GDP,-1.3
2018,%,Current account balance as a proportion of GDP,-7.2
2019,%,Current account balance as a proportion of GDP,-7.1
2020,%,Current account balance as a proportion of GDP,-4.0
2021,%,Current account balance as a proportion of GDP,-3.4
2022,%,Current account balance as a proportion of GDP,0.7
2023,%,Current account balance as a proportion of GDP,-2.8
2024,%,Current account balance as a proportion of GDP,-4.6
2015,%,"Foreign direct investment, net inflows, as a proportion of GDP",-1.5
2016,%,"Foreign direct investment, net inflows, as a proportion of GDP",-2.5
2017,%,"Foreign direct investment, net inflows, as a proportion of GDP",-1.9
2018,%,"Foreign direct investment, net inflows, as a proportion of GDP",-2.1
2019,%,"Foreign direct investment, net inflows, as a proportion of GDP",-1.7
2020,%,"Foreign direct investment, net inflows, as a proportion of GDP",-0.7
2021,%,"Foreign direct investment, net inflows, as a proportion of GDP",-2.5
2022,%,"Foreign direct investment, net inflows, as a proportion of GDP",-4.7
2023,%,"Foreign direct investment, net inflows, as a proportion of GDP",-2.2
2024,%,"Foreign direct investment, net inflows, as a proportion of GDP",-0.3
2015,млн. долл. США,"Portfolio investment, net (Balance of Payments, current mln United States dollars)",-235.4
2016,млн. долл. США,"Portfolio investment, net (Balance of Payments, current mln United States dollars)",-33.7
2017,млн. долл. США,"Portfolio investment, net (Balance of Payments, current mln United States dollars)",80.7
2018,млн. долл. США,"Portfolio investment, net (Balance of Payments, current mln United States dollars)",39.9
2019,млн. долл. США,"Portfolio investment, net (Balance of Payments, current mln United States dollars)",-28.9
2020,млн. долл. США,"Portfolio investment, net (Balance of Payments, current mln United States dollars)",43.7
2021,млн. долл. США,"Portfolio investment, net (Balance of Payments, current mln United States dollars)",-672.0
2022,млн. долл. США,"Portfolio investment, net (Balance of Payments, current mln United States dollars)",1364.1
2023,млн. долл. США,"Portfolio investment, net (Balance of Payments, current mln United States dollars)",-39.0
2024,млн. долл. США,"Portfolio investment, net (Balance of Payments, current mln United States dollars)",154.8
2015,%,Bank capital to assets ratio,14.7
2016,%,Bank capital to assets ratio,16.4
2017,%,Bank capital to assets ratio,15.7
2018,%,Bank capital to assets ratio,15.0
2019,%,Bank capital to assets ratio,14.1
2020,%,Bank capital to assets ratio,13.1
2021,%,Bank capital to assets ratio,13.0
2022,%,Bank capital to assets ratio,14.9
2023,%,Bank capital to assets ratio,14.8
2024,%,Bank capital to assets ratio,15.4
2015,%,Annual broad money growth,10.8
2016,%,Annual broad money growth,17.5
2017,%,Annual broad money growth,18.5
2018,%,Annual broad money growth,7.4
2019,%,Annual broad money growth,11.2
2020,%,Annual broad money growth,9.0
2021,%,Annual broad money growth,13.1
2022,%,Annual broad money growth,16.1
2023,%,Annual broad money growth,17.4
2024,%,Annual broad money growth,13.7
2015,%,Broad money to total reserves ratio,216.1
2016,%,Broad money to total reserves ratio,204.7
2017,%,Broad money to total reserves ratio,230.6
2018,%,Broad money to total reserves ratio,255.0
2019,%,Broad money to total reserves ratio,225.7
2020,%,Broad money to total reserves ratio,246.0
2021,%,Broad money to total reserves ratio,246.3
2022,%,Broad money to total reserves ratio,272.8
2023,%,Broad money to total reserves ratio,355.0
2024,%,Broad money to total reserves ratio,404.9
2015,%,Tax revenue as a proportion of GDP,23.2
2016,%,Tax revenue as a proportion of GDP,23.1
2017,%,Tax revenue as a proportion of GDP,22.2
2018,%,Tax revenue as a proportion of GDP,22.3
2019,%,Tax revenue as a proportion of GDP,23.9
2020,%,Tax revenue as a proportion of GDP,25.2
2021,%,Tax revenue as a proportion of GDP,24.1
2022,%,Tax revenue as a proportion of GDP,24.3
2023,%,Tax revenue as a proportion of GDP,24.8
2024,%,Tax revenue as a proportion of GDP,25.3
