Year,Units,Սեռ,Տեսակ,Տարիք,Value
2017,%,իգական,,56-62 տարեկան,1.46
2018,%,իգական,,56-62 տարեկան,1.65
2019,%,իգական,,56-62 տարեկան,2.03
2020,%,իգական,,56-62 տարեկան,2.32
2015,%,,,63 և բարձր տարիքի,1.24
2016,%,,,63 և բարձր տարիքի,1.39
2017,%,,,63 և բարձր տարիքի,1.54
2018,%,,,63 և բարձր տարիքի,1.81
2019,%,,,63 և բարձր տարիքի,2.3
2020,%,,,63 և բարձր տարիքի,2.78
2015,%,արական,,63 և բարձր տարիքի,0.6
2016,%,արական,,63 և բարձր տարիքի,0.72
2017,%,արական,,63 և բարձր տարիքի,0.84
2018,%,արական,,63 և բարձր տարիքի,1.05
2019,%,արական,,63 և բարձր տարիքի,1.36
2020,%,արական,,63 և բարձր տարիքի,1.67
2015,%,իգական,,63 և բարձր տարիքի,1.67
2016,%,իգական,,63 և բարձր տարիքի,1.84
2017,%,իգական,,63 և բարձր տարիքի,2.01
2018,%,իգական,,63 և բարձր տարիքի,2.31
2019,%,իգական,,63 և բարձր տարիքի,2.92
2020,%,իգական,,63 և բարձր տարիքի,3.51
