Year,Units,Սեռ,Տարիք,Կատեգորիա,Value
2018,%,տղամարդ,,ընդամենը՝ հաշմանդամություն ունեցող երեխաների (0-17 տարեկան) ընդհանուր թվաքանակից,96.89
2019,%,տղամարդ,,ընդամենը՝ հաշմանդամություն ունեցող երեխաների (0-17 տարեկան) ընդհանուր թվաքանակից,93.59
2020,%,տղամարդ,,ընդամենը՝ հաշմանդամություն ունեցող երեխաների (0-17 տարեկան) ընդհանուր թվաքանակից,87.5
2015,%,կին,,ընդամենը՝ հաշմանդամություն ունեցող երեխաների (0-17 տարեկան) ընդհանուր թվաքանակից,98.19
2016,%,կին,,ընդամենը՝ հաշմանդամություն ունեցող երեխաների (0-17 տարեկան) ընդհանուր թվաքանակից,94.46
2017,%,կին,,ընդամենը՝ հաշմանդամություն ունեցող երեխաների (0-17 տարեկան) ընդհանուր թվաքանակից,97.15
2018,%,կին,,ընդամենը՝ հաշմանդամություն ունեցող երեխաների (0-17 տարեկան) ընդհանուր թվաքանակից,99.34
2019,%,կին,,ընդամենը՝ հաշմանդամություն ունեցող երեխաների (0-17 տարեկան) ընդհանուր թվաքանակից,93.98
2020,%,կին,,ընդամենը՝ հաշմանդամություն ունեցող երեխաների (0-17 տարեկան) ընդհանուր թվաքանակից,94.2
2015,%,,0-4 տարեկան,,12.46
2016,%,,0-4 տարեկան,,13.13
2017,%,,0-4 տարեկան,,12.55
2018,%,,0-4 տարեկան,,12.51
2019,%,,0-4 տարեկան,,12.49
2020,%,,0-4 տարեկան,,12.3
2015,%,տղամարդ,0-4 տարեկան,,11.44
2016,%,տղամարդ,0-4 տարեկան,,12.62
2017,%,տղամարդ,0-4 տարեկան,,11.7
2018,%,տղամարդ,0-4 տարեկան,,11.82
2019,%,տղամարդ,0-4 տարեկան,,11.92
2020,%,տղամարդ,0-4 տարեկան,,11.27
2015,%,կին,0-4 տարեկան,,14.72
2016,%,կին,0-4 տարեկան,,14.24
2017,%,կին,0-4 տարեկան,,14.38
2018,%,կին,0-4 տարեկան,,14.01
2019,%,կին,0-4 տարեկան,,13.73
2020,%,կին,0-4 տարեկան,,14.54
2015,%,,5-9 տարեկան,,27.06
2016,%,,5-9 տարեկան,,27.63
2017,%,,5-9 տարեկան,,28.81
2018,%,,5-9 տարեկան,,28.77
2019,%,,5-9 տարեկան,,28.03
2020,%,,5-9 տարեկան,,26.75
2015,%,տղամարդ,5-9 տարեկան,,26.77
2016,%,տղամարդ,5-9 տարեկան,,27.39
2017,%,տղամարդ,5-9 տարեկան,,27.91
2018,%,տղամարդ,5-9 տարեկան,,28.59
2019,%,տղամարդ,5-9 տարեկան,,27.87
2020,%,տղամարդ,5-9 տարեկան,,25.72
2015,%,կին,5-9 տարեկան,,27.7
2016,%,կին,5-9 տարեկան,,28.14
2017,%,կին,5-9 տարեկան,,30.76
2018,%,կին,5-9 տարեկան,,29.16
2019,%,կին,5-9 տարեկան,,28.39
2020,%,կին,5-9 տարեկան,,28.98
2015,%,,10-14 տարեկան,,32.87
2016,%,,10-14 տարեկան,,32.14
2017,%,,10-14 տարեկան,,32.94
2018,%,,10-14 տարեկան,,34.93
2019,%,,10-14 տարեկան,,32.12
2020,%,,10-14 տարեկան,,30.76
2015,%,տղամարդ,10-14 տարեկան,,32.39
2016,%,տղամարդ,10-14 տարեկան,,32.77
2017,%,տղամարդ,10-14 տարեկան,,33.8
2018,%,տղամարդ,10-14 տարեկան,,34.94
2019,%,տղամարդ,10-14 տարեկան,,32.35
2020,%,տղամարդ,10-14 տարեկան,,30.33
2015,%,կին,10-14 տարեկան,,33.92
2016,%,կին,10-14 տարեկան,,30.79
2017,%,կին,10-14 տարեկան,,31.07
2018,%,կին,10-14 տարեկան,,34.92
2019,%,կին,10-14 տարեկան,,31.64
2020,%,կին,10-14 տարեկան,,31.7
2015,%,,15 տարեկան,,7.86
2016,%,,15 տարեկան,,8.21
2017,%,,15 տարեկան,,8.14
2018,%,,15 տարեկան,,8.51
2019,%,,15 տարեկան,,8.51
2020,%,,15 տարեկան,,8.21
2015,%,տղամարդ,15 տարեկան,,7.46
2016,%,տղամարդ,15 տարեկան,,7.83
2017,%,տղամարդ,15 տարեկան,,8.12
2018,%,տղամարդ,15 տարեկան,,8.61
2019,%,տղամարդ,15 տարեկան,,8.51
2020,%,տղամարդ,15 տարեկան,,8.26
2015,%,կին,15 տարեկան,,8.74
2016,%,կին,15 տարեկան,,9.01
2017,%,կին,15 տարեկան,,8.17
2018,%,կին,15 տարեկան,,8.29
2019,%,կին,15 տարեկան,,8.53
2020,%,կին,15 տարեկան,,8.09
2015,%,,16-17 տարեկան,,13.22
2016,%,,16-17 տարեկան,,11.8
2017,%,,16-17 տարեկան,,12.4
2018,%,,16-17 տարեկան,,12.94
2019,%,,16-17 տարեկան,,12.56
2020,%,,16-17 տարեկան,,11.58
2015,%,տղամարդ,16-17 տարեկան,,13.27
2016,%,տղամարդ,16-17 տարեկան,,11.58
2017,%,տղամարդ,16-17 տարեկան,,12.24
2018,%,տղամարդ,16-17 տարեկան,,12.93
2019,%,տղամարդ,16-17 տարեկան,,12.95
2020,%,տղամարդ,16-17 տարեկան,,11.91
2015,%,կին,16-17 տարեկան,,13.11
2016,%,կին,16-17 տարեկան,,12.28
2017,%,կին,16-17 տարեկան,,12.76
2018,%,կին,16-17 տարեկան,,12.96
2019,%,կին,16-17 տարեկան,,11.7
2020,%,կին,16-17 տարեկան,,10.88
2021,%,,,,1.12
2021,%,տղամարդ,,,1.42
2021,%,կին,,,0.78
2021,%,,0-4 տարեկան,,0.57
2021,%,տղամարդ,0-4 տարեկան,,0.69
2021,%,կին,0-4 տարեկան,,0.44
2021,%,,5-9 տարեկան,,1.12
2021,%,տղամարդ,5-9 տարեկան,,1.44
2021,%,կին,5-9 տարեկան,,0.78
2021,%,,10-14 տարեկան,,1.32
2021,%,տղամարդ,10-14 տարեկան,,1.68
2021,%,կին,10-14 տարեկան,,0.9
2021,%,,15 տարեկան,,2.02
2021,%,տղամարդ,15 տարեկան,,2.51
2021,%,կին,15 տարեկան,,1.48
2021,%,,16-17 տարեկան,,1.41
2021,%,տղամարդ,16-17 տարեկան,,1.86
2021,%,կին,16-17 տարեկան,,0.89
2021,%,,,ընդամենը՝ հաշմանդամություն ունեցող երեխաների (0-17 տարեկան) ընդհանուր թվաքանակից,86.1
2021,%,տղամարդ,,ընդամենը՝ հաշմանդամություն ունեցող երեխաների (0-17 տարեկան) ընդհանուր թվաքանակից,84.76
2021,%,կին,,ընդամենը՝ հաշմանդամություն ունեցող երեխաների (0-17 տարեկան) ընդհանուր թվաքանակից,89.01
2021,%,,0-4 տարեկան,,11.28
2021,%,տղամարդ,0-4 տարեկան,,10.45
2021,%,կին,0-4 տարեկան,,13.09
2021,%,,5-9 տարեկան,,25.56
2021,%,տղամարդ,5-9 տարեկան,,25.21
2021,%,կին,5-9 տարեկան,,26.33
2021,%,,10-14 տարեկան,,29.72
2021,%,տղամարդ,10-14 տարեկան,,29.49
2021,%,կին,10-14 տարեկան,,30.22
2021,%,,15 տարեկան,,8.33
2021,%,տղամարդ,15 տարեկան,,8.04
2021,%,կին,15 տարեկան,,8.96
2021,%,,16-17 տարեկան,,11.21
2021,%,տղամարդ,16-17 տարեկան,,11.58
2021,%,կին,16-17 տարեկան,,10.41
2022,%,,,,1.13
2022,%,տղամարդ,,,1.43
2022,%,կին,,,0.79
2022,%,,0-4 տարեկան,,0.61
2022,%,տղամարդ,0-4 տարեկան,,0.77
2022,%,կին,0-4 տարեկան,,0.44
2022,%,,5-9 տարեկան,,1.18
2022,%,տղամարդ,5-9 տարեկան,,1.47
2022,%,կին,5-9 տարեկան,,0.84
2022,%,,10-14 տարեկան,,1.3
2022,%,տղամարդ,10-14 տարեկան,,1.64
2022,%,կին,10-14 տարեկան,,0.91
2022,%,,15 տարեկան,,1.81
2022,%,տղամարդ,15 տարեկան,,2.34
2022,%,կին,15 տարեկան,,1.2
2022,%,,16-17 տարեկան,,1.41
2022,%,տղամարդ,16-17 տարեկան,,1.85
2022,%,կին,16-17 տարեկան,,0.91
2022,%,,,ընդամենը՝ հաշմանդամություն ունեցող երեխաների (0-17 տարեկան) ընդհանուր թվաքանակից,85.89
2022,%,տղամարդ,,ընդամենը՝ հաշմանդամություն ունեցող երեխաների (0-17 տարեկան) ընդհանուր թվաքանակից,84.5
2022,%,կին,,ընդամենը՝ հաշմանդամություն ունեցող երեխաների (0-17 տարեկան) ընդհանուր թվաքանակից,88.89
2022,%,,0-4 տարեկան,,12.02
2022,%,տղամարդ,0-4 տարեկան,,11.55
2022,%,կին,0-4 տարեկան,,13.04
2022,%,,5-9 տարեկան,,25.71
2022,%,տղամարդ,5-9 տարեկան,,24.91
2022,%,կին,5-9 տարեկան,,27.42
2022,%,,10-14 տարեկան,,29.21
2022,%,տղամարդ,10-14 տարեկան,,28.75
2022,%,կին,10-14 տարեկան,,30.19
2022,%,,15 տարեկան,,7.66
2022,%,տղամարդ,15 տարեկան,,7.73
2022,%,կին,15 տարեկան,,7.5
2022,%,,16-17 տարեկան,,11.3
2022,%,տղամարդ,16-17 տարեկան,,11.56
2022,%,կին,16-17 տարեկան,,10.74
2023,%,,,,1.17
2023,%,տղամարդ,,,1.47
2023,%,կին,,,0.82
2023,%,,0-4 տարեկան,,0.61
2023,%,տղամարդ,0-4 տարեկան,,0.75
2023,%,կին,0-4 տարեկան,,0.45
2023,%,,5-9 տարեկան,,1.26
2023,%,տղամարդ,5-9 տարեկան,,1.6
2023,%,կին,5-9 տարեկան,,0.88
2023,%,,10-14 տարեկան,,1.47
2023,%,տղամարդ,10-14 տարեկան,,1.84
2023,%,կին,10-14 տարեկան,,1.05
2023,%,,15 տարեկան,,2.05
2023,%,տղամարդ,15 տարեկան,,2.34
2023,%,կին,15 տարեկան,,1.38
2023,%,,16-17 տարեկան,,1.67
2023,%,տղամարդ,16-17 տարեկան,,2.24
2023,%,կին,16-17 տարեկան,,1.04
2023,%,,,ընդամենը՝ հաշմանդամություն ունեցող երեխաների (0-17 տարեկան) ընդհանուր թվաքանակից,97.3
2023,%,տղամարդ,,ընդամենը՝ հաշմանդամություն ունեցող երեխաների (0-17 տարեկան) ընդհանուր թվաքանակից,95.52
2023,%,կին,,ընդամենը՝ հաշմանդամություն ունեցող երեխաների (0-17 տարեկան) ընդհանուր թվաքանակից,101.1
2023,%,,0-4 տարեկան,,12.73
2023,%,տղամարդ,0-4 տարեկան,,12.07
2023,%,կին,0-4 տարեկան,,14.15
2023,%,,5-9 տարեկան,,28.47
2023,%,տղամարդ,5-9 տարեկան,,2808.0
2023,%,կին,5-9 տարեկան,,29.3
2023,%,,10-14 տարեկան,,33.97
2023,%,,10-14 տարեկան,,33.06
2023,%,,10-14 տարեկան,,35.92
2023,%,,15 տարեկան,,8.78
2023,%,,15 տարեկան,,8.5
2023,%,,15 տարեկան,,9.38
2023,%,,16-17 տարեկան,,13.34
2023,%,,16-17 տարեկան,,13.81
2023,%,,16-17 տարեկան,,12.35
2024,%,,,,1.2
2024,%,boys,,,1.5
2024,%,girls,,,0.86
2024,%,,0-4 տարեկան,,0.59
2024,%,boys,0-4 տարեկան,,0.72
2024,%,girls,0-4 տարեկան,,0.44
2024,%,,5-9 տարեկան,,1.29
2024,%,boys,5-9 տարեկան,,1.63
2024,%,girls,5-9 տարեկան,,0.91
2024,%,,10-14 տարեկան,,1.4
2024,%,boys,10-14 տարեկան,,1.75
2024,%,girls,10-14 տարեկան,,1.02
2024,%,,15 տարեկան,,1.89
2024,%,boys,15 տարեկան,,2.29
2024,%,girls,15 տարեկան,,1.44
2024,%,,16-17 տարեկան,,1.53
2024,%,boys,16-17 տարեկան,,1.97
2024,%,girls,16-17 տարեկան,,1.04
2024,%,,,ընդամենը՝ հաշմանդամություն ունեցող երեխաների (0-17 տարեկան) ընդհանուր թվաքանակից,126.54
2024,%,boys,,ընդամենը՝ հաշմանդամություն ունեցող երեխաների (0-17 տարեկան) ընդհանուր թվաքանակից,123.54
2024,%,girls,,ընդամենը՝ հաշմանդամություն ունեցող երեխաների (0-17 տարեկան) ընդհանուր թվաքանակից,132.97
2024,%,,0-4 տարեկան,,16.2
2024,%,boys,0-4 տարեկան,,15.35
2024,%,girls,0-4 տարեկան,,17.98
2024,%,,5-9 տարեկան,,38.06
2024,%,boys,5-9 տարեկան,,37.61
2024,%,girls,5-9 տարեկան,,38.99
2024,%,,10-14 տարեկան,,43.64
2024,%,boys,10-14 տարեկան,,42.47
2024,%,girls,10-14 տարեկան,,46.06
2024,%,,15 տարեկան,,11.54
2024,%,boys,15 տարեկան,,10.99
2024,%,girls,15 տարեկան,,12.67
2024,%,,16-17 տարեկան,,17.1
2024,%,boys,16-17 տարեկան,,17.02
2024,%,girls,16-17 տարեկան,,17.27
