Year,Units,Սեռ,Տեսակ,Տարիք,Value
2015,%,արական,հաշմանդամության,,4.13
2016,%,արական,հաշմանդամության,,4.19
2017,%,արական,հաշմանդամության,,3.82
2018,%,արական,հաշմանդամության,,3.74
2019,%,արական,հաշմանդամության,,3.68
2020,%,արական,հաշմանդամության,,3.59
2015,%,իգական,հաշմանդամության,,4.41
2016,%,իգական,հաշմանդամության,,4.48
2017,%,իգական,հաշմանդամության,,4.02
2018,%,իգական,հաշմանդամության,,3.92
2019,%,իգական,հաշմանդամության,,3.88
2020,%,իգական,հաշմանդամության,,3.81
2015,%,,կերակրողին կորցնելու դեպքում,,0.36
2016,%,,կերակրողին կորցնելու դեպքում,,0.34
2017,%,,կերակրողին կորցնելու դեպքում,,0.31
2018,%,,կերակրողին կորցնելու դեպքում,,0.29
2019,%,,կերակրողին կորցնելու դեպքում,,0.26
2020,%,,կերակրողին կորցնելու դեպքում,,0.25
2015,%,արական,կերակրողին կորցնելու դեպքում,,0.21
2016,%,արական,կերակրողին կորցնելու դեպքում,,0.21
2017,%,արական,կերակրողին կորցնելու դեպքում,,0.19
2018,%,արական,կերակրողին կորցնելու դեպքում,,0.18
2019,%,արական,կերակրողին կորցնելու դեպքում,,0.16
2020,%,արական,կերակրողին կորցնելու դեպքում,,0.15
2015,%,իգական,կերակրողին կորցնելու դեպքում,,0.49
2016,%,իգական,կերակրողին կորցնելու դեպքում,,0.45
2017,%,իգական,կերակրողին կորցնելու դեպքում,,0.42
2018,%,իգական,կերակրողին կորցնելու դեպքում,,0.39
2019,%,իգական,կերակրողին կորցնելու դեպքում,,0.35
2020,%,իգական,կերակրողին կորցնելու դեպքում,,0.33
2016,%,,այլ օրենքներով սահմանված,,0.01
2017,%,,այլ օրենքներով սահմանված,,0.02
2018,%,,այլ օրենքներով սահմանված,,0.02
2019,%,,այլ օրենքներով սահմանված,,0.02
2020,%,,այլ օրենքներով սահմանված,,0.02
2016,%,արական,այլ օրենքներով սահմանված,,0.01
2017,%,արական,այլ օրենքներով սահմանված,,0.04
2018,%,արական,այլ օրենքներով սահմանված,,0.04
2019,%,արական,այլ օրենքներով սահմանված,,0.04
2020,%,արական,այլ օրենքներով սահմանված,,0.05
2016,%,իգական,այլ օրենքներով սահմանված,,0.002
2017,%,իգական,այլ օրենքներով սահմանված,,0.004
2018,%,իգական,այլ օրենքներով սահմանված,,0.004
2019,%,իգական,այլ օրենքներով սահմանված,,0.004
2020,%,իգական,այլ օրենքներով սահմանված,,0.004
2015,%,,զինծառայության հետ կապված,,0.08
2016,%,,զինծառայության հետ կապված,,0.07
2017,%,,զինծառայության հետ կապված,,0.07
2018,%,,զինծառայության հետ կապված,,0.06
2019,%,,զինծառայության հետ կապված,,0.06
2020,%,,զինծառայության հետ կապված,,0.06
2015,%,արական,զինծառայության հետ կապված,,0.16
2016,%,արական,զինծառայության հետ կապված,,0.15
2017,%,արական,զինծառայության հետ կապված,,0.14
2018,%,արական,զինծառայության հետ կապված,,0.13
2019,%,արական,զինծառայության հետ կապված,,0.13
2020,%,արական,զինծառայության հետ կապված,,0.12
2015,%,իգական,զինծառայության հետ կապված,,0.002
2016,%,իգական,զինծառայության հետ կապված,,0.001
2017,%,իգական,զինծառայության հետ կապված,,0.001
2018,%,իգական,զինծառայության հետ կապված,,0.001
2019,%,իգական,զինծառայության հետ կապված,,0.001
2020,%,իգական,զինծառայության հետ կապված,,0.0004
2015,%,,,մինչև 51 տարեկան,1.02
2016,%,,,մինչև 51 տարեկան,0.95
2017,%,,,մինչև 51 տարեկան,0.79
2018,%,,,մինչև 51 տարեկան,0.7
2019,%,,,մինչև 51 տարեկան,0.62
2020,%,,,մինչև 51 տարեկան,0.58
2015,%,արական,,մինչև 51 տարեկան,0.99
2016,%,արական,,մինչև 51 տարեկան,0.94
2017,%,արական,,մինչև 51 տարեկան,0.79
2018,%,արական,,մինչև 51 տարեկան,0.72
2019,%,արական,,մինչև 51 տարեկան,0.64
2020,%,արական,,մինչև 51 տարեկան,0.6
2015,%,իգական,,մինչև 51 տարեկան,1.06
2016,%,իգական,,մինչև 51 տարեկան,0.97
2017,%,իգական,,մինչև 51 տարեկան,0.78
2018,%,իգական,,մինչև 51 տարեկան,0.69
2019,%,իգական,,մինչև 51 տարեկան,0.6
2020,%,իգական,,մինչև 51 տարեկան,0.56
2015,%,,,51-55 տարեկան,10.32
2016,%,,,51-55 տարեկան,10.01
2017,%,,,51-55 տարեկան,8.15
2018,%,,,51-55 տարեկան,7.37
2019,%,,,51-55 տարեկան,4.41
2020,%,,,51-55 տարեկան,3.96
2015,%,արական,,51-55 տարեկան,10.47
2016,%,արական,,51-55 տարեկան,10.38
2017,%,արական,,51-55 տարեկան,8.75
2018,%,արական,,51-55 տարեկան,7.93
2019,%,արական,,51-55 տարեկան,5.06
2020,%,արական,,51-55 տարեկան,4.46
2015,%,իգական,,51-55 տարեկան,10.2
2016,%,իգական,,51-55 տարեկան,9.72
2017,%,իգական,,51-55 տարեկան,7.68
2018,%,իգական,,51-55 տարեկան,6.92
2019,%,իգական,,51-55 տարեկան,3.91
2020,%,իգական,,51-55 տարեկան,3.57
2015,%,,,56-62 տարեկան,23.32
2016,%,,,56-62 տարեկան,22.58
2017,%,,,56-62 տարեկան,19.33
2018,%,,,56-62 տարեկան,18.05
2019,%,,,56-62 տարեկան,15.21
2020,%,,,56-62 տարեկան,13.91
2015,%,արական,,56-62 տարեկան,20.14
2016,%,արական,,56-62 տարեկան,19.87
2017,%,արական,,56-62 տարեկան,17.23
2018,%,արական,,56-62 տարեկան,16.42
2019,%,արական,,56-62 տարեկան,14.14
2020,%,արական,,56-62 տարեկան,13.15
2015,%,իգական,,56-62 տարեկան,25.9
2016,%,իգական,,56-62 տարեկան,24.76
2017,%,իգական,,56-62 տարեկան,21.0
2018,%,իգական,,56-62 տարեկան,19.34
2019,%,իգական,,56-62 տարեկան,16.04
2020,%,իգական,,56-62 տարեկան,14.5
2015,%,,,63 և բարձր տարիքի,92.73
2016,%,,,63 և բարձր տարիքի,92.52
2017,%,,,63 և բարձր տարիքի,91.47
2018,%,,,63 և բարձր տարիքի,91.36
2019,%,,,63 և բարձր տարիքի,92.57
2020,%,,,63 և բարձր տարիքի,91.71
2015,%,արական,,63 և բարձր տարիքի,88.1
2016,%,արական,,63 և բարձր տարիքի,88.25
2017,%,արական,,63 և բարձր տարիքի,87.48
2018,%,արական,,63 և բարձր տարիքի,87.86
2019,%,արական,,63 և բարձր տարիքի,89.58
2020,%,արական,,63 և բարձր տարիքի,89.28
2015,%,իգական,,63 և բարձր տարիքի,95.83
2016,%,իգական,,63 և բարձր տարիքի,95.38
2017,%,իգական,,63 և բարձր տարիքի,94.14
2018,%,իգական,,63 և բարձր տարիքի,93.7
2019,%,իգական,,63 և բարձր տարիքի,94.55
2020,%,իգական,,63 և բարձր տարիքի,93.32
