Year,Units,Սեռ,Կատեգորիա,Տարիք,Value
2018,%,տղամարդ,,56-62 տարեկան,1.26
2019,%,տղամարդ,,56-62 տարեկան,1.73
2020,%,տղամարդ,,56-62 տարեկան,2.18
2015,%,կին,,56-62 տարեկան,1.55
2016,%,կին,,56-62 տարեկան,1.69
2017,%,կին,,56-62 տարեկան,1.46
2018,%,կին,,56-62 տարեկան,1.65
2019,%,կին,,56-62 տարեկան,2.03
2020,%,կին,,56-62 տարեկան,2.32
2015,%,,,63 և բարձր տարիքի,1.24
2016,%,,,63 և բարձր տարիքի,1.39
2017,%,,,63 և բարձր տարիքի,1.54
2018,%,,,63 և բարձր տարիքի,1.81
2019,%,,,63 և բարձր տարիքի,2.3
2020,%,,,63 և բարձր տարիքի,2.78
2015,%,տղամարդ,,63 և բարձր տարիքի,0.6
2016,%,տղամարդ,,63 և բարձր տարիքի,0.72
2017,%,տղամարդ,,63 և բարձր տարիքի,0.84
2018,%,տղամարդ,,63 և բարձր տարիքի,1.05
2019,%,տղամարդ,,63 և բարձր տարիքի,1.36
2020,%,տղամարդ,,63 և բարձր տարիքի,1.67
2015,%,կին,,63 և բարձր տարիքի,1.67
2016,%,կին,,63 և բարձր տարիքի,1.84
2017,%,կին,,63 և բարձր տարիքի,2.01
2018,%,կին,,63 և բարձր տարիքի,2.31
2019,%,կին,,63 և բարձր տարիքի,2.92
2020,%,կին,,63 և բարձր տարիքի,3.51
