Year,Access to servises,Units,Գտնվելու վայրը,Սեռ,Value
2020,ինտերնետային կապի հասանելիությունը տնային տնտեսությանը,%,քաղաք,,68.2
2021,ինտերնետային կապի հասանելիությունը տնային տնտեսությանը,%,քաղաք,,68.8
2015,ինտերնետային կապի հասանելիությունը տնային տնտեսությանը,%,գյուղ,,55.3
2016,ինտերնետային կապի հասանելիությունը տնային տնտեսությանը,%,գյուղ,,68.7
2017,ինտերնետային կապի հասանելիությունը տնային տնտեսությանը,%,գյուղ,,59.4
2018,ինտերնետային կապի հասանելիությունը տնային տնտեսությանը,%,գյուղ,,60.3
2019,ինտերնետային կապի հասանելիությունը տնային տնտեսությանը,%,գյուղ,,59.9
2020,ինտերնետային կապի հասանելիությունը տնային տնտեսությանը,%,գյուղ,,53.1
2021,ինտերնետային կապի հասանելիությունը տնային տնտեսությանը,%,գյուղ,,54.2
2015,ինտերնետային կապի հասանելիությունը տնային տնտեսության անդամներին,%,,,59.1
2016,ինտերնետային կապի հասանելիությունը տնային տնտեսության անդամներին,%,,,64.3
2017,ինտերնետային կապի հասանելիությունը տնային տնտեսության անդամներին,%,,,64.7
2018,ինտերնետային կապի հասանելիությունը տնային տնտեսության անդամներին,%,,,68.2
2019,ինտերնետային կապի հասանելիությունը տնային տնտեսության անդամներին,%,,,66.5
2020,ինտերնետային կապի հասանելիությունը տնային տնտեսության անդամներին,%,,,61.9
2021,ինտերնետային կապի հասանելիությունը տնային տնտեսության անդամներին,%,,,62.6
2015,ինտերնետային կապի հասանելիությունը տնային տնտեսության անդամներին,%,,տղամարդ,60.8
2016,ինտերնետային կապի հասանելիությունը տնային տնտեսության անդամներին,%,,տղամարդ,65.5
2017,ինտերնետային կապի հասանելիությունը տնային տնտեսության անդամներին,%,,տղամարդ,66.3
2018,ինտերնետային կապի հասանելիությունը տնային տնտեսության անդամներին,%,,տղամարդ,69.9
2019,ինտերնետային կապի հասանելիությունը տնային տնտեսության անդամներին,%,,տղամարդ,65.8
2020,ինտերնետային կապի հասանելիությունը տնային տնտեսության անդամներին,%,,տղամարդ,60.9
2021,ինտերնետային կապի հասանելիությունը տնային տնտեսության անդամներին,%,,տղամարդ,61.1
2015,ինտերնետային կապի հասանելիությունը տնային տնտեսության անդամներին,%,,կին,57.8
2016,ինտերնետային կապի հասանելիությունը տնային տնտեսության անդամներին,%,,կին,63.4
2017,ինտերնետային կապի հասանելիությունը տնային տնտեսության անդամներին,%,,կին,63.4
2018,ինտերնետային կապի հասանելիությունը տնային տնտեսության անդամներին,%,,կին,66.9
2019,ինտերնետային կապի հասանելիությունը տնային տնտեսության անդամներին,%,,կին,67.2
2020,ինտերնետային կապի հասանելիությունը տնային տնտեսության անդամներին,%,,կին,62.9
2021,ինտերնետային կապի հասանելիությունը տնային տնտեսության անդամներին,%,,կին,64.0
2015,էլեկտրաէներգիայի մատակարարմամբ տնային տնտեսությունների մասնաբաժինը,%,,,99.6
2016,էլեկտրաէներգիայի մատակարարմամբ տնային տնտեսությունների մասնաբաժինը,%,,,99.8
2017,էլեկտրաէներգիայի մատակարարմամբ տնային տնտեսությունների մասնաբաժինը,%,,,99.7
2018,էլեկտրաէներգիայի մատակարարմամբ տնային տնտեսությունների մասնաբաժինը,%,,,99.9
2019,էլեկտրաէներգիայի մատակարարմամբ տնային տնտեսությունների մասնաբաժինը,%,,,100.0
2020,էլեկտրաէներգիայի մատակարարմամբ տնային տնտեսությունների մասնաբաժինը,%,,,100.0
2021,էլեկտրաէներգիայի մատակարարմամբ տնային տնտեսությունների մասնաբաժինը,%,,,100.0
2015,էլեկտրաէներգիայի մատակարարմամբ տնային տնտեսությունների մասնաբաժինը,%,քաղաք,,95.5
2016,էլեկտրաէներգիայի մատակարարմամբ տնային տնտեսությունների մասնաբաժինը,%,քաղաք,,99.8
2017,էլեկտրաէներգիայի մատակարարմամբ տնային տնտեսությունների մասնաբաժինը,%,քաղաք,,99.8
2018,էլեկտրաէներգիայի մատակարարմամբ տնային տնտեսությունների մասնաբաժինը,%,քաղաք,,99.9
2019,էլեկտրաէներգիայի մատակարարմամբ տնային տնտեսությունների մասնաբաժինը,%,քաղաք,,100.0
2020,էլեկտրաէներգիայի մատակարարմամբ տնային տնտեսությունների մասնաբաժինը,%,քաղաք,,100.0
2021,էլեկտրաէներգիայի մատակարարմամբ տնային տնտեսությունների մասնաբաժինը,%,քաղաք,,100.0
2015,էլեկտրաէներգիայի մատակարարմամբ տնային տնտեսությունների մասնաբաժինը,%,գյուղ,,96.7
2016,էլեկտրաէներգիայի մատակարարմամբ տնային տնտեսությունների մասնաբաժինը,%,գյուղ,,99.7
2017,էլեկտրաէներգիայի մատակարարմամբ տնային տնտեսությունների մասնաբաժինը,%,գյուղ,,99.7
2018,էլեկտրաէներգիայի մատակարարմամբ տնային տնտեսությունների մասնաբաժինը,%,գյուղ,,99.9
2019,էլեկտրաէներգիայի մատակարարմամբ տնային տնտեսությունների մասնաբաժինը,%,գյուղ,,100.0
2020,էլեկտրաէներգիայի մատակարարմամբ տնային տնտեսությունների մասնաբաժինը,%,գյուղ,,100.0
2021,էլեկտրաէներգիայի մատակարարմամբ տնային տնտեսությունների մասնաբաժինը,%,գյուղ,,100.0
2015,մաքուր վառելիքից և տեխնոլոգիայից առաջնային կախվածություն ունեցող տնային տնտեսությունների մասնաբաժինը,%,,,58.8
2016,մաքուր վառելիքից և տեխնոլոգիայից առաջնային կախվածություն ունեցող տնային տնտեսությունների մասնաբաժինը,%,,,57.1
2017,մաքուր վառելիքից և տեխնոլոգիայից առաջնային կախվածություն ունեցող տնային տնտեսությունների մասնաբաժինը,%,,,57.0
2018,մաքուր վառելիքից և տեխնոլոգիայից առաջնային կախվածություն ունեցող տնային տնտեսությունների մասնաբաժինը,%,,,59.3
2019,մաքուր վառելիքից և տեխնոլոգիայից առաջնային կախվածություն ունեցող տնային տնտեսությունների մասնաբաժինը,%,,,69.2
2020,մաքուր վառելիքից և տեխնոլոգիայից առաջնային կախվածություն ունեցող տնային տնտեսությունների մասնաբաժինը,%,,,73.3
2021,մաքուր վառելիքից և տեխնոլոգիայից առաջնային կախվածություն ունեցող տնային տնտեսությունների մասնաբաժինը,%,,,75.0
2015,մաքուր վառելիքից և տեխնոլոգիայից առաջնային կախվածություն ունեցող տնային տնտեսությունների մասնաբաժինը,%,քաղաք,,82.5
2016,մաքուր վառելիքից և տեխնոլոգիայից առաջնային կախվածություն ունեցող տնային տնտեսությունների մասնաբաժինը,%,քաղաք,,81.3
2017,մաքուր վառելիքից և տեխնոլոգիայից առաջնային կախվածություն ունեցող տնային տնտեսությունների մասնաբաժինը,%,քաղաք,,84.0
2018,մաքուր վառելիքից և տեխնոլոգիայից առաջնային կախվածություն ունեցող տնային տնտեսությունների մասնաբաժինը,%,քաղաք,,85.1
2019,մաքուր վառելիքից և տեխնոլոգիայից առաջնային կախվածություն ունեցող տնային տնտեսությունների մասնաբաժինը,%,քաղաք,,92.9
2020,մաքուր վառելիքից և տեխնոլոգիայից առաջնային կախվածություն ունեցող տնային տնտեսությունների մասնաբաժինը,%,քաղաք,,94.8
2021,մաքուր վառելիքից և տեխնոլոգիայից առաջնային կախվածություն ունեցող տնային տնտեսությունների մասնաբաժինը,%,քաղաք,,93.4
2015,մաքուր վառելիքից և տեխնոլոգիայից առաջնային կախվածություն ունեցող տնային տնտեսությունների մասնաբաժինը,%,գյուղ,,15.5
2016,մաքուր վառելիքից և տեխնոլոգիայից առաջնային կախվածություն ունեցող տնային տնտեսությունների մասնաբաժինը,%,գյուղ,,13.3
2017,մաքուր վառելիքից և տեխնոլոգիայից առաջնային կախվածություն ունեցող տնային տնտեսությունների մասնաբաժինը,%,գյուղ,,14.5
2018,մաքուր վառելիքից և տեխնոլոգիայից առաջնային կախվածություն ունեցող տնային տնտեսությունների մասնաբաժինը,%,գյուղ,,17.2
2019,մաքուր վառելիքից և տեխնոլոգիայից առաջնային կախվածություն ունեցող տնային տնտեսությունների մասնաբաժինը,%,գյուղ,,31.5
2020,մաքուր վառելիքից և տեխնոլոգիայից առաջնային կախվածություն ունեցող տնային տնտեսությունների մասնաբաժինը,%,գյուղ,,42.7
2021,մաքուր վառելիքից և տեխնոլոգիայից առաջնային կախվածություն ունեցող տնային տնտեսությունների մասնաբաժինը,%,գյուղ,,40.5
