Year,Units,Սեռ,Կատեգորիա,Value
2016,"100,000 բնակչի հաշվով",Total,Սուր շնչառական վարակները մինչև 5 տ. Երեխաների շրջանում (<5),0.1
2016,"100,000 բնակչի հաշվով",Female,Սուր շնչառական վարակները մինչև 5 տ. Երեխաների շրջանում (<5),0.1
2016,"100,000 բնակչի հաշվով",Male,Սուր շնչառական վարակները մինչև 5 տ. Երեխաների շրջանում (<5),0.0
2016,"100,000 բնակչի հաշվով",Total,Թոքերի քրոնիկ  օբստրուկտիվ հիվանդություն մեծահասակների շրջանում (≥25),14.0
2016,"100,000 բնակչի հաշվով",Female,Թոքերի քրոնիկ  օբստրուկտիվ հիվանդություն մեծահասակների շրջանում (≥25),12.8
2016,"100,000 բնակչի հաշվով",Male,Թոքերի քրոնիկ  օբստրուկտիվ հիվանդություն մեծահասակների շրջանում (≥25),15.3
2017,"100,000 բնակչի հաշվով",Total,Թոքերի  չարորակ նորագոյացություն մեծահասակների մոտ  (≥25),17.5
2017,"100,000 բնակչի հաշվով",Female,Թոքերի  չարորակ նորագոյացություն մեծահասակների մոտ  (≥25),6.9
2017,"100,000 բնակչի հաշվով",Male,Թոքերի  չարորակ նորագոյացություն մեծահասակների մոտ  (≥25),29.1
2017,"100,000 բնակչի հաշվով",Total,Սրտի իշեմիկ հիվանդություններ մեծահասակների մոտ (≥25),84.5
2017,"100,000 բնակչի հաշվով",Female,Սրտի իշեմիկ հիվանդություններ մեծահասակների մոտ (≥25),79.0
2017,"100,000 բնակչի հաշվով",Male,Սրտի իշեմիկ հիվանդություններ մեծահասակների մոտ (≥25),90.5
2017,"100,000 բնակչի հաշվով",Total,Գլխուղեղային հիվանդությունները (կաթված) մեծահասակների մոտ(≥25),9.2
2017,"100,000 բնակչի հաշվով",Female,Գլխուղեղային հիվանդությունները (կաթված) մեծահասակների մոտ(≥25),9.8
2017,"100,000 բնակչի հաշվով",Male,Գլխուղեղային հիվանդությունները (կաթված) մեծահասակների մոտ(≥25),8.6
2017,"100,000 բնակչի հաշվով",Total,Սուր շնչառական վարակները մինչև 5 տ. Երեխաների շրջանում (<5),0.1
2017,"100,000 բնակչի հաշվով",Female,Սուր շնչառական վարակները մինչև 5 տ. Երեխաների շրջանում (<5),0.0
2017,"100,000 բնակչի հաշվով",Male,Սուր շնչառական վարակները մինչև 5 տ. Երեխաների շրջանում (<5),0.2
2017,"100,000 բնակչի հաշվով",Total,Թոքերի քրոնիկ  օբստրուկտիվ հիվանդություն մեծահասակների շրջանում (≥25),7.9
2017,"100,000 բնակչի հաշվով",Female,Թոքերի քրոնիկ  օբստրուկտիվ հիվանդություն մեծահասակների շրջանում (≥25),6.5
2017,"100,000 բնակչի հաշվով",Male,Թոքերի քրոնիկ  օբստրուկտիվ հիվանդություն մեծահասակների շրջանում (≥25),9.4
2018,"100,000 բնակչի հաշվով",Total,Թոքերի  չարորակ նորագոյացություն մեծահասակների մոտ  (≥25),15.9
2018,"100,000 բնակչի հաշվով",Female,Թոքերի  չարորակ նորագոյացություն մեծահասակների մոտ  (≥25),5.8
2018,"100,000 բնակչի հաշվով",Male,Թոքերի  չարորակ նորագոյացություն մեծահասակների մոտ  (≥25),27.1
2018,"100,000 բնակչի հաշվով",Total,Սրտի իշեմիկ հիվանդություններ մեծահասակների մոտ (≥25),68.2
2018,"100,000 բնակչի հաշվով",Female,Սրտի իշեմիկ հիվանդություններ մեծահասակների մոտ (≥25),61.5
2018,"100,000 բնակչի հաշվով",Male,Սրտի իշեմիկ հիվանդություններ մեծահասակների մոտ (≥25),75.7
2018,"100,000 բնակչի հաշվով",Total,Գլխուղեղային հիվանդությունները (կաթված) մեծահասակների մոտ(≥25),7.2
2018,"100,000 բնակչի հաշվով",Female,Գլխուղեղային հիվանդությունները (կաթված) մեծահասակների մոտ(≥25),7.4
2018,"100,000 բնակչի հաշվով",Male,Գլխուղեղային հիվանդությունները (կաթված) մեծահասակների մոտ(≥25),7.0
2018,"100,000 բնակչի հաշվով",Total,Սուր շնչառական վարակները մինչև 5 տ. Երեխաների շրջանում (<5),0.0
2018,"100,000 բնակչի հաշվով",Female,Սուր շնչառական վարակները մինչև 5 տ. Երեխաների շրջանում (<5),0.0
2018,"100,000 բնակչի հաշվով",Male,Սուր շնչառական վարակները մինչև 5 տ. Երեխաների շրջանում (<5),0.0
2018,"100,000 բնակչի հաշվով",Total,Թոքերի քրոնիկ  օբստրուկտիվ հիվանդություն մեծահասակների շրջանում (≥25),4.8
2018,"100,000 բնակչի հաշվով",Female,Թոքերի քրոնիկ  օբստրուկտիվ հիվանդություն մեծահասակների շրջանում (≥25),3.2
2018,"100,000 բնակչի հաշվով",Male,Թոքերի քրոնիկ  օբստրուկտիվ հիվանդություն մեծահասակների շրջանում (≥25),6.6
2019,"100,000 բնակչի հաշվով",Total,Թոքերի  չարորակ նորագոյացություն մեծահասակների մոտ  (≥25),18.7
2019,"100,000 բնակչի հաշվով",Female,Թոքերի  չարորակ նորագոյացություն մեծահասակների մոտ  (≥25),7.2
2019,"100,000 բնակչի հաշվով",Male,Թոքերի  չարորակ նորագոյացություն մեծահասակների մոտ  (≥25),31.6
2019,"100,000 բնակչի հաշվով",Total,Սրտի իշեմիկ հիվանդություններ մեծահասակների մոտ (≥25),68.7
2019,"100,000 բնակչի հաշվով",Female,Սրտի իշեմիկ հիվանդություններ մեծահասակների մոտ (≥25),61.5
2019,"100,000 բնակչի հաշվով",Male,Սրտի իշեմիկ հիվանդություններ մեծահասակների մոտ (≥25),76.8
2019,"100,000 բնակչի հաշվով",Total,Գլխուղեղային հիվանդությունները (կաթված) մեծահասակների մոտ(≥25),2.1
2019,"100,000 բնակչի հաշվով",Female,Գլխուղեղային հիվանդությունները (կաթված) մեծահասակների մոտ(≥25),1.8
2019,"100,000 բնակչի հաշվով",Male,Գլխուղեղային հիվանդությունները (կաթված) մեծահասակների մոտ(≥25),2.5
2019,"100,000 բնակչի հաշվով",Total,Սուր շնչառական վարակները մինչև 5 տ. Երեխաների շրջանում (<5),0.0
2019,"100,000 բնակչի հաշվով",Female,Սուր շնչառական վարակները մինչև 5 տ. Երեխաների շրջանում (<5),0.0
2019,"100,000 բնակչի հաշվով",Male,Սուր շնչառական վարակները մինչև 5 տ. Երեխաների շրջանում (<5),0.0
2019,"100,000 բնակչի հաշվով",Total,Թոքերի քրոնիկ  օբստրուկտիվ հիվանդություն մեծահասակների շրջանում (≥25),4.3
2019,"100,000 բնակչի հաշվով",Female,Թոքերի քրոնիկ  օբստրուկտիվ հիվանդություն մեծահասակների շրջանում (≥25),3.0
2019,"100,000 բնակչի հաշվով",Male,Թոքերի քրոնիկ  օբստրուկտիվ հիվանդություն մեծահասակների շրջանում (≥25),5.7
2020,"100,000 բնակչի հաշվով",Total,Թոքերի  չարորակ նորագոյացություն մեծահասակների մոտ  (≥25),19.6
2020,"100,000 բնակչի հաշվով",Female,Թոքերի  չարորակ նորագոյացություն մեծահասակների մոտ  (≥25),8.6
2020,"100,000 բնակչի հաշվով",Male,Թոքերի  չարորակ նորագոյացություն մեծահասակների մոտ  (≥25),31.9
2020,"100,000 բնակչի հաշվով",Total,Սրտի իշեմիկ հիվանդություններ մեծահասակների մոտ (≥25),93.7
2020,"100,000 բնակչի հաշվով",Female,Սրտի իշեմիկ հիվանդություններ մեծահասակների մոտ (≥25),83.2
2020,"100,000 բնակչի հաշվով",Male,Սրտի իշեմիկ հիվանդություններ մեծահասակների մոտ (≥25),105.3
2020,"100,000 բնակչի հաշվով",Total,Գլխուղեղային հիվանդությունները (կաթված) մեծահասակների մոտ(≥25),2.3
2020,"100,000 բնակչի հաշվով",Female,Գլխուղեղային հիվանդությունները (կաթված) մեծահասակների մոտ(≥25),2.0
2020,"100,000 բնակչի հաշվով",Male,Գլխուղեղային հիվանդությունները (կաթված) մեծահասակների մոտ(≥25),2.6
2020,"100,000 բնակչի հաշվով",Total,Սուր շնչառական վարակները մինչև 5 տ. Երեխաների շրջանում (<5),0.2
2020,"100,000 բնակչի հաշվով",Female,Սուր շնչառական վարակները մինչև 5 տ. Երեխաների շրջանում (<5),0.1
2020,"100,000 բնակչի հաշվով",Male,Սուր շնչառական վարակները մինչև 5 տ. Երեխաների շրջանում (<5),0.2
2020,"100,000 բնակչի հաշվով",Total,Թոքերի քրոնիկ  օբստրուկտիվ հիվանդություն մեծահասակների շրջանում (≥25),5.4
2020,"100,000 բնակչի հաշվով",Female,Թոքերի քրոնիկ  օբստրուկտիվ հիվանդություն մեծահասակների շրջանում (≥25),3.9
2020,"100,000 բնակչի հաշվով",Male,Թոքերի քրոնիկ  օբստրուկտիվ հիվանդություն մեծահասակների շրջանում (≥25),7.1
2021,"100,000 բնակչի հաշվով",Total,Թոքերի  չարորակ նորագոյացություն մեծահասակների մոտ  (≥25),18.5
2021,"100,000 բնակչի հաշվով",Female,Թոքերի  չարորակ նորագոյացություն մեծահասակների մոտ  (≥25),7.5
2021,"100,000 բնակչի հաշվով",Male,Թոքերի  չարորակ նորագոյացություն մեծահասակների մոտ  (≥25),30.8
2021,"100,000 բնակչի հաշվով",Total,Սրտի իշեմիկ հիվանդություններ մեծահասակների մոտ (≥25),86.9
2021,"100,000 բնակչի հաշվով",Female,Սրտի իշեմիկ հիվանդություններ մեծահասակների մոտ (≥25),79.7
2021,"100,000 բնակչի հաշվով",Male,Սրտի իշեմիկ հիվանդություններ մեծահասակների մոտ (≥25),95.0
2021,"100,000 բնակչի հաշվով",Total,Գլխուղեղային հիվանդությունները (կաթված) մեծահասակների մոտ(≥25),2.3
2021,"100,000 բնակչի հաշվով",Female,Գլխուղեղային հիվանդությունները (կաթված) մեծահասակների մոտ(≥25),1.9
2021,"100,000 բնակչի հաշվով",Male,Գլխուղեղային հիվանդությունները (կաթված) մեծահասակների մոտ(≥25),2.9
2021,"100,000 բնակչի հաշվով",Total,Սուր շնչառական վարակները մինչև 5 տ. Երեխաների շրջանում (<5),0.2
2021,"100,000 բնակչի հաշվով",Female,Սուր շնչառական վարակները մինչև 5 տ. Երեխաների շրջանում (<5),0.3
2021,"100,000 բնակչի հաշվով",Male,Սուր շնչառական վարակները մինչև 5 տ. Երեխաների շրջանում (<5),0.1
2021,"100,000 բնակչի հաշվով",Total,Թոքերի քրոնիկ  օբստրուկտիվ հիվանդություն մեծահասակների շրջանում (≥25),4.1
2021,"100,000 բնակչի հաշվով",Female,Թոքերի քրոնիկ  օբստրուկտիվ հիվանդություն մեծահասակների շրջանում (≥25),3.1
2021,"100,000 բնակչի հաշվով",Male,Թոքերի քրոնիկ  օբստրուկտիվ հիվանդություն մեծահասակների շրջանում (≥25),5.3
2022,"100,000 բնակչի հաշվով",Total,Թոքերի  չարորակ նորագոյացություն մեծահասակների մոտ  (≥25),17.8
2022,"100,000 բնակչի հաշվով",Female,Թոքերի  չարորակ նորագոյացություն մեծահասակների մոտ  (≥25),6.3
2022,"100,000 բնակչի հաշվով",Male,Թոքերի  չարորակ նորագոյացություն մեծահասակների մոտ  (≥25),30.6
2022,"100,000 բնակչի հաշվով",Total,Սրտի իշեմիկ հիվանդություններ մեծահասակների մոտ (≥25),76.6
2022,"100,000 բնակչի հաշվով",Female,Սրտի իշեմիկ հիվանդություններ մեծահասակների մոտ (≥25),70.2
2022,"100,000 բնակչի հաշվով",Male,Սրտի իշեմիկ հիվանդություններ մեծահասակների մոտ (≥25),83.7
2022,"100,000 բնակչի հաշվով",Total,Գլխուղեղային հիվանդությունները (կաթված) մեծահասակների մոտ(≥25),2.1
2022,"100,000 բնակչի հաշվով",Female,Գլխուղեղային հիվանդությունները (կաթված) մեծահասակների մոտ(≥25),1.8
2022,"100,000 բնակչի հաշվով",Male,Գլխուղեղային հիվանդությունները (կաթված) մեծահասակների մոտ(≥25),2.5
2022,"100,000 բնակչի հաշվով",Total,Սուր շնչառական վարակները մինչև 5 տ. Երեխաների շրջանում (<5),0.1
2022,"100,000 բնակչի հաշվով",Female,Սուր շնչառական վարակները մինչև 5 տ. Երեխաների շրջանում (<5),0.1
2022,"100,000 բնակչի հաշվով",Male,Սուր շնչառական վարակները մինչև 5 տ. Երեխաների շրջանում (<5),0.2
2022,"100,000 բնակչի հաշվով",Total,Թոքերի քրոնիկ  օբստրուկտիվ հիվանդություն մեծահասակների շրջանում (≥25),4.0
2022,"100,000 բնակչի հաշվով",Female,Թոքերի քրոնիկ  օբստրուկտիվ հիվանդություն մեծահասակների շրջանում (≥25),2.8
2022,"100,000 բնակչի հաշվով",Male,Թոքերի քրոնիկ  օբստրուկտիվ հիվանդություն մեծահասակների շրջանում (≥25),5.4
2023,"100,000 բնակչի հաշվով",Total,Թոքերի  չարորակ նորագոյացություն մեծահասակների մոտ  (≥25),18.0
2023,"100,000 բնակչի հաշվով",Female,Թոքերի  չարորակ նորագոյացություն մեծահասակների մոտ  (≥25),7.0
2023,"100,000 բնակչի հաշվով",Male,Թոքերի  չարորակ նորագոյացություն մեծահասակների մոտ  (≥25),30.2
2023,"100,000 բնակչի հաշվով",Total,Սրտի իշեմիկ հիվանդություններ մեծահասակների մոտ (≥25),58.2
2023,"100,000 բնակչի հաշվով",Female,Սրտի իշեմիկ հիվանդություններ մեծահասակների մոտ (≥25),41.2
2023,"100,000 բնակչի հաշվով",Male,Սրտի իշեմիկ հիվանդություններ մեծահասակների մոտ (≥25),77.1
2023,"100,000 բնակչի հաշվով",Total,Գլխուղեղային հիվանդությունները (կաթված) մեծահասակների մոտ(≥25),2.2
2023,"100,000 բնակչի հաշվով",Female,Գլխուղեղային հիվանդությունները (կաթված) մեծահասակների մոտ(≥25),2.1
2023,"100,000 բնակչի հաշվով",Male,Գլխուղեղային հիվանդությունները (կաթված) մեծահասակների մոտ(≥25),2.4
2023,"100,000 բնակչի հաշվով",Total,Սուր շնչառական վարակները մինչև 5 տ. Երեխաների շրջանում (<5),0.1
2023,"100,000 բնակչի հաշվով",Female,Սուր շնչառական վարակները մինչև 5 տ. Երեխաների շրջանում (<5),0.1
2023,"100,000 բնակչի հաշվով",Male,Սուր շնչառական վարակները մինչև 5 տ. Երեխաների շրջանում (<5),0.1
2023,"100,000 բնակչի հաշվով",Total,Թոքերի քրոնիկ  օբստրուկտիվ հիվանդություն մեծահասակների շրջանում (≥25),4.4
2023,"100,000 բնակչի հաշվով",Female,Թոքերի քրոնիկ  օբստրուկտիվ հիվանդություն մեծահասակների շրջանում (≥25),3.2
2023,"100,000 բնակչի հաշվով",Male,Թոքերի քրոնիկ  օբստրուկտիվ հիվանդություն մեծահասակների շրջանում (≥25),5.7
2015,"100,000 բնակչի հաշվով",Total,SDG 3.9.1,131.3
2015,"100,000 բնակչի հաշվով",Female,SDG 3.9.1,113.1
2015,"100,000 բնակչի հաշվով",Male,SDG 3.9.1,151.3
2016,"100,000 բնակչի հաշվով",Total,SDG 3.9.1,270.9
2016,"100,000 բնակչի հաշվով",Female,SDG 3.9.1,120.0
2016,"100,000 բնակչի հաշվով",Male,SDG 3.9.1,150.9
2017,"100,000 բնակչի հաշվով",Total,SDG 3.9.1,119.2
2017,"100,000 բնակչի հաշվով",Female,SDG 3.9.1,102.3
2017,"100,000 բնակչի հաշվով",Male,SDG 3.9.1,137.9
2018,"100,000 բնակչի հաշվով",Total,SDG 3.9.1,96.2
2018,"100,000 բնակչի հաշվով",Female,SDG 3.9.1,78.0
2018,"100,000 բնակչի հաշվով",Male,SDG 3.9.1,116.5
2019,"100,000 բնակչի հաշվով",Total,SDG 3.9.1,93.9
2019,"100,000 բնակչի հաշվով",Female,SDG 3.9.1,73.6
2019,"100,000 բնակչի հաշվով",Male,SDG 3.9.1,116.6
2020,"100,000 բնակչի հաշվով",Total,SDG 3.9.1,121.1
2020,"100,000 բնակչի հաշվով",Female,SDG 3.9.1,97.9
2020,"100,000 բնակչի հաշվով",Male,SDG 3.9.1,147.1
2021,"100,000 բնակչի հաշվով",Total,SDG 3.9.1,112.1
2021,"100,000 բնակչի հաշվով",Female,SDG 3.9.1,92.5
2021,"100,000 բնակչի հաշվով",Male,SDG 3.9.1,134.0
2022,"100,000 բնակչի հաշվով",Total,SDG 3.9.1,100.6
2022,"100,000 բնակչի հաշվով",Female,SDG 3.9.1,81.2
2022,"100,000 բնակչի հաշվով",Male,SDG 3.9.1,122.4
2023,"100,000 բնակչի հաշվով",Total,SDG 3.9.1,82.8
2023,"100,000 բնակչի հաշվով",Female,SDG 3.9.1,53.6
2023,"100,000 բնակչի հաշվով",Male,SDG 3.9.1,115.5
