Year,Units,Пол,Категория,Value
2017,"на 100,000 населения",женщина,Цереброваскулярные заболевания (инсульт) у взрослых (старше 25 лет),9.8
2017,"на 100,000 населения",мужчина,Цереброваскулярные заболевания (инсульт) у взрослых (старше 25 лет),8.6
2017,"на 100,000 населения",всего,Острые респираторные инфекции у детей младшего возраста (младше 5 лет),0.1
2017,"на 100,000 населения",женщина,Острые респираторные инфекции у детей младшего возраста (младше 5 лет),0.0
2017,"на 100,000 населения",мужчина,Острые респираторные инфекции у детей младшего возраста (младше 5 лет),0.2
2017,"на 100,000 населения",всего,Хроническая обструктивная болезнь легких (ХОБЛ) у взрослых (старше 25 лет),7.9
2017,"на 100,000 населения",женщина,Хроническая обструктивная болезнь легких (ХОБЛ) у взрослых (старше 25 лет),6.5
2017,"на 100,000 населения",мужчина,Хроническая обструктивная болезнь легких (ХОБЛ) у взрослых (старше 25 лет),9.4
2018,"на 100,000 населения",всего,Злокачественные новообразования легких (старше 25 лет),15.9
2018,"на 100,000 населения",женщина,Злокачественные новообразования легких (старше 25 лет),5.8
2018,"на 100,000 населения",мужчина,Злокачественные новообразования легких (старше 25 лет),27.1
2018,"на 100,000 населения",всего,Ишемическая болезнь сердца (ИБС) у взрослых (старше 25 лет),68.2
2018,"на 100,000 населения",женщина,Ишемическая болезнь сердца (ИБС) у взрослых (старше 25 лет),61.5
2018,"на 100,000 населения",мужчина,Ишемическая болезнь сердца (ИБС) у взрослых (старше 25 лет),75.7
2018,"на 100,000 населения",всего,Цереброваскулярные заболевания (инсульт) у взрослых (старше 25 лет),7.2
2018,"на 100,000 населения",женщина,Цереброваскулярные заболевания (инсульт) у взрослых (старше 25 лет),7.4
2018,"на 100,000 населения",мужчина,Цереброваскулярные заболевания (инсульт) у взрослых (старше 25 лет),7.0
2018,"на 100,000 населения",всего,Острые респираторные инфекции у детей младшего возраста (младше 5 лет),0.0
2018,"на 100,000 населения",женщина,Острые респираторные инфекции у детей младшего возраста (младше 5 лет),0.0
2018,"на 100,000 населения",мужчина,Острые респираторные инфекции у детей младшего возраста (младше 5 лет),0.0
2018,"на 100,000 населения",всего,Хроническая обструктивная болезнь легких (ХОБЛ) у взрослых (старше 25 лет),4.8
2018,"на 100,000 населения",женщина,Хроническая обструктивная болезнь легких (ХОБЛ) у взрослых (старше 25 лет),3.2
2018,"на 100,000 населения",мужчина,Хроническая обструктивная болезнь легких (ХОБЛ) у взрослых (старше 25 лет),6.6
2019,"на 100,000 населения",всего,Злокачественные новообразования легких (старше 25 лет),18.7
2019,"на 100,000 населения",женщина,Злокачественные новообразования легких (старше 25 лет),7.2
2019,"на 100,000 населения",мужчина,Злокачественные новообразования легких (старше 25 лет),31.6
2019,"на 100,000 населения",всего,Ишемическая болезнь сердца (ИБС) у взрослых (старше 25 лет),68.7
2019,"на 100,000 населения",женщина,Ишемическая болезнь сердца (ИБС) у взрослых (старше 25 лет),61.5
2019,"на 100,000 населения",мужчина,Ишемическая болезнь сердца (ИБС) у взрослых (старше 25 лет),76.8
2019,"на 100,000 населения",всего,Цереброваскулярные заболевания (инсульт) у взрослых (старше 25 лет),2.1
2019,"на 100,000 населения",женщина,Цереброваскулярные заболевания (инсульт) у взрослых (старше 25 лет),1.8
2019,"на 100,000 населения",мужчина,Цереброваскулярные заболевания (инсульт) у взрослых (старше 25 лет),2.5
2019,"на 100,000 населения",всего,Острые респираторные инфекции у детей младшего возраста (младше 5 лет),0.0
2019,"на 100,000 населения",женщина,Острые респираторные инфекции у детей младшего возраста (младше 5 лет),0.0
2019,"на 100,000 населения",мужчина,Острые респираторные инфекции у детей младшего возраста (младше 5 лет),0.0
2019,"на 100,000 населения",всего,Хроническая обструктивная болезнь легких (ХОБЛ) у взрослых (старше 25 лет),4.3
2019,"на 100,000 населения",женщина,Хроническая обструктивная болезнь легких (ХОБЛ) у взрослых (старше 25 лет),3.0
2019,"на 100,000 населения",мужчина,Хроническая обструктивная болезнь легких (ХОБЛ) у взрослых (старше 25 лет),5.7
2020,"на 100,000 населения",всего,Злокачественные новообразования легких (старше 25 лет),19.6
2020,"на 100,000 населения",женщина,Злокачественные новообразования легких (старше 25 лет),8.6
2020,"на 100,000 населения",мужчина,Злокачественные новообразования легких (старше 25 лет),31.9
2020,"на 100,000 населения",всего,Ишемическая болезнь сердца (ИБС) у взрослых (старше 25 лет),93.7
2020,"на 100,000 населения",женщина,Ишемическая болезнь сердца (ИБС) у взрослых (старше 25 лет),83.2
2020,"на 100,000 населения",мужчина,Ишемическая болезнь сердца (ИБС) у взрослых (старше 25 лет),105.3
2020,"на 100,000 населения",всего,Цереброваскулярные заболевания (инсульт) у взрослых (старше 25 лет),2.3
2020,"на 100,000 населения",женщина,Цереброваскулярные заболевания (инсульт) у взрослых (старше 25 лет),2.0
2020,"на 100,000 населения",мужчина,Цереброваскулярные заболевания (инсульт) у взрослых (старше 25 лет),2.6
2020,"на 100,000 населения",всего,Острые респираторные инфекции у детей младшего возраста (младше 5 лет),0.2
2020,"на 100,000 населения",женщина,Острые респираторные инфекции у детей младшего возраста (младше 5 лет),0.1
2020,"на 100,000 населения",мужчина,Острые респираторные инфекции у детей младшего возраста (младше 5 лет),0.2
2020,"на 100,000 населения",всего,Хроническая обструктивная болезнь легких (ХОБЛ) у взрослых (старше 25 лет),5.4
2020,"на 100,000 населения",женщина,Хроническая обструктивная болезнь легких (ХОБЛ) у взрослых (старше 25 лет),3.9
2020,"на 100,000 населения",мужчина,Хроническая обструктивная болезнь легких (ХОБЛ) у взрослых (старше 25 лет),7.1
2021,"на 100,000 населения",всего,Злокачественные новообразования легких (старше 25 лет),18.5
2021,"на 100,000 населения",женщина,Злокачественные новообразования легких (старше 25 лет),7.5
2021,"на 100,000 населения",мужчина,Злокачественные новообразования легких (старше 25 лет),30.8
2021,"на 100,000 населения",всего,Ишемическая болезнь сердца (ИБС) у взрослых (старше 25 лет),86.9
2021,"на 100,000 населения",женщина,Ишемическая болезнь сердца (ИБС) у взрослых (старше 25 лет),79.7
2021,"на 100,000 населения",мужчина,Ишемическая болезнь сердца (ИБС) у взрослых (старше 25 лет),95.0
2021,"на 100,000 населения",всего,Цереброваскулярные заболевания (инсульт) у взрослых (старше 25 лет),2.3
2021,"на 100,000 населения",женщина,Цереброваскулярные заболевания (инсульт) у взрослых (старше 25 лет),1.9
2021,"на 100,000 населения",мужчина,Цереброваскулярные заболевания (инсульт) у взрослых (старше 25 лет),2.9
2021,"на 100,000 населения",всего,Острые респираторные инфекции у детей младшего возраста (младше 5 лет),0.2
2021,"на 100,000 населения",женщина,Острые респираторные инфекции у детей младшего возраста (младше 5 лет),0.3
2021,"на 100,000 населения",мужчина,Острые респираторные инфекции у детей младшего возраста (младше 5 лет),0.1
2021,"на 100,000 населения",всего,Хроническая обструктивная болезнь легких (ХОБЛ) у взрослых (старше 25 лет),4.1
2021,"на 100,000 населения",женщина,Хроническая обструктивная болезнь легких (ХОБЛ) у взрослых (старше 25 лет),3.1
2021,"на 100,000 населения",мужчина,Хроническая обструктивная болезнь легких (ХОБЛ) у взрослых (старше 25 лет),5.3
2022,"на 100,000 населения",всего,Злокачественные новообразования легких (старше 25 лет),17.8
2022,"на 100,000 населения",женщина,Злокачественные новообразования легких (старше 25 лет),6.3
2022,"на 100,000 населения",мужчина,Злокачественные новообразования легких (старше 25 лет),30.6
2022,"на 100,000 населения",всего,Ишемическая болезнь сердца (ИБС) у взрослых (старше 25 лет),76.6
2022,"на 100,000 населения",женщина,Ишемическая болезнь сердца (ИБС) у взрослых (старше 25 лет),70.2
2022,"на 100,000 населения",мужчина,Ишемическая болезнь сердца (ИБС) у взрослых (старше 25 лет),83.7
2022,"на 100,000 населения",всего,Цереброваскулярные заболевания (инсульт) у взрослых (старше 25 лет),2.1
2022,"на 100,000 населения",женщина,Цереброваскулярные заболевания (инсульт) у взрослых (старше 25 лет),1.8
2022,"на 100,000 населения",мужчина,Цереброваскулярные заболевания (инсульт) у взрослых (старше 25 лет),2.5
2022,"на 100,000 населения",всего,Острые респираторные инфекции у детей младшего возраста (младше 5 лет),0.1
2022,"на 100,000 населения",женщина,Острые респираторные инфекции у детей младшего возраста (младше 5 лет),0.1
2022,"на 100,000 населения",мужчина,Острые респираторные инфекции у детей младшего возраста (младше 5 лет),0.2
2022,"на 100,000 населения",всего,Хроническая обструктивная болезнь легких (ХОБЛ) у взрослых (старше 25 лет),4.0
2022,"на 100,000 населения",женщина,Хроническая обструктивная болезнь легких (ХОБЛ) у взрослых (старше 25 лет),2.8
2022,"на 100,000 населения",мужчина,Хроническая обструктивная болезнь легких (ХОБЛ) у взрослых (старше 25 лет),5.4
2023,"на 100,000 населения",всего,Злокачественные новообразования легких (старше 25 лет),18.0
2023,"на 100,000 населения",женщина,Злокачественные новообразования легких (старше 25 лет),7.0
2023,"на 100,000 населения",мужчина,Злокачественные новообразования легких (старше 25 лет),30.2
2023,"на 100,000 населения",всего,Ишемическая болезнь сердца (ИБС) у взрослых (старше 25 лет),58.2
2023,"на 100,000 населения",женщина,Ишемическая болезнь сердца (ИБС) у взрослых (старше 25 лет),41.2
2023,"на 100,000 населения",мужчина,Ишемическая болезнь сердца (ИБС) у взрослых (старше 25 лет),77.1
2023,"на 100,000 населения",всего,Цереброваскулярные заболевания (инсульт) у взрослых (старше 25 лет),2.2
2023,"на 100,000 населения",женщина,Цереброваскулярные заболевания (инсульт) у взрослых (старше 25 лет),2.1
2023,"на 100,000 населения",мужчина,Цереброваскулярные заболевания (инсульт) у взрослых (старше 25 лет),2.4
2023,"на 100,000 населения",всего,Острые респираторные инфекции у детей младшего возраста (младше 5 лет),0.1
2023,"на 100,000 населения",женщина,Острые респираторные инфекции у детей младшего возраста (младше 5 лет),0.1
2023,"на 100,000 населения",мужчина,Острые респираторные инфекции у детей младшего возраста (младше 5 лет),0.1
2023,"на 100,000 населения",всего,Хроническая обструктивная болезнь легких (ХОБЛ) у взрослых (старше 25 лет),4.4
2023,"на 100,000 населения",женщина,Хроническая обструктивная болезнь легких (ХОБЛ) у взрослых (старше 25 лет),3.2
2023,"на 100,000 населения",мужчина,Хроническая обструктивная болезнь легких (ХОБЛ) у взрослых (старше 25 лет),5.7
2015,"на 100,000 населения",всего,SDG 3.9.1,131.3
2015,"на 100,000 населения",женщина,SDG 3.9.1,113.1
2015,"на 100,000 населения",мужчина,SDG 3.9.1,151.3
2016,"на 100,000 населения",всего,SDG 3.9.1,270.9
2016,"на 100,000 населения",женщина,SDG 3.9.1,120.0
2016,"на 100,000 населения",мужчина,SDG 3.9.1,150.9
2017,"на 100,000 населения",всего,SDG 3.9.1,119.2
2017,"на 100,000 населения",женщина,SDG 3.9.1,102.3
2017,"на 100,000 населения",мужчина,SDG 3.9.1,137.9
2018,"на 100,000 населения",всего,SDG 3.9.1,96.2
2018,"на 100,000 населения",женщина,SDG 3.9.1,78.0
2018,"на 100,000 населения",мужчина,SDG 3.9.1,116.5
2019,"на 100,000 населения",всего,SDG 3.9.1,93.9
2019,"на 100,000 населения",женщина,SDG 3.9.1,73.6
2019,"на 100,000 населения",мужчина,SDG 3.9.1,116.6
2020,"на 100,000 населения",всего,SDG 3.9.1,121.1
2020,"на 100,000 населения",женщина,SDG 3.9.1,97.9
2020,"на 100,000 населения",мужчина,SDG 3.9.1,147.1
2021,"на 100,000 населения",всего,SDG 3.9.1,112.1
2021,"на 100,000 населения",женщина,SDG 3.9.1,92.5
2021,"на 100,000 населения",мужчина,SDG 3.9.1,134.0
2022,"на 100,000 населения",всего,SDG 3.9.1,100.6
2022,"на 100,000 населения",женщина,SDG 3.9.1,81.2
2022,"на 100,000 населения",мужчина,SDG 3.9.1,122.4
2023,"на 100,000 населения",всего,SDG 3.9.1,82.8
2023,"на 100,000 населения",женщина,SDG 3.9.1,53.6
2023,"на 100,000 населения",мужчина,SDG 3.9.1,115.5
2024,"на 100,000 населения",всего,Злокачественные новообразования легких (старше 25 лет),18.2
2024,"на 100,000 населения",женщина,Злокачественные новообразования легких (старше 25 лет),7.2
2024,"на 100,000 населения",мужчина,Злокачественные новообразования легких (старше 25 лет),30.5
2024,"на 100,000 населения",всего,Ишемическая болезнь сердца (ИБС) у взрослых (старше 25 лет),69.8
2024,"на 100,000 населения",женщина,Ишемическая болезнь сердца (ИБС) у взрослых (старше 25 лет),62.2
2024,"на 100,000 населения",мужчина,Ишемическая болезнь сердца (ИБС) у взрослых (старше 25 лет),78.2
2024,"на 100,000 населения",всего,Цереброваскулярные заболевания (инсульт) у взрослых (старше 25 лет),2.7
2024,"на 100,000 населения",женщина,Цереброваскулярные заболевания (инсульт) у взрослых (старше 25 лет),2.4
2024,"на 100,000 населения",мужчина,Цереброваскулярные заболевания (инсульт) у взрослых (старше 25 лет),3.1
2024,"на 100,000 населения",всего,Острые респираторные инфекции у детей младшего возраста (младше 5 лет),0.0
2024,"на 100,000 населения",женщина,Острые респираторные инфекции у детей младшего возраста (младше 5 лет),0.0
2024,"на 100,000 населения",мужчина,Острые респираторные инфекции у детей младшего возраста (младше 5 лет),0.0
2024,"на 100,000 населения",всего,Хроническая обструктивная болезнь легких (ХОБЛ) у взрослых (старше 25 лет),3.4
2024,"на 100,000 населения",женщина,Хроническая обструктивная болезнь легких (ХОБЛ) у взрослых (старше 25 лет),1.8
2024,"на 100,000 населения",мужчина,Хроническая обструктивная болезнь легких (ХОБЛ) у взрослых (старше 25 лет),5.1
2024,"на 100,000 населения",всего,SDG 3.9.1,94.1
2024,"на 100,000 населения",женщина,SDG 3.9.1,73.6
2024,"на 100,000 населения",мужчина,SDG 3.9.1,116.9
