Year,Units,Սեռ,Տարիք,Value
2021,per 100 000 population,կին,15-34 տարեկան,0.0
2021,per 100 000 population,կին,35-59 տարեկան,0.2
2021,per 100 000 population,կին,60 և բարձր,1.2
2022,per 100 000 population,ընդամենը,15-34 տարեկան,2.9
2022,per 100 000 population,ընդամենը,35-59 տարեկան,1.1
2022,per 100 000 population,ընդամենը,60 և բարձր,1.2
2022,per 100 000 population,տղամարդ,15-34 տարեկան,5.0
2022,per 100 000 population,տղամարդ,35-59 տարեկան,1.8
2022,per 100 000 population,տղամարդ,60 և բարձր,1.2
2022,per 100 000 population,կին,15-34 տարեկան,0.8
2022,per 100 000 population,կին,35-59 տարեկան,0.6
2022,per 100 000 population,կին,60 և բարձր,1.1
2023,per 100 000 population,ընդամենը,15-34 տարեկան,0.4
2023,per 100 000 population,ընդամենը,35-59 տարեկան,1.4
2023,per 100 000 population,ընդամենը,60 և բարձր,0.1
2023,per 100 000 population,տղամարդ,15-34 տարեկան,0.5
2023,per 100 000 population,տղամարդ,35-59 տարեկան,2.7
2023,per 100 000 population,տղամարդ,60 և բարձր,0.0
2023,per 100 000 population,կին,15-34 տարեկան,0.3
2023,per 100 000 population,կին,35-59 տարեկան,0.2
2023,per 100 000 population,կին,60 և բարձր,0.2
2024,per 100 000 population,ընդամենը,15-34 տարեկան,1.1
2024,per 100 000 population,ընդամենը,35-59 տարեկան,0.7
2024,per 100 000 population,ընդամենը,60 և բարձր,0.5
2024,per 100 000 population,տղամարդ,15-34 տարեկան,2.1
2024,per 100 000 population,տղամարդ,35-59 տարեկան,1.3
2024,per 100 000 population,տղամարդ,60 և բարձր,1.3
2024,per 100 000 population,կին,15-34 տարեկան,0.0
2024,per 100 000 population,կին,35-59 տարեկան,0.2
2024,per 100 000 population,կին,60 և բարձր,0.0
2015,per 100 000 population,ընդամենը,,1.6
2015,per 100 000 population,տղամարդ,,2.2
2015,per 100 000 population,կին,,1.0
2016,per 100 000 population,ընդամենը,,1.4
2016,per 100 000 population,տղամարդ,,2.3
2016,per 100 000 population,կին,,0.6
2017,per 100 000 population,ընդամենը,,1.6
2017,per 100 000 population,տղամարդ,,2.8
2017,per 100 000 population,կին,,0.5
2018,per 100 000 population,ընդամենը,,0.4
2018,per 100 000 population,տղամարդ,,0.7
2018,per 100 000 population,կին,,0.1
2019,per 100 000 population,ընդամենը,,1.0
2019,per 100 000 population,տղամարդ,,1.9
2019,per 100 000 population,կին,,0.3
2020,per 100 000 population,ընդամենը,,0.8
2020,per 100 000 population,տղամարդ,,1.5
2020,per 100 000 population,կին,,0.2
2021,per 100 000 population,ընդամենը,,0.9
2021,per 100 000 population,տղամարդ,,1.5
2021,per 100 000 population,կին,,0.4
2022,per 100 000 population,ընդամենը,,1.7
2022,per 100 000 population,տղամարդ,,2.9
2022,per 100 000 population,կին,,0.8
2023,per 100 000 population,ընդամենը,,0.7
2023,per 100 000 population,տղամարդ,,1.3
2023,per 100 000 population,կին,,0.2
2024,per 100 000 population,ընդամենը,,0.8
2024,per 100 000 population,տղամարդ,,1.6
2024,per 100 000 population,կին,,0.1
