Year,Units,Sex,Category,Value
2018,per 100000 population,male,Lung cancer in adults (estimated above 25 years),27.1
2018,per 100000 population,total,Ischaemic heart diseases (IHD) in adults (estimated above 25 years),68.2
2018,per 100000 population,female,Ischaemic heart diseases (IHD) in adults (estimated above 25 years),61.5
2018,per 100000 population,male,Ischaemic heart diseases (IHD) in adults (estimated above 25 years),75.7
2018,per 100000 population,total,Cerebrovascular (stroke) in adults (estimated above 25 years),7.2
2018,per 100000 population,female,Cerebrovascular (stroke) in adults (estimated above 25 years),7.4
2018,per 100000 population,male,Cerebrovascular (stroke) in adults (estimated above 25 years),7.0
2018,per 100000 population,total,Acute  respiratory infections in young children  (estimated under 5 years of age),0.0
2018,per 100000 population,female,Acute  respiratory infections in young children  (estimated under 5 years of age),0.0
2018,per 100000 population,male,Acute  respiratory infections in young children  (estimated under 5 years of age),0.0
2018,per 100000 population,total,Chronic obstructive pulmonary disease (COPD) in adults (estimated above 25 years),4.8
2018,per 100000 population,female,Chronic obstructive pulmonary disease (COPD) in adults (estimated above 25 years),3.2
2018,per 100000 population,male,Chronic obstructive pulmonary disease (COPD) in adults (estimated above 25 years),6.6
2019,per 100000 population,total,Lung cancer in adults (estimated above 25 years),18.7
2019,per 100000 population,female,Lung cancer in adults (estimated above 25 years),7.2
2019,per 100000 population,male,Lung cancer in adults (estimated above 25 years),31.6
2019,per 100000 population,total,Ischaemic heart diseases (IHD) in adults (estimated above 25 years),68.7
2019,per 100000 population,female,Ischaemic heart diseases (IHD) in adults (estimated above 25 years),61.5
2019,per 100000 population,male,Ischaemic heart diseases (IHD) in adults (estimated above 25 years),76.8
2019,per 100000 population,total,Cerebrovascular (stroke) in adults (estimated above 25 years),2.1
2019,per 100000 population,female,Cerebrovascular (stroke) in adults (estimated above 25 years),1.8
2019,per 100000 population,male,Cerebrovascular (stroke) in adults (estimated above 25 years),2.5
2019,per 100000 population,total,Acute  respiratory infections in young children  (estimated under 5 years of age),0.0
2019,per 100000 population,female,Acute  respiratory infections in young children  (estimated under 5 years of age),0.0
2019,per 100000 population,male,Acute  respiratory infections in young children  (estimated under 5 years of age),0.0
2019,per 100000 population,total,Chronic obstructive pulmonary disease (COPD) in adults (estimated above 25 years),4.3
2019,per 100000 population,female,Chronic obstructive pulmonary disease (COPD) in adults (estimated above 25 years),3.0
2019,per 100000 population,male,Chronic obstructive pulmonary disease (COPD) in adults (estimated above 25 years),5.7
2020,per 100000 population,total,Lung cancer in adults (estimated above 25 years),19.6
2020,per 100000 population,female,Lung cancer in adults (estimated above 25 years),8.6
2020,per 100000 population,male,Lung cancer in adults (estimated above 25 years),31.9
2020,per 100000 population,total,Ischaemic heart diseases (IHD) in adults (estimated above 25 years),93.7
2020,per 100000 population,female,Ischaemic heart diseases (IHD) in adults (estimated above 25 years),83.2
2020,per 100000 population,male,Ischaemic heart diseases (IHD) in adults (estimated above 25 years),105.3
2020,per 100000 population,total,Cerebrovascular (stroke) in adults (estimated above 25 years),2.3
2020,per 100000 population,female,Cerebrovascular (stroke) in adults (estimated above 25 years),2.0
2020,per 100000 population,male,Cerebrovascular (stroke) in adults (estimated above 25 years),2.6
2020,per 100000 population,total,Acute  respiratory infections in young children  (estimated under 5 years of age),0.2
2020,per 100000 population,female,Acute  respiratory infections in young children  (estimated under 5 years of age),0.1
2020,per 100000 population,male,Acute  respiratory infections in young children  (estimated under 5 years of age),0.2
2020,per 100000 population,total,Chronic obstructive pulmonary disease (COPD) in adults (estimated above 25 years),5.4
2020,per 100000 population,female,Chronic obstructive pulmonary disease (COPD) in adults (estimated above 25 years),3.9
2020,per 100000 population,male,Chronic obstructive pulmonary disease (COPD) in adults (estimated above 25 years),7.1
2021,per 100000 population,total,Lung cancer in adults (estimated above 25 years),18.5
2021,per 100000 population,female,Lung cancer in adults (estimated above 25 years),7.5
2021,per 100000 population,male,Lung cancer in adults (estimated above 25 years),30.8
2021,per 100000 population,total,Ischaemic heart diseases (IHD) in adults (estimated above 25 years),86.9
2021,per 100000 population,female,Ischaemic heart diseases (IHD) in adults (estimated above 25 years),79.7
2021,per 100000 population,male,Ischaemic heart diseases (IHD) in adults (estimated above 25 years),95.0
2021,per 100000 population,total,Cerebrovascular (stroke) in adults (estimated above 25 years),2.3
2021,per 100000 population,female,Cerebrovascular (stroke) in adults (estimated above 25 years),1.9
2021,per 100000 population,male,Cerebrovascular (stroke) in adults (estimated above 25 years),2.9
2021,per 100000 population,total,Acute  respiratory infections in young children  (estimated under 5 years of age),0.2
2021,per 100000 population,female,Acute  respiratory infections in young children  (estimated under 5 years of age),0.3
2021,per 100000 population,male,Acute  respiratory infections in young children  (estimated under 5 years of age),0.1
2021,per 100000 population,total,Chronic obstructive pulmonary disease (COPD) in adults (estimated above 25 years),4.1
2021,per 100000 population,female,Chronic obstructive pulmonary disease (COPD) in adults (estimated above 25 years),3.1
2021,per 100000 population,male,Chronic obstructive pulmonary disease (COPD) in adults (estimated above 25 years),5.3
2022,per 100000 population,total,Lung cancer in adults (estimated above 25 years),17.8
2022,per 100000 population,female,Lung cancer in adults (estimated above 25 years),6.3
2022,per 100000 population,male,Lung cancer in adults (estimated above 25 years),30.6
2022,per 100000 population,total,Ischaemic heart diseases (IHD) in adults (estimated above 25 years),76.6
2022,per 100000 population,female,Ischaemic heart diseases (IHD) in adults (estimated above 25 years),70.2
2022,per 100000 population,male,Ischaemic heart diseases (IHD) in adults (estimated above 25 years),83.7
2022,per 100000 population,total,Cerebrovascular (stroke) in adults (estimated above 25 years),2.1
2022,per 100000 population,female,Cerebrovascular (stroke) in adults (estimated above 25 years),1.8
2022,per 100000 population,male,Cerebrovascular (stroke) in adults (estimated above 25 years),2.5
2022,per 100000 population,total,Acute  respiratory infections in young children  (estimated under 5 years of age),0.1
2022,per 100000 population,female,Acute  respiratory infections in young children  (estimated under 5 years of age),0.1
2022,per 100000 population,male,Acute  respiratory infections in young children  (estimated under 5 years of age),0.2
2022,per 100000 population,total,Chronic obstructive pulmonary disease (COPD) in adults (estimated above 25 years),4.0
2022,per 100000 population,female,Chronic obstructive pulmonary disease (COPD) in adults (estimated above 25 years),2.8
2022,per 100000 population,male,Chronic obstructive pulmonary disease (COPD) in adults (estimated above 25 years),5.4
2023,per 100000 population,total,Lung cancer in adults (estimated above 25 years),18.0
2023,per 100000 population,female,Lung cancer in adults (estimated above 25 years),7.0
2023,per 100000 population,male,Lung cancer in adults (estimated above 25 years),30.2
2023,per 100000 population,total,Ischaemic heart diseases (IHD) in adults (estimated above 25 years),58.2
2023,per 100000 population,female,Ischaemic heart diseases (IHD) in adults (estimated above 25 years),41.2
2023,per 100000 population,male,Ischaemic heart diseases (IHD) in adults (estimated above 25 years),77.1
2023,per 100000 population,total,Cerebrovascular (stroke) in adults (estimated above 25 years),2.2
2023,per 100000 population,female,Cerebrovascular (stroke) in adults (estimated above 25 years),2.1
2023,per 100000 population,male,Cerebrovascular (stroke) in adults (estimated above 25 years),2.4
2023,per 100000 population,total,Acute  respiratory infections in young children  (estimated under 5 years of age),0.1
2023,per 100000 population,female,Acute  respiratory infections in young children  (estimated under 5 years of age),0.1
2023,per 100000 population,male,Acute  respiratory infections in young children  (estimated under 5 years of age),0.1
2023,per 100000 population,total,Chronic obstructive pulmonary disease (COPD) in adults (estimated above 25 years),4.4
2023,per 100000 population,female,Chronic obstructive pulmonary disease (COPD) in adults (estimated above 25 years),3.2
2023,per 100000 population,male,Chronic obstructive pulmonary disease (COPD) in adults (estimated above 25 years),5.7
2015,per 100000 population,total,SDG 3.9.1,131.3
2015,per 100000 population,female,SDG 3.9.1,113.1
2015,per 100000 population,male,SDG 3.9.1,151.3
2016,per 100000 population,total,SDG 3.9.1,270.9
2016,per 100000 population,female,SDG 3.9.1,120.0
2016,per 100000 population,male,SDG 3.9.1,150.9
2017,per 100000 population,total,SDG 3.9.1,119.2
2017,per 100000 population,female,SDG 3.9.1,102.3
2017,per 100000 population,male,SDG 3.9.1,137.9
2018,per 100000 population,total,SDG 3.9.1,96.2
2018,per 100000 population,female,SDG 3.9.1,78.0
2018,per 100000 population,male,SDG 3.9.1,116.5
2019,per 100000 population,total,SDG 3.9.1,93.9
2019,per 100000 population,female,SDG 3.9.1,73.6
2019,per 100000 population,male,SDG 3.9.1,116.6
2020,per 100000 population,total,SDG 3.9.1,121.1
2020,per 100000 population,female,SDG 3.9.1,97.9
2020,per 100000 population,male,SDG 3.9.1,147.1
2021,per 100000 population,total,SDG 3.9.1,112.1
2021,per 100000 population,female,SDG 3.9.1,92.5
2021,per 100000 population,male,SDG 3.9.1,134.0
2022,per 100000 population,total,SDG 3.9.1,100.6
2022,per 100000 population,female,SDG 3.9.1,81.2
2022,per 100000 population,male,SDG 3.9.1,122.4
2023,per 100000 population,total,SDG 3.9.1,82.8
2023,per 100000 population,female,SDG 3.9.1,53.6
2023,per 100000 population,male,SDG 3.9.1,115.5
2024,per 100000 population,total,Lung cancer in adults (estimated above 25 years),18.2
2024,per 100000 population,female,Lung cancer in adults (estimated above 25 years),7.2
2024,per 100000 population,male,Lung cancer in adults (estimated above 25 years),30.5
2024,per 100000 population,total,Ischaemic heart diseases (IHD) in adults (estimated above 25 years),69.8
2024,per 100000 population,female,Ischaemic heart diseases (IHD) in adults (estimated above 25 years),62.2
2024,per 100000 population,male,Ischaemic heart diseases (IHD) in adults (estimated above 25 years),78.2
2024,per 100000 population,total,Cerebrovascular (stroke) in adults (estimated above 25 years),2.7
2024,per 100000 population,female,Cerebrovascular (stroke) in adults (estimated above 25 years),2.4
2024,per 100000 population,male,Cerebrovascular (stroke) in adults (estimated above 25 years),3.1
2024,per 100000 population,total,Acute  respiratory infections in young children  (estimated under 5 years of age),0.0
2024,per 100000 population,female,Acute  respiratory infections in young children  (estimated under 5 years of age),0.0
2024,per 100000 population,male,Acute  respiratory infections in young children  (estimated under 5 years of age),0.0
2024,per 100000 population,total,Chronic obstructive pulmonary disease (COPD) in adults (estimated above 25 years),3.4
2024,per 100000 population,female,Chronic obstructive pulmonary disease (COPD) in adults (estimated above 25 years),1.8
2024,per 100000 population,male,Chronic obstructive pulmonary disease (COPD) in adults (estimated above 25 years),5.1
2024,per 100000 population,total,SDG 3.9.1,94.1
2024,per 100000 population,female,SDG 3.9.1,73.6
2024,per 100000 population,male,SDG 3.9.1,116.9
