Year,Units,education type,Sex,Value
2015,%,middle vocational,,10.9
2016,%,middle vocational,,11.1
2017,%,middle vocational,,11.5
2018,%,middle vocational,,11.7
2019,%,middle vocational,,12.5
2020,%,middle vocational,,13.9
2015,%,middle vocational,male,9.5
2016,%,middle vocational,male,9.8
2017,%,middle vocational,male,10.0
2018,%,middle vocational,male,10.4
2019,%,middle vocational,male,11.2
2020,%,middle vocational,male,12.8
2015,%,middle vocational,female,12.5
2016,%,middle vocational,female,12.5
2017,%,middle vocational,female,13.1
2018,%,middle vocational,female,13.1
2019,%,middle vocational,female,13.9
2020,%,middle vocational,female,15.1
2015,%,"specialized high education, first stage (bachelor's Degree)",,52.9
2016,%,"specialized high education, first stage (bachelor's Degree)",,54.1
2017,%,"specialized high education, first stage (bachelor's Degree)",,56.4
2018,%,"specialized high education, first stage (bachelor's Degree)",,52.2
2019,%,"specialized high education, first stage (bachelor's Degree)",,50.4
2020,%,"specialized high education, first stage (bachelor's Degree)",,54.4
2015,%,"specialized high education, first stage (bachelor's Degree)",male,47.0
2016,%,"specialized high education, first stage (bachelor's Degree)",male,48.6
2017,%,"specialized high education, first stage (bachelor's Degree)",male,51.5
2018,%,"specialized high education, first stage (bachelor's Degree)",male,48.2
2019,%,"specialized high education, first stage (bachelor's Degree)",male,44.8
2020,%,"specialized high education, first stage (bachelor's Degree)",male,48.3
2015,%,"specialized high education, first stage (bachelor's Degree)",female,59.1
2016,%,"specialized high education, first stage (bachelor's Degree)",female,60.0
2017,%,"specialized high education, first stage (bachelor's Degree)",female,61.8
2018,%,"specialized high education, first stage (bachelor's Degree)",female,56.6
2019,%,"specialized high education, first stage (bachelor's Degree)",female,56.6
2020,%,"specialized high education, first stage (bachelor's Degree)",female,61.1
2015,%,"post-graduate education, second stage (master's Degree)",,12.7
2016,%,"post-graduate education, second stage (master's Degree)",,13.1
2017,%,"post-graduate education, second stage (master's Degree)",,14.8
2018,%,"post-graduate education, second stage (master's Degree)",,14.1
2019,%,"post-graduate education, second stage (master's Degree)",,14.6
2020,%,"post-graduate education, second stage (master's Degree)",,15.7
2015,%,"post-graduate education, second stage (master's Degree)",male,9.9
2016,%,"post-graduate education, second stage (master's Degree)",male,10.7
2017,%,"post-graduate education, second stage (master's Degree)",male,9.9
2018,%,"post-graduate education, second stage (master's Degree)",male,8.9
2019,%,"post-graduate education, second stage (master's Degree)",male,9.1
2020,%,"post-graduate education, second stage (master's Degree)",male,9.5
2015,%,"post-graduate education, second stage (master's Degree)",female,15.5
2016,%,"post-graduate education, second stage (master's Degree)",female,15.4
2017,%,"post-graduate education, second stage (master's Degree)",female,19.6
2018,%,"post-graduate education, second stage (master's Degree)",female,19.4
2019,%,"post-graduate education, second stage (master's Degree)",female,20.3
2020,%,"post-graduate education, second stage (master's Degree)",female,22.4
2021,%,secondary,,83.1
2021,%,secondary,male,81.5
2021,%,secondary,female,85.0
2021,%,primary,,93.0
2021,%,primary,male,92.6
2021,%,primary,female,93.5
2021,%,Basic,,91.2
2021,%,Basic,male,90.7
2021,%,Basic,female,91.8
2021,%,high,,55.9
2021,%,high,male,50.8
2021,%,high,female,61.7
2021,%,Preliminary (craftsmenship) vocational education,,6.1
2021,%,Preliminary (craftsmenship) vocational education,male,8.6
2021,%,Preliminary (craftsmenship) vocational education,female,3.2
2021,%,middle vocational,,14.9
2021,%,middle vocational,male,13.8
2021,%,middle vocational,female,16.2
2021,%,"specialized high education, first stage (bachelor's Degree)",,52.8
2021,%,"specialized high education, first stage (bachelor's Degree)",male,45.3
2021,%,"specialized high education, first stage (bachelor's Degree)",female,61.1
2021,%,"post-graduate education, second stage (master's Degree)",,15.3
2021,%,"post-graduate education, second stage (master's Degree)",male,9.7
2021,%,"post-graduate education, second stage (master's Degree)",female,21.4
2022,%,secondary,,82.8
2022,%,secondary,male,81.3
2022,%,secondary,female,84.5
2022,%,primary,,93.9
2022,%,primary,male,93.6
2022,%,primary,female,94.2
2022,%,Basic,,91.5
2022,%,Basic,male,91.1
2022,%,Basic,female,91.9
2022,%,high,,54.0
2022,%,high,male,49.0
2022,%,high,female,59.8
2022,%,Preliminary (craftsmenship) vocational education,,5.6
2022,%,Preliminary (craftsmenship) vocational education,male,8.1
2022,%,Preliminary (craftsmenship) vocational education,female,2.8
2022,%,middle vocational,,15.3
2022,%,middle vocational,male,14.1
2022,%,middle vocational,female,16.7
2022,%,"specialized high education, first stage (bachelor's Degree)",,53.4
2022,%,"specialized high education, first stage (bachelor's Degree)",male,43.9
2022,%,"specialized high education, first stage (bachelor's Degree)",female,64.1
2022,%,"post-graduate education, second stage (master's Degree)",,12.3
2022,%,"post-graduate education, second stage (master's Degree)",male,8.5
2022,%,"post-graduate education, second stage (master's Degree)",female,16.6
2023,%,secondary,,92.7
2023,%,secondary,male,91.2
2023,%,secondary,female,94.5
2023,%,primary,,102.7
2023,%,primary,male,101.9
2023,%,primary,female,103.6
2023,%,Basic,,101.6
2023,%,Basic,male,101.0
2023,%,Basic,female,102.4
2023,%,high,,62.6
2023,%,high,male,57.9
2023,%,high,female,67.7
2023,%,Preliminary (craftsmenship) vocational education,,5.6
2023,%,Preliminary (craftsmenship) vocational education,male,8.1
2023,%,Preliminary (craftsmenship) vocational education,female,2.8
2023,%,middle vocational,,16.8
2023,%,middle vocational,male,15.7
2023,%,middle vocational,female,18.0
2023,%,"vocational higher education, first degree (bachelor's degree)",,55.3
2023,%,"vocational higher education, first degree (bachelor's degree)",male,47.0
2023,%,"vocational higher education, first degree (bachelor's degree)",female,63.7
2023,%,higher Education Second Degree (master's degree),,12.5
2023,%,higher Education Second Degree (master's degree),male,8.2
2023,%,higher Education Second Degree (master's degree),female,16.9
2024,%,secondary,,90.4
2024,%,secondary,male,88.9
2024,%,secondary,female,92.1
2024,%,primary,,102.0
2024,%,primary,male,100.7
2024,%,primary,female,103.4
2024,%,Basic,,99.7
2024,%,Basic,male,99.0
2024,%,Basic,female,100.5
2024,%,high,,60.9
2024,%,high,male,56.6
2024,%,high,female,65.7
2024,%,Preliminary (craftsmenship) vocational education,,7.4
2024,%,Preliminary (craftsmenship) vocational education,male,10.7
2024,%,Preliminary (craftsmenship) vocational education,female,3.7
2024,%,middle vocational,,17.0
2024,%,middle vocational,male,15.6
2024,%,middle vocational,female,18.6
2024,%,"vocational higher education, first degree (bachelor's degree)",,55.6
2024,%,"vocational higher education, first degree (bachelor's degree)",male,47.4
2024,%,"vocational higher education, first degree (bachelor's degree)",female,64.3
2024,%,higher Education Second Degree (master's degree),,14.1
2024,%,higher Education Second Degree (master's degree),male,9.0
2024,%,higher Education Second Degree (master's degree),female,19.2
