Year,Units,Пол,Категория,Возраст,Value
2018,%,женщина,по инвалидности,,3.92
2019,%,женщина,по инвалидности,,3.88
2020,%,женщина,по инвалидности,,3.81
2015,%,,в случае потери кормильца,,0.36
2016,%,,в случае потери кормильца,,0.34
2017,%,,в случае потери кормильца,,0.31
2018,%,,в случае потери кормильца,,0.29
2019,%,,в случае потери кормильца,,0.26
2020,%,,в случае потери кормильца,,0.25
2015,%,мужчина,в случае потери кормильца,,0.21
2016,%,мужчина,в случае потери кормильца,,0.21
2017,%,мужчина,в случае потери кормильца,,0.19
2018,%,мужчина,в случае потери кормильца,,0.18
2019,%,мужчина,в случае потери кормильца,,0.16
2020,%,мужчина,в случае потери кормильца,,0.15
2015,%,женщина,в случае потери кормильца,,0.49
2016,%,женщина,в случае потери кормильца,,0.45
2017,%,женщина,в случае потери кормильца,,0.42
2018,%,женщина,в случае потери кормильца,,0.39
2019,%,женщина,в случае потери кормильца,,0.35
2020,%,женщина,в случае потери кормильца,,0.33
2016,%,,установленные по другим законам,,0.01
2017,%,,установленные по другим законам,,0.02
2018,%,,установленные по другим законам,,0.02
2019,%,,установленные по другим законам,,0.02
2020,%,,установленные по другим законам,,0.02
2016,%,мужчина,установленные по другим законам,,0.01
2017,%,мужчина,установленные по другим законам,,0.04
2018,%,мужчина,установленные по другим законам,,0.04
2019,%,мужчина,установленные по другим законам,,0.04
2020,%,мужчина,установленные по другим законам,,0.05
2016,%,женщина,установленные по другим законам,,0.002
2017,%,женщина,установленные по другим законам,,0.004
2018,%,женщина,установленные по другим законам,,0.004
2019,%,женщина,установленные по другим законам,,0.004
2020,%,женщина,установленные по другим законам,,0.004
2015,%,,связанные с военной службой,,0.08
2016,%,,связанные с военной службой,,0.07
2017,%,,связанные с военной службой,,0.07
2018,%,,связанные с военной службой,,0.06
2019,%,,связанные с военной службой,,0.06
2020,%,,связанные с военной службой,,0.06
2015,%,мужчина,связанные с военной службой,,0.16
2016,%,мужчина,связанные с военной службой,,0.15
2017,%,мужчина,связанные с военной службой,,0.14
2018,%,мужчина,связанные с военной службой,,0.13
2019,%,мужчина,связанные с военной службой,,0.13
2020,%,мужчина,связанные с военной службой,,0.12
2015,%,женщина,связанные с военной службой,,0.002
2016,%,женщина,связанные с военной службой,,0.001
2017,%,женщина,связанные с военной службой,,0.001
2018,%,женщина,связанные с военной службой,,0.001
2019,%,женщина,связанные с военной службой,,0.001
2020,%,женщина,связанные с военной службой,,0.0004
2015,%,,,до 51 лет,1.02
2016,%,,,до 51 лет,0.95
2017,%,,,до 51 лет,0.79
2018,%,,,до 51 лет,0.7
2019,%,,,до 51 лет,0.62
2020,%,,,до 51 лет,0.58
2015,%,мужчина,,до 51 лет,0.99
2016,%,мужчина,,до 51 лет,0.94
2017,%,мужчина,,до 51 лет,0.79
2018,%,мужчина,,до 51 лет,0.72
2019,%,мужчина,,до 51 лет,0.64
2020,%,мужчина,,до 51 лет,0.6
2015,%,женщина,,до 51 лет,1.06
2016,%,женщина,,до 51 лет,0.97
2017,%,женщина,,до 51 лет,0.78
2018,%,женщина,,до 51 лет,0.69
2019,%,женщина,,до 51 лет,0.6
2020,%,женщина,,до 51 лет,0.56
2015,%,,,51-55 лет,10.32
2016,%,,,51-55 лет,10.01
2017,%,,,51-55 лет,8.15
2018,%,,,51-55 лет,7.37
2019,%,,,51-55 лет,4.41
2020,%,,,51-55 лет,3.96
2015,%,мужчина,,51-55 лет,10.47
2016,%,мужчина,,51-55 лет,10.38
2017,%,мужчина,,51-55 лет,8.75
2018,%,мужчина,,51-55 лет,7.93
2019,%,мужчина,,51-55 лет,5.06
2020,%,мужчина,,51-55 лет,4.46
2015,%,женщина,,51-55 лет,10.2
2016,%,женщина,,51-55 лет,9.72
2017,%,женщина,,51-55 лет,7.68
2018,%,женщина,,51-55 лет,6.92
2019,%,женщина,,51-55 лет,3.91
2020,%,женщина,,51-55 лет,3.57
2015,%,,,56-62 лет,23.32
2016,%,,,56-62 лет,22.58
2017,%,,,56-62 лет,19.33
2018,%,,,56-62 лет,18.05
2019,%,,,56-62 лет,15.21
2020,%,,,56-62 лет,13.91
2015,%,мужчина,,56-62 лет,20.14
2016,%,мужчина,,56-62 лет,19.87
2017,%,мужчина,,56-62 лет,17.23
2018,%,мужчина,,56-62 лет,16.42
2019,%,мужчина,,56-62 лет,14.14
2020,%,мужчина,,56-62 лет,13.15
2015,%,женщина,,56-62 лет,25.9
2016,%,женщина,,56-62 лет,24.76
2017,%,женщина,,56-62 лет,21.0
2018,%,женщина,,56-62 лет,19.34
2019,%,женщина,,56-62 лет,16.04
2020,%,женщина,,56-62 лет,14.5
2015,%,,,63 и более лет,92.73
2016,%,,,63 и более лет,92.52
2017,%,,,63 и более лет,91.47
2018,%,,,63 и более лет,91.36
2019,%,,,63 и более лет,92.57
2020,%,,,63 и более лет,91.71
2015,%,мужчина,,63 и более лет,88.1
2016,%,мужчина,,63 и более лет,88.25
2017,%,мужчина,,63 и более лет,87.48
2018,%,мужчина,,63 и более лет,87.86
2019,%,мужчина,,63 и более лет,89.58
2020,%,мужчина,,63 и более лет,89.28
2015,%,женщина,,63 и более лет,95.83
2016,%,женщина,,63 и более лет,95.38
2017,%,женщина,,63 и более лет,94.14
2018,%,женщина,,63 и более лет,93.7
2019,%,женщина,,63 и более лет,94.55
2020,%,женщина,,63 и более лет,93.32
2021,%,,,,15.72
2021,%,мужчина,,,13.14
2021,%,женщина,,,18.04
2021,%,,возрастные,,11.4
2021,%,мужчина,возрастные,,9.19
2021,%,женщина,возрастные,,13.37
2021,%,,на льготных условиях,,0.04
2021,%,мужчина,на льготных условиях,,0.06
2021,%,женщина,на льготных условиях,,0.02
2021,%,,за выслугу лет,,0.01
2021,%,мужчина,за выслугу лет,,0.02
2021,%,женщина,за выслугу лет,,0.01
2021,%,,частичные,,0.33
2021,%,мужчина,частичные,,0.06
2021,%,женщина,частичные,,0.58
2021,%,,по инвалидности,,3.62
2021,%,мужчина,по инвалидности,,3.49
2021,%,женщина,по инвалидности,,3.73
2021,%,,в случае потери кормильца,,0.24
2021,%,мужчина,в случае потери кормильца,,0.15
2021,%,женщина,в случае потери кормильца,,0.32
2021,%,,установленные по другим законам,,0.02
2021,%,мужчина,установленные по другим законам,,0.05
2021,%,женщина,установленные по другим законам,,0.004
2021,%,,связанные с военной службой,,0.05
2021,%,мужчина,связанные с военной службой,,0.12
2021,%,женщина,связанные с военной службой,,0.0004
2021,%,,,до 51 лет,0.56
2021,%,мужчина,,до 51 лет,0.58
2021,%,женщина,,до 51 лет,0.53
2021,%,,,51-55 лет,3.5
2021,%,мужчина,,51-55 лет,3.88
2021,%,женщина,,51-55 лет,3.21
2021,%,,,56-62 лет,12.82
2021,%,мужчина,,56-62 лет,12.24
2021,%,женщина,,56-62 лет,13.27
2021,%,,,63 и более лет,90.14
2021,%,мужчина,,63 и более лет,88.22
2021,%,женщина,,63 и более лет,91.41
2022,%,,,,15.67
2022,%,мужчина,,,13.03
2022,%,женщина,,,18.02
2022,%,,возрастные,,11.62
2022,%,мужчина,возрастные,,9.42
2022,%,женщина,возрастные,,13.59
2022,%,,на льготных условиях,,0.03
2022,%,мужчина,на льготных условиях,,0.05
2022,%,женщина,на льготных условиях,,0.02
2022,%,,за выслугу лет,,0.01
2022,%,мужчина,за выслугу лет,,0.02
2022,%,женщина,за выслугу лет,,0.01
2022,%,,частичные,,0.3
2022,%,мужчина,частичные,,0.05
2022,%,женщина,частичные,,0.52
2022,%,,по инвалидности,,3.47
2022,%,мужчина,по инвалидности,,3.35
2022,%,женщина,по инвалидности,,3.59
2022,%,,в случае потери кормильца,,0.23
2022,%,мужчина,в случае потери кормильца,,0.14
2022,%,женщина,в случае потери кормильца,,0.3
2022,%,,установленные по другим законам,,0.03
2022,%,мужчина,установленные по другим законам,,0.05
2022,%,женщина,установленные по другим законам,,0.004
2022,%,,связанные с военной службой,,0.05
2022,%,мужчина,связанные с военной службой,,0.11
2022,%,женщина,связанные с военной службой,,0.0004
2022,%,,,до 51 лет,0.5
2022,%,мужчина,,до 51 лет,0.53
2022,%,женщина,,до 51 лет,0.47
2022,%,,,51-55 лет,3.03
2022,%,мужчина,,51-55 лет,3.32
2022,%,женщина,,51-55 лет,2.81
2022,%,,,56-62 лет,11.24
2022,%,мужчина,,56-62 лет,10.71
2022,%,женщина,,56-62 лет,11.63
2022,%,,,63 и более лет,88.48
2022,%,мужчина,,63 и более лет,87.05
2022,%,женщина,,63 и более лет,89.42
2023,%,,,,15.83
2023,%,мужчина,,,13.22
2023,%,женщина,,,18.18
2023,%,,возрастные,,11.94
2023,%,мужчина,возрастные,,9.74
2023,%,женщина,возрастные,,13.91
2023,%,,на льготных условиях,,0.03
2023,%,мужчина,на льготных условиях,,0.05
2023,%,женщина,на льготных условиях,,0.02
2023,%,,за выслугу лет,,0.01
2023,%,мужчина,за выслугу лет,,0.02
2023,%,женщина,за выслугу лет,,0.01
2023,%,,частичные,,0.27
2023,%,мужчина,частичные,,0.04
2023,%,женщина,частичные,,0.47
2023,%,,по инвалидности,,3.38
2023,%,мужчина,по инвалидности,,3.25
2023,%,женщина,по инвалидности,,3.49
2023,%,,в случае потери кормильца,,0.21
2023,%,мужчина,в случае потери кормильца,,0.14
2023,%,женщина,в случае потери кормильца,,0.28
2023,%,,установленные по другим законам,,0.03
2023,%,мужчина,установленные по другим законам,,0.02
2023,%,женщина,установленные по другим законам,,0.0
2023,%,,связанные с военной службой,,0.05
2023,%,мужчина,связанные с военной службой,,0.11
2023,%,женщина,связанные с военной службой,,0.0004
2023,%,,,до 51 лет,0.49
2023,%,мужчина,,до 51 лет,0.53
2023,%,женщина,,до 51 лет,0.45
2023,%,,,51-55 лет,2.49
2023,%,мужчина,,51-55 лет,2.64
2023,%,женщина,,51-55 лет,2.36
2023,%,,,56-62 лет,9.38
2023,%,мужчина,,56-62 лет,0.86
2023,%,женщина,,56-62 лет,9.97
2023,%,,,63 и более лет,73.02
2023,%,мужчина,,63 и более лет,70.97
2023,%,женщина,,63 и более лет,74.41
2024,%,,,,16.27
2024,%,мужчина,,,13.69
2024,%,женщина,,,18.58
2024,%,,возрастные,,12.38
2024,%,мужчина,возрастные,,10.11
2024,%,женщина,возрастные,,14.41
2024,%,,на льготных условиях,,0.03
2024,%,мужчина,на льготных условиях,,0.04
2024,%,женщина,на льготных условиях,,0.01
2024,%,,за выслугу лет,,0.01
2024,%,мужчина,за выслугу лет,,0.01
2024,%,женщина,за выслугу лет,,0.0
2024,%,,частичные,,0.24
2024,%,мужчина,частичные,,0.04
2024,%,женщина,частичные,,0.42
2024,%,,по инвалидности,,3.34
2024,%,мужчина,по инвалидности,,3.21
2024,%,женщина,по инвалидности,,3.46
2024,%,,в случае потери кормильца,,0.2
2024,%,мужчина,в случае потери кормильца,,0.13
2024,%,женщина,в случае потери кормильца,,0.26
2024,%,,установленные по другим законам,,0.03
2024,%,мужчина,установленные по другим законам,,0.05
2024,%,женщина,установленные по другим законам,,0.0
2024,%,,связанные с военной службой,,0.05
2024,%,мужчина,связанные с военной службой,,0.1
2024,%,женщина,связанные с военной службой,,0.0
2024,%,,,до 51 лет,0.47
2024,%,мужчина,,до 51 лет,0.52
2024,%,женщина,,до 51 лет,0.42
2024,%,,,aged 51-55 years,2.24
2024,%,мужчина,,aged 51-55 years,3.18
2024,%,женщина,,aged 51-55 years,1.75
2024,%,,,aged 56-62 years,8.64
2024,%,мужчина,,aged 56-62 years,6.73
2024,%,женщина,,aged 56-62 years,10.66
2024,%,,,63 и более лет,73.3
2024,%,мужчина,,63 и более лет,71.49
2024,%,женщина,,63 и более лет,74.52
