Year,Доступ к услугам,Units,Место нахождения,Пол,Бедность,Value
2021,Доступ к централизованному водоснабжению для членов домохозяства,%,,мужчина,,94.9
2021,Доступ к централизованному водоснабжению для членов домохозяства,%,,женщина,,95.7
2021,Доступ к централизованному водоснабжению для членов домохозяства,%,,,не бедный,95.8
2021,Доступ к централизованному водоснабжению для членов домохозяства,%,,,бедный,94.8
2021,Доступ к централизованному водоснабжению для членов домохозяства,%,,,крайне бедный,95.7
2021,Доступ к централизованной канализации для членов домохозяйства,%,,мужчина,,75.2
2021,Доступ к централизованной канализации для членов домохозяйства,%,,женщина,,78.1
2021,Доступ к централизованной канализации для членов домохозяйства,%,,,не бедный,81.5
2021,Доступ к централизованной канализации для членов домохозяйства,%,,,бедный,71.3
2021,Доступ к централизованной канализации для членов домохозяйства,%,,,крайне бедный,63.4
2021,Услуга доступа к мусору для членов семьи,%,,мужчина,,95.2
2021,Услуга доступа к мусору для членов семьи,%,,женщина,,96.1
2021,Услуга доступа к мусору для членов семьи,%,,,не бедный,95.1
2021,Услуга доступа к мусору для членов семьи,%,,,бедный,96.3
2021,Услуга доступа к мусору для членов семьи,%,,,крайне бедный,100.0
2021,доступ членов домашнего хозяйства к интернету,%,,,не бедный,81.4
2021,доступ членов домашнего хозяйства к интернету,%,,,бедный,75.7
2021,доступ членов домашнего хозяйства к интернету,%,,,крайне бедный,59.9
2021,Доступ к электроэнергии для членов семьи,%,,мужчина,,100.0
2021,Доступ к электроэнергии для членов семьи,%,,женщина,,100.0
2021,Доступ к электроэнергии для членов семьи,%,,,не бедный,100.0
2021,Доступ к электроэнергии для членов семьи,%,,,бедный,100.0
2021,Доступ к электроэнергии для членов семьи,%,,,крайне бедный,100.0
2021,"Доля членов домохозяйств, в первую очередь зависящих от экологически чистых видов топлива и технологий.",%,,мужчина,,67.8
2021,"Доля членов домохозяйств, в первую очередь зависящих от экологически чистых видов топлива и технологий.",%,,женщина,,71.8
2021,"Доля членов домохозяйств, в первую очередь зависящих от экологически чистых видов топлива и технологий.",%,,,не бедный,76.9
2021,"Доля членов домохозяйств, в первую очередь зависящих от экологически чистых видов топлива и технологий.",%,,,бедный,62.2
2021,"Доля членов домохозяйств, в первую очередь зависящих от экологически чистых видов топлива и технологий.",%,,,крайне бедный,43.4
2022,Доступ к централизованному водоснабжению для членов домохозяства,%,,,,94.6
2022,Доступ к централизованному водоснабжению для членов домохозяства,%,город,,,99.6
2022,Доступ к централизованному водоснабжению для членов домохозяства,%,село,,,87.3
2022,Доступ к централизованному водоснабжению для членов домохозяства,%,,мужчина,,94.2
2022,Доступ к централизованному водоснабжению для членов домохозяства,%,,женщина,,95.0
2022,Доступ к централизованному водоснабжению для членов домохозяства,%,,,не бедный,94.6
2022,Доступ к централизованному водоснабжению для членов домохозяства,%,,,бедный,94.8
2022,Доступ к централизованному водоснабжению для членов домохозяства,%,,,крайне бедный,82.2
2022,Доступ к централизованной канализации для членов домохозяйства,%,,,,78.4
2022,Доступ к централизованной канализации для членов домохозяйства,%,город,,,98.1
2022,Доступ к централизованной канализации для членов домохозяйства,%,село,,,48.9
2022,Доступ к централизованной канализации для членов домохозяйства,%,,мужчина,,77.0
2022,Доступ к централизованной канализации для членов домохозяйства,%,,женщина,,79.6
2022,Доступ к централизованной канализации для членов домохозяйства,%,,,не бедный,79.6
2022,Доступ к централизованной канализации для членов домохозяйства,%,,,бедный,74.6
2022,Доступ к централизованной канализации для членов домохозяйства,%,,,крайне бедный,71.5
2022,Услуга доступа к мусору для членов семьи,%,,,,95.7
2022,Услуга доступа к мусору для членов семьи,%,город,,,99.9
2022,Услуга доступа к мусору для членов семьи,%,село,,,89.4
2022,Услуга доступа к мусору для членов семьи,%,,мужчина,,95.4
2022,Услуга доступа к мусору для членов семьи,%,,женщина,,95.9
2022,Услуга доступа к мусору для членов семьи,%,,,не бедный,96.0
2022,Услуга доступа к мусору для членов семьи,%,,,бедный,94.9
2022,Услуга доступа к мусору для членов семьи,%,,,крайне бедный,84.3
2022,доступ членов домашнего хозяйства к интернету,%,,,,77.0
2022,доступ членов домашнего хозяйства к интернету,%,город,,,79.5
2022,доступ членов домашнего хозяйства к интернету,%,село,,,73.3
2022,доступ членов домашнего хозяйства к интернету,%,,мужчина,,74.4
2022,доступ членов домашнего хозяйства к интернету,%,,женщина,,79.3
2022,доступ членов домашнего хозяйства к интернету,%,,,не бедный,78.4
2022,доступ членов домашнего хозяйства к интернету,%,,,бедный,72.7
2022,доступ членов домашнего хозяйства к интернету,%,,,крайне бедный,62.8
2022,Доступ к электроэнергии для членов семьи,%,,,,100.0
2022,Доступ к электроэнергии для членов семьи,%,город,,,100.0
2022,Доступ к электроэнергии для членов семьи,%,село,,,100.0
2022,Доступ к электроэнергии для членов семьи,%,,мужчина,,100.0
2022,Доступ к электроэнергии для членов семьи,%,,женщина,,100.0
2022,Доступ к электроэнергии для членов семьи,%,,,не бедный,100.0
2022,Доступ к электроэнергии для членов семьи,%,,,бедный,100.0
2022,Доступ к электроэнергии для членов семьи,%,,,крайне бедный,100.0
2022,"Доля населения, имеющая доступ к средствам для мытья рук с мылом и водой.",%,,,,98.0
2022,"Доля населения, имеющая доступ к средствам для мытья рук с мылом и водой.",%,город,,,99.2
2022,"Доля населения, имеющая доступ к средствам для мытья рук с мылом и водой.",%,село,,,96.2
2022,"Доля населения, имеющая доступ к средствам для мытья рук с мылом и водой.",%,,мужчина,,98.0
2022,"Доля населения, имеющая доступ к средствам для мытья рук с мылом и водой.",%,,женщина,,98.0
2022,"Доля населения, имеющая доступ к средствам для мытья рук с мылом и водой.",%,,,не бедный,98.4
2022,"Доля населения, имеющая доступ к средствам для мытья рук с мылом и водой.",%,,,бедный,97.5
2022,"Доля населения, имеющая доступ к средствам для мытья рук с мылом и водой.",%,,,крайне бедный,94.2
2023,Доступ к централизованному водоснабжению для членов домохозяства,%,,,,94.2
2023,Доступ к централизованному водоснабжению для членов домохозяства,%,город,,,99.0
2023,Доступ к централизованному водоснабжению для членов домохозяства,%,село,,,87.4
2023,Доступ к централизованному водоснабжению для членов домохозяства,%,,мужчина,,93.9
2023,Доступ к централизованному водоснабжению для членов домохозяства,%,,женщина,,94.6
2023,Доступ к централизованному водоснабжению для членов домохозяства,%,,,не бедный,95.1
2023,Доступ к централизованному водоснабжению для членов домохозяства,%,,,бедный,91.4
2023,Доступ к централизованному водоснабжению для членов домохозяства,%,,,крайне бедный,79.2
2023,Доступ к централизованной канализации для членов домохозяйства,%,,,,77.4
2023,Доступ к централизованной канализации для членов домохозяйства,%,город,,,97.0
2023,Доступ к централизованной канализации для членов домохозяйства,%,село,,,48.8
2023,Доступ к централизованной канализации для членов домохозяйства,%,,мужчина,,76.1
2023,Доступ к централизованной канализации для членов домохозяйства,%,,женщина,,78.4
2023,Доступ к централизованной канализации для членов домохозяйства,%,,,не бедный,78.0
2023,Доступ к централизованной канализации для членов домохозяйства,%,,,бедный,75.2
2023,Доступ к централизованной канализации для членов домохозяйства,%,,,крайне бедный,63.9
2023,Услуга доступа к мусору для членов семьи,%,,,,96.4
2023,Услуга доступа к мусору для членов семьи,%,город,,,99.7
2023,Услуга доступа к мусору для членов семьи,%,село,,,91.6
2023,Услуга доступа к мусору для членов семьи,%,,мужчина,,96.2
2023,Услуга доступа к мусору для членов семьи,%,,женщина,,96.6
2023,Услуга доступа к мусору для членов семьи,%,,,не бедный,97.0
2023,Услуга доступа к мусору для членов семьи,%,,,бедный,94.3
2023,Услуга доступа к мусору для членов семьи,%,,,крайне бедный,88.4
2023,доступ членов домашнего хозяйства к интернету,%,,,,80.0
2023,доступ членов домашнего хозяйства к интернету,%,город,,,83.5
2023,доступ членов домашнего хозяйства к интернету,%,село,,,74.9
2023,доступ членов домашнего хозяйства к интернету,%,,мужчина,,77.9
2023,доступ членов домашнего хозяйства к интернету,%,,женщина,,81.9
2023,доступ членов домашнего хозяйства к интернету,%,,,не бедный,81.1
2023,доступ членов домашнего хозяйства к интернету,%,,,бедный,76.3
2023,доступ членов домашнего хозяйства к интернету,%,,,крайне бедный,61.0
2023,Доступ к электроэнергии для членов семьи,%,,,,100.0
2023,Доступ к электроэнергии для членов семьи,%,город,,,100.0
2023,Доступ к электроэнергии для членов семьи,%,село,,,100.0
2023,Доступ к электроэнергии для членов семьи,%,,мужчина,,100.0
2023,Доступ к электроэнергии для членов семьи,%,,женщина,,100.0
2023,Доступ к электроэнергии для членов семьи,%,,,не бедный,100.0
2023,Доступ к электроэнергии для членов семьи,%,,,бедный,100.0
2023,Доступ к электроэнергии для членов семьи,%,,,крайне бедный,100.0
2023,"Доля населения, имеющая доступ к средствам для мытья рук с мылом и водой.",%,,,,97.9
2023,"Доля населения, имеющая доступ к средствам для мытья рук с мылом и водой.",%,город,,,98.9
2023,"Доля населения, имеющая доступ к средствам для мытья рук с мылом и водой.",%,село,,,96.5
2023,"Доля населения, имеющая доступ к средствам для мытья рук с мылом и водой.",%,,мужчина,,97.8
2023,"Доля населения, имеющая доступ к средствам для мытья рук с мылом и водой.",%,,женщина,,98.0
2023,"Доля населения, имеющая доступ к средствам для мытья рук с мылом и водой.",%,,,не бедный,98.3
2023,"Доля населения, имеющая доступ к средствам для мытья рук с мылом и водой.",%,,,бедный,96.6
2023,"Доля населения, имеющая доступ к средствам для мытья рук с мылом и водой.",%,,,крайне бедный,95.6
2024,Доступ к централизованному водоснабжению для членов домохозяства,%,,,,95.6
2024,Доступ к централизованному водоснабжению для членов домохозяства,%,город,,,99.9
2024,Доступ к централизованному водоснабжению для членов домохозяства,%,село,,,87.7
2024,Доступ к централизованному водоснабжению для членов домохозяства,%,,мужчина,,95.2
2024,Доступ к централизованному водоснабжению для членов домохозяства,%,,женщина,,96.0
2024,Доступ к централизованному водоснабжению для членов домохозяства,%,,,не бедный,95.9
2024,Доступ к централизованному водоснабжению для членов домохозяства,%,,,бедный,94.6
2024,Доступ к централизованному водоснабжению для членов домохозяства,%,,,крайне бедный,76.0
2024,Доступ к централизованной канализации для членов домохозяйства,%,,,,83.3
2024,Доступ к централизованной канализации для членов домохозяйства,%,город,,,98.6
2024,Доступ к централизованной канализации для членов домохозяйства,%,село,,,55.1
2024,Доступ к централизованной канализации для членов домохозяйства,%,,мужчина,,82.4
2024,Доступ к централизованной канализации для членов домохозяйства,%,,женщина,,84.1
2024,Доступ к централизованной канализации для членов домохозяйства,%,,,не бедный,83.7
2024,Доступ к централизованной канализации для членов домохозяйства,%,,,бедный,81.9
2024,Доступ к централизованной канализации для членов домохозяйства,%,,,крайне бедный,74.8
2024,Услуга доступа к мусору для членов семьи,%,,,,98.2
2024,Услуга доступа к мусору для членов семьи,%,город,,,99.8
2024,Услуга доступа к мусору для членов семьи,%,село,,,95.2
2024,Услуга доступа к мусору для членов семьи,%,,мужчина,,98.2
2024,Услуга доступа к мусору для членов семьи,%,,женщина,,98.2
2024,Услуга доступа к мусору для членов семьи,%,,,не бедный,98.2
2024,Услуга доступа к мусору для членов семьи,%,,,бедный,98.4
2024,Услуга доступа к мусору для членов семьи,%,,,крайне бедный,97.0
2024,доступ членов домашнего хозяйства к интернету,%,,,,83.4
2024,доступ членов домашнего хозяйства к интернету,%,город,,,85.6
2024,доступ членов домашнего хозяйства к интернету,%,село,,,79.5
2024,доступ членов домашнего хозяйства к интернету,%,,мужчина,,81.6
2024,доступ членов домашнего хозяйства к интернету,%,,женщина,,85.0
2024,доступ членов домашнего хозяйства к интернету,%,,,не бедный,84.9
2024,доступ членов домашнего хозяйства к интернету,%,,,бедный,78.1
2024,доступ членов домашнего хозяйства к интернету,%,,,крайне бедный,56.2
2024,Доступ к электроэнергии для членов семьи,%,,,,100.0
2024,Доступ к электроэнергии для членов семьи,%,город,,,100.0
2024,Доступ к электроэнергии для членов семьи,%,село,,,100.0
2024,Доступ к электроэнергии для членов семьи,%,,мужчина,,100.0
2024,Доступ к электроэнергии для членов семьи,%,,женщина,,100.0
2024,Доступ к электроэнергии для членов семьи,%,,,не бедный,100.0
2024,Доступ к электроэнергии для членов семьи,%,,,бедный,100.0
2024,Доступ к электроэнергии для членов семьи,%,,,крайне бедный,100.0
2024,"Доля членов домохозяйств, в первую очередь зависящих от экологически чистых видов топлива и технологий.",%,,,,79.9
2024,"Доля членов домохозяйств, в первую очередь зависящих от экологически чистых видов топлива и технологий.",%,город,,,94.1
2024,"Доля членов домохозяйств, в первую очередь зависящих от экологически чистых видов топлива и технологий.",%,село,,,51.2
2024,"Доля членов домохозяйств, в первую очередь зависящих от экологически чистых видов топлива и технологий.",%,,мужчина,,77.6
2024,"Доля членов домохозяйств, в первую очередь зависящих от экологически чистых видов топлива и технологий.",%,,женщина,,80.3
2024,"Доля членов домохозяйств, в первую очередь зависящих от экологически чистых видов топлива и технологий.",%,,,не бедный,82.7
2024,"Доля членов домохозяйств, в первую очередь зависящих от экологически чистых видов топлива и технологий.",%,,,бедный,65.6
2024,"Доля членов домохозяйств, в первую очередь зависящих от экологически чистых видов топлива и технологий.",%,,,крайне бедный,53.3
2024,"Доля населения, имеющая доступ к средствам для мытья рук с мылом и водой.",%,,,,98.7
2024,"Доля населения, имеющая доступ к средствам для мытья рук с мылом и водой.",%,город,,,99.0
2024,"Доля населения, имеющая доступ к средствам для мытья рук с мылом и водой.",%,село,,,98.0
2024,"Доля населения, имеющая доступ к средствам для мытья рук с мылом и водой.",%,,мужчина,,98.6
2024,"Доля населения, имеющая доступ к средствам для мытья рук с мылом и водой.",%,,женщина,,98.7
2024,"Доля населения, имеющая доступ к средствам для мытья рук с мылом и водой.",%,,,не бедный,99.1
2024,"Доля населения, имеющая доступ к средствам для мытья рук с мылом и водой.",%,,,бедный,97.1
2024,"Доля населения, имеющая доступ к средствам для мытья рук с мылом и водой.",%,,,крайне бедный,78.9
