Year,Units,Категория,Возраст,Пол,Место нахождения,Value
2019,%,,25-29 лет,мужчина,,25.7
2020,%,,25-29 лет,мужчина,,31.3
2015,%,,25-29 лет,женщина,,60.8
2016,%,,25-29 лет,женщина,,60.4
2017,%,,25-29 лет,женщина,,59.1
2018,%,,25-29 лет,женщина,,60.6
2019,%,,25-29 лет,женщина,,59.7
2020,%,,25-29 лет,женщина,,58.0
2015,%,,25-29 лет,,город,49.6
2016,%,,25-29 лет,,город,46.2
2017,%,,25-29 лет,,город,46.1
2018,%,,25-29 лет,,город,44.4
2019,%,,25-29 лет,,город,44.2
2020,%,,25-29 лет,,город,43.2
2015,%,,25-29 лет,,село,41.8
2016,%,,25-29 лет,,село,42.8
2017,%,,25-29 лет,,село,42.0
2018,%,,25-29 лет,,село,43.0
2019,%,,25-29 лет,,село,40.9
2020,%,,25-29 лет,,село,46.1
2021,%,всего,15-29 лет,,,28.3
2021,%,,15-29 лет,мужчина,,19.2
2021,%,,15-29 лет,женщина,,37.3
2021,%,,15-29 лет,,город,27.0
2021,%,,15-29 лет,,село,30.0
2021,%,всего,15-19 лет,,,6.6
2021,%,всего,15-19 лет,мужчина,,6.8
2021,%,,15-19 лет,женщина,,6.3
2021,%,,15-19 лет,,город,5.8
2021,%,,15-19 лет,,село,7.6
2021,%,всего,20-24 лет,,,35.1
2021,%,,20-24 лет,мужчина,,26.6
2021,%,,20-24 лет,женщина,,43.4
2021,%,,20-24 лет,,город,33.5
2021,%,,20-24 лет,,село,37.3
2021,%,всего,15-24 лет,,,20.3
2021,%,,15-24 лет,мужчина,,16.2
2021,%,,15-24 лет,женщина,,24.6
2021,%,,15-24 лет,,город,19.2
2021,%,,15-24 лет,,село,22.0
2021,%,всего,25-29 лет,,,41.6
2021,%,,25-29 лет,мужчина,,24.6
2021,%,,25-29 лет,женщина,,57.1
2021,%,,25-29 лет,,город,41.7
2021,%,,25-29 лет,,село,41.4
2018,%,disabilities ,всего,,,54.6
2018,%,disabilities ,,мужчина,,52.7
2018,%,disabilities ,,женщина,,57.8
2018,%,disabilities ,,,город,49.4
2018,%,disabilities ,,,село,63.6
2019,%,disabilities ,всего,,,56.4
2019,%,disabilities ,,мужчина,,57.9
2019,%,disabilities ,,женщина,,54.0
2019,%,disabilities ,,,город,54.0
2019,%,disabilities ,,,село,59.0
2020,%,disabilities ,всего,,,52.3
2020,%,disabilities ,,мужчина,,52.7
2020,%,disabilities ,,женщина,,51.6
2020,%,disabilities ,,,город,56.4
2020,%,disabilities ,,,село,44.6
2021,%,disabilities ,всего,,,63.0
2021,%,disabilities ,,мужчина,,65.3
2021,%,disabilities ,,женщина,,53.9
2021,%,disabilities ,,,город,67.4
2021,%,disabilities ,,,село,54.0
