Year,Units,Индикатор,Value
2022,%,Annual growth of households and NPISHs final consumption expenditure,5.4
2023,%,Annual growth of households and NPISHs final consumption expenditure,6.4
2024,%,Annual growth of households and NPISHs final consumption expenditure,7.9
2015,%,"Annual inflation,consumer prices,copare to 2015",0.0
2016,%,"Annual inflation,consumer prices,copare to 2015",-1.4
2017,%,"Annual inflation,consumer prices,copare to 2015",-0.4
2018,%,"Annual inflation,consumer prices,copare to 2015",2.1
2019,%,"Annual inflation,consumer prices,copare to 2015",3.5
2020,%,"Annual inflation,consumer prices,copare to 2015",4.8
2021,%,"Annual inflation,consumer prices,copare to 2015",12.3
2022,%,"Annual inflation,consumer prices,copare to 2015",22.0
2023,%,"Annual inflation,consumer prices,copare to 2015",24.4
2024,%,"Annual inflation,consumer prices,copare to 2015",24.8
2013,%,Annual growth of exports of goods and services,8.6
2014,%,Annual growth of exports of goods and services,6.4
2015,%,Annual growth of exports of goods and services,4.9
2016,%,Annual growth of exports of goods and services,21.3
2017,%,Annual growth of exports of goods and services,19.3
2018,%,Annual growth of exports of goods and services,5.0
2019,%,Annual growth of exports of goods and services,18.6
2020,%,Annual growth of exports of goods and services,-33.9
2021,%,Annual growth of exports of goods and services,18.2
2022,%,Annual growth of exports of goods and services,65.3
2023,%,Annual growth of exports of goods and services,32.3
2024,%,Annual growth of exports of goods and services,27.6
2013,%,Annual growth of imports of goods and services,0.0
2014,%,Annual growth of imports of goods and services,-2.7
2015,%,Annual growth of imports of goods and services,-15.3
2016,%,Annual growth of imports of goods and services,6.3
2017,%,Annual growth of imports of goods and services,24.6
2018,%,Annual growth of imports of goods and services,13.3
2019,%,Annual growth of imports of goods and services,13.3
2020,%,Annual growth of imports of goods and services,-31.9
2021,%,Annual growth of imports of goods and services,11.5
2022,%,Annual growth of imports of goods and services,38.6
2023,%,Annual growth of imports of goods and services,32.5
2024,%,Annual growth of imports of goods and services,28.3
2015,%,Merchandise trade as a proportion of GDP,44.8
2016,%,Merchandise trade as a proportion of GDP,48.0
2017,%,Merchandise trade as a proportion of GDP,55.0
2018,%,Merchandise trade as a proportion of GDP,59.3
2019,%,Merchandise trade as a proportion of GDP,60.0
2020,%,Merchandise trade as a proportion of GDP,56.2
2021,%,Merchandise trade as a proportion of GDP,60.4
2022,%,Merchandise trade as a proportion of GDP,72.7
2023,%,Merchandise trade as a proportion of GDP,88.1
2024,%,Merchandise trade as a proportion of GDP,116.4
2015,%,Current account balance as a proportion of GDP,-2.7
2016,%,Current account balance as a proportion of GDP,-1.0
2017,%,Current account balance as a proportion of GDP,-1.3
2018,%,Current account balance as a proportion of GDP,-7.2
2019,%,Current account balance as a proportion of GDP,-7.1
2020,%,Current account balance as a proportion of GDP,-4.0
2021,%,Current account balance as a proportion of GDP,-3.4
2022,%,Current account balance as a proportion of GDP,0.7
2023,%,Current account balance as a proportion of GDP,-2.8
2024,%,Current account balance as a proportion of GDP,-4.6
2015,%,"Foreign direct investment, net inflows, as a proportion of GDP",-1.5
2016,%,"Foreign direct investment, net inflows, as a proportion of GDP",-2.5
2017,%,"Foreign direct investment, net inflows, as a proportion of GDP",-1.9
2018,%,"Foreign direct investment, net inflows, as a proportion of GDP",-2.1
2019,%,"Foreign direct investment, net inflows, as a proportion of GDP",-1.7
2020,%,"Foreign direct investment, net inflows, as a proportion of GDP",-0.7
2021,%,"Foreign direct investment, net inflows, as a proportion of GDP",-2.5
2022,%,"Foreign direct investment, net inflows, as a proportion of GDP",-4.7
2023,%,"Foreign direct investment, net inflows, as a proportion of GDP",-2.2
2024,%,"Foreign direct investment, net inflows, as a proportion of GDP",-0.3
2015,млн. долл. США,"Portfolio investment, net (Balance of Payments, current mln United States dollars)",-235.4
2016,млн. долл. США,"Portfolio investment, net (Balance of Payments, current mln United States dollars)",-33.7
2017,млн. долл. США,"Portfolio investment, net (Balance of Payments, current mln United States dollars)",80.7
2018,млн. долл. США,"Portfolio investment, net (Balance of Payments, current mln United States dollars)",39.9
2019,млн. долл. США,"Portfolio investment, net (Balance of Payments, current mln United States dollars)",-28.9
2020,млн. долл. США,"Portfolio investment, net (Balance of Payments, current mln United States dollars)",43.7
2021,млн. долл. США,"Portfolio investment, net (Balance of Payments, current mln United States dollars)",-672.0
2022,млн. долл. США,"Portfolio investment, net (Balance of Payments, current mln United States dollars)",1364.1
2023,млн. долл. США,"Portfolio investment, net (Balance of Payments, current mln United States dollars)",-39.0
2024,млн. долл. США,"Portfolio investment, net (Balance of Payments, current mln United States dollars)",154.8
