Year,Пол,Место нахождения,Возраст,Категория,Квинтили,услуги,Value
2021,,,,,II-ой квинтиль,телефон стационарный,100.0
2021,,,,,III-й квинтиль,телефон стационарный,100.0
2021,,,,,IV-й квинтиль,телефон стационарный,99.9
2021,,,,,V-й квинтиль,телефон стационарный,100.0
2015,,,,,,электроснабжение,97.9
2016,,,,,,электроснабжение,98.0
2017,,,,,,электроснабжение,98.4
2018,,,,,,электроснабжение,98.9
2019,,,,,,электроснабжение,97.7
2020,,,,,,электроснабжение,98.7
2021,,,,,,электроснабжение,99.0
2021,мужчина,,,,,электроснабжение,99.0
2021,женщина,,,,,электроснабжение,98.9
2021,,город,,,,электроснабжение,99.1
2021,,село,,,,электроснабжение,98.8
2021,,,aged 0-25 years,,,электроснабжение,98.9
2021,,,aged 25-34 years,,,электроснабжение,98.6
2021,,,aged 35-44 years,,,электроснабжение,98.7
2021,,,aged 45-54 years,,,электроснабжение,99.6
2021,,,aged 55-64 years,,,электроснабжение,98.9
2021,,,aged 65 and over,,,электроснабжение,99.1
2021,,,,инвалиды,,электроснабжение,99.0
2021,,,,,I-й квинтиль,электроснабжение,99.5
2021,,,,,II-ой квинтиль,электроснабжение,99.2
2021,,,,,III-й квинтиль,электроснабжение,99.5
2021,,,,,IV-й квинтиль,электроснабжение,98.3
2021,,,,,V-й квинтиль,электроснабжение,98.3
2015,,,,,,почтовые услуги,80.6
2016,,,,,,почтовые услуги,76.5
2017,,,,,,почтовые услуги,75.8
2018,,,,,,почтовые услуги,73.5
2019,,,,,,почтовые услуги,96.3
2020,,,,,,почтовые услуги,97.3
2021,,,,,,почтовые услуги,97.5
2021,мужчина,,,,,почтовые услуги,98.5
2021,женщина,,,,,почтовые услуги,98.4
2021,,город,,,,почтовые услуги,98.8
2021,,село,,,,почтовые услуги,98.1
2021,,,aged 0-25 years,,,почтовые услуги,98.6
2021,,,aged 25-34 years,,,почтовые услуги,98.8
2021,,,aged 35-44 years,,,почтовые услуги,98.4
2021,,,aged 45-54 years,,,почтовые услуги,98.8
2021,,,aged 55-64 years,,,почтовые услуги,98.8
2021,,,aged 65 and over,,,почтовые услуги,97.8
2021,,,,инвалиды,,почтовые услуги,98.8
2021,,,,,I-й квинтиль,почтовые услуги,98.9
2021,,,,,II-ой квинтиль,почтовые услуги,99.3
2021,,,,,III-й квинтиль,почтовые услуги,99.2
2021,,,,,IV-й квинтиль,почтовые услуги,98.1
2021,,,,,V-й квинтиль,почтовые услуги,96.5
2015,,,,,,банковские услуги,74.4
2016,,,,,,банковские услуги,70.8
2017,,,,,,банковские услуги,71.9
2018,,,,,,банковские услуги,73.7
2019,,,,,,банковские услуги,86.1
2020,,,,,,банковские услуги,88.9
2021,,,,,,банковские услуги,90.5
2021,мужчина,,,,,банковские услуги,90.7
2021,женщина,,,,,банковские услуги,90.6
2021,,город,,,,банковские услуги,89.6
2021,,село,,,,банковские услуги,92.1
2021,,,aged 0-25 years,,,банковские услуги,90.4
2021,,,aged 25-34 years,,,банковские услуги,90.6
2021,,,aged 35-44 years,,,банковские услуги,90.5
2021,,,aged 45-54 years,,,банковские услуги,91.2
2021,,,aged 55-64 years,,,банковские услуги,89.4
2021,,,aged 65 and over,,,банковские услуги,92.4
2021,,,,инвалиды,,банковские услуги,91.7
2021,,,,,I-й квинтиль,банковские услуги,95.5
2021,,,,,II-ой квинтиль,банковские услуги,92.1
2021,,,,,III-й квинтиль,банковские услуги,90.7
2021,,,,,IV-й квинтиль,банковские услуги,88.0
2021,,,,,V-й квинтиль,банковские услуги,87.3
2015,,,,,,орошение,17.6
2016,,,,,,орошение,23.7
2017,,,,,,орошение,22.8
2018,,,,,,орошение,21.5
2019,,,,,,орошение,
2020,,,,,,орошение,
2021,,,,,,орошение,
2015,,,,,,здравоохранение,61.5
2016,,,,,,здравоохранение,61.4
2017,,,,,,здравоохранение,63.6
2018,,,,,,здравоохранение,62.3
2019,,,,,,здравоохранение,78.1
2020,,,,,,здравоохранение,87.1
2021,,,,,,здравоохранение,91.0
2021,мужчина,,,,,здравоохранение,91.9
2021,женщина,,,,,здравоохранение,91.3
2021,,город,,,,здравоохранение,89.2
2021,,село,,,,здравоохранение,95.1
2021,,,aged 0-25 years,,,здравоохранение,92.6
2021,,,aged 25-34 years,,,здравоохранение,92.6
2021,,,aged 35-44 years,,,здравоохранение,91.0
2021,,,aged 45-54 years,,,здравоохранение,91.9
2021,,,aged 55-64 years,,,здравоохранение,90.3
2021,,,aged 65 and over,,,здравоохранение,90.1
2021,,,,инвалиды,,здравоохранение,89.2
2021,,,,,I-й квинтиль,здравоохранение,96.4
2021,,,,,II-ой квинтиль,здравоохранение,94.4
2021,,,,,III-й квинтиль,здравоохранение,91.2
2021,,,,,IV-й квинтиль,здравоохранение,89.2
2021,,,,,V-й квинтиль,здравоохранение,87.7
2015,,,,,,образование,52.3
2016,,,,,,образование,53.8
2017,,,,,,образование,56.3
2018,,,,,,образование,54.9
2019,,,,,,образование,85.1
2020,,,,,,образование,90.5
2021,,,,,,образование,89.1
2021,мужчина,,,,,образование,90.0
2021,женщина,,,,,образование,89.5
2021,,город,,,,образование,86.9
2021,,село,,,,образование,93.0
2021,,,aged 0-25 years,,,образование,89.3
2021,,,aged 25-34 years,,,образование,92.0
2021,,,aged 35-44 years,,,образование,87.3
2021,,,aged 45-54 years,,,образование,91.1
2021,,,aged 55-64 years,,,образование,91.7
2021,,,aged 65 and over,,,образование,90.3
2021,,,,инвалиды,,образование,90.8
2021,,,,,I-й квинтиль,образование,94.4
2021,,,,,II-ой квинтиль,образование,90.7
2021,,,,,III-й квинтиль,образование,89.3
2021,,,,,IV-й квинтиль,образование,87.0
2021,,,,,V-й квинтиль,образование,84.7
2015,,,,,,общественный транспорт,81.2
2016,,,,,,общественный транспорт,82.2
2017,,,,,,общественный транспорт,76.6
2018,,,,,,общественный транспорт,72.1
2019,,,,,,общественный транспорт,75.9
2020,,,,,,общественный транспорт,82.8
2021,,,,,,общественный транспорт,79.0
2021,мужчина,,,,,общественный транспорт,78.7
2021,женщина,,,,,общественный транспорт,77.9
2021,,город,,,,общественный транспорт,78.0
2021,,село,,,,общественный транспорт,78.7
2021,,,aged 0-25 years,,,общественный транспорт,78.3
2021,,,aged 25-34 years,,,общественный транспорт,78.2
2021,,,aged 35-44 years,,,общественный транспорт,78.3
2021,,,aged 45-54 years,,,общественный транспорт,78.9
2021,,,aged 55-64 years,,,общественный транспорт,78.9
2021,,,aged 65 and over,,,общественный транспорт,77.2
2021,,,,инвалиды,,общественный транспорт,78.3
2021,,,,,I-й квинтиль,общественный транспорт,86.5
2021,,,,,II-ой квинтиль,общественный транспорт,75.4
2021,,,,,III-й квинтиль,общественный транспорт,76.1
2021,,,,,IV-й квинтиль,общественный транспорт,76.5
2021,,,,,V-й квинтиль,общественный транспорт,76.9
2022,,,,,,водоснабжение,88.9
2022,мужчина,,,,,водоснабжение,88.6
2022,женщина,,,,,водоснабжение,89.1
2022,,город,,,,водоснабжение,93.3
2022,,село,,,,водоснабжение,81.7
2022,,,aged 0-25 years,,,водоснабжение,88.3
2022,,,aged 25-34 years,,,водоснабжение,88.0
2022,,,aged 35-44 years,,,водоснабжение,89.2
2022,,,aged 45-54 years,,,водоснабжение,88.6
2022,,,aged 55-64 years,,,водоснабжение,89.2
2022,,,aged 65 and over,,,водоснабжение,90.2
2022,,,,инвалиды,,водоснабжение,87.5
2022,,,,,I-й квинтиль,водоснабжение,88.9
2022,,,,,II-ой квинтиль,водоснабжение,87.1
2022,,,,,III-й квинтиль,водоснабжение,88.8
2022,,,,,IV-й квинтиль,водоснабжение,88.9
2022,,,,,V-й квинтиль,водоснабжение,90.6
2022,,,,,,канализация,97.0
2022,мужчина,,,,,канализация,97.0
2022,женщина,,,,,канализация,97.3
2022,,город,,,,канализация,98.3
2022,,село,,,,канализация,94.4
2022,,,aged 0-25 years,,,канализация,97.0
2022,,,aged 25-34 years,,,канализация,97.6
2022,,,aged 35-44 years,,,канализация,97.2
2022,,,aged 45-54 years,,,канализация,96.9
2022,,,aged 55-64 years,,,канализация,97.1
2022,,,aged 65 and over,,,канализация,97.5
2022,,,,инвалиды,,канализация,97.0
2022,,,,,I-й квинтиль,канализация,97.2
2022,,,,,II-ой квинтиль,канализация,97.2
2022,,,,,III-й квинтиль,канализация,97.6
2022,,,,,IV-й квинтиль,канализация,97.2
2022,,,,,V-й квинтиль,канализация,96.8
2022,,,,,,вывоз мусора,95.4
2022,мужчина,,,,,вывоз мусора,95.5
2022,женщина,,,,,вывоз мусора,95.4
2022,,город,,,,вывоз мусора,96.8
2022,,село,,,,вывоз мусора,93.2
2022,,,aged 0-25 years,,,вывоз мусора,95.2
2022,,,aged 25-34 years,,,вывоз мусора,95.2
2022,,,aged 35-44 years,,,вывоз мусора,95.7
2022,,,aged 45-54 years,,,вывоз мусора,96.5
2022,,,aged 55-64 years,,,вывоз мусора,94.8
2022,,,aged 65 and over,,,вывоз мусора,95.8
2022,,,,инвалиды,,вывоз мусора,94.9
2022,,,,,I-й квинтиль,вывоз мусора,95.4
2022,,,,,II-ой квинтиль,вывоз мусора,95.7
2022,,,,,III-й квинтиль,вывоз мусора,96.5
2022,,,,,IV-й квинтиль,вывоз мусора,94.4
2022,,,,,V-й квинтиль,вывоз мусора,95.2
2022,,,,,,телефон стационарный,99.5
2022,мужчина,,,,,телефон стационарный,99.5
2022,женщина,,,,,телефон стационарный,99.6
2022,,город,,,,телефон стационарный,100.0
2022,,село,,,,телефон стационарный,99.9
2022,,,aged 0-25 years,,,телефон стационарный,99.1
2022,,,aged 25-34 years,,,телефон стационарный,98.9
2022,,,aged 35-44 years,,,телефон стационарный,100.0
2022,,,aged 45-54 years,,,телефон стационарный,99.7
2022,,,aged 55-64 years,,,телефон стационарный,99.9
2022,,,aged 65 and over,,,телефон стационарный,99.7
2022,,,,инвалиды,,телефон стационарный,99.6
2022,,,,,I-й квинтиль,телефон стационарный,98.1
2022,,,,,II-ой квинтиль,телефон стационарный,99.7
2022,,,,,III-й квинтиль,телефон стационарный,100.0
2022,,,,,IV-й квинтиль,телефон стационарный,99.7
2022,,,,,V-й квинтиль,телефон стационарный,99.8
2022,,,,,,электроснабжение,97.5
2022,мужчина,,,,,электроснабжение,97.5
2022,женщина,,,,,электроснабжение,97.5
2022,,город,,,,электроснабжение,97.8
2022,,село,,,,электроснабжение,96.9
2022,,,aged 0-25 years,,,электроснабжение,97.2
2022,,,aged 25-34 years,,,электроснабжение,97.5
2022,,,aged 35-44 years,,,электроснабжение,97.2
2022,,,aged 45-54 years,,,электроснабжение,97.6
2022,,,aged 55-64 years,,,электроснабжение,97.6
2022,,,aged 65 and over,,,электроснабжение,98.0
2022,,,,инвалиды,,электроснабжение,97.7
2022,,,,,I-й квинтиль,электроснабжение,98.3
2022,,,,,II-ой квинтиль,электроснабжение,98.0
2022,,,,,III-й квинтиль,электроснабжение,97.2
2022,,,,,IV-й квинтиль,электроснабжение,97.2
2022,,,,,V-й квинтиль,электроснабжение,96.7
2022,,,,,,почтовые услуги,98.8
2022,мужчина,,,,,почтовые услуги,98.8
2022,женщина,,,,,почтовые услуги,98.7
2022,,город,,,,почтовые услуги,99.6
2022,,село,,,,почтовые услуги,97.6
2022,,,aged 0-25 years,,,почтовые услуги,98.9
2022,,,aged 25-34 years,,,почтовые услуги,99.3
2022,,,aged 35-44 years,,,почтовые услуги,98.7
2022,,,aged 45-54 years,,,почтовые услуги,98.8
2022,,,aged 55-64 years,,,почтовые услуги,99.0
2022,,,aged 65 and over,,,почтовые услуги,98.1
2022,,,,инвалиды,,почтовые услуги,98.7
2022,,,,,I-й квинтиль,почтовые услуги,99.8
2022,,,,,II-ой квинтиль,почтовые услуги,99.5
2022,,,,,III-й квинтиль,почтовые услуги,98.3
2022,,,,,IV-й квинтиль,почтовые услуги,98.6
2022,,,,,V-й квинтиль,почтовые услуги,97.4
2022,,,,,,банковские услуги,89.5
2022,мужчина,,,,,банковские услуги,89.2
2022,женщина,,,,,банковские услуги,89.8
2022,,город,,,,банковские услуги,87.3
2022,,село,,,,банковские услуги,92.6
2022,,,aged 0-25 years,,,банковские услуги,88.7
2022,,,aged 25-34 years,,,банковские услуги,88.0
2022,,,aged 35-44 years,,,банковские услуги,89.5
2022,,,aged 45-54 years,,,банковские услуги,89.8
2022,,,aged 55-64 years,,,банковские услуги,89.5
2022,,,aged 65 and over,,,банковские услуги,92.4
2022,,,,инвалиды,,банковские услуги,90.5
2022,,,,,I-й квинтиль,банковские услуги,95.2
2022,,,,,II-ой квинтиль,банковские услуги,89.8
2022,,,,,III-й квинтиль,банковские услуги,88.8
2022,,,,,IV-й квинтиль,банковские услуги,86.2
2022,,,,,V-й квинтиль,банковские услуги,87.6
2022,,,,,,здравоохранение,90.6
2022,мужчина,,,,,здравоохранение,90.9
2022,женщина,,,,,здравоохранение,90.4
2022,,город,,,,здравоохранение,87.2
2022,,село,,,,здравоохранение,95.9
2022,,,aged 0-25 years,,,здравоохранение,91.9
2022,,,aged 25-34 years,,,здравоохранение,91.7
2022,,,aged 35-44 years,,,здравоохранение,90.8
2022,,,aged 45-54 years,,,здравоохранение,90.1
2022,,,aged 55-64 years,,,здравоохранение,89.5
2022,,,aged 65 and over,,,здравоохранение,88.7
2022,,,,инвалиды,,здравоохранение,85.6
2022,,,,,I-й квинтиль,здравоохранение,93.5
2022,,,,,II-ой квинтиль,здравоохранение,91.2
2022,,,,,III-й квинтиль,здравоохранение,89.6
2022,,,,,IV-й квинтиль,здравоохранение,88.2
2022,,,,,IV-й квинтиль,здравоохранение,90.7
2022,,,,,,образование,95.1
2022,мужчина,,,,,образование,94.9
2022,женщина,,,,,образование,95.3
2022,,город,,,,образование,93.5
2022,,село,,,,образование,97.2
2022,,,aged 0-25 years,,,образование,94.8
2022,,,aged 25-34 years,,,образование,96.2
2022,,,aged 35-44 years,,,образование,94.5
2022,,,aged 45-54 years,,,образование,95.2
2022,,,aged 55-64 years,,,образование,95.5
2022,,,aged 65 and over,,,образование,95.7
2022,,,,инвалиды,,образование,93.8
2022,,,,,I-й квинтиль,образование,96.6
2022,,,,,II-ой квинтиль,образование,97.9
2022,,,,,III-й квинтиль,образование,95.8
2022,,,,,IV-й квинтиль,образование,93.0
2022,,,,,IV-й квинтиль,образование,90.5
2022,,,,,,общественный транспорт,82.8
2022,мужчина,,,,,общественный транспорт,83.0
2022,женщина,,,,,общественный транспорт,82.7
2022,,город,,,,общественный транспорт,81.3
2022,,село,,,,общественный транспорт,85.5
2022,,,aged 0-25 years,,,общественный транспорт,81.9
2022,,,aged 25-34 years,,,общественный транспорт,82.4
2022,,,aged 35-44 years,,,общественный транспорт,81.7
2022,,,aged 45-54 years,,,общественный транспорт,85.1
2022,,,aged 55-64 years,,,общественный транспорт,83.5
2022,,,aged 65 and over,,,общественный транспорт,83.7
2022,,,,инвалиды,,общественный транспорт,82.5
2022,,,,,I-й квинтиль,общественный транспорт,85.9
2022,,,,,II-ой квинтиль,общественный транспорт,85.1
2022,,,,,III-й квинтиль,общественный транспорт,84.8
2022,,,,,IV-й квинтиль,общественный транспорт,80.8
2022,,,,,V-й квинтиль,общественный транспорт,77.9
2023,,,,,,водоснабжение,90.7
2023,мужчина,,,,,водоснабжение,90.7
2023,женщина,,,,,водоснабжение,90.8
2023,,город,,,,водоснабжение,93.3
2023,,село,,,,водоснабжение,86.6
2023,,,aged 0-25 years,,,водоснабжение,90.4
2023,,,aged 25-34 years,,,водоснабжение,91.5
2023,,,aged 35-44 years,,,водоснабжение,90.7
2023,,,aged 45-54 years,,,водоснабжение,90.3
2023,,,aged 55-64 years,,,водоснабжение,90.2
2023,,,aged 65 and over,,,водоснабжение,91.5
2023,,,,инвалиды,,водоснабжение,88.8
2023,,,,,I-й квинтиль,водоснабжение,86.8
2023,,,,,II-ой квинтиль,водоснабжение,90.0
2023,,,,,III-й квинтиль,водоснабжение,92.0
2023,,,,,IV-й квинтиль,водоснабжение,92.0
2023,,,,,V-й квинтиль,водоснабжение,92.6
2023,,,,,,канализация,97.5
2023,мужчина,,,,,канализация,97.8
2023,женщина,,,,,канализация,97.2
2023,,город,,,,канализация,97.2
2023,,село,,,,канализация,98.3
2023,,,aged 0-25 years,,,канализация,97.4
2023,,,aged 25-34 years,,,канализация,98.1
2023,,,aged 35-44 years,,,канализация,96.8
2023,,,aged 45-54 years,,,канализация,97.5
2023,,,aged 55-64 years,,,канализация,98.1
2023,,,aged 65 and over,,,канализация,97.4
2023,,,,инвалиды,,канализация,96.6
2023,,,,,I-й квинтиль,канализация,97.5
2023,,,,,II-ой квинтиль,канализация,97.8
2023,,,,,III-й квинтиль,канализация,96.7
2023,,,,,IV-й квинтиль,канализация,98.8
2023,,,,,V-й квинтиль,канализация,96.7
2023,,,,,,вывоз мусора,96.5
2023,мужчина,,,,,вывоз мусора,96.6
2023,женщина,,,,,вывоз мусора,96.4
2023,,город,,,,вывоз мусора,95.4
2023,,село,,,,вывоз мусора,98.3
2023,,,aged 0-25 years,,,вывоз мусора,96.7
2023,,,aged 25-34 years,,,вывоз мусора,96.5
2023,,,aged 35-44 years,,,вывоз мусора,95.9
2023,,,aged 45-54 years,,,вывоз мусора,96.4
2023,,,aged 55-64 years,,,вывоз мусора,96.2
2023,,,aged 65 and over,,,вывоз мусора,97.1
2023,,,,инвалиды,,вывоз мусора,96.6
2023,,,,,I-й квинтиль,вывоз мусора,96.6
2023,,,,,II-ой квинтиль,вывоз мусора,96.4
2023,,,,,III-й квинтиль,вывоз мусора,97.2
2023,,,,,IV-й квинтиль,вывоз мусора,96.4
2023,,,,,V-й квинтиль,вывоз мусора,96.0
2023,,,,,,телефон стационарный,99.2
2023,мужчина,,,,,телефон стационарный,99.3
2023,женщина,,,,,телефон стационарный,99.2
2023,,город,,,,телефон стационарный,99.2
2023,,село,,,,телефон стационарный,100.0
2023,,,aged 0-25 years,,,телефон стационарный,99.5
2023,,,aged 25-34 years,,,телефон стационарный,97.7
2023,,,aged 35-44 years,,,телефон стационарный,100.0
2023,,,aged 45-54 years,,,телефон стационарный,99.8
2023,,,aged 55-64 years,,,телефон стационарный,98.9
2023,,,aged 65 and over,,,телефон стационарный,99.3
2023,,,,инвалиды,,телефон стационарный,99.3
2023,,,,,I-й квинтиль,телефон стационарный,97.5
2023,,,,,II-ой квинтиль,телефон стационарный,100.0
2023,,,,,III-й квинтиль,телефон стационарный,98.9
2023,,,,,IV-й квинтиль,телефон стационарный,99.7
2023,,,,,V-й квинтиль,телефон стационарный,99.5
2023,,,,,,электроснабжение,99.0
2023,мужчина,,,,,электроснабжение,99.0
2023,женщина,,,,,электроснабжение,99.0
2023,,город,,,,электроснабжение,98.9
2023,,село,,,,электроснабжение,99.0
2023,,,aged 0-25 years,,,электроснабжение,98.8
2023,,,aged 25-34 years,,,электроснабжение,99.3
2023,,,aged 35-44 years,,,электроснабжение,98.7
2023,,,aged 45-54 years,,,электроснабжение,99.2
2023,,,aged 55-64 years,,,электроснабжение,99.0
2023,,,aged 65 and over,,,электроснабжение,99.2
2023,,,,инвалиды,,электроснабжение,99.1
2023,,,,,I-й квинтиль,электроснабжение,99.5
2023,,,,,II-ой квинтиль,электроснабжение,98.9
2023,,,,,III-й квинтиль,электроснабжение,98.7
2023,,,,,IVquintile,электроснабжение,99.2
2023,,,,,V-й квинтиль,электроснабжение,98.5
2023,,,,,,почтовые услуги,97.8
2023,мужчина,,,,,почтовые услуги,97.8
2023,женщина,,,,,почтовые услуги,97.8
2023,,город,,,,почтовые услуги,98.5
2023,,село,,,,почтовые услуги,97.0
2023,,,aged 0-25 years,,,почтовые услуги,97.7
2023,,,aged 25-34 years,,,почтовые услуги,97.8
2023,,,aged 35-44 years,,,почтовые услуги,97.7
2023,,,aged 45-54 years,,,почтовые услуги,97.6
2023,,,aged 55-64 years,,,почтовые услуги,98.1
2023,,,aged 65 and over,,,почтовые услуги,97.9
2023,,,,инвалиды,,почтовые услуги,98.7
2023,,,,,I-й квинтиль,почтовые услуги,99.0
2023,,,,,II-ой квинтиль,почтовые услуги,97.9
2023,,,,,III-й квинтиль,почтовые услуги,98.0
2023,,,,,IV-й квинтиль,почтовые услуги,97.1
2023,,,,,V-й квинтиль,почтовые услуги,96.8
2023,,,,,,банковские услуги,92.2
2023,мужчина,,,,,банковские услуги,92.2
2023,женщина,,,,,банковские услуги,92.1
2023,,город,,,,банковские услуги,90.0
2023,,село,,,,банковские услуги,95.2
2023,,,aged 0-25 years,,,банковские услуги,91.2
2023,,,aged 25-34 years,,,банковские услуги,90.9
2023,,,aged 35-44 years,,,банковские услуги,91.3
2023,,,aged 45-54 years,,,банковские услуги,92.7
2023,,,aged 55-64 years,,,банковские услуги,92.4
2023,,,aged 65 and over,,,банковские услуги,95.0
2023,,,,инвалиды,,банковские услуги,92.5
2023,,,,,I-й квинтиль,банковские услуги,96.2
2023,,,,,II-ой квинтиль,банковские услуги,94.6
2023,,,,,III-й квинтиль,банковские услуги,91.3
2023,,,,,IV-й квинтиль,банковские услуги,89.5
2023,,,,,V-й квинтиль,банковские услуги,89.5
2023,,,,,,здравоохранение,91.2
2023,мужчина,,,,,здравоохранение,91.5
2023,женщина,,,,,здравоохранение,90.9
2023,,город,,,,здравоохранение,88.2
2023,,село,,,,здравоохранение,95.7
2023,,,aged 0-25 years,,,здравоохранение,91.9
2023,,,aged 25-34 years,,,здравоохранение,91.4
2023,,,aged 35-44 years,,,здравоохранение,91.7
2023,,,aged 45-54 years,,,здравоохранение,90.9
2023,,,aged 55-64 years,,,здравоохранение,91.6
2023,,,aged 65 and over,,,здравоохранение,89.3
2023,,,,инвалиды,,здравоохранение,86.9
2023,,,,,I-й квинтиль,здравоохранение,94.9
2023,,,,,II-ой квинтиль,здравоохранение,93.4
2023,,,,,III-й квинтиль,здравоохранение,90.2
2023,,,,,IV-й квинтиль,здравоохранение,89.7
2023,,,,,V-й квинтиль,здравоохранение,88.1
2023,,,,,,образование,93.4
2023,мужчина,,,,,образование,93.4
2023,женщина,,,,,образование,93.3
2023,,город,,,,образование,92.2
2023,,село,,,,образование,94.7
2023,,,aged 0-25 years,,,образование,92.9
2023,,,aged 25-34 years,,,образование,94.6
2023,,,aged 35-44 years,,,образование,93.3
2023,,,aged 45-54 years,,,образование,93.2
2023,,,aged 55-64 years,,,образование,94.7
2023,,,aged 65 and over,,,образование,92.9
2023,,,,инвалиды,,образование,92.9
2023,,,,,I-й квинтиль,образование,96.1
2023,,,,,II-ой квинтиль,образование,94.9
2023,,,,,III-й квинтиль,образование,92.6
2023,,,,,IV-й квинтиль,образование,91.6
2023,,,,,V-й квинтиль,образование,89.6
2023,,,,,,общественный транспорт,85.0
2023,мужчина,,,,,общественный транспорт,84.7
2023,женщина,,,,,общественный транспорт,85.3
2023,,город,,,,общественный транспорт,87.3
2023,,село,,,,общественный транспорт,81.0
2023,,,aged 0-25 years,,,общественный транспорт,85.0
2023,,,aged 25-34 years,,,общественный транспорт,84.6
2023,,,aged 35-44 years,,,общественный транспорт,84.2
2023,,,aged 45-54 years,,,общественный транспорт,85.8
2023,,,aged 55-64 years,,,общественный транспорт,82.6
2023,,,aged 65 and over,,,общественный транспорт,87.3
2023,,,,инвалиды,,общественный транспорт,85.3
2023,,,,,I-й квинтиль,общественный транспорт,88.9
2023,,,,,II-ой квинтиль,общественный транспорт,84.9
2023,,,,,III-й квинтиль,общественный транспорт,85.8
2023,,,,,IV-й квинтиль,общественный транспорт,82.7
2023,,,,,V-й квинтиль,общественный транспорт,83.0
