Year,Индикатор,Units,Пол,Категория,Возраст,Value
2016,The share of pensioners to the total number of population at the end of the year,%,,связанные с военной службой,,0.07
2017,The share of pensioners to the total number of population at the end of the year,%,,связанные с военной службой,,0.07
2018,The share of pensioners to the total number of population at the end of the year,%,,связанные с военной службой,,0.06
2019,The share of pensioners to the total number of population at the end of the year,%,,связанные с военной службой,,0.06
2020,The share of pensioners to the total number of population at the end of the year,%,,связанные с военной службой,,0.06
2015,The share of pensioners to the total number of population at the end of the year,%,мужчина,связанные с военной службой,,0.16
2016,The share of pensioners to the total number of population at the end of the year,%,мужчина,связанные с военной службой,,0.15
2017,The share of pensioners to the total number of population at the end of the year,%,мужчина,связанные с военной службой,,0.14
2018,The share of pensioners to the total number of population at the end of the year,%,мужчина,связанные с военной службой,,0.13
2019,The share of pensioners to the total number of population at the end of the year,%,мужчина,связанные с военной службой,,0.13
2020,The share of pensioners to the total number of population at the end of the year,%,мужчина,связанные с военной службой,,0.12
2015,The share of pensioners to the total number of population at the end of the year,%,женщина,связанные с военной службой,,0.002
2016,The share of pensioners to the total number of population at the end of the year,%,женщина,связанные с военной службой,,0.001
2017,The share of pensioners to the total number of population at the end of the year,%,женщина,связанные с военной службой,,0.001
2018,The share of pensioners to the total number of population at the end of the year,%,женщина,связанные с военной службой,,0.001
2019,The share of pensioners to the total number of population at the end of the year,%,женщина,связанные с военной службой,,0.001
2020,The share of pensioners to the total number of population at the end of the year,%,женщина,связанные с военной службой,,0.0004
2015,The share of pensioners to the total number of population at the end of the year,%,,,до 51 лет,1.02
2016,The share of pensioners to the total number of population at the end of the year,%,,,до 51 лет,0.95
2017,The share of pensioners to the total number of population at the end of the year,%,,,до 51 лет,0.79
2018,The share of pensioners to the total number of population at the end of the year,%,,,до 51 лет,0.7
2019,The share of pensioners to the total number of population at the end of the year,%,,,до 51 лет,0.62
2020,The share of pensioners to the total number of population at the end of the year,%,,,до 51 лет,0.58
2015,The share of pensioners to the total number of population at the end of the year,%,мужчина,,до 51 лет,0.99
2016,The share of pensioners to the total number of population at the end of the year,%,мужчина,,до 51 лет,0.94
2017,The share of pensioners to the total number of population at the end of the year,%,мужчина,,до 51 лет,0.79
2018,The share of pensioners to the total number of population at the end of the year,%,мужчина,,до 51 лет,0.72
2019,The share of pensioners to the total number of population at the end of the year,%,мужчина,,до 51 лет,0.64
2020,The share of pensioners to the total number of population at the end of the year,%,мужчина,,до 51 лет,0.6
2015,The share of pensioners to the total number of population at the end of the year,%,женщина,,до 51 лет,1.06
2016,The share of pensioners to the total number of population at the end of the year,%,женщина,,до 51 лет,0.97
2017,The share of pensioners to the total number of population at the end of the year,%,женщина,,до 51 лет,0.78
2018,The share of pensioners to the total number of population at the end of the year,%,женщина,,до 51 лет,0.69
2019,The share of pensioners to the total number of population at the end of the year,%,женщина,,до 51 лет,0.6
2020,The share of pensioners to the total number of population at the end of the year,%,женщина,,до 51 лет,0.56
2015,The share of pensioners to the total number of population at the end of the year,%,,,51-55 лет,10.32
2016,The share of pensioners to the total number of population at the end of the year,%,,,51-55 лет,10.01
2017,The share of pensioners to the total number of population at the end of the year,%,,,51-55 лет,8.15
2018,The share of pensioners to the total number of population at the end of the year,%,,,51-55 лет,7.37
2019,The share of pensioners to the total number of population at the end of the year,%,,,51-55 лет,4.41
2020,The share of pensioners to the total number of population at the end of the year,%,,,51-55 лет,3.96
2015,The share of pensioners to the total number of population at the end of the year,%,мужчина,,51-55 лет,10.47
2016,The share of pensioners to the total number of population at the end of the year,%,мужчина,,51-55 лет,10.38
2017,The share of pensioners to the total number of population at the end of the year,%,мужчина,,51-55 лет,8.75
2018,The share of pensioners to the total number of population at the end of the year,%,мужчина,,51-55 лет,7.93
2019,The share of pensioners to the total number of population at the end of the year,%,мужчина,,51-55 лет,5.06
2020,The share of pensioners to the total number of population at the end of the year,%,мужчина,,51-55 лет,4.46
2015,The share of pensioners to the total number of population at the end of the year,%,женщина,,51-55 лет,10.2
2016,The share of pensioners to the total number of population at the end of the year,%,женщина,,51-55 лет,9.72
2017,The share of pensioners to the total number of population at the end of the year,%,женщина,,51-55 лет,7.68
2018,The share of pensioners to the total number of population at the end of the year,%,женщина,,51-55 лет,6.92
2019,The share of pensioners to the total number of population at the end of the year,%,женщина,,51-55 лет,3.91
2020,The share of pensioners to the total number of population at the end of the year,%,женщина,,51-55 лет,3.57
2015,The share of pensioners to the total number of population at the end of the year,%,,,56-62 лет,23.32
2016,The share of pensioners to the total number of population at the end of the year,%,,,56-62 лет,22.58
2017,The share of pensioners to the total number of population at the end of the year,%,,,56-62 лет,19.33
2018,The share of pensioners to the total number of population at the end of the year,%,,,56-62 лет,18.05
2019,The share of pensioners to the total number of population at the end of the year,%,,,56-62 лет,15.21
2020,The share of pensioners to the total number of population at the end of the year,%,,,56-62 лет,13.91
2015,The share of pensioners to the total number of population at the end of the year,%,мужчина,,56-62 лет,20.14
2016,The share of pensioners to the total number of population at the end of the year,%,мужчина,,56-62 лет,19.87
2017,The share of pensioners to the total number of population at the end of the year,%,мужчина,,56-62 лет,17.23
2018,The share of pensioners to the total number of population at the end of the year,%,мужчина,,56-62 лет,16.42
2019,The share of pensioners to the total number of population at the end of the year,%,мужчина,,56-62 лет,14.14
2020,The share of pensioners to the total number of population at the end of the year,%,мужчина,,56-62 лет,13.15
2015,The share of pensioners to the total number of population at the end of the year,%,женщина,,56-62 лет,25.9
2016,The share of pensioners to the total number of population at the end of the year,%,женщина,,56-62 лет,24.76
2017,The share of pensioners to the total number of population at the end of the year,%,женщина,,56-62 лет,21.0
2018,The share of pensioners to the total number of population at the end of the year,%,женщина,,56-62 лет,19.34
2019,The share of pensioners to the total number of population at the end of the year,%,женщина,,56-62 лет,16.04
2020,The share of pensioners to the total number of population at the end of the year,%,женщина,,56-62 лет,14.5
2015,The share of pensioners to the total number of population at the end of the year,%,,,63 и более лет,92.73
2016,The share of pensioners to the total number of population at the end of the year,%,,,63 и более лет,92.52
2017,The share of pensioners to the total number of population at the end of the year,%,,,63 и более лет,91.47
2018,The share of pensioners to the total number of population at the end of the year,%,,,63 и более лет,91.36
2019,The share of pensioners to the total number of population at the end of the year,%,,,63 и более лет,92.57
2020,The share of pensioners to the total number of population at the end of the year,%,,,63 и более лет,91.71
2015,The share of pensioners to the total number of population at the end of the year,%,мужчина,,63 и более лет,88.1
2016,The share of pensioners to the total number of population at the end of the year,%,мужчина,,63 и более лет,88.25
2017,The share of pensioners to the total number of population at the end of the year,%,мужчина,,63 и более лет,87.48
2018,The share of pensioners to the total number of population at the end of the year,%,мужчина,,63 и более лет,87.86
2019,The share of pensioners to the total number of population at the end of the year,%,мужчина,,63 и более лет,89.58
2020,The share of pensioners to the total number of population at the end of the year,%,мужчина,,63 и более лет,89.28
2015,The share of pensioners to the total number of population at the end of the year,%,женщина,,63 и более лет,95.83
2016,The share of pensioners to the total number of population at the end of the year,%,женщина,,63 и более лет,95.38
2017,The share of pensioners to the total number of population at the end of the year,%,женщина,,63 и более лет,94.14
2018,The share of pensioners to the total number of population at the end of the year,%,женщина,,63 и более лет,93.7
2019,The share of pensioners to the total number of population at the end of the year,%,женщина,,63 и более лет,94.55
2020,The share of pensioners to the total number of population at the end of the year,%,женщина,,63 и более лет,93.32
2021,The share of pensioners to the total number of population at the end of the year,%,,,,15.72
2021,The share of pensioners to the total number of population at the end of the year,%,мужчина,,,13.14
2021,The share of pensioners to the total number of population at the end of the year,%,женщина,,,18.04
2021,The share of pensioners to the total number of population at the end of the year,%,,возрастные,,11.4
2021,The share of pensioners to the total number of population at the end of the year,%,мужчина,возрастные,,9.19
2021,The share of pensioners to the total number of population at the end of the year,%,женщина,возрастные,,13.37
2021,The share of pensioners to the total number of population at the end of the year,%,,на льготных условиях,,0.04
2021,The share of pensioners to the total number of population at the end of the year,%,мужчина,на льготных условиях,,0.06
2021,The share of pensioners to the total number of population at the end of the year,%,женщина,на льготных условиях,,0.02
2021,The share of pensioners to the total number of population at the end of the year,%,,за выслугу лет,,0.01
2021,The share of pensioners to the total number of population at the end of the year,%,мужчина,за выслугу лет,,0.02
2021,The share of pensioners to the total number of population at the end of the year,%,женщина,за выслугу лет,,0.01
2021,The share of pensioners to the total number of population at the end of the year,%,,частичные,,0.33
2021,The share of pensioners to the total number of population at the end of the year,%,мужчина,частичные,,0.06
2021,The share of pensioners to the total number of population at the end of the year,%,женщина,частичные,,0.58
2021,The share of pensioners to the total number of population at the end of the year,%,,по инвалидности,,3.62
2021,The share of pensioners to the total number of population at the end of the year,%,мужчина,по инвалидности,,3.49
2021,The share of pensioners to the total number of population at the end of the year,%,женщина,по инвалидности,,3.73
2021,The share of pensioners to the total number of population at the end of the year,%,,в случае потери кормильца,,0.24
2021,The share of pensioners to the total number of population at the end of the year,%,мужчина,в случае потери кормильца,,0.15
2021,The share of pensioners to the total number of population at the end of the year,%,женщина,в случае потери кормильца,,0.32
2021,The share of pensioners to the total number of population at the end of the year,%,,установленные по другим законам,,0.02
2021,The share of pensioners to the total number of population at the end of the year,%,мужчина,установленные по другим законам,,0.05
2021,The share of pensioners to the total number of population at the end of the year,%,женщина,установленные по другим законам,,0.004
2021,The share of pensioners to the total number of population at the end of the year,%,,связанные с военной службой,,0.05
2021,The share of pensioners to the total number of population at the end of the year,%,мужчина,связанные с военной службой,,0.12
2021,The share of pensioners to the total number of population at the end of the year,%,женщина,связанные с военной службой,,0.0004
2021,The share of pensioners to the total number of population at the end of the year,%,,,до 51 лет,0.56
2021,The share of pensioners to the total number of population at the end of the year,%,мужчина,,до 51 лет,0.58
2021,The share of pensioners to the total number of population at the end of the year,%,женщина,,до 51 лет,0.53
2021,The share of pensioners to the total number of population at the end of the year,%,,,51-55 лет,3.5
2021,The share of pensioners to the total number of population at the end of the year,%,мужчина,,51-55 лет,3.88
2021,The share of pensioners to the total number of population at the end of the year,%,женщина,,51-55 лет,3.21
2021,The share of pensioners to the total number of population at the end of the year,%,,,56-62 лет,12.82
2021,The share of pensioners to the total number of population at the end of the year,%,мужчина,,56-62 лет,12.24
2021,The share of pensioners to the total number of population at the end of the year,%,женщина,,56-62 лет,13.27
2021,The share of pensioners to the total number of population at the end of the year,%,,,63 и более лет,90.14
2021,The share of pensioners to the total number of population at the end of the year,%,мужчина,,63 и более лет,88.22
2021,The share of pensioners to the total number of population at the end of the year,%,женщина,,63 и более лет,91.41
2022,The share of pensioners to the total number of population at the end of the year,%,,,,15.67
2022,The share of pensioners to the total number of population at the end of the year,%,мужчина,,,13.03
2022,The share of pensioners to the total number of population at the end of the year,%,женщина,,,18.02
2022,The share of pensioners to the total number of population at the end of the year,%,,возрастные,,11.62
2022,The share of pensioners to the total number of population at the end of the year,%,мужчина,возрастные,,9.42
2022,The share of pensioners to the total number of population at the end of the year,%,женщина,возрастные,,13.59
2022,The share of pensioners to the total number of population at the end of the year,%,,на льготных условиях,,0.03
2022,The share of pensioners to the total number of population at the end of the year,%,мужчина,на льготных условиях,,0.05
2022,The share of pensioners to the total number of population at the end of the year,%,женщина,на льготных условиях,,0.02
2022,The share of pensioners to the total number of population at the end of the year,%,,за выслугу лет,,0.01
2022,The share of pensioners to the total number of population at the end of the year,%,мужчина,за выслугу лет,,0.02
2022,The share of pensioners to the total number of population at the end of the year,%,женщина,за выслугу лет,,0.01
2022,The share of pensioners to the total number of population at the end of the year,%,,частичные,,0.3
2022,The share of pensioners to the total number of population at the end of the year,%,мужчина,частичные,,0.05
2022,The share of pensioners to the total number of population at the end of the year,%,женщина,частичные,,0.52
2022,The share of pensioners to the total number of population at the end of the year,%,,по инвалидности,,3.47
2022,The share of pensioners to the total number of population at the end of the year,%,мужчина,по инвалидности,,3.35
2022,The share of pensioners to the total number of population at the end of the year,%,женщина,по инвалидности,,3.59
2022,The share of pensioners to the total number of population at the end of the year,%,,в случае потери кормильца,,0.23
2022,The share of pensioners to the total number of population at the end of the year,%,мужчина,в случае потери кормильца,,0.14
2022,The share of pensioners to the total number of population at the end of the year,%,женщина,в случае потери кормильца,,0.3
2022,The share of pensioners to the total number of population at the end of the year,%,,установленные по другим законам,,0.03
2022,The share of pensioners to the total number of population at the end of the year,%,мужчина,установленные по другим законам,,0.05
2022,The share of pensioners to the total number of population at the end of the year,%,женщина,установленные по другим законам,,0.004
2022,The share of pensioners to the total number of population at the end of the year,%,,связанные с военной службой,,0.05
2022,The share of pensioners to the total number of population at the end of the year,%,мужчина,связанные с военной службой,,0.11
2022,The share of pensioners to the total number of population at the end of the year,%,женщина,связанные с военной службой,,0.0004
2022,The share of pensioners to the total number of population at the end of the year,%,,,до 51 лет,0.5
2022,The share of pensioners to the total number of population at the end of the year,%,мужчина,,до 51 лет,0.53
2022,The share of pensioners to the total number of population at the end of the year,%,женщина,,до 51 лет,0.47
2022,The share of pensioners to the total number of population at the end of the year,%,,,51-55 лет,3.03
2022,The share of pensioners to the total number of population at the end of the year,%,мужчина,,51-55 лет,3.32
2022,The share of pensioners to the total number of population at the end of the year,%,женщина,,51-55 лет,2.81
2022,The share of pensioners to the total number of population at the end of the year,%,,,56-62 лет,11.24
2022,The share of pensioners to the total number of population at the end of the year,%,мужчина,,56-62 лет,10.71
2022,The share of pensioners to the total number of population at the end of the year,%,женщина,,56-62 лет,11.63
2022,The share of pensioners to the total number of population at the end of the year,%,,,63 и более лет,88.48
2022,The share of pensioners to the total number of population at the end of the year,%,мужчина,,63 и более лет,87.05
2022,The share of pensioners to the total number of population at the end of the year,%,женщина,,63 и более лет,89.42
2023,The share of pensioners to the total number of population at the end of the year,%,,,,15.83
2023,The share of pensioners to the total number of population at the end of the year,%,мужчина,,,13.22
2023,The share of pensioners to the total number of population at the end of the year,%,женщина,,,18.18
2023,The share of pensioners to the total number of population at the end of the year,%,,возрастные,,11.94
2023,The share of pensioners to the total number of population at the end of the year,%,мужчина,возрастные,,9.74
2023,The share of pensioners to the total number of population at the end of the year,%,женщина,возрастные,,13.91
2023,The share of pensioners to the total number of population at the end of the year,%,,на льготных условиях,,0.03
2023,The share of pensioners to the total number of population at the end of the year,%,мужчина,на льготных условиях,,0.05
2023,The share of pensioners to the total number of population at the end of the year,%,женщина,на льготных условиях,,0.02
2023,The share of pensioners to the total number of population at the end of the year,%,,за выслугу лет,,0.01
2023,The share of pensioners to the total number of population at the end of the year,%,мужчина,за выслугу лет,,0.02
2023,The share of pensioners to the total number of population at the end of the year,%,женщина,за выслугу лет,,0.01
2023,The share of pensioners to the total number of population at the end of the year,%,,частичные,,0.27
2023,The share of pensioners to the total number of population at the end of the year,%,мужчина,частичные,,0.04
2023,The share of pensioners to the total number of population at the end of the year,%,женщина,частичные,,0.47
2023,The share of pensioners to the total number of population at the end of the year,%,,по инвалидности,,3.38
2023,The share of pensioners to the total number of population at the end of the year,%,мужчина,по инвалидности,,3.25
2023,The share of pensioners to the total number of population at the end of the year,%,женщина,по инвалидности,,3.49
2023,The share of pensioners to the total number of population at the end of the year,%,,в случае потери кормильца,,0.21
2023,The share of pensioners to the total number of population at the end of the year,%,мужчина,в случае потери кормильца,,0.14
2023,The share of pensioners to the total number of population at the end of the year,%,женщина,в случае потери кормильца,,0.28
2023,The share of pensioners to the total number of population at the end of the year,%,,установленные по другим законам,,0.03
2023,The share of pensioners to the total number of population at the end of the year,%,мужчина,установленные по другим законам,,0.02
2023,The share of pensioners to the total number of population at the end of the year,%,женщина,установленные по другим законам,,0.0
2023,The share of pensioners to the total number of population at the end of the year,%,,связанные с военной службой,,0.05
2023,The share of pensioners to the total number of population at the end of the year,%,мужчина,связанные с военной службой,,0.11
2023,The share of pensioners to the total number of population at the end of the year,%,женщина,связанные с военной службой,,0.0004
2023,The share of pensioners to the total number of population at the end of the year,%,,,до 51 лет,0.49
2023,The share of pensioners to the total number of population at the end of the year,%,мужчина,,до 51 лет,0.53
2023,The share of pensioners to the total number of population at the end of the year,%,женщина,,до 51 лет,0.45
2023,The share of pensioners to the total number of population at the end of the year,%,,,51-55 лет,2.49
2023,The share of pensioners to the total number of population at the end of the year,%,мужчина,,51-55 лет,2.64
2023,The share of pensioners to the total number of population at the end of the year,%,женщина,,51-55 лет,2.36
2023,The share of pensioners to the total number of population at the end of the year,%,,,56-62 лет,9.38
2023,The share of pensioners to the total number of population at the end of the year,%,мужчина,,56-62 лет,0.86
2023,The share of pensioners to the total number of population at the end of the year,%,женщина,,56-62 лет,9.97
2023,The share of pensioners to the total number of population at the end of the year,%,,,63 и более лет,73.02
2023,The share of pensioners to the total number of population at the end of the year,%,мужчина,,63 и более лет,70.97
