"Year","Units","Sex","Age","Category","Value"
"2019","%","","aged 0-4 years","","12.49"
"2020","%","","aged 0-4 years","","12.3"
"2015","%","male","aged 0-4 years","","11.44"
"2016","%","male","aged 0-4 years","","12.62"
"2017","%","male","aged 0-4 years","","11.7"
"2018","%","male","aged 0-4 years","","11.82"
"2019","%","male","aged 0-4 years","","11.92"
"2020","%","male","aged 0-4 years","","11.27"
"2015","%","female","aged 0-4 years","","14.72"
"2016","%","female","aged 0-4 years","","14.24"
"2017","%","female","aged 0-4 years","","14.38"
"2018","%","female","aged 0-4 years","","14.01"
"2019","%","female","aged 0-4 years","","13.73"
"2020","%","female","aged 0-4 years","","14.54"
"2015","%","","aged 5-9 years","","27.06"
"2016","%","","aged 5-9 years","","27.63"
"2017","%","","aged 5-9 years","","28.81"
"2018","%","","aged 5-9 years","","28.77"
"2019","%","","aged 5-9 years","","28.03"
"2020","%","","aged 5-9 years","","26.75"
"2015","%","male","aged 5-9 years","","26.77"
"2016","%","male","aged 5-9 years","","27.39"
"2017","%","male","aged 5-9 years","","27.91"
"2018","%","male","aged 5-9 years","","28.59"
"2019","%","male","aged 5-9 years","","27.87"
"2020","%","male","aged 5-9 years","","25.72"
"2015","%","female","aged 5-9 years","","27.7"
"2016","%","female","aged 5-9 years","","28.14"
"2017","%","female","aged 5-9 years","","30.76"
"2018","%","female","aged 5-9 years","","29.16"
"2019","%","female","aged 5-9 years","","28.39"
"2020","%","female","aged 5-9 years","","28.98"
"2015","%","","aged 10-14 years","","32.87"
"2016","%","","aged 10-14 years","","32.14"
"2017","%","","aged 10-14 years","","32.94"
"2018","%","","aged 10-14 years","","34.93"
"2019","%","","aged 10-14 years","","32.12"
"2020","%","","aged 10-14 years","","30.76"
"2015","%","male","aged 10-14 years","","32.39"
"2016","%","male","aged 10-14 years","","32.77"
"2017","%","male","aged 10-14 years","","33.8"
"2018","%","male","aged 10-14 years","","34.94"
"2019","%","male","aged 10-14 years","","32.35"
"2020","%","male","aged 10-14 years","","30.33"
"2015","%","female","aged 10-14 years","","33.92"
"2016","%","female","aged 10-14 years","","30.79"
"2017","%","female","aged 10-14 years","","31.07"
"2018","%","female","aged 10-14 years","","34.92"
"2019","%","female","aged 10-14 years","","31.64"
"2020","%","female","aged 10-14 years","","31.7"
"2015","%","","aged 15 years","","7.86"
"2016","%","","aged 15 years","","8.21"
"2017","%","","aged 15 years","","8.14"
"2018","%","","aged 15 years","","8.51"
"2019","%","","aged 15 years","","8.51"
"2020","%","","aged 15 years","","8.21"
"2015","%","male","aged 15 years","","7.46"
"2016","%","male","aged 15 years","","7.83"
"2017","%","male","aged 15 years","","8.12"
"2018","%","male","aged 15 years","","8.61"
"2019","%","male","aged 15 years","","8.51"
"2020","%","male","aged 15 years","","8.26"
"2015","%","female","aged 15 years","","8.74"
"2016","%","female","aged 15 years","","9.01"
"2017","%","female","aged 15 years","","8.17"
"2018","%","female","aged 15 years","","8.29"
"2019","%","female","aged 15 years","","8.53"
"2020","%","female","aged 15 years","","8.09"
"2015","%","","aged 16-17 years","","13.22"
"2016","%","","aged 16-17 years","","11.8"
"2017","%","","aged 16-17 years","","12.4"
"2018","%","","aged 16-17 years","","12.94"
"2019","%","","aged 16-17 years","","12.56"
"2020","%","","aged 16-17 years","","11.58"
"2015","%","male","aged 16-17 years","","13.27"
"2016","%","male","aged 16-17 years","","11.58"
"2017","%","male","aged 16-17 years","","12.24"
"2018","%","male","aged 16-17 years","","12.93"
"2019","%","male","aged 16-17 years","","12.95"
"2020","%","male","aged 16-17 years","","11.91"
"2015","%","female","aged 16-17 years","","13.11"
"2016","%","female","aged 16-17 years","","12.28"
"2017","%","female","aged 16-17 years","","12.76"
"2018","%","female","aged 16-17 years","","12.96"
"2019","%","female","aged 16-17 years","","11.7"
"2020","%","female","aged 16-17 years","","10.88"
"2021","%","","","","1.12"
"2021","%","male","","","1.42"
"2021","%","female","","","0.78"
"2021","%","","aged 0-4 years","","0.57"
"2021","%","male","aged 0-4 years","","0.69"
"2021","%","female","aged 0-4 years","","0.44"
"2021","%","","aged 5-9 years","","1.12"
"2021","%","male","aged 5-9 years","","1.44"
"2021","%","female","aged 5-9 years","","0.78"
"2021","%","","aged 10-14 years","","1.32"
"2021","%","male","aged 10-14 years","","1.68"
"2021","%","female","aged 10-14 years","","0.9"
"2021","%","","aged 15 years","","2.02"
"2021","%","male","aged 15 years","","2.51"
"2021","%","female","aged 15 years","","1.48"
"2021","%","","aged 16-17 years","","1.41"
"2021","%","male","aged 16-17 years","","1.86"
"2021","%","female","aged 16-17 years","","0.89"
"2021","%","","","total to the total number of children with disabilities (aged 0-17 years)","86.1"
"2021","%","male","","total to the total number of children with disabilities (aged 0-17 years)","84.76"
"2021","%","female","","total to the total number of children with disabilities (aged 0-17 years)","89.01"
"2021","%","","aged 0-4 years","","11.28"
"2021","%","male","aged 0-4 years","","10.45"
"2021","%","female","aged 0-4 years","","13.09"
"2021","%","","aged 5-9 years","","25.56"
"2021","%","male","aged 5-9 years","","25.21"
"2021","%","female","aged 5-9 years","","26.33"
"2021","%","","aged 10-14 years","","29.72"
"2021","%","male","aged 10-14 years","","29.49"
"2021","%","female","aged 10-14 years","","30.22"
"2021","%","","aged 15 years","","8.33"
"2021","%","male","aged 15 years","","8.04"
"2021","%","female","aged 15 years","","8.96"
"2021","%","","aged 16-17 years","","11.21"
"2021","%","male","aged 16-17 years","","11.58"
"2021","%","female","aged 16-17 years","","10.41"
"2022","%","","","","1.13"
"2022","%","male","","","1.43"
"2022","%","female","","","0.79"
"2022","%","","aged 0-4 years","","0.61"
"2022","%","male","aged 0-4 years","","0.77"
"2022","%","female","aged 0-4 years","","0.44"
"2022","%","","aged 5-9 years","","1.18"
"2022","%","male","aged 5-9 years","","1.47"
"2022","%","female","aged 5-9 years","","0.84"
"2022","%","","aged 10-14 years","","1.3"
"2022","%","male","aged 10-14 years","","1.64"
"2022","%","female","aged 10-14 years","","0.91"
"2022","%","","aged 15 years","","1.81"
"2022","%","male","aged 15 years","","2.34"
"2022","%","female","aged 15 years","","1.2"
"2022","%","","aged 16-17 years","","1.41"
"2022","%","male","aged 16-17 years","","1.85"
"2022","%","female","aged 16-17 years","","0.91"
"2022","%","","","total to the total number of children with disabilities (aged 0-17 years)","85.89"
"2022","%","male","","total to the total number of children with disabilities (aged 0-17 years)","84.5"
"2022","%","female","","total to the total number of children with disabilities (aged 0-17 years)","88.89"
"2022","%","","aged 0-4 years","","12.02"
"2022","%","male","aged 0-4 years","","11.55"
"2022","%","female","aged 0-4 years","","13.04"
"2022","%","","aged 5-9 years","","25.71"
"2022","%","male","aged 5-9 years","","24.91"
"2022","%","female","aged 5-9 years","","27.42"
"2022","%","","aged 10-14 years","","29.21"
"2022","%","male","aged 10-14 years","","28.75"
"2022","%","female","aged 10-14 years","","30.19"
"2022","%","","aged 15 years","","7.66"
"2022","%","male","aged 15 years","","7.73"
"2022","%","female","aged 15 years","","7.5"
"2022","%","","aged 16-17 years","","11.3"
"2022","%","male","aged 16-17 years","","11.56"
"2022","%","female","aged 16-17 years","","10.74"
"2023","%","","","","1.17"
"2023","%","male","","","1.47"
"2023","%","female","","","0.82"
"2023","%","","aged 0-4 years","","0.61"
"2023","%","male","aged 0-4 years","","0.75"
"2023","%","female","aged 0-4 years","","0.45"
"2023","%","","aged 5-9 years","","1.26"
"2023","%","male","aged 5-9 years","","1.6"
"2023","%","female","aged 5-9 years","","0.88"
"2023","%","","aged 10-14 years","","1.47"
"2023","%","male","aged 10-14 years","","1.84"
"2023","%","female","aged 10-14 years","","1.05"
"2023","%","","aged 15 years","","2.05"
"2023","%","male","aged 15 years","","2.34"
"2023","%","female","aged 15 years","","1.38"
"2023","%","","aged 16-17 years","","1.67"
"2023","%","male","aged 16-17 years","","2.24"
"2023","%","female","aged 16-17 years","","1.04"
"2023","%","","","total to the total number of children with disabilities (aged 0-17 years)","97.3"
"2023","%","male","","total to the total number of children with disabilities (aged 0-17 years)","95.52"
"2023","%","female","","total to the total number of children with disabilities (aged 0-17 years)","101.1"
"2023","%","","aged 0-4 years","","12.73"
"2023","%","male","aged 0-4 years","","12.07"
"2023","%","female","aged 0-4 years","","14.15"
"2023","%","","aged 5-9 years","","28.47"
"2023","%","male","aged 5-9 years","","2808.0"
"2023","%","female","aged 5-9 years","","29.3"
"2023","%","","aged 10-14 years","","33.97"
"2023","%","","aged 10-14 years","","33.06"
"2023","%","","aged 10-14 years","","35.92"
"2023","%","","aged 15 years","","8.78"
"2023","%","","aged 15 years","","8.5"
"2023","%","","aged 15 years","","9.38"
"2023","%","","aged 16-17 years","","13.34"
"2023","%","","aged 16-17 years","","13.81"
"2023","%","","aged 16-17 years","","12.35"
"2024","%","","","","1.20"
"2024","%","boys","","","1.50"
"2024","%","girls","","","0.86"
"2024","%","","aged 0-4 years","","0.59"
"2024","%","boys","aged 0-4 years","","0.72"
"2024","%","girls","aged 0-4 years","","0.44"
"2024","%","","aged 5-9 years","","1.29"
"2024","%","boys","aged 5-9 years","","1.63"
"2024","%","girls","aged 5-9 years","","0.91"
"2024","%","","aged 10-14 years","","1.40"
"2024","%","boys","aged 10-14 years","","1.75"
"2024","%","girls","aged 10-14 years","","1.02"
"2024","%","","aged 15 years","","1.89"
"2024","%","boys","aged 15 years","","2.29"
"2024","%","girls","aged 15 years","","1.44"
"2024","%","","aged 16-17 years","","1.53"
"2024","%","boys","aged 16-17 years","","1.97"
"2024","%","girls","aged 16-17 years","","1.04"
"2024","%","","","total to the total number of children with disabilities (aged 0-17 years)","126.54"
"2024","%","boys","","total to the total number of children with disabilities (aged 0-17 years)","123.54"
"2024","%","girls","","total to the total number of children with disabilities (aged 0-17 years)","132.97"
"2024","%","","aged 0-4 years","","16.20"
"2024","%","boys","aged 0-4 years","","15.35"
"2024","%","girls","aged 0-4 years","","17.98"
"2024","%","","aged 5-9 years","","38.06"
"2024","%","boys","aged 5-9 years","","37.61"
"2024","%","girls","aged 5-9 years","","38.99"
"2024","%","","aged 10-14 years","","43.64"
"2024","%","boys","aged 10-14 years","","42.47"
"2024","%","girls","aged 10-14 years","","46.06"
"2024","%","","aged 15 years","","11.54"
"2024","%","boys","aged 15 years","","10.99"
"2024","%","girls","aged 15 years","","12.67"
"2024","%","","aged 16-17 years","","17.10"
"2024","%","boys","aged 16-17 years","","17.02"
"2024","%","girls","aged 16-17 years","","17.27"
