"Year","Units","Sex","Category","Age","Value"
"2018","%","","in case of losing a breadwinner","","0.29"
"2019","%","","in case of losing a breadwinner","","0.26"
"2020","%","","in case of losing a breadwinner","","0.25"
"2015","%","male","in case of losing a breadwinner","","0.21"
"2016","%","male","in case of losing a breadwinner","","0.21"
"2017","%","male","in case of losing a breadwinner","","0.19"
"2018","%","male","in case of losing a breadwinner","","0.18"
"2019","%","male","in case of losing a breadwinner","","0.16"
"2020","%","male","in case of losing a breadwinner","","0.15"
"2015","%","female","in case of losing a breadwinner","","0.49"
"2016","%","female","in case of losing a breadwinner","","0.45"
"2017","%","female","in case of losing a breadwinner","","0.42"
"2018","%","female","in case of losing a breadwinner","","0.39"
"2019","%","female","in case of losing a breadwinner","","0.35"
"2020","%","female","in case of losing a breadwinner","","0.33"
"2016","%","","by other laws","","0.01"
"2017","%","","by other laws","","0.02"
"2018","%","","by other laws","","0.02"
"2019","%","","by other laws","","0.02"
"2020","%","","by other laws","","0.02"
"2016","%","male","by other laws","","0.01"
"2017","%","male","by other laws","","0.04"
"2018","%","male","by other laws","","0.04"
"2019","%","male","by other laws","","0.04"
"2020","%","male","by other laws","","0.05"
"2016","%","female","by other laws","","0.002"
"2017","%","female","by other laws","","0.004"
"2018","%","female","by other laws","","0.004"
"2019","%","female","by other laws","","0.004"
"2020","%","female","by other laws","","0.004"
"2015","%","","related to military service","","0.08"
"2016","%","","related to military service","","0.07"
"2017","%","","related to military service","","0.07"
"2018","%","","related to military service","","0.06"
"2019","%","","related to military service","","0.06"
"2020","%","","related to military service","","0.06"
"2015","%","male","related to military service","","0.16"
"2016","%","male","related to military service","","0.15"
"2017","%","male","related to military service","","0.14"
"2018","%","male","related to military service","","0.13"
"2019","%","male","related to military service","","0.13"
"2020","%","male","related to military service","","0.12"
"2015","%","female","related to military service","","0.002"
"2016","%","female","related to military service","","0.001"
"2017","%","female","related to military service","","0.001"
"2018","%","female","related to military service","","0.001"
"2019","%","female","related to military service","","0.001"
"2020","%","female","related to military service","","0.0004"
"2015","%","","","up to 51 years old","1.02"
"2016","%","","","up to 51 years old","0.95"
"2017","%","","","up to 51 years old","0.79"
"2018","%","","","up to 51 years old","0.7"
"2019","%","","","up to 51 years old","0.62"
"2020","%","","","up to 51 years old","0.58"
"2015","%","male","","up to 51 years old","0.99"
"2016","%","male","","up to 51 years old","0.94"
"2017","%","male","","up to 51 years old","0.79"
"2018","%","male","","up to 51 years old","0.72"
"2019","%","male","","up to 51 years old","0.64"
"2020","%","male","","up to 51 years old","0.6"
"2015","%","female","","up to 51 years old","1.06"
"2016","%","female","","up to 51 years old","0.97"
"2017","%","female","","up to 51 years old","0.78"
"2018","%","female","","up to 51 years old","0.69"
"2019","%","female","","up to 51 years old","0.6"
"2020","%","female","","up to 51 years old","0.56"
"2015","%","","","aged 51 - 55 years","10.32"
"2016","%","","","aged 51 - 55 years","10.01"
"2017","%","","","aged 51 - 55 years","8.15"
"2018","%","","","aged 51 - 55 years","7.37"
"2019","%","","","aged 51 - 55 years","4.41"
"2020","%","","","aged 51 - 55 years","3.96"
"2015","%","male","","aged 51 - 55 years","10.47"
"2016","%","male","","aged 51 - 55 years","10.38"
"2017","%","male","","aged 51 - 55 years","8.75"
"2018","%","male","","aged 51 - 55 years","7.93"
"2019","%","male","","aged 51 - 55 years","5.06"
"2020","%","male","","aged 51 - 55 years","4.46"
"2015","%","female","","aged 51 - 55 years","10.2"
"2016","%","female","","aged 51 - 55 years","9.72"
"2017","%","female","","aged 51 - 55 years","7.68"
"2018","%","female","","aged 51 - 55 years","6.92"
"2019","%","female","","aged 51 - 55 years","3.91"
"2020","%","female","","aged 51 - 55 years","3.57"
"2015","%","","","aged 56 - 62 years","23.32"
"2016","%","","","aged 56 - 62 years","22.58"
"2017","%","","","aged 56 - 62 years","19.33"
"2018","%","","","aged 56 - 62 years","18.05"
"2019","%","","","aged 56 - 62 years","15.21"
"2020","%","","","aged 56 - 62 years","13.91"
"2015","%","male","","aged 56 - 62 years","20.14"
"2016","%","male","","aged 56 - 62 years","19.87"
"2017","%","male","","aged 56 - 62 years","17.23"
"2018","%","male","","aged 56 - 62 years","16.42"
"2019","%","male","","aged 56 - 62 years","14.14"
"2020","%","male","","aged 56 - 62 years","13.15"
"2015","%","female","","aged 56 - 62 years","25.9"
"2016","%","female","","aged 56 - 62 years","24.76"
"2017","%","female","","aged 56 - 62 years","21.0"
"2018","%","female","","aged 56 - 62 years","19.34"
"2019","%","female","","aged 56 - 62 years","16.04"
"2020","%","female","","aged 56 - 62 years","14.5"
"2015","%","","","aged 63 and older","92.73"
"2016","%","","","aged 63 and older","92.52"
"2017","%","","","aged 63 and older","91.47"
"2018","%","","","aged 63 and older","91.36"
"2019","%","","","aged 63 and older","92.57"
"2020","%","","","aged 63 and older","91.71"
"2015","%","male","","aged 63 and older","88.1"
"2016","%","male","","aged 63 and older","88.25"
"2017","%","male","","aged 63 and older","87.48"
"2018","%","male","","aged 63 and older","87.86"
"2019","%","male","","aged 63 and older","89.58"
"2020","%","male","","aged 63 and older","89.28"
"2015","%","female","","aged 63 and older","95.83"
"2016","%","female","","aged 63 and older","95.38"
"2017","%","female","","aged 63 and older","94.14"
"2018","%","female","","aged 63 and older","93.7"
"2019","%","female","","aged 63 and older","94.55"
"2020","%","female","","aged 63 and older","93.32"
"2021","%","","","","15.72"
"2021","%","male","","","13.14"
"2021","%","female","","","18.04"
"2021","%","","age-related","","11.4"
"2021","%","male","age-related","","9.19"
"2021","%","female","age-related","","13.37"
"2021","%","","on privileged terms","","0.04"
"2021","%","male","on privileged terms","","0.06"
"2021","%","female","on privileged terms","","0.02"
"2021","%","","long-term service","","0.01"
"2021","%","male","long-term service","","0.02"
"2021","%","female","long-term service","","0.01"
"2021","%","","partially","","0.33"
"2021","%","male","partially","","0.06"
"2021","%","female","partially","","0.58"
"2021","%","","disability","","3.62"
"2021","%","male","disability","","3.49"
"2021","%","female","disability","","3.73"
"2021","%","","in case of losing a breadwinner","","0.24"
"2021","%","male","in case of losing a breadwinner","","0.15"
"2021","%","female","in case of losing a breadwinner","","0.32"
"2021","%","","by other laws","","0.02"
"2021","%","male","by other laws","","0.05"
"2021","%","female","by other laws","","0.004"
"2021","%","","related to military service","","0.05"
"2021","%","male","related to military service","","0.12"
"2021","%","female","related to military service","","0.0004"
"2021","%","","","up to 51 years old","0.56"
"2021","%","male","","up to 51 years old","0.58"
"2021","%","female","","up to 51 years old","0.53"
"2021","%","","","aged 51 - 55 years","3.5"
"2021","%","male","","aged 51 - 55 years","3.88"
"2021","%","female","","aged 51 - 55 years","3.21"
"2021","%","","","aged 56 - 62 years","12.82"
"2021","%","male","","aged 56 - 62 years","12.24"
"2021","%","female","","aged 56 - 62 years","13.27"
"2021","%","","","aged 63 and older","90.14"
"2021","%","male","","aged 63 and older","88.22"
"2021","%","female","","aged 63 and older","91.41"
"2022","%","","","","15.67"
"2022","%","male","","","13.03"
"2022","%","female","","","18.02"
"2022","%","","age-related","","11.62"
"2022","%","male","age-related","","9.42"
"2022","%","female","age-related","","13.59"
"2022","%","","on privileged terms","","0.03"
"2022","%","male","on privileged terms","","0.05"
"2022","%","female","on privileged terms","","0.02"
"2022","%","","long-term service","","0.01"
"2022","%","male","long-term service","","0.02"
"2022","%","female","long-term service","","0.01"
"2022","%","","partially","","0.3"
"2022","%","male","partially","","0.05"
"2022","%","female","partially","","0.52"
"2022","%","","disability","","3.47"
"2022","%","male","disability","","3.35"
"2022","%","female","disability","","3.59"
"2022","%","","in case of losing a breadwinner","","0.23"
"2022","%","male","in case of losing a breadwinner","","0.14"
"2022","%","female","in case of losing a breadwinner","","0.3"
"2022","%","","by other laws","","0.03"
"2022","%","male","by other laws","","0.05"
"2022","%","female","by other laws","","0.004"
"2022","%","","related to military service","","0.05"
"2022","%","male","related to military service","","0.11"
"2022","%","female","related to military service","","0.0004"
"2022","%","","","up to 51 years old","0.5"
"2022","%","male","","up to 51 years old","0.53"
"2022","%","female","","up to 51 years old","0.47"
"2022","%","","","aged 51 - 55 years","3.03"
"2022","%","male","","aged 51 - 55 years","3.32"
"2022","%","female","","aged 51 - 55 years","2.81"
"2022","%","","","aged 56 - 62 years","11.24"
"2022","%","male","","aged 56 - 62 years","10.71"
"2022","%","female","","aged 56 - 62 years","11.63"
"2022","%","","","aged 63 and older","88.48"
"2022","%","male","","aged 63 and older","87.05"
"2022","%","female","","aged 63 and older","89.42"
"2023","%","","","","15.83"
"2023","%","male","","","13.22"
"2023","%","female","","","18.18"
"2023","%","","age-related","","11.94"
"2023","%","male","age-related","","9.74"
"2023","%","female","age-related","","13.91"
"2023","%","","on privileged terms","","0.03"
"2023","%","male","on privileged terms","","0.05"
"2023","%","female","on privileged terms","","0.02"
"2023","%","","long-term service","","0.01"
"2023","%","male","long-term service","","0.02"
"2023","%","female","long-term service","","0.01"
"2023","%","","partially","","0.27"
"2023","%","male","partially","","0.04"
"2023","%","female","partially","","0.47"
"2023","%","","disability","","3.38"
"2023","%","male","disability","","3.25"
"2023","%","female","disability","","3.49"
"2023","%","","in case of losing a breadwinner","","0.21"
"2023","%","male","in case of losing a breadwinner","","0.14"
"2023","%","female","in case of losing a breadwinner","","0.28"
"2023","%","","by other laws","","0.03"
"2023","%","male","by other laws","","0.02"
"2023","%","female","by other laws","","0.0"
"2023","%","","related to military service","","0.05"
"2023","%","male","related to military service","","0.11"
"2023","%","female","related to military service","","0.0004"
"2023","%","","","up to 51 years old","0.49"
"2023","%","male","","up to 51 years old","0.53"
"2023","%","female","","up to 51 years old","0.45"
"2023","%","","","aged 51 - 55 years","2.49"
"2023","%","male","","aged 51 - 55 years","2.64"
"2023","%","female","","aged 51 - 55 years","2.36"
"2023","%","","","aged 56 - 62 years","9.38"
"2023","%","male","","aged 56 - 62 years","0.86"
"2023","%","female","","aged 56 - 62 years","9.97"
"2023","%","","","aged 63 and older","73.02"
"2023","%","male","","aged 63 and older","70.97"
"2023","%","female","","aged 63 and older","74.41"
"2024","%","","","","16.27"
"2024","%","male","","","13.69"
"2024","%","female","","","18.58"
"2024","%","","age-related","","12.38"
"2024","%","male","age-related","","10.11"
"2024","%","female","age-related","","14.41"
"2024","%","","on privileged terms","","0.03"
"2024","%","male","on privileged terms","","0.04"
"2024","%","female","on privileged terms","","0.01"
"2024","%","","long-term service","","0.01"
"2024","%","male","long-term service","","0.01"
"2024","%","female","long-term service","","0.00"
"2024","%","","partially","","0.24"
"2024","%","male","partially","","0.04"
"2024","%","female","partially","","0.42"
"2024","%","","disability","","3.34"
"2024","%","male"," disability","","3.21"
"2024","%","female","disability","","3.46"
"2024","%","","in case of losing a breadwinner","","0.20"
"2024","%","male","in case of losing a breadwinner","","0.13"
"2024","%","female","in case of losing a breadwinner","","0.26"
"2024","%","","by other laws","","0.03"
"2024","%","male","by other laws","","0.05"
"2024","%","female","by other laws","","0.00"
"2024","%","","related to military service","","0.05"
"2024","%","male"," related to military service","","0.10"
"2024","%","female","related to military service","","0.00"
"2024","%","","","up to 51 years old","0.47"
"2024","%","male"," ","up to 51 years old","0.52"
"2024","%","female","","up to 51 years old","0.42"
"2024","%","","","aged 51 - 55 years","2.24"
"2024","%","male","","aged 51 - 55 years","3.18"
"2024","%","female","","aged 51 - 55 years","1.75"
"2024","%","","","aged 56 - 62 years","8.64"
"2024","%","male",""," aged 56 - 62 years","6.73"
"2024","%","female","","aged 56 - 62 years","10.66"
"2024","%","","","aged 63 and older","73.30"
"2024","%","male","","aged 63 and older","71.49"
"2024","%","female","","aged 63 and older","74.52"
