Year,Sex,Location,Age,Category,Quintiles,Services,Value
2017,,,,,,electricity supply,98.4
2018,,,,,,electricity supply,98.9
2019,,,,,,electricity supply,97.7
2020,,,,,,electricity supply,98.7
2021,,,,,,electricity supply,99.0
2021,male ,,,,,electricity supply,99.0
2021,female,,,,,electricity supply,98.9
2021,,urban,,,,electricity supply,99.1
2021,,rural,,,,electricity supply,98.8
2021,,,aged 0-25 years,,,electricity supply,98.9
2021,,,aged 25-34 years,,,electricity supply,98.6
2021,,,aged 35-44 years,,,electricity supply,98.7
2021,,,aged 45-54 years,,,electricity supply,99.6
2021,,,aged 55-64 years,,,electricity supply,98.9
2021,,,aged 65 and over,,,electricity supply,99.1
2021,,,,disabled,,electricity supply,99.0
2021,,,,,1,electricity supply,99.5
2021,,,,,2,electricity supply,99.2
2021,,,,,3,electricity supply,99.5
2021,,,,,4,electricity supply,98.3
2021,,,,,5,electricity supply,98.3
2015,,,,,,postal service,80.6
2016,,,,,,postal service,76.5
2017,,,,,,postal service,75.8
2018,,,,,,postal service,73.5
2019,,,,,,postal service,96.3
2020,,,,,,postal service,97.3
2021,,,,,,postal service,97.5
2021,male ,,,,,postal service,98.5
2021,female,,,,,postal service,98.4
2021,,urban,,,,postal service,98.8
2021,,rural,,,,postal service,98.1
2021,,,aged 0-25 years,,,postal service,98.6
2021,,,aged 25-34 years,,,postal service,98.8
2021,,,aged 35-44 years,,,postal service,98.4
2021,,,aged 45-54 years,,,postal service,98.8
2021,,,aged 55-64 years,,,postal service,98.8
2021,,,aged 65 and over,,,postal service,97.8
2021,,,,disabled,,postal service,98.8
2021,,,,,1,postal service,98.9
2021,,,,,2,postal service,99.3
2021,,,,,3,postal service,99.2
2021,,,,,4,postal service,98.1
2021,,,,,5,postal service,96.5
2015,,,,,,bank services,74.4
2016,,,,,,bank services,70.8
2017,,,,,,bank services,71.9
2018,,,,,,bank services,73.7
2019,,,,,,bank services,86.1
2020,,,,,,bank services,88.9
2021,,,,,,bank services,90.5
2021,male ,,,,,bank services,90.7
2021,female,,,,,bank services,90.6
2021,,urban,,,,bank services,89.6
2021,,rural,,,,bank services,92.1
2021,,,aged 0-25 years,,,bank services,90.4
2021,,,aged 25-34 years,,,bank services,90.6
2021,,,aged 35-44 years,,,bank services,90.5
2021,,,aged 45-54 years,,,bank services,91.2
2021,,,aged 55-64 years,,,bank services,89.4
2021,,,aged 65 and over,,,bank services,92.4
2021,,,,disabled,,bank services,91.7
2021,,,,,1,bank services,95.5
2021,,,,,2,bank services,92.1
2021,,,,,3,bank services,90.7
2021,,,,,4,bank services,88.0
2021,,,,,5,bank services,87.3
2015,,,,,,irrigation,17.6
2016,,,,,,irrigation,23.7
2017,,,,,,irrigation,22.8
2018,,,,,,irrigation,21.5
2019,,,,,,irrigation,
2020,,,,,,irrigation,
2021,,,,,,irrigation,
2015,,,,,,healthcare,61.5
2016,,,,,,healthcare,61.4
2017,,,,,,healthcare,63.6
2018,,,,,,healthcare,62.3
2019,,,,,,healthcare,78.1
2020,,,,,,healthcare,87.1
2021,,,,,,healthcare,91.0
2021,male,,,,,healthcare,91.9
2021,female,,,,,healthcare,91.3
2021,,urban,,,,healthcare,89.2
2021,,rural,,,,healthcare,95.1
2021,,,aged 0-25 years,,,healthcare,92.6
2021,,,aged 25-34 years,,,healthcare,92.6
2021,,,aged 35-44 years,,,healthcare,91.0
2021,,,aged 45-54 years,,,healthcare,91.9
2021,,,aged 55-64 years,,,healthcare,90.3
2021,,,aged 65 and over,,,healthcare,90.1
2021,,,,disabled,,healthcare,89.2
2021,,,,,1,healthcare,96.4
2021,,,,,2,healthcare,94.4
2021,,,,,3,healthcare,91.2
2021,,,,,4,healthcare,89.2
2021,,,,,5,healthcare,87.7
2015,,,,,,education,52.3
2016,,,,,,education,53.8
2017,,,,,,education,56.3
2018,,,,,,education,54.9
2019,,,,,,education,85.1
2020,,,,,,education,90.5
2021,,,,,,education,89.1
2021,male,,,,,education,90.0
2021,female,,,,,education,89.5
2021,,urban,,,,education,86.9
2021,,rural,,,,education,93.0
2021,,,aged 0-25 years,,,education,89.3
2021,,,aged 25-34 years,,,education,92.0
2021,,,aged 35-44 years,,,education,87.3
2021,,,aged 45-54 years,,,education,91.1
2021,,,aged 55-64 years,,,education,91.7
2021,,,aged 65 and over,,,education,90.3
2021,,,,disabled,,education,90.8
2021,,,,,1,education,94.4
2021,,,,,2,education,90.7
2021,,,,,3,education,89.3
2021,,,,,4,education,87.0
2021,,,,,5,education,84.7
2015,,,,,,public transportation,81.2
2016,,,,,,public transportation,82.2
2017,,,,,,public transportation,76.6
2018,,,,,,public transportation,72.1
2019,,,,,,public transportation,75.9
2020,,,,,,public transportation,82.8
2021,,,,,,public transportation,79.0
2021,male,,,,,public transportation,78.7
2021,female,,,,,public transportation,77.9
2021,,urban,,,,public transportation,78.0
2021,,rural,,,,public transportation,78.7
2021,,,aged 0-25 years,,,public transportation,78.3
2021,,,aged 25-34 years,,,public transportation,78.2
2021,,,aged 35-44 years,,,public transportation,78.3
2021,,,aged 45-54 years,,,public transportation,78.9
2021,,,aged 55-64 years,,,public transportation,78.9
2021,,,aged 65 and over,,,public transportation,77.2
2021,,,,disabled,,public transportation,78.3
2021,,,,,1,public transportation,86.5
2021,,,,,2,public transportation,75.4
2021,,,,,3,public transportation,76.1
2021,,,,,4,public transportation,76.5
2021,,,,,5,public transportation,76.9
