Year,Units,Категория,Пол,Value
2018,%,"ребенок, имеющий обоих родителей",мужчина,31.82
2019,%,"ребенок, имеющий обоих родителей",мужчина,10.0
2020,%,"ребенок, имеющий обоих родителей",мужчина,29.41
2015,%,"ребенок, имеющий обоих родителей",женщина,28.26
2016,%,"ребенок, имеющий обоих родителей",женщина,23.68
2017,%,"ребенок, имеющий обоих родителей",женщина,13.79
2018,%,"ребенок, имеющий обоих родителей",женщина,23.08
2019,%,"ребенок, имеющий обоих родителей",женщина,55.56
2020,%,"ребенок, имеющий обоих родителей",женщина,31.25
2015,%,ребенок матери одиночки,,35.42
2016,%,ребенок матери одиночки,,41.33
2017,%,ребенок матери одиночки,,23.21
2018,%,ребенок матери одиночки,,16.67
2019,%,ребенок матери одиночки,,21.05
2020,%,ребенок матери одиночки,,27.27
2015,%,ребенок матери одиночки,мужчина,32.0
2016,%,ребенок матери одиночки,мужчина,32.43
2017,%,ребенок матери одиночки,мужчина,22.22
2018,%,ребенок матери одиночки,мужчина,18.18
2019,%,ребенок матери одиночки,мужчина,30.0
2020,%,ребенок матери одиночки,мужчина,29.41
2015,%,ребенок матери одиночки,женщина,39.13
2016,%,ребенок матери одиночки,женщина,50.0
2017,%,ребенок матери одиночки,женщина,24.14
2018,%,ребенок матери одиночки,женщина,15.38
2019,%,ребенок матери одиночки,женщина,11.11
2020,%,ребенок матери одиночки,женщина,25.0
2015,%,"ребенок, лишенный родительской опеки",,23.96
2016,%,"ребенок, лишенный родительской опеки",,16.0
2017,%,"ребенок, лишенный родительской опеки",,39.29
2018,%,"ребенок, лишенный родительской опеки",,45.83
2019,%,"ребенок, лишенный родительской опеки",,0.0
2020,%,"ребенок, лишенный родительской опеки",,30.3
2015,%,"ребенок, лишенный родительской опеки",мужчина,20.0
2016,%,"ребенок, лишенный родительской опеки",мужчина,10.81
2017,%,"ребенок, лишенный родительской опеки",мужчина,29.63
2018,%,"ребенок, лишенный родительской опеки",мужчина,45.45
2019,%,"ребенок, лишенный родительской опеки",мужчина,0.0
2020,%,"ребенок, лишенный родительской опеки",мужчина,17.65
2015,%,"ребенок, лишенный родительской опеки",женщина,28.26
2016,%,"ребенок, лишенный родительской опеки",женщина,21.05
2017,%,"ребенок, лишенный родительской опеки",женщина,48.28
2018,%,"ребенок, лишенный родительской опеки",женщина,46.15
2019,%,"ребенок, лишенный родительской опеки",женщина,0.0
2020,%,"ребенок, лишенный родительской опеки",женщина,43.75
2015,%,другие,,3.13
2016,%,другие,,5.33
2017,%,другие,,12.5
2018,%,другие,,10.42
2019,%,другие,,47.37
2020,%,другие,,12.12
2015,%,другие,мужчина,2.0
2016,%,другие,мужчина,5.41
2017,%,другие,мужчина,11.1
2018,%,другие,мужчина,4.55
2019,%,другие,мужчина,60.0
2020,%,другие,мужчина,23.53
2015,%,другие,женщина,4.35
2016,%,другие,женщина,5.26
2017,%,другие,женщина,13.79
2018,%,другие,женщина,15.38
2019,%,другие,женщина,33.33
2020,%,другие,женщина,0.0
2021,человек,"ребенок, имеющий обоих родителей",,7.0
2021,человек,"ребенок, имеющий обоих родителей",мужчина,5.0
2021,человек,"ребенок, имеющий обоих родителей",женщина,2.0
2021,человек,ребенок матери одиночки,,4.0
2021,человек,ребенок матери одиночки,мужчина,1.0
2021,человек,ребенок матери одиночки,женщина,3.0
2021,человек,"ребенок, лишенный родительской опеки",,1.0
2021,человек,"ребенок, лишенный родительской опеки",мужчина,0.0
2021,человек,"ребенок, лишенный родительской опеки",женщина,1.0
2021,человек,другие,,5.0
2021,человек,другие,мужчина,2.0
2021,человек,другие,женщина,3.0
2021,%,"ребенок, имеющий обоих родителей",,41.18
2021,%,"ребенок, имеющий обоих родителей",мужчина,62.5
2021,%,"ребенок, имеющий обоих родителей",женщина,22.22
2021,%,ребенок матери одиночки,,23.53
2021,%,ребенок матери одиночки,мужчина,12.5
2021,%,ребенок матери одиночки,женщина,33.33
2021,%,"ребенок, лишенный родительской опеки",,5.88
2021,%,"ребенок, лишенный родительской опеки",мужчина,0.0
2021,%,"ребенок, лишенный родительской опеки",женщина,11.11
2021,%,другие,,29.41
2021,%,другие,мужчина,25.0
2021,%,другие,женщина,33.33
2022,человек,"ребенок, имеющий обоих родителей",,1.0
2022,человек,"ребенок, имеющий обоих родителей",мужчина,0.0
2022,человек,"ребенок, имеющий обоих родителей",женщина,1.0
2022,человек,ребенок матери одиночки,,2.0
2022,человек,ребенок матери одиночки,мужчина,1.0
2022,человек,ребенок матери одиночки,женщина,1.0
2022,человек,"ребенок, лишенный родительской опеки",,7.0
2022,человек,"ребенок, лишенный родительской опеки",мужчина,2.0
2022,человек,"ребенок, лишенный родительской опеки",женщина,5.0
2022,человек,другие,,2.0
2022,человек,другие,мужчина,1.0
2022,человек,другие,женщина,1.0
2022,%,"ребенок, имеющий обоих родителей",,8.33
2022,%,"ребенок, имеющий обоих родителей",мужчина,0.0
2022,%,"ребенок, имеющий обоих родителей",женщина,12.5
2022,%,ребенок матери одиночки,,16.67
2022,%,ребенок матери одиночки,мужчина,25.0
2022,%,ребенок матери одиночки,женщина,12.5
2022,%,"ребенок, лишенный родительской опеки",,58.33
2022,%,"ребенок, лишенный родительской опеки",мужчина,50.0
2022,%,"ребенок, лишенный родительской опеки",женщина,62.5
2022,%,другие,,16.67
2022,%,другие,мужчина,25.0
2022,%,другие,женщина,12.5
2023,человек,"ребенок, имеющий обоих родителей",,2.0
2023,человек,"ребенок, имеющий обоих родителей",мужчина,0.0
2023,человек,"ребенок, имеющий обоих родителей",женщина,2.0
2023,человек,ребенок матери одиночки,,6.0
2023,человек,ребенок матери одиночки,мужчина,2.0
2023,человек,ребенок матери одиночки,женщина,4.0
2023,человек,"ребенок, лишенный родительской опеки",,7.0
2023,человек,"ребенок, лишенный родительской опеки",мужчина,4.0
2023,человек,"ребенок, лишенный родительской опеки",женщина,3.0
2023,человек,другие,,3.0
2023,человек,другие,мужчина,2.0
2023,человек,другие,женщина,1.0
2023,%,"ребенок, имеющий обоих родителей",,11.11
2023,%,"ребенок, имеющий обоих родителей",мужчина,0.0
2023,%,"ребенок, имеющий обоих родителей",женщина,20.0
2023,%,ребенок матери одиночки,,33.33
2023,%,ребенок матери одиночки,мужчина,25.0
2023,%,ребенок матери одиночки,женщина,40.0
2023,%,"ребенок, лишенный родительской опеки",,38.89
2023,%,"ребенок, лишенный родительской опеки",мужчина,50.0
2023,%,"ребенок, лишенный родительской опеки",женщина,30.0
2023,%,другие,,16.67
2023,%,другие,мужчина,25.0
2023,%,другие,женщина,10.0
2024,человек,"ребенок, имеющий обоих родителей",,6.0
2024,человек,"ребенок, имеющий обоих родителей",boys,2.0
2024,человек,"ребенок, имеющий обоих родителей",girls,4.0
2024,человек,ребенок матери одиночки,,6.0
2024,человек,ребенок матери одиночки,boys,2.0
2024,человек,ребенок матери одиночки,girls,4.0
2024,человек,"ребенок, лишенный родительской опеки",,6.0
2024,человек,"ребенок, лишенный родительской опеки",boys,4.0
2024,человек,"ребенок, лишенный родительской опеки",girls,2.0
2024,человек,другие,,6.0
2024,человек,другие,boys,4.0
2024,человек,другие,girls,2.0
2024,%,"ребенок, имеющий обоих родителей",,25.0
2024,%,"ребенок, имеющий обоих родителей",boys,16.67
2024,%,"ребенок, имеющий обоих родителей",girls,33.33
2024,%,ребенок матери одиночки,,25.0
2024,%,ребенок матери одиночки,boys,16.67
2024,%,ребенок матери одиночки,girls,33.33
2024,%,"ребенок, лишенный родительской опеки",,25.0
2024,%,"ребенок, лишенный родительской опеки",boys,33.33
2024,%,"ребенок, лишенный родительской опеки",girls,16.67
2024,%,другие,,25.0
2024,%,другие,boys,33.33
2024,%,другие,girls,16.67
