Year,Units,Կատեգորիա,Տարիք,Սեռ,Գտնվելու վայրը,Value
2019,%,,20-24,,գյուղ,42.8
2020,%,,20-24,,գյուղ,44.5
2015,%,,15-24,,,27.5
2016,%,,15-24,,,28.5
2017,%,,15-24,,,28.7
2018,%,,15-24,,,25.7
2019,%,,15-24,,,23.3
2020,%,,15-24,,,23.0
2015,%,,15-24,տղամարդ,,20.0
2016,%,,15-24,տղամարդ,,19.5
2017,%,,15-24,տղամարդ,,20.7
2018,%,,15-24,տղամարդ,,16.8
2019,%,,15-24,տղամարդ,,17.8
2020,%,,15-24,տղամարդ,,17.5
2015,%,,15-24,կին,,34.8
2016,%,,15-24,կին,,37.8
2017,%,,15-24,կին,,37.5
2018,%,,15-24,կին,,34.1
2019,%,,15-24,կին,,29.3
2020,%,,15-24,կին,,28.8
2015,%,,15-24,,քաղաք,27.7
2016,%,,15-24,,քաղաք,28.6
2017,%,,15-24,,քաղաք,29.3
2018,%,,15-24,,քաղաք,21.9
2019,%,,15-24,,քաղաք,20.4
2020,%,,15-24,,քաղաք,19.4
2015,%,,15-24,,գյուղ,27.3
2016,%,,15-24,,գյուղ,28.3
2017,%,,15-24,,գյուղ,28.1
2018,%,,15-24,,գյուղ,30.0
2019,%,,15-24,,գյուղ,27.3
2020,%,,15-24,,գյուղ,27.8
2015,%,,25-29,,,46.7
2016,%,,25-29,,,45.1
2017,%,,25-29,,,44.5
2018,%,,25-29,,,43.8
2019,%,,25-29,,,43.0
2020,%,,25-29,,,44.5
2015,%,,25-29,տղամարդ,,30.1
2016,%,,25-29,տղամարդ,,28.5
2017,%,,25-29,տղամարդ,,28.4
2018,%,,25-29,տղամարդ,,27.7
2019,%,,25-29,տղամարդ,,25.7
2020,%,,25-29,տղամարդ,,31.3
2015,%,,25-29,կին,,60.8
2016,%,,25-29,կին,,60.4
2017,%,,25-29,կին,,59.1
2018,%,,25-29,կին,,60.6
2019,%,,25-29,կին,,59.7
2020,%,,25-29,կին,,58.0
2015,%,,25-29,,քաղաք,49.6
2016,%,,25-29,,քաղաք,46.2
2017,%,,25-29,,քաղաք,46.1
2018,%,,25-29,,քաղաք,44.4
2019,%,,25-29,,քաղաք,44.2
2020,%,,25-29,,քաղաք,43.2
2015,%,,25-29,,գյուղ,41.8
2016,%,,25-29,,գյուղ,42.8
2017,%,,25-29,,գյուղ,42.0
2018,%,,25-29,,գյուղ,43.0
2019,%,,25-29,,գյուղ,40.9
2020,%,,25-29,,գյուղ,46.1
2021,%,,15-29,,,28.3
2021,%,,15-29,տղամարդ,,19.2
2021,%,,15-29,կին,,37.3
2021,%,,15-29,,քաղաք,27.0
2021,%,,15-29,,գյուղ,30.0
2021,%,,15-19,,,6.6
2021,%,,15-19,տղամարդ,,6.8
2021,%,,15-19,կին,,6.3
2021,%,,15-19,,քաղաք,5.8
2021,%,,15-19,,գյուղ,7.6
2021,%,,20-24,,,35.1
2021,%,,20-24,տղամարդ,,26.6
2021,%,,20-24,կին,,43.4
2021,%,,20-24,,քաղաք,33.5
2021,%,,20-24,,գյուղ,37.3
2021,%,,15-24,,,20.3
2021,%,,15-24,տղամարդ,,16.2
2021,%,,15-24,կին,,24.6
2021,%,,15-24,,քաղաք,19.2
2021,%,,15-24,,գյուղ,22.0
2021,%,,25-29,,,41.6
2021,%,,25-29,տղամարդ,,24.6
2021,%,,25-29,կին,,57.1
2021,%,,25-29,,քաղաք,41.7
2021,%,,25-29,,գյուղ,41.4
2018,%,with disabilities ,,,,54.6
2018,%,with disabilities ,,տղամարդ,,52.7
2018,%,with disabilities ,,կին,,57.8
2018,%,with disabilities ,,,քաղաք,49.4
2018,%,with disabilities ,,,գյուղ,63.6
2019,%,with disabilities ,,,,56.4
2019,%,with disabilities ,,տղամարդ,,57.9
2019,%,with disabilities ,,կին,,54.0
2019,%,with disabilities ,,,քաղաք,54.0
2019,%,with disabilities ,,,գյուղ,59.0
2020,%,with disabilities ,,,,52.3
2020,%,with disabilities ,,տղամարդ,,52.7
2020,%,with disabilities ,,կին,,51.6
2020,%,with disabilities ,,,քաղաք,56.4
2020,%,with disabilities ,,,գյուղ,44.6
2021,%,with disabilities ,,,,63.0
2021,%,with disabilities ,,տղամարդ,,65.3
2021,%,with disabilities ,,կին,,53.9
2021,%,with disabilities ,,,քաղաք,67.4
2021,%,with disabilities ,,,գյուղ,54.0
