Year,Пол,Место нахождения,Возраст,Категория,Quintiles,услуги,Value
2015,,,,,,электроснабжение,97.9
2016,,,,,,электроснабжение,98.0
2017,,,,,,электроснабжение,98.4
2018,,,,,,электроснабжение,98.9
2019,,,,,,электроснабжение,97.7
2020,,,,,,электроснабжение,98.7
2021,,,,,,электроснабжение,99.0
2021,мужчина,,,,,электроснабжение,99.0
2021,женщина,,,,,электроснабжение,98.9
2021,,город,,,,электроснабжение,99.1
2021,,село,,,,электроснабжение,98.8
2021,,,aged 0-25 years,,,электроснабжение,98.9
2021,,,aged 25-34 years,,,электроснабжение,98.6
2021,,,aged 35-44 years,,,электроснабжение,98.7
2021,,,aged 45-54 years,,,электроснабжение,99.6
2021,,,aged 55-64 years,,,электроснабжение,98.9
2021,,,aged 65 and over,,,электроснабжение,99.1
2021,,,,инвалиды,,электроснабжение,99.0
2021,,,,,1.0,электроснабжение,99.5
2021,,,,,2.0,электроснабжение,99.2
2021,,,,,3.0,электроснабжение,99.5
2021,,,,,4.0,электроснабжение,98.3
2021,,,,,5.0,электроснабжение,98.3
2015,,,,,,почтовые услуги,80.6
2016,,,,,,почтовые услуги,76.5
2017,,,,,,почтовые услуги,75.8
2018,,,,,,почтовые услуги,73.5
2019,,,,,,почтовые услуги,96.3
2020,,,,,,почтовые услуги,97.3
2021,,,,,,почтовые услуги,97.5
2021,мужчина,,,,,почтовые услуги,98.5
2021,женщина,,,,,почтовые услуги,98.4
2021,,город,,,,почтовые услуги,98.8
2021,,село,,,,почтовые услуги,98.1
2021,,,aged 0-25 years,,,почтовые услуги,98.6
2021,,,aged 25-34 years,,,почтовые услуги,98.8
2021,,,aged 35-44 years,,,почтовые услуги,98.4
2021,,,aged 45-54 years,,,почтовые услуги,98.8
2021,,,aged 55-64 years,,,почтовые услуги,98.8
2021,,,aged 65 and over,,,почтовые услуги,97.8
2021,,,,инвалиды,,почтовые услуги,98.8
2021,,,,,1.0,почтовые услуги,98.9
2021,,,,,2.0,почтовые услуги,99.3
2021,,,,,3.0,почтовые услуги,99.2
2021,,,,,4.0,почтовые услуги,98.1
2021,,,,,5.0,почтовые услуги,96.5
2015,,,,,,банковские услуги,74.4
2016,,,,,,банковские услуги,70.8
2017,,,,,,банковские услуги,71.9
2018,,,,,,банковские услуги,73.7
2019,,,,,,банковские услуги,86.1
2020,,,,,,банковские услуги,88.9
2021,,,,,,банковские услуги,90.5
2021,мужчина,,,,,банковские услуги,90.7
2021,женщина,,,,,банковские услуги,90.6
2021,,город,,,,банковские услуги,89.6
2021,,село,,,,банковские услуги,92.1
2021,,,aged 0-25 years,,,банковские услуги,90.4
2021,,,aged 25-34 years,,,банковские услуги,90.6
2021,,,aged 35-44 years,,,банковские услуги,90.5
2021,,,aged 45-54 years,,,банковские услуги,91.2
2021,,,aged 55-64 years,,,банковские услуги,89.4
2021,,,aged 65 and over,,,банковские услуги,92.4
2021,,,,инвалиды,,банковские услуги,91.7
2021,,,,,1.0,банковские услуги,95.5
2021,,,,,2.0,банковские услуги,92.1
2021,,,,,3.0,банковские услуги,90.7
2021,,,,,4.0,банковские услуги,88.0
2021,,,,,5.0,банковские услуги,87.3
2015,,,,,,орошение,17.6
2016,,,,,,орошение,23.7
2017,,,,,,орошение,22.8
2018,,,,,,орошение,21.5
2019,,,,,,орошение,
2020,,,,,,орошение,
2021,,,,,,орошение,
2015,,,,,,здравоохранение,61.5
2016,,,,,,здравоохранение,61.4
2017,,,,,,здравоохранение,63.6
2018,,,,,,здравоохранение,62.3
2019,,,,,,здравоохранение,78.1
2020,,,,,,здравоохранение,87.1
2021,,,,,,здравоохранение,91.0
2021,мужчина,,,,,здравоохранение,91.9
2021,женщина,,,,,здравоохранение,91.3
2021,,город,,,,здравоохранение,89.2
2021,,село,,,,здравоохранение,95.1
2021,,,aged 0-25 years,,,здравоохранение,92.6
2021,,,aged 25-34 years,,,здравоохранение,92.6
2021,,,aged 35-44 years,,,здравоохранение,91.0
2021,,,aged 45-54 years,,,здравоохранение,91.9
2021,,,aged 55-64 years,,,здравоохранение,90.3
2021,,,aged 65 and over,,,здравоохранение,90.1
2021,,,,инвалиды,,здравоохранение,89.2
2021,,,,,1.0,здравоохранение,96.4
2021,,,,,2.0,здравоохранение,94.4
2021,,,,,3.0,здравоохранение,91.2
2021,,,,,4.0,здравоохранение,89.2
2021,,,,,5.0,здравоохранение,87.7
2015,,,,,,образование,52.3
2016,,,,,,образование,53.8
2017,,,,,,образование,56.3
2018,,,,,,образование,54.9
2019,,,,,,образование,85.1
2020,,,,,,образование,90.5
2021,,,,,,образование,89.1
2021,мужчина,,,,,образование,90.0
2021,женщина,,,,,образование,89.5
2021,,город,,,,образование,86.9
2021,,село,,,,образование,93.0
2021,,,aged 0-25 years,,,образование,89.3
2021,,,aged 25-34 years,,,образование,92.0
2021,,,aged 35-44 years,,,образование,87.3
2021,,,aged 45-54 years,,,образование,91.1
2021,,,aged 55-64 years,,,образование,91.7
2021,,,aged 65 and over,,,образование,90.3
2021,,,,инвалиды,,образование,90.8
2021,,,,,1.0,образование,94.4
2021,,,,,2.0,образование,90.7
2021,,,,,3.0,образование,89.3
2021,,,,,4.0,образование,87.0
2021,,,,,5.0,образование,84.7
2015,,,,,,общественный транспорт,81.2
2016,,,,,,общественный транспорт,82.2
2017,,,,,,общественный транспорт,76.6
2018,,,,,,общественный транспорт,72.1
2019,,,,,,общественный транспорт,75.9
2020,,,,,,общественный транспорт,82.8
2021,,,,,,общественный транспорт,79.0
2021,мужчина,,,,,общественный транспорт,78.7
2021,женщина,,,,,общественный транспорт,77.9
2021,,город,,,,общественный транспорт,78.0
2021,,село,,,,общественный транспорт,78.7
2021,,,aged 0-25 years,,,общественный транспорт,78.3
2021,,,aged 25-34 years,,,общественный транспорт,78.2
2021,,,aged 35-44 years,,,общественный транспорт,78.3
2021,,,aged 45-54 years,,,общественный транспорт,78.9
2021,,,aged 55-64 years,,,общественный транспорт,78.9
2021,,,aged 65 and over,,,общественный транспорт,77.2
2021,,,,инвалиды,,общественный транспорт,78.3
2021,,,,,1.0,общественный транспорт,86.5
2021,,,,,2.0,общественный транспорт,75.4
2021,,,,,3.0,общественный транспорт,76.1
2021,,,,,4.0,общественный транспорт,76.5
2021,,,,,5.0,общественный транспорт,76.9
