Year,Units,Սեռ,Տարիք,Տեսակ,Value
2020,%,արական,,ընդամենը՝ հաշմանդամություն ունեցող երեխաների (0-17 տարեկան) ընդհանուր թվաքանակից,87.5
2015,%,իգական,,ընդամենը՝ հաշմանդամություն ունեցող երեխաների (0-17 տարեկան) ընդհանուր թվաքանակից,98.19
2016,%,իգական,,ընդամենը՝ հաշմանդամություն ունեցող երեխաների (0-17 տարեկան) ընդհանուր թվաքանակից,94.46
2017,%,իգական,,ընդամենը՝ հաշմանդամություն ունեցող երեխաների (0-17 տարեկան) ընդհանուր թվաքանակից,97.15
2018,%,իգական,,ընդամենը՝ հաշմանդամություն ունեցող երեխաների (0-17 տարեկան) ընդհանուր թվաքանակից,99.34
2019,%,իգական,,ընդամենը՝ հաշմանդամություն ունեցող երեխաների (0-17 տարեկան) ընդհանուր թվաքանակից,93.98
2020,%,իգական,,ընդամենը՝ հաշմանդամություն ունեցող երեխաների (0-17 տարեկան) ընդհանուր թվաքանակից,94.2
2015,%,,0-4 տարեկան,,12.46
2016,%,,0-4 տարեկան,,13.13
2017,%,,0-4 տարեկան,,12.55
2018,%,,0-4 տարեկան,,12.51
2019,%,,0-4 տարեկան,,12.49
2020,%,,0-4 տարեկան,,12.3
2015,%,արական,0-4 տարեկան,,11.44
2016,%,արական,0-4 տարեկան,,12.62
2017,%,արական,0-4 տարեկան,,11.7
2018,%,արական,0-4 տարեկան,,11.82
2019,%,արական,0-4 տարեկան,,11.92
2020,%,արական,0-4 տարեկան,,11.27
2015,%,իգական,0-4 տարեկան,,14.72
2016,%,իգական,0-4 տարեկան,,14.24
2017,%,իգական,0-4 տարեկան,,14.38
2018,%,իգական,0-4 տարեկան,,14.01
2019,%,իգական,0-4 տարեկան,,13.73
2020,%,իգական,0-4 տարեկան,,14.54
2015,%,,5-9 տարեկան,,27.06
2016,%,,5-9 տարեկան,,27.63
2017,%,,5-9 տարեկան,,28.81
2018,%,,5-9 տարեկան,,28.77
2019,%,,5-9 տարեկան,,28.03
2020,%,,5-9 տարեկան,,26.75
2015,%,արական,5-9 տարեկան,,26.77
2016,%,արական,5-9 տարեկան,,27.39
2017,%,արական,5-9 տարեկան,,27.91
2018,%,արական,5-9 տարեկան,,28.59
2019,%,արական,5-9 տարեկան,,27.87
2020,%,արական,5-9 տարեկան,,25.72
2015,%,իգական,5-9 տարեկան,,27.7
2016,%,իգական,5-9 տարեկան,,28.14
2017,%,իգական,5-9 տարեկան,,30.76
2018,%,իգական,5-9 տարեկան,,29.16
2019,%,իգական,5-9 տարեկան,,28.39
2020,%,իգական,5-9 տարեկան,,28.98
2015,%,,10-14 տարեկան,,32.87
2016,%,,10-14 տարեկան,,32.14
2017,%,,10-14 տարեկան,,32.94
2018,%,,10-14 տարեկան,,34.93
2019,%,,10-14 տարեկան,,32.12
2020,%,,10-14 տարեկան,,30.76
2015,%,արական,10-14 տարեկան,,32.39
2016,%,արական,10-14 տարեկան,,32.77
2017,%,արական,10-14 տարեկան,,33.8
2018,%,արական,10-14 տարեկան,,34.94
2019,%,արական,10-14 տարեկան,,32.35
2020,%,արական,10-14 տարեկան,,30.33
2015,%,իգական,10-14 տարեկան,,33.92
2016,%,իգական,10-14 տարեկան,,30.79
2017,%,իգական,10-14 տարեկան,,31.07
2018,%,իգական,10-14 տարեկան,,34.92
2019,%,իգական,10-14 տարեկան,,31.64
2020,%,իգական,10-14 տարեկան,,31.7
2015,%,,15 տարեկան,,7.86
2016,%,,15 տարեկան,,8.21
2017,%,,15 տարեկան,,8.14
2018,%,,15 տարեկան,,8.51
2019,%,,15 տարեկան,,8.51
2020,%,,15 տարեկան,,8.21
2015,%,արական,15 տարեկան,,7.46
2016,%,արական,15 տարեկան,,7.83
2017,%,արական,15 տարեկան,,8.12
2018,%,արական,15 տարեկան,,8.61
2019,%,արական,15 տարեկան,,8.51
2020,%,արական,15 տարեկան,,8.26
2015,%,իգական,15 տարեկան,,8.74
2016,%,իգական,15 տարեկան,,9.01
2017,%,իգական,15 տարեկան,,8.17
2018,%,իգական,15 տարեկան,,8.29
2019,%,իգական,15 տարեկան,,8.53
2020,%,իգական,15 տարեկան,,8.09
2015,%,,16-17 տարեկան,,13.22
2016,%,,16-17 տարեկան,,11.8
2017,%,,16-17 տարեկան,,12.4
2018,%,,16-17 տարեկան,,12.94
2019,%,,16-17 տարեկան,,12.56
2020,%,,16-17 տարեկան,,11.58
2015,%,արական,16-17 տարեկան,,13.27
2016,%,արական,16-17 տարեկան,,11.58
2017,%,արական,16-17 տարեկան,,12.24
2018,%,արական,16-17 տարեկան,,12.93
2019,%,արական,16-17 տարեկան,,12.95
2020,%,արական,16-17 տարեկան,,11.91
2015,%,իգական,16-17 տարեկան,,13.11
2016,%,իգական,16-17 տարեկան,,12.28
2017,%,իգական,16-17 տարեկան,,12.76
2018,%,իգական,16-17 տարեկան,,12.96
2019,%,իգական,16-17 տարեկան,,11.7
2020,%,իգական,16-17 տարեկան,,10.88
