Year,Units,Пол,Категория,Возраст,Value
2018,%,женщина,по инвалидности,,3.92
2019,%,женщина,по инвалидности,,3.88
2020,%,женщина,по инвалидности,,3.81
2015,%,,в случае потери кормильца,,0.36
2016,%,,в случае потери кормильца,,0.34
2017,%,,в случае потери кормильца,,0.31
2018,%,,в случае потери кормильца,,0.29
2019,%,,в случае потери кормильца,,0.26
2020,%,,в случае потери кормильца,,0.25
2015,%,мужчина,в случае потери кормильца,,0.21
2016,%,мужчина,в случае потери кормильца,,0.21
2017,%,мужчина,в случае потери кормильца,,0.19
2018,%,мужчина,в случае потери кормильца,,0.18
2019,%,мужчина,в случае потери кормильца,,0.16
2020,%,мужчина,в случае потери кормильца,,0.15
2015,%,женщина,в случае потери кормильца,,0.49
2016,%,женщина,в случае потери кормильца,,0.45
2017,%,женщина,в случае потери кормильца,,0.42
2018,%,женщина,в случае потери кормильца,,0.39
2019,%,женщина,в случае потери кормильца,,0.35
2020,%,женщина,в случае потери кормильца,,0.33
2016,%,,установленные по другим законам,,0.01
2017,%,,установленные по другим законам,,0.02
2018,%,,установленные по другим законам,,0.02
2019,%,,установленные по другим законам,,0.02
2020,%,,установленные по другим законам,,0.02
2016,%,мужчина,установленные по другим законам,,0.01
2017,%,мужчина,установленные по другим законам,,0.04
2018,%,мужчина,установленные по другим законам,,0.04
2019,%,мужчина,установленные по другим законам,,0.04
2020,%,мужчина,установленные по другим законам,,0.05
2016,%,женщина,установленные по другим законам,,0.002
2017,%,женщина,установленные по другим законам,,0.004
2018,%,женщина,установленные по другим законам,,0.004
2019,%,женщина,установленные по другим законам,,0.004
2020,%,женщина,установленные по другим законам,,0.004
2015,%,,связанные с военной службой,,0.08
2016,%,,связанные с военной службой,,0.07
2017,%,,связанные с военной службой,,0.07
2018,%,,связанные с военной службой,,0.06
2019,%,,связанные с военной службой,,0.06
2020,%,,связанные с военной службой,,0.06
2015,%,мужчина,связанные с военной службой,,0.16
2016,%,мужчина,связанные с военной службой,,0.15
2017,%,мужчина,связанные с военной службой,,0.14
2018,%,мужчина,связанные с военной службой,,0.13
2019,%,мужчина,связанные с военной службой,,0.13
2020,%,мужчина,связанные с военной службой,,0.12
2015,%,женщина,связанные с военной службой,,0.002
2016,%,женщина,связанные с военной службой,,0.001
2017,%,женщина,связанные с военной службой,,0.001
2018,%,женщина,связанные с военной службой,,0.001
2019,%,женщина,связанные с военной службой,,0.001
2020,%,женщина,связанные с военной службой,,0.0004
2015,%,,,до 51 лет,1.02
2016,%,,,до 51 лет,0.95
2017,%,,,до 51 лет,0.79
2018,%,,,до 51 лет,0.7
2019,%,,,до 51 лет,0.62
2020,%,,,до 51 лет,0.58
2015,%,мужчина,,до 51 лет,0.99
2016,%,мужчина,,до 51 лет,0.94
2017,%,мужчина,,до 51 лет,0.79
2018,%,мужчина,,до 51 лет,0.72
2019,%,мужчина,,до 51 лет,0.64
2020,%,мужчина,,до 51 лет,0.6
2015,%,женщина,,до 51 лет,1.06
2016,%,женщина,,до 51 лет,0.97
2017,%,женщина,,до 51 лет,0.78
2018,%,женщина,,до 51 лет,0.69
2019,%,женщина,,до 51 лет,0.6
2020,%,женщина,,до 51 лет,0.56
2015,%,,,51-55 лет,10.32
2016,%,,,51-55 лет,10.01
2017,%,,,51-55 лет,8.15
2018,%,,,51-55 лет,7.37
2019,%,,,51-55 лет,4.41
2020,%,,,51-55 лет,3.96
2015,%,мужчина,,51-55 лет,10.47
2016,%,мужчина,,51-55 лет,10.38
2017,%,мужчина,,51-55 лет,8.75
2018,%,мужчина,,51-55 лет,7.93
2019,%,мужчина,,51-55 лет,5.06
2020,%,мужчина,,51-55 лет,4.46
2015,%,женщина,,51-55 лет,10.2
2016,%,женщина,,51-55 лет,9.72
2017,%,женщина,,51-55 лет,7.68
2018,%,женщина,,51-55 лет,6.92
2019,%,женщина,,51-55 лет,3.91
2020,%,женщина,,51-55 лет,3.57
2015,%,,,56-62 лет,23.32
2016,%,,,56-62 лет,22.58
2017,%,,,56-62 лет,19.33
2018,%,,,56-62 лет,18.05
2019,%,,,56-62 лет,15.21
2020,%,,,56-62 лет,13.91
2015,%,мужчина,,56-62 лет,20.14
2016,%,мужчина,,56-62 лет,19.87
2017,%,мужчина,,56-62 лет,17.23
2018,%,мужчина,,56-62 лет,16.42
2019,%,мужчина,,56-62 лет,14.14
2020,%,мужчина,,56-62 лет,13.15
2015,%,женщина,,56-62 лет,25.9
2016,%,женщина,,56-62 лет,24.76
2017,%,женщина,,56-62 лет,21.0
2018,%,женщина,,56-62 лет,19.34
2019,%,женщина,,56-62 лет,16.04
2020,%,женщина,,56-62 лет,14.5
2015,%,,,63 и более лет,92.73
2016,%,,,63 и более лет,92.52
2017,%,,,63 и более лет,91.47
2018,%,,,63 и более лет,91.36
2019,%,,,63 и более лет,92.57
2020,%,,,63 и более лет,91.71
2015,%,мужчина,,63 и более лет,88.1
2016,%,мужчина,,63 и более лет,88.25
2017,%,мужчина,,63 и более лет,87.48
2018,%,мужчина,,63 и более лет,87.86
2019,%,мужчина,,63 и более лет,89.58
2020,%,мужчина,,63 и более лет,89.28
2015,%,женщина,,63 и более лет,95.83
2016,%,женщина,,63 и более лет,95.38
2017,%,женщина,,63 и более лет,94.14
2018,%,женщина,,63 и более лет,93.7
2019,%,женщина,,63 и более лет,94.55
2020,%,женщина,,63 и более лет,93.32
