Year,Units,Пол,Категория,Возраст,Value
2015,%,женщина,,63 и более лет,1.67
2016,%,женщина,,63 и более лет,1.84
2017,%,женщина,,63 и более лет,2.01
2018,%,женщина,,63 и более лет,2.31
2019,%,женщина,,63 и более лет,2.92
2020,%,женщина,,63 и более лет,3.51
2021,%,,,,2.84
2021,%,мужчина,,,3.02
2021,%,женщина,,,2.69
2021,%,,по старости,,0.44
2021,%,мужчина,по старости,,0.21
2021,%,женщина,по старости,,0.63
2021,%,,по инвалидности,,1.95
2021,%,мужчина,по инвалидности,,2.39
2021,%,женщина,по инвалидности,,1.56
2021,%,,в случае потери кормильца,,0.46
2021,%,мужчина,в случае потери кормильца,,0.41
2021,%,женщина,в случае потери кормильца,,0.5
2021,%,,,до 51 лет,2.63
2021,%,мужчина,,до 51 лет,3.09
2021,%,женщина,,до 51 лет,2.19
2021,%,,,51-55 лет,3.84
2021,%,мужчина,,51-55 лет,4.13
2021,%,женщина,,51-55 лет,3.22
2021,%,,,56-62 лет,2.73
2021,%,мужчина,,56-62 лет,2.81
2021,%,женщина,,56-62 лет,2.67
2021,%,,,63 и более лет,3.52
2021,%,мужчина,,63 и более лет,2.15
2021,%,женщина,,63 и более лет,4.42
2022,%,,,,3.03
2022,%,мужчина,,,3.15
2022,%,женщина,,,2.93
2022,%,,по старости,,0.59
2022,%,мужчина,по старости,,0.3
2022,%,женщина,по старости,,0.85
2022,%,,по инвалидности,,1.98
2022,%,мужчина,по инвалидности,,2.44
2022,%,женщина,по инвалидности,,1.58
2022,%,,в случае потери кормильца,,0.46
2022,%,мужчина,в случае потери кормильца,,0.42
2022,%,женщина,в случае потери кормильца,,0.5
2022,%,,,до 51 лет,2.62
2022,%,мужчина,,до 51 лет,3.08
2022,%,женщина,,до 51 лет,2.17
2022,%,,,51-55 лет,3.95
2022,%,мужчина,,51-55 лет,4.92
2022,%,женщина,,51-55 лет,3.2
2022,%,,,56-62 лет,3.01
2022,%,мужчина,,56-62 лет,3.26
2022,%,женщина,,56-62 лет,2.82
2022,%,,,63 и более лет,4.51
2022,%,мужчина,,63 и более лет,2.83
2022,%,женщина,,63 и более лет,5.61
2023,%,,,,3.34
2023,%,мужчина,,,3.38
2023,%,женщина,,,3.3
2023,%,,по старости,,0.85
2023,%,мужчина,по старости,,0.47
2023,%,женщина,по старости,,1.19
2023,%,,по инвалидности,,2.03
2023,%,мужчина,по инвалидности,,2.49
2023,%,женщина,по инвалидности,,1.61
2023,%,,в случае потери кормильца,,0.46
2023,%,мужчина,в случае потери кормильца,,0.41
2023,%,женщина,в случае потери кормильца,,0.49
2023,%,,,до 51 лет,2.77
2023,%,мужчина,,до 51 лет,3.24
2023,%,женщина,,до 51 лет,2.3
2023,%,,,51-55 лет,3.88
2023,%,мужчина,,51-55 лет,4.73
2023,%,женщина,,51-55 лет,3.17
2023,%,,,56-62 лет,3.12
2023,%,мужчина,,56-62 лет,3.43
2023,%,женщина,,56-62 лет,2.87
2023,%,,,63 и более лет,5.06
2023,%,мужчина,,63 и более лет,3.39
2023,%,женщина,,63 и более лет,6.19
2024,%,,,,3.65
2024,%,мужчина,,,3.62
2024,%,женщина,,,3.68
2024,%,,по старости,,1.11
2024,%,мужчина,по старости,,0.65
2024,%,женщина,по старости,,1.53
2024,%,,по инвалидности,,2.08
2024,%,мужчина,по инвалидности,,2.54
2024,%,женщина,по инвалидности,,1.66
2024,%,,в случае потери кормильца,,0.46
2024,%,мужчина,в случае потери кормильца,,0.42
2024,%,женщина,в случае потери кормильца,,0.5
2024,%,,,до 51 лет,2.78
2024,%,мужчина,,до 51 лет,3.25
2024,%,женщина,,до 51 лет,2.31
2024,%,,,51-55 лет,4.04
2024,%,мужчина,,51-55 лет,6.53
2024,%,женщина,,51-55 лет,2.74
2024,%,,,56-62 лет,3.47
2024,%,мужчина,,56-62 лет,3.4
2024,%,женщина,,56-62 лет,3.56
2024,%,,,63 и более лет,6.37
2024,%,мужчина,,63 и более лет,13.45
2024,%,женщина,,63 и более лет,1.58
