Year,Units,тип образования,Пол,Value
2018,%,"post-graduate education, second stage (master's Degree)",мужчина,8.9
2019,%,"post-graduate education, second stage (master's Degree)",мужчина,9.1
2020,%,"post-graduate education, second stage (master's Degree)",мужчина,9.5
2015,%,"post-graduate education, second stage (master's Degree)",женщина,15.5
2016,%,"post-graduate education, second stage (master's Degree)",женщина,15.4
2017,%,"post-graduate education, second stage (master's Degree)",женщина,19.6
2018,%,"post-graduate education, second stage (master's Degree)",женщина,19.4
2019,%,"post-graduate education, second stage (master's Degree)",женщина,20.3
2020,%,"post-graduate education, second stage (master's Degree)",женщина,22.4
2021,%,общеобразовательная,,83.1
2021,%,общеобразовательная,мужчина,81.5
2021,%,общеобразовательная,женщина,85.0
2021,%,начальное,,93.0
2021,%,начальное,мужчина,92.6
2021,%,начальное,женщина,93.5
2021,%,основная,,91.2
2021,%,основная,мужчина,90.7
2021,%,основная,женщина,91.8
2021,%,"высшее, старшая",,55.9
2021,%,"высшее, старшая",мужчина,50.8
2021,%,"высшее, старшая",женщина,61.7
2021,%,начальное профессиональное (ремесленное),,6.1
2021,%,начальное профессиональное (ремесленное),мужчина,8.6
2021,%,начальное профессиональное (ремесленное),женщина,3.2
2021,%,среднепрофессиональное,,14.9
2021,%,среднепрофессиональное,мужчина,13.8
2021,%,среднепрофессиональное,женщина,16.2
2021,%,"specialized high education, first stage (bachelor's Degree)",,52.8
2021,%,"specialized high education, first stage (bachelor's Degree)",мужчина,45.3
2021,%,"specialized high education, first stage (bachelor's Degree)",женщина,61.1
2021,%,"post-graduate education, second stage (master's Degree)",,15.3
2021,%,"post-graduate education, second stage (master's Degree)",мужчина,9.7
2021,%,"post-graduate education, second stage (master's Degree)",женщина,21.4
2022,%,общеобразовательная,,82.8
2022,%,общеобразовательная,мужчина,81.3
2022,%,общеобразовательная,женщина,84.5
2022,%,начальное,,93.9
2022,%,начальное,мужчина,93.6
2022,%,начальное,женщина,94.2
2022,%,основная,,91.5
2022,%,основная,мужчина,91.1
2022,%,основная,женщина,91.9
2022,%,"высшее, старшая",,54.0
2022,%,"высшее, старшая",мужчина,49.0
2022,%,"высшее, старшая",женщина,59.8
2022,%,начальное профессиональное (ремесленное),,5.6
2022,%,начальное профессиональное (ремесленное),мужчина,8.1
2022,%,начальное профессиональное (ремесленное),женщина,2.8
2022,%,среднепрофессиональное,,15.3
2022,%,среднепрофессиональное,мужчина,14.1
2022,%,среднепрофессиональное,женщина,16.7
2022,%,"specialized high education, first stage (bachelor's Degree)",,53.4
2022,%,"specialized high education, first stage (bachelor's Degree)",мужчина,43.9
2022,%,"specialized high education, first stage (bachelor's Degree)",женщина,64.1
2022,%,"post-graduate education, second stage (master's Degree)",,12.3
2022,%,"post-graduate education, second stage (master's Degree)",мужчина,8.5
2022,%,"post-graduate education, second stage (master's Degree)",женщина,16.6
2023,%,общеобразовательная,,92.7
2023,%,общеобразовательная,мужчина,91.2
2023,%,общеобразовательная,женщина,94.5
2023,%,начальное,,102.7
2023,%,начальное,мужчина,101.9
2023,%,начальное,женщина,103.6
2023,%,основная,,101.6
2023,%,основная,мужчина,101.0
2023,%,основная,женщина,102.4
2023,%,"высшее, старшая",,62.6
2023,%,"высшее, старшая",мужчина,57.9
2023,%,"высшее, старшая",женщина,67.7
2023,%,начальное профессиональное (ремесленное),,5.6
2023,%,начальное профессиональное (ремесленное),мужчина,8.1
2023,%,начальное профессиональное (ремесленное),женщина,2.8
2023,%,среднепрофессиональное,,16.8
2023,%,среднепрофессиональное,мужчина,15.7
2023,%,среднепрофессиональное,женщина,18.0
2023,%,"высшее профессиональное образование, первая ступень (степень бакалавра)",,55.3
2023,%,"высшее профессиональное образование, первая ступень (степень бакалавра)",мужчина,47.0
2023,%,"высшее профессиональное образование, первая ступень (степень бакалавра)",женщина,63.7
2023,%,"высшее профессиональное образование, вторая ступень (степень магистра)",,12.5
2023,%,"высшее профессиональное образование, вторая ступень (степень магистра)",мужчина,8.2
2023,%,"высшее профессиональное образование, вторая ступень (степень магистра)",женщина,16.9
