Year,Units,Սեռ,Կատեգորիա,Տարիք,Value
2017,%,,հաշմանդամության,,3.93
2018,%,,հաշմանդամության,,3.84
2019,%,,հաշմանդամության,,3.78
2020,%,,հաշմանդամության,,3.7
2015,%,տղամարդ,հաշմանդամության,,4.13
2016,%,տղամարդ,հաշմանդամության,,4.19
2017,%,տղամարդ,հաշմանդամության,,3.82
2018,%,տղամարդ,հաշմանդամության,,3.74
2019,%,տղամարդ,հաշմանդամության,,3.68
2020,%,տղամարդ,հաշմանդամության,,3.59
2015,%,կին,հաշմանդամության,,4.41
2016,%,կին,հաշմանդամության,,4.48
2017,%,կին,հաշմանդամության,,4.02
2018,%,կին,հաշմանդամության,,3.92
2019,%,կին,հաշմանդամության,,3.88
2020,%,կին,հաշմանդամության,,3.81
2015,%,,կերակրողին կորցնելու դեպքում,,0.36
2016,%,,կերակրողին կորցնելու դեպքում,,0.34
2017,%,,կերակրողին կորցնելու դեպքում,,0.31
2018,%,,կերակրողին կորցնելու դեպքում,,0.29
2019,%,,կերակրողին կորցնելու դեպքում,,0.26
2020,%,,կերակրողին կորցնելու դեպքում,,0.25
2015,%,տղամարդ,կերակրողին կորցնելու դեպքում,,0.21
2016,%,տղամարդ,կերակրողին կորցնելու դեպքում,,0.21
2017,%,տղամարդ,կերակրողին կորցնելու դեպքում,,0.19
2018,%,տղամարդ,կերակրողին կորցնելու դեպքում,,0.18
2019,%,տղամարդ,կերակրողին կորցնելու դեպքում,,0.16
2020,%,տղամարդ,կերակրողին կորցնելու դեպքում,,0.15
2015,%,կին,կերակրողին կորցնելու դեպքում,,0.49
2016,%,կին,կերակրողին կորցնելու դեպքում,,0.45
2017,%,կին,կերակրողին կորցնելու դեպքում,,0.42
2018,%,կին,կերակրողին կորցնելու դեպքում,,0.39
2019,%,կին,կերակրողին կորցնելու դեպքում,,0.35
2020,%,կին,կերակրողին կորցնելու դեպքում,,0.33
2016,%,,այլ օրենքներով սահմանված,,0.01
2017,%,,այլ օրենքներով սահմանված,,0.02
2018,%,,այլ օրենքներով սահմանված,,0.02
2019,%,,այլ օրենքներով սահմանված,,0.02
2020,%,,այլ օրենքներով սահմանված,,0.02
2016,%,տղամարդ,այլ օրենքներով սահմանված,,0.01
2017,%,տղամարդ,այլ օրենքներով սահմանված,,0.04
2018,%,տղամարդ,այլ օրենքներով սահմանված,,0.04
2019,%,տղամարդ,այլ օրենքներով սահմանված,,0.04
2020,%,տղամարդ,այլ օրենքներով սահմանված,,0.05
2016,%,կին,այլ օրենքներով սահմանված,,0.002
2017,%,կին,այլ օրենքներով սահմանված,,0.004
2018,%,կին,այլ օրենքներով սահմանված,,0.004
2019,%,կին,այլ օրենքներով սահմանված,,0.004
2020,%,կին,այլ օրենքներով սահմանված,,0.004
2015,%,,զինծառայության հետ կապված,,0.08
2016,%,,զինծառայության հետ կապված,,0.07
2017,%,,զինծառայության հետ կապված,,0.07
2018,%,,զինծառայության հետ կապված,,0.06
2019,%,,զինծառայության հետ կապված,,0.06
2020,%,,զինծառայության հետ կապված,,0.06
2015,%,տղամարդ,զինծառայության հետ կապված,,0.16
2016,%,տղամարդ,զինծառայության հետ կապված,,0.15
2017,%,տղամարդ,զինծառայության հետ կապված,,0.14
2018,%,տղամարդ,զինծառայության հետ կապված,,0.13
2019,%,տղամարդ,զինծառայության հետ կապված,,0.13
2020,%,տղամարդ,զինծառայության հետ կապված,,0.12
2015,%,կին,զինծառայության հետ կապված,,0.002
2016,%,կին,զինծառայության հետ կապված,,0.001
2017,%,կին,զինծառայության հետ կապված,,0.001
2018,%,կին,զինծառայության հետ կապված,,0.001
2019,%,կին,զինծառայության հետ կապված,,0.001
2020,%,կին,զինծառայության հետ կապված,,0.0004
2015,%,,,մինչև 51 տարեկան,1.02
2016,%,,,մինչև 51 տարեկան,0.95
2017,%,,,մինչև 51 տարեկան,0.79
2018,%,,,մինչև 51 տարեկան,0.7
2019,%,,,մինչև 51 տարեկան,0.62
2020,%,,,մինչև 51 տարեկան,0.58
2015,%,տղամարդ,,մինչև 51 տարեկան,0.99
2016,%,տղամարդ,,մինչև 51 տարեկան,0.94
2017,%,տղամարդ,,մինչև 51 տարեկան,0.79
2018,%,տղամարդ,,մինչև 51 տարեկան,0.72
2019,%,տղամարդ,,մինչև 51 տարեկան,0.64
2020,%,տղամարդ,,մինչև 51 տարեկան,0.6
2015,%,կին,,մինչև 51 տարեկան,1.06
2016,%,կին,,մինչև 51 տարեկան,0.97
2017,%,կին,,մինչև 51 տարեկան,0.78
2018,%,կին,,մինչև 51 տարեկան,0.69
2019,%,կին,,մինչև 51 տարեկան,0.6
2020,%,կին,,մինչև 51 տարեկան,0.56
2015,%,,,51-55 տարեկան,10.32
2016,%,,,51-55 տարեկան,10.01
2017,%,,,51-55 տարեկան,8.15
2018,%,,,51-55 տարեկան,7.37
2019,%,,,51-55 տարեկան,4.41
2020,%,,,51-55 տարեկան,3.96
2015,%,տղամարդ,,51-55 տարեկան,10.47
2016,%,տղամարդ,,51-55 տարեկան,10.38
2017,%,տղամարդ,,51-55 տարեկան,8.75
2018,%,տղամարդ,,51-55 տարեկան,7.93
2019,%,տղամարդ,,51-55 տարեկան,5.06
2020,%,տղամարդ,,51-55 տարեկան,4.46
2015,%,կին,,51-55 տարեկան,10.2
2016,%,կին,,51-55 տարեկան,9.72
2017,%,կին,,51-55 տարեկան,7.68
2018,%,կին,,51-55 տարեկան,6.92
2019,%,կին,,51-55 տարեկան,3.91
2020,%,կին,,51-55 տարեկան,3.57
2015,%,,,56-62 տարեկան,23.32
2016,%,,,56-62 տարեկան,22.58
2017,%,,,56-62 տարեկան,19.33
2018,%,,,56-62 տարեկան,18.05
2019,%,,,56-62 տարեկան,15.21
2020,%,,,56-62 տարեկան,13.91
2015,%,տղամարդ,,56-62 տարեկան,20.14
2016,%,տղամարդ,,56-62 տարեկան,19.87
2017,%,տղամարդ,,56-62 տարեկան,17.23
2018,%,տղամարդ,,56-62 տարեկան,16.42
2019,%,տղամարդ,,56-62 տարեկան,14.14
2020,%,տղամարդ,,56-62 տարեկան,13.15
2015,%,կին,,56-62 տարեկան,25.9
2016,%,կին,,56-62 տարեկան,24.76
2017,%,կին,,56-62 տարեկան,21.0
2018,%,կին,,56-62 տարեկան,19.34
2019,%,կին,,56-62 տարեկան,16.04
2020,%,կին,,56-62 տարեկան,14.5
2015,%,,,63 և բարձր տարիքի,92.73
2016,%,,,63 և բարձր տարիքի,92.52
2017,%,,,63 և բարձր տարիքի,91.47
2018,%,,,63 և բարձր տարիքի,91.36
2019,%,,,63 և բարձր տարիքի,92.57
2020,%,,,63 և բարձր տարիքի,91.71
2015,%,տղամարդ,,63 և բարձր տարիքի,88.1
2016,%,տղամարդ,,63 և բարձր տարիքի,88.25
2017,%,տղամարդ,,63 և բարձր տարիքի,87.48
2018,%,տղամարդ,,63 և բարձր տարիքի,87.86
2019,%,տղամարդ,,63 և բարձր տարիքի,89.58
2020,%,տղամարդ,,63 և բարձր տարիքի,89.28
2015,%,կին,,63 և բարձր տարիքի,95.83
2016,%,կին,,63 և բարձր տարիքի,95.38
2017,%,կին,,63 և բարձր տարիքի,94.14
2018,%,կին,,63 և բարձր տարիքի,93.7
2019,%,կին,,63 և բարձր տարիքի,94.55
2020,%,կին,,63 և բարձր տարիքի,93.32
2021,%,,,,15.72
2021,%,տղամարդ,,,13.14
2021,%,կին,,,18.04
2021,%,,տարիքային,,11.4
2021,%,տղամարդ,տարիքային,,9.19
2021,%,կին,տարիքային,,13.37
2021,%,,արտոնյալ պայմաններով,,0.04
2021,%,տղամարդ,արտոնյալ պայմաններով,,0.06
2021,%,կին,արտոնյալ պայմաններով,,0.02
2021,%,,երկարամյա ծառայության,,0.01
2021,%,տղամարդ,երկարամյա ծառայության,,0.02
2021,%,կին,երկարամյա ծառայության,,0.01
2021,%,,մասնակի,,0.33
2021,%,տղամարդ,մասնակի,,0.06
2021,%,կին,մասնակի,,0.58
2021,%,,հաշմանդամության,,3.62
2021,%,տղամարդ,հաշմանդամության,,3.49
2021,%,կին,հաշմանդամության,,3.73
2021,%,,կերակրողին կորցնելու դեպքում,,0.24
2021,%,տղամարդ,կերակրողին կորցնելու դեպքում,,0.15
2021,%,կին,կերակրողին կորցնելու դեպքում,,0.32
2021,%,,այլ օրենքներով սահմանված,,0.02
2021,%,տղամարդ,այլ օրենքներով սահմանված,,0.05
2021,%,կին,այլ օրենքներով սահմանված,,0.004
2021,%,,զինծառայության հետ կապված,,0.05
2021,%,տղամարդ,զինծառայության հետ կապված,,0.12
2021,%,կին,զինծառայության հետ կապված,,0.0004
2021,%,,,մինչև 51 տարեկան,0.56
2021,%,տղամարդ,,մինչև 51 տարեկան,0.58
2021,%,կին,,մինչև 51 տարեկան,0.53
2021,%,,,51-55 տարեկան,3.5
2021,%,տղամարդ,,51-55 տարեկան,3.88
2021,%,կին,,51-55 տարեկան,3.21
2021,%,,,56-62 տարեկան,12.82
2021,%,տղամարդ,,56-62 տարեկան,12.24
2021,%,կին,,56-62 տարեկան,13.27
2021,%,,,63 և բարձր տարիքի,90.14
2021,%,տղամարդ,,63 և բարձր տարիքի,88.22
2021,%,կին,,63 և բարձր տարիքի,91.41
2022,%,,,,15.67
2022,%,տղամարդ,,,13.03
2022,%,կին,,,18.02
2022,%,,տարիքային,,11.62
2022,%,տղամարդ,տարիքային,,9.42
2022,%,կին,տարիքային,,13.59
2022,%,,արտոնյալ պայմաններով,,0.03
2022,%,տղամարդ,արտոնյալ պայմաններով,,0.05
2022,%,կին,արտոնյալ պայմաններով,,0.02
2022,%,,երկարամյա ծառայության,,0.01
2022,%,տղամարդ,երկարամյա ծառայության,,0.02
2022,%,կին,երկարամյա ծառայության,,0.01
2022,%,,մասնակի,,0.3
2022,%,տղամարդ,մասնակի,,0.05
2022,%,կին,մասնակի,,0.52
2022,%,,հաշմանդամության,,3.47
2022,%,տղամարդ,հաշմանդամության,,3.35
2022,%,կին,հաշմանդամության,,3.59
2022,%,,կերակրողին կորցնելու դեպքում,,0.23
2022,%,տղամարդ,կերակրողին կորցնելու դեպքում,,0.14
2022,%,կին,կերակրողին կորցնելու դեպքում,,0.3
2022,%,,այլ օրենքներով սահմանված,,0.03
2022,%,տղամարդ,այլ օրենքներով սահմանված,,0.05
2022,%,կին,այլ օրենքներով սահմանված,,0.004
2022,%,,զինծառայության հետ կապված,,0.05
2022,%,տղամարդ,զինծառայության հետ կապված,,0.11
2022,%,կին,զինծառայության հետ կապված,,0.0004
2022,%,,,մինչև 51 տարեկան,0.5
2022,%,տղամարդ,,մինչև 51 տարեկան,0.53
2022,%,կին,,մինչև 51 տարեկան,0.47
2022,%,,,51-55 տարեկան,3.03
2022,%,տղամարդ,,51-55 տարեկան,3.32
2022,%,կին,,51-55 տարեկան,2.81
2022,%,,,56-62 տարեկան,11.24
2022,%,տղամարդ,,56-62 տարեկան,10.71
2022,%,կին,,56-62 տարեկան,11.63
2022,%,,,63 և բարձր տարիքի,88.48
2022,%,տղամարդ,,63 և բարձր տարիքի,87.05
2022,%,կին,,63 և բարձր տարիքի,89.42
2023,%,,,,15.83
2023,%,տղամարդ,,,13.22
2023,%,կին,,,18.18
2023,%,,տարիքային,,11.94
2023,%,տղամարդ,տարիքային,,9.74
2023,%,կին,տարիքային,,13.91
2023,%,,արտոնյալ պայմաններով,,0.03
2023,%,տղամարդ,արտոնյալ պայմաններով,,0.05
2023,%,կին,արտոնյալ պայմաններով,,0.02
2023,%,,երկարամյա ծառայության,,0.01
2023,%,տղամարդ,երկարամյա ծառայության,,0.02
2023,%,կին,երկարամյա ծառայության,,0.01
2023,%,,մասնակի,,0.27
2023,%,տղամարդ,մասնակի,,0.04
2023,%,կին,մասնակի,,0.47
2023,%,,հաշմանդամության,,3.38
2023,%,տղամարդ,հաշմանդամության,,3.25
2023,%,կին,հաշմանդամության,,3.49
2023,%,,կերակրողին կորցնելու դեպքում,,0.21
2023,%,տղամարդ,կերակրողին կորցնելու դեպքում,,0.14
2023,%,կին,կերակրողին կորցնելու դեպքում,,0.28
2023,%,,այլ օրենքներով սահմանված,,0.03
2023,%,տղամարդ,այլ օրենքներով սահմանված,,0.02
2023,%,կին,այլ օրենքներով սահմանված,,0.0
2023,%,,զինծառայության հետ կապված,,0.05
2023,%,տղամարդ,զինծառայության հետ կապված,,0.11
2023,%,կին,զինծառայության հետ կապված,,0.0004
2023,%,,,մինչև 51 տարեկան,0.49
2023,%,տղամարդ,,մինչև 51 տարեկան,0.53
2023,%,կին,,մինչև 51 տարեկան,0.45
2023,%,,,51-55 տարեկան,2.49
2023,%,տղամարդ,,51-55 տարեկան,2.64
2023,%,կին,,51-55 տարեկան,2.36
2023,%,,,56-62 տարեկան,9.38
2023,%,տղամարդ,,56-62 տարեկան,0.86
2023,%,կին,,56-62 տարեկան,9.97
2023,%,,,63 և բարձր տարիքի,73.02
2023,%,տղամարդ,,63 և բարձր տարիքի,70.97
2023,%,կին,,63 և բարձր տարիքի,74.41
2024,%,,,,16.27
2024,%,տղամարդ,,,13.69
2024,%,կին,,,18.58
2024,%,,տարիքային,,12.38
2024,%,տղամարդ,տարիքային,,10.11
2024,%,կին,տարիքային,,14.41
2024,%,,արտոնյալ պայմաններով,,0.03
2024,%,տղամարդ,արտոնյալ պայմաններով,,0.04
2024,%,կին,արտոնյալ պայմաններով,,0.01
2024,%,,երկարամյա ծառայության,,0.01
2024,%,տղամարդ,երկարամյա ծառայության,,0.01
2024,%,կին,երկարամյա ծառայության,,0.0
2024,%,,մասնակի,,0.24
2024,%,տղամարդ,մասնակի,,0.04
2024,%,կին,մասնակի,,0.42
2024,%,,հաշմանդամության,,3.34
2024,%,տղամարդ,հաշմանդամության,,3.21
2024,%,կին,հաշմանդամության,,3.46
2024,%,,կերակրողին կորցնելու դեպքում,,0.2
2024,%,տղամարդ,կերակրողին կորցնելու դեպքում,,0.13
2024,%,կին,կերակրողին կորցնելու դեպքում,,0.26
2024,%,,այլ օրենքներով սահմանված,,0.03
2024,%,տղամարդ,այլ օրենքներով սահմանված,,0.05
2024,%,կին,այլ օրենքներով սահմանված,,0.0
2024,%,,զինծառայության հետ կապված,,0.05
2024,%,տղամարդ,զինծառայության հետ կապված,,0.1
2024,%,կին,զինծառայության հետ կապված,,0.0
2024,%,,,մինչև 51 տարեկան,0.47
2024,%,տղամարդ,,մինչև 51 տարեկան,0.52
2024,%,կին,,մինչև 51 տարեկան,0.42
2024,%,,,aged 51-55 years,2.24
2024,%,տղամարդ,,aged 51-55 years,3.18
2024,%,կին,,aged 51-55 years,1.75
2024,%,,,aged 56-62 years,8.64
2024,%,տղամարդ,,aged 56-62 years,6.73
2024,%,կին,,aged 56-62 years,10.66
2024,%,,,63 և բարձր տարիքի,73.3
2024,%,տղամարդ,,63 և բարձր տարիքի,71.49
2024,%,կին,,63 և բարձր տարիքի,74.52
