Year,Indicator,Units,Սեռ,Կատեգորիա,Տարիք,Value
2016,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,այլ օրենքներով սահմանված,,0.01
2017,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,այլ օրենքներով սահմանված,,0.04
2018,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,այլ օրենքներով սահմանված,,0.04
2019,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,այլ օրենքներով սահմանված,,0.04
2020,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,այլ օրենքներով սահմանված,,0.05
2016,The share of pensioners to the total number of population at the end of the year,%,կին,այլ օրենքներով սահմանված,,0.002
2017,The share of pensioners to the total number of population at the end of the year,%,կին,այլ օրենքներով սահմանված,,0.004
2018,The share of pensioners to the total number of population at the end of the year,%,կին,այլ օրենքներով սահմանված,,0.004
2019,The share of pensioners to the total number of population at the end of the year,%,կին,այլ օրենքներով սահմանված,,0.004
2020,The share of pensioners to the total number of population at the end of the year,%,կին,այլ օրենքներով սահմանված,,0.004
2015,The share of pensioners to the total number of population at the end of the year,%,,զինծառայության հետ կապված,,0.08
2016,The share of pensioners to the total number of population at the end of the year,%,,զինծառայության հետ կապված,,0.07
2017,The share of pensioners to the total number of population at the end of the year,%,,զինծառայության հետ կապված,,0.07
2018,The share of pensioners to the total number of population at the end of the year,%,,զինծառայության հետ կապված,,0.06
2019,The share of pensioners to the total number of population at the end of the year,%,,զինծառայության հետ կապված,,0.06
2020,The share of pensioners to the total number of population at the end of the year,%,,զինծառայության հետ կապված,,0.06
2015,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,զինծառայության հետ կապված,,0.16
2016,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,զինծառայության հետ կապված,,0.15
2017,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,զինծառայության հետ կապված,,0.14
2018,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,զինծառայության հետ կապված,,0.13
2019,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,զինծառայության հետ կապված,,0.13
2020,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,զինծառայության հետ կապված,,0.12
2015,The share of pensioners to the total number of population at the end of the year,%,կին,զինծառայության հետ կապված,,0.002
2016,The share of pensioners to the total number of population at the end of the year,%,կին,զինծառայության հետ կապված,,0.001
2017,The share of pensioners to the total number of population at the end of the year,%,կին,զինծառայության հետ կապված,,0.001
2018,The share of pensioners to the total number of population at the end of the year,%,կին,զինծառայության հետ կապված,,0.001
2019,The share of pensioners to the total number of population at the end of the year,%,կին,զինծառայության հետ կապված,,0.001
2020,The share of pensioners to the total number of population at the end of the year,%,կին,զինծառայության հետ կապված,,0.0004
2015,The share of pensioners to the total number of population at the end of the year,%,,,մինչև 51 տարեկան,1.02
2016,The share of pensioners to the total number of population at the end of the year,%,,,մինչև 51 տարեկան,0.95
2017,The share of pensioners to the total number of population at the end of the year,%,,,մինչև 51 տարեկան,0.79
2018,The share of pensioners to the total number of population at the end of the year,%,,,մինչև 51 տարեկան,0.7
2019,The share of pensioners to the total number of population at the end of the year,%,,,մինչև 51 տարեկան,0.62
2020,The share of pensioners to the total number of population at the end of the year,%,,,մինչև 51 տարեկան,0.58
2015,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,,մինչև 51 տարեկան,0.99
2016,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,,մինչև 51 տարեկան,0.94
2017,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,,մինչև 51 տարեկան,0.79
2018,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,,մինչև 51 տարեկան,0.72
2019,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,,մինչև 51 տարեկան,0.64
2020,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,,մինչև 51 տարեկան,0.6
2015,The share of pensioners to the total number of population at the end of the year,%,կին,,մինչև 51 տարեկան,1.06
2016,The share of pensioners to the total number of population at the end of the year,%,կին,,մինչև 51 տարեկան,0.97
2017,The share of pensioners to the total number of population at the end of the year,%,կին,,մինչև 51 տարեկան,0.78
2018,The share of pensioners to the total number of population at the end of the year,%,կին,,մինչև 51 տարեկան,0.69
2019,The share of pensioners to the total number of population at the end of the year,%,կին,,մինչև 51 տարեկան,0.6
2020,The share of pensioners to the total number of population at the end of the year,%,կին,,մինչև 51 տարեկան,0.56
2015,The share of pensioners to the total number of population at the end of the year,%,,,51-55 տարեկան,10.32
2016,The share of pensioners to the total number of population at the end of the year,%,,,51-55 տարեկան,10.01
2017,The share of pensioners to the total number of population at the end of the year,%,,,51-55 տարեկան,8.15
2018,The share of pensioners to the total number of population at the end of the year,%,,,51-55 տարեկան,7.37
2019,The share of pensioners to the total number of population at the end of the year,%,,,51-55 տարեկան,4.41
2020,The share of pensioners to the total number of population at the end of the year,%,,,51-55 տարեկան,3.96
2015,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,,51-55 տարեկան,10.47
2016,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,,51-55 տարեկան,10.38
2017,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,,51-55 տարեկան,8.75
2018,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,,51-55 տարեկան,7.93
2019,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,,51-55 տարեկան,5.06
2020,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,,51-55 տարեկան,4.46
2015,The share of pensioners to the total number of population at the end of the year,%,կին,,51-55 տարեկան,10.2
2016,The share of pensioners to the total number of population at the end of the year,%,կին,,51-55 տարեկան,9.72
2017,The share of pensioners to the total number of population at the end of the year,%,կին,,51-55 տարեկան,7.68
2018,The share of pensioners to the total number of population at the end of the year,%,կին,,51-55 տարեկան,6.92
2019,The share of pensioners to the total number of population at the end of the year,%,կին,,51-55 տարեկան,3.91
2020,The share of pensioners to the total number of population at the end of the year,%,կին,,51-55 տարեկան,3.57
2015,The share of pensioners to the total number of population at the end of the year,%,,,56-62 տարեկան,23.32
2016,The share of pensioners to the total number of population at the end of the year,%,,,56-62 տարեկան,22.58
2017,The share of pensioners to the total number of population at the end of the year,%,,,56-62 տարեկան,19.33
2018,The share of pensioners to the total number of population at the end of the year,%,,,56-62 տարեկան,18.05
2019,The share of pensioners to the total number of population at the end of the year,%,,,56-62 տարեկան,15.21
2020,The share of pensioners to the total number of population at the end of the year,%,,,56-62 տարեկան,13.91
2015,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,,56-62 տարեկան,20.14
2016,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,,56-62 տարեկան,19.87
2017,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,,56-62 տարեկան,17.23
2018,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,,56-62 տարեկան,16.42
2019,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,,56-62 տարեկան,14.14
2020,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,,56-62 տարեկան,13.15
2015,The share of pensioners to the total number of population at the end of the year,%,կին,,56-62 տարեկան,25.9
2016,The share of pensioners to the total number of population at the end of the year,%,կին,,56-62 տարեկան,24.76
2017,The share of pensioners to the total number of population at the end of the year,%,կին,,56-62 տարեկան,21.0
2018,The share of pensioners to the total number of population at the end of the year,%,կին,,56-62 տարեկան,19.34
2019,The share of pensioners to the total number of population at the end of the year,%,կին,,56-62 տարեկան,16.04
2020,The share of pensioners to the total number of population at the end of the year,%,կին,,56-62 տարեկան,14.5
2015,The share of pensioners to the total number of population at the end of the year,%,,,63 և բարձր տարիքի,92.73
2016,The share of pensioners to the total number of population at the end of the year,%,,,63 և բարձր տարիքի,92.52
2017,The share of pensioners to the total number of population at the end of the year,%,,,63 և բարձր տարիքի,91.47
2018,The share of pensioners to the total number of population at the end of the year,%,,,63 և բարձր տարիքի,91.36
2019,The share of pensioners to the total number of population at the end of the year,%,,,63 և բարձր տարիքի,92.57
2020,The share of pensioners to the total number of population at the end of the year,%,,,63 և բարձր տարիքի,91.71
2015,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,,63 և բարձր տարիքի,88.1
2016,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,,63 և բարձր տարիքի,88.25
2017,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,,63 և բարձր տարիքի,87.48
2018,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,,63 և բարձր տարիքի,87.86
2019,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,,63 և բարձր տարիքի,89.58
2020,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,,63 և բարձր տարիքի,89.28
2015,The share of pensioners to the total number of population at the end of the year,%,կին,,63 և բարձր տարիքի,95.83
2016,The share of pensioners to the total number of population at the end of the year,%,կին,,63 և բարձր տարիքի,95.38
2017,The share of pensioners to the total number of population at the end of the year,%,կին,,63 և բարձր տարիքի,94.14
2018,The share of pensioners to the total number of population at the end of the year,%,կին,,63 և բարձր տարիքի,93.7
2019,The share of pensioners to the total number of population at the end of the year,%,կին,,63 և բարձր տարիքի,94.55
2020,The share of pensioners to the total number of population at the end of the year,%,կին,,63 և բարձր տարիքի,93.32
2021,The share of pensioners to the total number of population at the end of the year,%,,,,15.72
2021,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,,,13.14
2021,The share of pensioners to the total number of population at the end of the year,%,կին,,,18.04
2021,The share of pensioners to the total number of population at the end of the year,%,,տարիքային,,11.4
2021,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,տարիքային,,9.19
2021,The share of pensioners to the total number of population at the end of the year,%,կին,տարիքային,,13.37
2021,The share of pensioners to the total number of population at the end of the year,%,,արտոնյալ պայմաններով,,0.04
2021,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,արտոնյալ պայմաններով,,0.06
2021,The share of pensioners to the total number of population at the end of the year,%,կին,արտոնյալ պայմաններով,,0.02
2021,The share of pensioners to the total number of population at the end of the year,%,,երկարամյա ծառայության,,0.01
2021,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,երկարամյա ծառայության,,0.02
2021,The share of pensioners to the total number of population at the end of the year,%,կին,երկարամյա ծառայության,,0.01
2021,The share of pensioners to the total number of population at the end of the year,%,,մասնակի,,0.33
2021,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,մասնակի,,0.06
2021,The share of pensioners to the total number of population at the end of the year,%,կին,մասնակի,,0.58
2021,The share of pensioners to the total number of population at the end of the year,%,,հաշմանդամության,,3.62
2021,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,հաշմանդամության,,3.49
2021,The share of pensioners to the total number of population at the end of the year,%,կին,հաշմանդամության,,3.73
2021,The share of pensioners to the total number of population at the end of the year,%,,կերակրողին կորցնելու դեպքում,,0.24
2021,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,կերակրողին կորցնելու դեպքում,,0.15
2021,The share of pensioners to the total number of population at the end of the year,%,կին,կերակրողին կորցնելու դեպքում,,0.32
2021,The share of pensioners to the total number of population at the end of the year,%,,այլ օրենքներով սահմանված,,0.02
2021,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,այլ օրենքներով սահմանված,,0.05
2021,The share of pensioners to the total number of population at the end of the year,%,կին,այլ օրենքներով սահմանված,,0.004
2021,The share of pensioners to the total number of population at the end of the year,%,,զինծառայության հետ կապված,,0.05
2021,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,զինծառայության հետ կապված,,0.12
2021,The share of pensioners to the total number of population at the end of the year,%,կին,զինծառայության հետ կապված,,0.0004
2021,The share of pensioners to the total number of population at the end of the year,%,,,մինչև 51 տարեկան,0.56
2021,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,,մինչև 51 տարեկան,0.58
2021,The share of pensioners to the total number of population at the end of the year,%,կին,,մինչև 51 տարեկան,0.53
2021,The share of pensioners to the total number of population at the end of the year,%,,,51-55 տարեկան,3.5
2021,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,,51-55 տարեկան,3.88
2021,The share of pensioners to the total number of population at the end of the year,%,կին,,51-55 տարեկան,3.21
2021,The share of pensioners to the total number of population at the end of the year,%,,,56-62 տարեկան,12.82
2021,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,,56-62 տարեկան,12.24
2021,The share of pensioners to the total number of population at the end of the year,%,կին,,56-62 տարեկան,13.27
2021,The share of pensioners to the total number of population at the end of the year,%,,,63 և բարձր տարիքի,90.14
2021,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,,63 և բարձր տարիքի,88.22
2021,The share of pensioners to the total number of population at the end of the year,%,կին,,63 և բարձր տարիքի,91.41
2022,The share of pensioners to the total number of population at the end of the year,%,,,,15.67
2022,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,,,13.03
2022,The share of pensioners to the total number of population at the end of the year,%,կին,,,18.02
2022,The share of pensioners to the total number of population at the end of the year,%,,տարիքային,,11.62
2022,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,տարիքային,,9.42
2022,The share of pensioners to the total number of population at the end of the year,%,կին,տարիքային,,13.59
2022,The share of pensioners to the total number of population at the end of the year,%,,արտոնյալ պայմաններով,,0.03
2022,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,արտոնյալ պայմաններով,,0.05
2022,The share of pensioners to the total number of population at the end of the year,%,կին,արտոնյալ պայմաններով,,0.02
2022,The share of pensioners to the total number of population at the end of the year,%,,երկարամյա ծառայության,,0.01
2022,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,երկարամյա ծառայության,,0.02
2022,The share of pensioners to the total number of population at the end of the year,%,կին,երկարամյա ծառայության,,0.01
2022,The share of pensioners to the total number of population at the end of the year,%,,մասնակի,,0.3
2022,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,մասնակի,,0.05
2022,The share of pensioners to the total number of population at the end of the year,%,կին,մասնակի,,0.52
2022,The share of pensioners to the total number of population at the end of the year,%,,հաշմանդամության,,3.47
2022,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,հաշմանդամության,,3.35
2022,The share of pensioners to the total number of population at the end of the year,%,կին,հաշմանդամության,,3.59
2022,The share of pensioners to the total number of population at the end of the year,%,,կերակրողին կորցնելու դեպքում,,0.23
2022,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,կերակրողին կորցնելու դեպքում,,0.14
2022,The share of pensioners to the total number of population at the end of the year,%,կին,կերակրողին կորցնելու դեպքում,,0.3
2022,The share of pensioners to the total number of population at the end of the year,%,,այլ օրենքներով սահմանված,,0.03
2022,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,այլ օրենքներով սահմանված,,0.05
2022,The share of pensioners to the total number of population at the end of the year,%,կին,այլ օրենքներով սահմանված,,0.004
2022,The share of pensioners to the total number of population at the end of the year,%,,զինծառայության հետ կապված,,0.05
2022,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,զինծառայության հետ կապված,,0.11
2022,The share of pensioners to the total number of population at the end of the year,%,կին,զինծառայության հետ կապված,,0.0004
2022,The share of pensioners to the total number of population at the end of the year,%,,,մինչև 51 տարեկան,0.5
2022,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,,մինչև 51 տարեկան,0.53
2022,The share of pensioners to the total number of population at the end of the year,%,կին,,մինչև 51 տարեկան,0.47
2022,The share of pensioners to the total number of population at the end of the year,%,,,51-55 տարեկան,3.03
2022,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,,51-55 տարեկան,3.32
2022,The share of pensioners to the total number of population at the end of the year,%,կին,,51-55 տարեկան,2.81
2022,The share of pensioners to the total number of population at the end of the year,%,,,56-62 տարեկան,11.24
2022,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,,56-62 տարեկան,10.71
2022,The share of pensioners to the total number of population at the end of the year,%,կին,,56-62 տարեկան,11.63
2022,The share of pensioners to the total number of population at the end of the year,%,,,63 և բարձր տարիքի,88.48
2022,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,,63 և բարձր տարիքի,87.05
2022,The share of pensioners to the total number of population at the end of the year,%,կին,,63 և բարձր տարիքի,89.42
2023,The share of pensioners to the total number of population at the end of the year,%,,,,15.83
2023,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,,,13.22
2023,The share of pensioners to the total number of population at the end of the year,%,կին,,,18.18
2023,The share of pensioners to the total number of population at the end of the year,%,,տարիքային,,11.94
2023,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,տարիքային,,9.74
