Year,Units,Գտնվելու վայրը,Սեռ,Տարիք,Տեսակ,Value
2021,%,,կին,65 և բարձր տարիքի,,20.4
2015,%,,տղամարդ,,,29.5
2016,%,,տղամարդ,,,28.5
2017,%,,տղամարդ,,,25.0
2018,%,,տղամարդ,,,23.4
2019,%,,տղամարդ,,,26.5
2020,%,,տղամարդ,,,27.9
2021,%,,տղամարդ,,,27.3
2015,%,,տղամարդ,0-5 տարեկան,,32.9
2016,%,,տղամարդ,0-5 տարեկան,,32.0
2017,%,,տղամարդ,0-5 տարեկան,,30.9
2018,%,,տղամարդ,0-5 տարեկան,,33.2
2019,%,,տղամարդ,0-5 տարեկան,,36.4
2020,%,,տղամարդ,0-5 տարեկան,,33.9
2021,%,,տղամարդ,0-5 տարեկան,,37.6
2015,%,,տղամարդ,6-17 տարեկան,,31.8
2016,%,,տղամարդ,6-17 տարեկան,,32.5
2017,%,,տղամարդ,6-17 տարեկան,,28.7
2018,%,,տղամարդ,6-17 տարեկան,,28.2
2019,%,,տղամարդ,6-17 տարեկան,,32.4
2020,%,,տղամարդ,6-17 տարեկան,,33.4
2021,%,,տղամարդ,6-17 տարեկան,,34.8
2015,%,,տղամարդ,18-64 տարեկան,,28.4
2016,%,,տղամարդ,18-64 տարեկան,,26.7
2017,%,,տղամարդ,18-64 տարեկան,,23.7
2018,%,,տղամարդ,18-64 տարեկան,,21.1
2019,%,,տղամարդ,18-64 տարեկան,,24.7
2020,%,,տղամարդ,18-64 տարեկան,,26.3
2021,%,,տղամարդ,18-64 տարեկան,,24.6
2015,%,,տղամարդ,65 և բարձր տարիքի,,28.7
2016,%,,տղամարդ,65 և բարձր տարիքի,,27.8
2017,%,,տղամարդ,65 և բարձր տարիքի,,22.2
2018,%,,տղամարդ,65 և բարձր տարիքի,,20.9
2019,%,,տղամարդ,65 և բարձր տարիքի,,22.3
2020,%,,տղամարդ,65 և բարձր տարիքի,,24.4
2021,%,,տղամարդ,65 և բարձր տարիքի,,22.6
2015,%,,,,հաշմանդամներ,31.7
2016,%,,,,հաշմանդամներ,29.0
2017,%,,,,հաշմանդամներ,25.9
2018,%,,,,հաշմանդամներ,22.9
2019,%,,,,հաշմանդամներ,27.2
2020,%,,,,հաշմանդամներ,27.2
2021,%,,,,հաշմանդամներ,27.8
2022,%,,,,,24.8
2022,%,քաղաք,,,,22.1
2022,%,գյուղ,,,,29.0
2022,%,,կին,,,24.7
2022,%,,կին,0-5 տարեկան,,33.2
2022,%,,կին,6-17 տարեկան,,32.5
2022,%,,կին,18-64 տարեկան,,24.1
2022,%,,կին,65 և բարձր տարիքի,,18.9
2022,%,,տղամարդ,,,25.0
2022,%,,տղամարդ,0-5 տարեկան,,31.4
2022,%,,տղամարդ,6-17 տարեկան,,32.1
2022,%,,տղամարդ,18-64 տարեկան,,23.1
2022,%,,տղամարդ,65 և բարձր տարիքի,,20.0
2022,%,,,,հաշմանդամներ,25.8
2023,%,,,,,23.7
2023,%,քաղաք,,,,21.5
2023,%,գյուղ,,,,27.0
2023,%,,կին,,,23.7
2023,%,,կին,0-5 տարեկան,,30.3
2023,%,,կին,6-17 տարեկան,,33.3
2023,%,,կին,18-64 տարեկան,,23.1
2023,%,,կին,65 և բարձր տարիքի,,17.3
2023,%,,տղամարդ,,,23.8
2023,%,,տղամարդ,0-5 տարեկան,,33.8
2023,%,,տղամարդ,6-17 տարեկան,,30.0
2023,%,,տղամարդ,18-64 տարեկան,,21.6
2023,%,,տղամարդ,65 և բարձր տարիքի,,18.9
2023,%,,,,հաշմանդամներ,23.1
