Year,Սեռ,Գտնվելու վայրը,Տարիք,Կատեգորիա,Քվինտիլներ,Ծառայություններ,Value
2021,,,,,II-րդ քվինտիլ,աղբի հեռացում,97.7
2021,,,,,III-րդ քվինտիլ,աղբի հեռացում,97.5
2021,,,,,IV-րդ քվինտիլ,աղբի հեռացում,98.2
2021,,,,,V-րդ քվինտիլ,աղբի հեռացում,97.6
2015,,,,,,հեռախոս ստացիոնար,61.1
2016,,,,,,հեռախոս ստացիոնար,57.1
2017,,,,,,հեռախոս ստացիոնար,53.1
2018,,,,,,հեռախոս ստացիոնար,49.2
2019,,,,,,հեռախոս ստացիոնար,96.7
2020,,,,,,հեռախոս ստացիոնար,98.8
2021,,,,,,հեռախոս ստացիոնար,98.6
2021,տղամարդ,,,,,հեռախոս ստացիոնար,100.0
2021,կին,,,,,հեռախոս ստացիոնար,100.0
2021,,քաղաք,,,,հեռախոս ստացիոնար,100.0
2021,,գյուղ,,,,հեռախոս ստացիոնար,99.7
2021,,,0-25 տարեկան,,,հեռախոս ստացիոնար,100.0
2021,,,25-34 տարեկան,,,հեռախոս ստացիոնար,100.0
2021,,,35-44 տարեկան,,,հեռախոս ստացիոնար,100.0
2021,,,45-54 տարեկան,,,հեռախոս ստացիոնար,100.0
2021,,,55-64 տարեկան,,,հեռախոս ստացիոնար,99.9
2021,,,65 և բարձր տարիքի,,,հեռախոս ստացիոնար,100.0
2021,,,,հաշմանդամներ,,հեռախոս ստացիոնար,99.8
2021,,,,,I-ին քվինտիլ,հեռախոս ստացիոնար,100.0
2021,,,,,II-րդ քվինտիլ,հեռախոս ստացիոնար,100.0
2021,,,,,III-րդ քվինտիլ,հեռախոս ստացիոնար,100.0
2021,,,,,IV-րդ քվինտիլ,հեռախոս ստացիոնար,99.9
2021,,,,,V-րդ քվինտիլ,հեռախոս ստացիոնար,100.0
2015,,,,,,էլեկտրաէներգիայի մատակարարում,97.9
2016,,,,,,էլեկտրաէներգիայի մատակարարում,98.0
2017,,,,,,էլեկտրաէներգիայի մատակարարում,98.4
2018,,,,,,էլեկտրաէներգիայի մատակարարում,98.9
2019,,,,,,էլեկտրաէներգիայի մատակարարում,97.7
2020,,,,,,էլեկտրաէներգիայի մատակարարում,98.7
2021,,,,,,էլեկտրաէներգիայի մատակարարում,99.0
2021,տղամարդ,,,,,էլեկտրաէներգիայի մատակարարում,99.0
2021,կին,,,,,էլեկտրաէներգիայի մատակարարում,98.9
2021,,քաղաք,,,,էլեկտրաէներգիայի մատակարարում,99.1
2021,,գյուղ,,,,էլեկտրաէներգիայի մատակարարում,98.8
2021,,,0-25 տարեկան,,,էլեկտրաէներգիայի մատակարարում,98.9
2021,,,25-34 տարեկան,,,էլեկտրաէներգիայի մատակարարում,98.6
2021,,,35-44 տարեկան,,,էլեկտրաէներգիայի մատակարարում,98.7
2021,,,45-54 տարեկան,,,էլեկտրաէներգիայի մատակարարում,99.6
2021,,,55-64 տարեկան,,,էլեկտրաէներգիայի մատակարարում,98.9
2021,,,65 և բարձր տարիքի,,,էլեկտրաէներգիայի մատակարարում,99.1
2021,,,,հաշմանդամներ,,էլեկտրաէներգիայի մատակարարում,99.0
2021,,,,,I-ին քվինտիլ,էլեկտրաէներգիայի մատակարարում,99.5
2021,,,,,II-րդ քվինտիլ,էլեկտրաէներգիայի մատակարարում,99.2
2021,,,,,III-րդ քվինտիլ,էլեկտրաէներգիայի մատակարարում,99.5
2021,,,,,IV-րդ քվինտիլ,էլեկտրաէներգիայի մատակարարում,98.3
2021,,,,,V-րդ քվինտիլ,էլեկտրաէներգիայի մատակարարում,98.3
2015,,,,,,փոստային ծառայություններ,80.6
2016,,,,,,փոստային ծառայություններ,76.5
2017,,,,,,փոստային ծառայություններ,75.8
2018,,,,,,փոստային ծառայություններ,73.5
2019,,,,,,փոստային ծառայություններ,96.3
2020,,,,,,փոստային ծառայություններ,97.3
2021,,,,,,փոստային ծառայություններ,97.5
2021,տղամարդ,,,,,փոստային ծառայություններ,98.5
2021,կին,,,,,փոստային ծառայություններ,98.4
2021,,քաղաք,,,,փոստային ծառայություններ,98.8
2021,,գյուղ,,,,փոստային ծառայություններ,98.1
2021,,,0-25 տարեկան,,,փոստային ծառայություններ,98.6
2021,,,25-34 տարեկան,,,փոստային ծառայություններ,98.8
2021,,,35-44 տարեկան,,,փոստային ծառայություններ,98.4
2021,,,45-54 տարեկան,,,փոստային ծառայություններ,98.8
2021,,,55-64 տարեկան,,,փոստային ծառայություններ,98.8
2021,,,65 և բարձր տարիքի,,,փոստային ծառայություններ,97.8
2021,,,,հաշմանդամներ,,փոստային ծառայություններ,98.8
2021,,,,,I-ին քվինտիլ,փոստային ծառայություններ,98.9
2021,,,,,II-րդ քվինտիլ,փոստային ծառայություններ,99.3
2021,,,,,III-րդ քվինտիլ,փոստային ծառայություններ,99.2
2021,,,,,IV-րդ քվինտիլ,փոստային ծառայություններ,98.1
2021,,,,,V-րդ քվինտիլ,փոստային ծառայություններ,96.5
2015,,,,,,բանկային ծառայություններ,74.4
2016,,,,,,բանկային ծառայություններ,70.8
2017,,,,,,բանկային ծառայություններ,71.9
2018,,,,,,բանկային ծառայություններ,73.7
2019,,,,,,բանկային ծառայություններ,86.1
2020,,,,,,բանկային ծառայություններ,88.9
2021,,,,,,բանկային ծառայություններ,90.5
2021,տղամարդ,,,,,բանկային ծառայություններ,90.7
2021,կին,,,,,բանկային ծառայություններ,90.6
2021,,քաղաք,,,,բանկային ծառայություններ,89.6
2021,,գյուղ,,,,բանկային ծառայություններ,92.1
2021,,,0-25 տարեկան,,,բանկային ծառայություններ,90.4
2021,,,25-34 տարեկան,,,բանկային ծառայություններ,90.6
2021,,,35-44 տարեկան,,,բանկային ծառայություններ,90.5
2021,,,45-54 տարեկան,,,բանկային ծառայություններ,91.2
2021,,,55-64 տարեկան,,,բանկային ծառայություններ,89.4
2021,,,65 և բարձր տարիքի,,,բանկային ծառայություններ,92.4
2021,,,,հաշմանդամներ,,բանկային ծառայություններ,91.7
2021,,,,,I-ին քվինտիլ,բանկային ծառայություններ,95.5
2021,,,,,II-րդ քվինտիլ,բանկային ծառայություններ,92.1
2021,,,,,III-րդ քվինտիլ,բանկային ծառայություններ,90.7
2021,,,,,IV-րդ քվինտիլ,բանկային ծառայություններ,88.0
2021,,,,,V-րդ քվինտիլ,բանկային ծառայություններ,87.3
2015,,,,,,ոռոգում,17.6
2016,,,,,,ոռոգում,23.7
2017,,,,,,ոռոգում,22.8
2018,,,,,,ոռոգում,21.5
2019,,,,,,ոռոգում,
2020,,,,,,ոռոգում,
2021,,,,,,ոռոգում,
2015,,,,,,առողջապահություն,61.5
2016,,,,,,առողջապահություն,61.4
2017,,,,,,առողջապահություն,63.6
2018,,,,,,առողջապահություն,62.3
2019,,,,,,առողջապահություն,78.1
2020,,,,,,առողջապահություն,87.1
2021,,,,,,առողջապահություն,91.0
2021,տղամարդ,,,,,առողջապահություն,91.9
2021,կին,,,,,առողջապահություն,91.3
2021,,քաղաք,,,,առողջապահություն,89.2
2021,,գյուղ,,,,առողջապահություն,95.1
2021,,,0-25 տարեկան,,,առողջապահություն,92.6
2021,,,25-34 տարեկան,,,առողջապահություն,92.6
2021,,,35-44 տարեկան,,,առողջապահություն,91.0
2021,,,45-54 տարեկան,,,առողջապահություն,91.9
2021,,,55-64 տարեկան,,,առողջապահություն,90.3
2021,,,65 և բարձր տարիքի,,,առողջապահություն,90.1
2021,,,,հաշմանդամներ,,առողջապահություն,89.2
2021,,,,,I-ին քվինտիլ,առողջապահություն,96.4
2021,,,,,II-րդ քվինտիլ,առողջապահություն,94.4
2021,,,,,III-րդ քվինտիլ,առողջապահություն,91.2
2021,,,,,IV-րդ քվինտիլ,առողջապահություն,89.2
2021,,,,,V-րդ քվինտիլ,առողջապահություն,87.7
2015,,,,,,կրթություն,52.3
2016,,,,,,կրթություն,53.8
2017,,,,,,կրթություն,56.3
2018,,,,,,կրթություն,54.9
2019,,,,,,կրթություն,85.1
2020,,,,,,կրթություն,90.5
2021,,,,,,կրթություն,89.1
2021,տղամարդ,,,,,կրթություն,90.0
2021,կին,,,,,կրթություն,89.5
2021,,քաղաք,,,,կրթություն,86.9
2021,,գյուղ,,,,կրթություն,93.0
2021,,,0-25 տարեկան,,,կրթություն,89.3
2021,,,25-34 տարեկան,,,կրթություն,92.0
2021,,,35-44 տարեկան,,,կրթություն,87.3
2021,,,45-54 տարեկան,,,կրթություն,91.1
2021,,,55-64 տարեկան,,,կրթություն,91.7
2021,,,65 և բարձր տարիքի,,,կրթություն,90.3
2021,,,,հաշմանդամներ,,կրթություն,90.8
2021,,,,,I-ին քվինտիլ,կրթություն,94.4
2021,,,,,II-րդ քվինտիլ,կրթություն,90.7
2021,,,,,III-րդ քվինտիլ,կրթություն,89.3
2021,,,,,IV-րդ քվինտիլ,կրթություն,87.0
2021,,,,,V-րդ քվինտիլ,կրթություն,84.7
2015,,,,,,հասարակական տրանսպորտ,81.2
2016,,,,,,հասարակական տրանսպորտ,82.2
2017,,,,,,հասարակական տրանսպորտ,76.6
2018,,,,,,հասարակական տրանսպորտ,72.1
2019,,,,,,հասարակական տրանսպորտ,75.9
2020,,,,,,հասարակական տրանսպորտ,82.8
2021,,,,,,հասարակական տրանսպորտ,79.0
2021,տղամարդ,,,,,հասարակական տրանսպորտ,78.7
2021,կին,,,,,հասարակական տրանսպորտ,77.9
2021,,քաղաք,,,,հասարակական տրանսպորտ,78.0
2021,,գյուղ,,,,հասարակական տրանսպորտ,78.7
2021,,,0-25 տարեկան,,,հասարակական տրանսպորտ,78.3
2021,,,25-34 տարեկան,,,հասարակական տրանսպորտ,78.2
2021,,,35-44 տարեկան,,,հասարակական տրանսպորտ,78.3
2021,,,45-54 տարեկան,,,հասարակական տրանսպորտ,78.9
2021,,,55-64 տարեկան,,,հասարակական տրանսպորտ,78.9
2021,,,65 և բարձր տարիքի,,,հասարակական տրանսպորտ,77.2
2021,,,,հաշմանդամներ,,հասարակական տրանսպորտ,78.3
2021,,,,,I-ին քվինտիլ,հասարակական տրանսպորտ,86.5
2021,,,,,II-րդ քվինտիլ,հասարակական տրանսպորտ,75.4
2021,,,,,III-րդ քվինտիլ,հասարակական տրանսպորտ,76.1
2021,,,,,IV-րդ քվինտիլ,հասարակական տրանսպորտ,76.5
2021,,,,,V-րդ քվինտիլ,հասարակական տրանսպորտ,76.9
2022,,,,,,ջրամատակարարում,88.9
2022,տղամարդ,,,,,ջրամատակարարում,88.6
2022,կին,,,,,ջրամատակարարում,89.1
2022,,քաղաք,,,,ջրամատակարարում,93.3
2022,,գյուղ,,,,ջրամատակարարում,81.7
2022,,,0-25 տարեկան,,,ջրամատակարարում,88.3
2022,,,25-34 տարեկան,,,ջրամատակարարում,88.0
2022,,,35-44 տարեկան,,,ջրամատակարարում,89.2
2022,,,45-54 տարեկան,,,ջրամատակարարում,88.6
2022,,,55-64 տարեկան,,,ջրամատակարարում,89.2
2022,,,65 և բարձր տարիքի,,,ջրամատակարարում,90.2
2022,,,,հաշմանդամներ,,ջրամատակարարում,87.5
2022,,,,,I-ին քվինտիլ,ջրամատակարարում,88.9
2022,,,,,II-րդ քվինտիլ,ջրամատակարարում,87.1
2022,,,,,III-րդ քվինտիլ,ջրամատակարարում,88.8
2022,,,,,IV-րդ քվինտիլ,ջրամատակարարում,88.9
2022,,,,,V-րդ քվինտիլ,ջրամատակարարում,90.6
2022,,,,,,կոյուղի,97.0
2022,տղամարդ,,,,,կոյուղի,97.0
2022,կին,,,,,կոյուղի,97.3
2022,,քաղաք,,,,կոյուղի,98.3
2022,,գյուղ,,,,կոյուղի,94.4
2022,,,0-25 տարեկան,,,կոյուղի,97.0
2022,,,25-34 տարեկան,,,կոյուղի,97.6
2022,,,35-44 տարեկան,,,կոյուղի,97.2
2022,,,45-54 տարեկան,,,կոյուղի,96.9
2022,,,55-64 տարեկան,,,կոյուղի,97.1
2022,,,65 և բարձր տարիքի,,,կոյուղի,97.5
2022,,,,հաշմանդամներ,,կոյուղի,97.0
2022,,,,,I-ին քվինտիլ,կոյուղի,97.2
2022,,,,,II-րդ քվինտիլ,կոյուղի,97.2
2022,,,,,III-րդ քվինտիլ,կոյուղի,97.6
2022,,,,,IV-րդ քվինտիլ,կոյուղի,97.2
2022,,,,,V-րդ քվինտիլ,կոյուղի,96.8
2022,,,,,,աղբի հեռացում,95.4
2022,տղամարդ,,,,,աղբի հեռացում,95.5
2022,կին,,,,,աղբի հեռացում,95.4
2022,,քաղաք,,,,աղբի հեռացում,96.8
2022,,գյուղ,,,,աղբի հեռացում,93.2
2022,,,0-25 տարեկան,,,աղբի հեռացում,95.2
2022,,,25-34 տարեկան,,,աղբի հեռացում,95.2
2022,,,35-44 տարեկան,,,աղբի հեռացում,95.7
2022,,,45-54 տարեկան,,,աղբի հեռացում,96.5
2022,,,55-64 տարեկան,,,աղբի հեռացում,94.8
2022,,,65 և բարձր տարիքի,,,աղբի հեռացում,95.8
2022,,,,հաշմանդամներ,,աղբի հեռացում,94.9
2022,,,,,I-ին քվինտիլ,աղբի հեռացում,95.4
2022,,,,,II-րդ քվինտիլ,աղբի հեռացում,95.7
2022,,,,,III-րդ քվինտիլ,աղբի հեռացում,96.5
2022,,,,,IV-րդ քվինտիլ,աղբի հեռացում,94.4
2022,,,,,V-րդ քվինտիլ,աղբի հեռացում,95.2
2022,,,,,,հեռախոս ստացիոնար,99.5
2022,տղամարդ,,,,,հեռախոս ստացիոնար,99.5
2022,կին,,,,,հեռախոս ստացիոնար,99.6
2022,,քաղաք,,,,հեռախոս ստացիոնար,100.0
2022,,գյուղ,,,,հեռախոս ստացիոնար,99.9
2022,,,0-25 տարեկան,,,հեռախոս ստացիոնար,99.1
2022,,,25-34 տարեկան,,,հեռախոս ստացիոնար,98.9
2022,,,35-44 տարեկան,,,հեռախոս ստացիոնար,100.0
2022,,,45-54 տարեկան,,,հեռախոս ստացիոնար,99.7
2022,,,55-64 տարեկան,,,հեռախոս ստացիոնար,99.9
2022,,,65 և բարձր տարիքի,,,հեռախոս ստացիոնար,99.7
2022,,,,հաշմանդամներ,,հեռախոս ստացիոնար,99.6
2022,,,,,I-ին քվինտիլ,հեռախոս ստացիոնար,98.1
2022,,,,,II-րդ քվինտիլ,հեռախոս ստացիոնար,99.7
2022,,,,,III-րդ քվինտիլ,հեռախոս ստացիոնար,100.0
2022,,,,,IV-րդ քվինտիլ,հեռախոս ստացիոնար,99.7
2022,,,,,V-րդ քվինտիլ,հեռախոս ստացիոնար,99.8
2022,,,,,,էլեկտրաէներգիայի մատակարարում,97.5
2022,տղամարդ,,,,,էլեկտրաէներգիայի մատակարարում,97.5
2022,կին,,,,,էլեկտրաէներգիայի մատակարարում,97.5
2022,,քաղաք,,,,էլեկտրաէներգիայի մատակարարում,97.8
2022,,գյուղ,,,,էլեկտրաէներգիայի մատակարարում,96.9
2022,,,0-25 տարեկան,,,էլեկտրաէներգիայի մատակարարում,97.2
2022,,,25-34 տարեկան,,,էլեկտրաէներգիայի մատակարարում,97.5
2022,,,35-44 տարեկան,,,էլեկտրաէներգիայի մատակարարում,97.2
2022,,,45-54 տարեկան,,,էլեկտրաէներգիայի մատակարարում,97.6
2022,,,55-64 տարեկան,,,էլեկտրաէներգիայի մատակարարում,97.6
2022,,,65 և բարձր տարիքի,,,էլեկտրաէներգիայի մատակարարում,98.0
2022,,,,հաշմանդամներ,,էլեկտրաէներգիայի մատակարարում,97.7
2022,,,,,I-ին քվինտիլ,էլեկտրաէներգիայի մատակարարում,98.3
2022,,,,,II-րդ քվինտիլ,էլեկտրաէներգիայի մատակարարում,98.0
2022,,,,,III-րդ քվինտիլ,էլեկտրաէներգիայի մատակարարում,97.2
2022,,,,,IV-րդ քվինտիլ,էլեկտրաէներգիայի մատակարարում,97.2
2022,,,,,V-րդ քվինտիլ,էլեկտրաէներգիայի մատակարարում,96.7
2022,,,,,,փոստային ծառայություններ,98.8
2022,տղամարդ,,,,,փոստային ծառայություններ,98.8
2022,կին,,,,,փոստային ծառայություններ,98.7
2022,,քաղաք,,,,փոստային ծառայություններ,99.6
2022,,գյուղ,,,,փոստային ծառայություններ,97.6
2022,,,0-25 տարեկան,,,փոստային ծառայություններ,98.9
2022,,,25-34 տարեկան,,,փոստային ծառայություններ,99.3
2022,,,35-44 տարեկան,,,փոստային ծառայություններ,98.7
2022,,,45-54 տարեկան,,,փոստային ծառայություններ,98.8
2022,,,55-64 տարեկան,,,փոստային ծառայություններ,99.0
2022,,,65 և բարձր տարիքի,,,փոստային ծառայություններ,98.1
2022,,,,հաշմանդամներ,,փոստային ծառայություններ,98.7
2022,,,,,I-ին քվինտիլ,փոստային ծառայություններ,99.8
2022,,,,,II-րդ քվինտիլ,փոստային ծառայություններ,99.5
2022,,,,,III-րդ քվինտիլ,փոստային ծառայություններ,98.3
2022,,,,,IV-րդ քվինտիլ,փոստային ծառայություններ,98.6
2022,,,,,V-րդ քվինտիլ,փոստային ծառայություններ,97.4
2022,,,,,,բանկային ծառայություններ,89.5
2022,տղամարդ,,,,,բանկային ծառայություններ,89.2
2022,կին,,,,,բանկային ծառայություններ,89.8
2022,,քաղաք,,,,բանկային ծառայություններ,87.3
2022,,գյուղ,,,,բանկային ծառայություններ,92.6
2022,,,0-25 տարեկան,,,բանկային ծառայություններ,88.7
2022,,,25-34 տարեկան,,,բանկային ծառայություններ,88.0
2022,,,35-44 տարեկան,,,բանկային ծառայություններ,89.5
2022,,,45-54 տարեկան,,,բանկային ծառայություններ,89.8
2022,,,55-64 տարեկան,,,բանկային ծառայություններ,89.5
2022,,,65 և բարձր տարիքի,,,բանկային ծառայություններ,92.4
2022,,,,հաշմանդամներ,,բանկային ծառայություններ,90.5
2022,,,,,I-ին քվինտիլ,բանկային ծառայություններ,95.2
2022,,,,,II-րդ քվինտիլ,բանկային ծառայություններ,89.8
2022,,,,,III-րդ քվինտիլ,բանկային ծառայություններ,88.8
2022,,,,,IV-րդ քվինտիլ,բանկային ծառայություններ,86.2
2022,,,,,V-րդ քվինտիլ,բանկային ծառայություններ,87.6
2022,,,,,,առողջապահություն,90.6
2022,տղամարդ,,,,,առողջապահություն,90.9
2022,կին,,,,,առողջապահություն,90.4
2022,,քաղաք,,,,առողջապահություն,87.2
2022,,գյուղ,,,,առողջապահություն,95.9
2022,,,0-25 տարեկան,,,առողջապահություն,91.9
2022,,,25-34 տարեկան,,,առողջապահություն,91.7
2022,,,35-44 տարեկան,,,առողջապահություն,90.8
2022,,,45-54 տարեկան,,,առողջապահություն,90.1
2022,,,55-64 տարեկան,,,առողջապահություն,89.5
2022,,,65 և բարձր տարիքի,,,առողջապահություն,88.7
2022,,,,հաշմանդամներ,,առողջապահություն,85.6
2022,,,,,I-ին քվինտիլ,առողջապահություն,93.5
2022,,,,,II-րդ քվինտիլ,առողջապահություն,91.2
2022,,,,,III-րդ քվինտիլ,առողջապահություն,89.6
2022,,,,,IV-րդ քվինտիլ,առողջապահություն,88.2
2022,,,,,IV-րդ քվինտիլ,առողջապահություն,90.7
2022,,,,,,կրթություն,95.1
2022,տղամարդ,,,,,կրթություն,94.9
2022,կին,,,,,կրթություն,95.3
2022,,քաղաք,,,,կրթություն,93.5
2022,,գյուղ,,,,կրթություն,97.2
2022,,,0-25 տարեկան,,,կրթություն,94.8
2022,,,25-34 տարեկան,,,կրթություն,96.2
2022,,,35-44 տարեկան,,,կրթություն,94.5
2022,,,45-54 տարեկան,,,կրթություն,95.2
2022,,,55-64 տարեկան,,,կրթություն,95.5
2022,,,65 և բարձր տարիքի,,,կրթություն,95.7
2022,,,,հաշմանդամներ,,կրթություն,93.8
2022,,,,,I-ին քվինտիլ,կրթություն,96.6
2022,,,,,II-րդ քվինտիլ,կրթություն,97.9
2022,,,,,III-րդ քվինտիլ,կրթություն,95.8
2022,,,,,IV-րդ քվինտիլ,կրթություն,93.0
2022,,,,,IV-րդ քվինտիլ,կրթություն,90.5
2022,,,,,,հասարակական տրանսպորտ,82.8
2022,տղամարդ,,,,,հասարակական տրանսպորտ,83.0
2022,կին,,,,,հասարակական տրանսպորտ,82.7
2022,,քաղաք,,,,հասարակական տրանսպորտ,81.3
2022,,գյուղ,,,,հասարակական տրանսպորտ,85.5
2022,,,0-25 տարեկան,,,հասարակական տրանսպորտ,81.9
2022,,,25-34 տարեկան,,,հասարակական տրանսպորտ,82.4
2022,,,35-44 տարեկան,,,հասարակական տրանսպորտ,81.7
2022,,,45-54 տարեկան,,,հասարակական տրանսպորտ,85.1
2022,,,55-64 տարեկան,,,հասարակական տրանսպորտ,83.5
2022,,,65 և բարձր տարիքի,,,հասարակական տրանսպորտ,83.7
2022,,,,հաշմանդամներ,,հասարակական տրանսպորտ,82.5
2022,,,,,I-ին քվինտիլ,հասարակական տրանսպորտ,85.9
2022,,,,,II-րդ քվինտիլ,հասարակական տրանսպորտ,85.1
2022,,,,,III-րդ քվինտիլ,հասարակական տրանսպորտ,84.8
2022,,,,,IV-րդ քվինտիլ,հասարակական տրանսպորտ,80.8
2022,,,,,V-րդ քվինտիլ,հասարակական տրանսպորտ,77.9
2023,,,,,,ջրամատակարարում,90.7
2023,տղամարդ,,,,,ջրամատակարարում,90.7
2023,կին,,,,,ջրամատակարարում,90.8
2023,,քաղաք,,,,ջրամատակարարում,93.3
2023,,գյուղ,,,,ջրամատակարարում,86.6
2023,,,0-25 տարեկան,,,ջրամատակարարում,90.4
2023,,,25-34 տարեկան,,,ջրամատակարարում,91.5
2023,,,35-44 տարեկան,,,ջրամատակարարում,90.7
2023,,,45-54 տարեկան,,,ջրամատակարարում,90.3
2023,,,55-64 տարեկան,,,ջրամատակարարում,90.2
2023,,,65 և բարձր տարիքի,,,ջրամատակարարում,91.5
2023,,,,հաշմանդամներ,,ջրամատակարարում,88.8
2023,,,,,I-ին քվինտիլ,ջրամատակարարում,86.8
2023,,,,,II-րդ քվինտիլ,ջրամատակարարում,90.0
2023,,,,,III-րդ քվինտիլ,ջրամատակարարում,92.0
2023,,,,,IV-րդ քվինտիլ,ջրամատակարարում,92.0
2023,,,,,V-րդ քվինտիլ,ջրամատակարարում,92.6
2023,,,,,,կոյուղի,97.5
2023,տղամարդ,,,,,կոյուղի,97.8
2023,կին,,,,,կոյուղի,97.2
2023,,քաղաք,,,,կոյուղի,97.2
2023,,գյուղ,,,,կոյուղի,98.3
2023,,,0-25 տարեկան,,,կոյուղի,97.4
2023,,,25-34 տարեկան,,,կոյուղի,98.1
2023,,,35-44 տարեկան,,,կոյուղի,96.8
2023,,,45-54 տարեկան,,,կոյուղի,97.5
2023,,,55-64 տարեկան,,,կոյուղի,98.1
2023,,,65 և բարձր տարիքի,,,կոյուղի,97.4
2023,,,,հաշմանդամներ,,կոյուղի,96.6
2023,,,,,I-ին քվինտիլ,կոյուղի,97.5
2023,,,,,II-րդ քվինտիլ,կոյուղի,97.8
2023,,,,,III-րդ քվինտիլ,կոյուղի,96.7
2023,,,,,IV-րդ քվինտիլ,կոյուղի,98.8
2023,,,,,V-րդ քվինտիլ,կոյուղի,96.7
2023,,,,,,աղբի հեռացում,96.5
2023,տղամարդ,,,,,աղբի հեռացում,96.6
2023,կին,,,,,աղբի հեռացում,96.4
2023,,քաղաք,,,,աղբի հեռացում,95.4
2023,,գյուղ,,,,աղբի հեռացում,98.3
2023,,,0-25 տարեկան,,,աղբի հեռացում,96.7
2023,,,25-34 տարեկան,,,աղբի հեռացում,96.5
2023,,,35-44 տարեկան,,,աղբի հեռացում,95.9
2023,,,45-54 տարեկան,,,աղբի հեռացում,96.4
2023,,,55-64 տարեկան,,,աղբի հեռացում,96.2
2023,,,65 և բարձր տարիքի,,,աղբի հեռացում,97.1
2023,,,,հաշմանդամներ,,աղբի հեռացում,96.6
2023,,,,,I-ին քվինտիլ,աղբի հեռացում,96.6
2023,,,,,II-րդ քվինտիլ,աղբի հեռացում,96.4
2023,,,,,III-րդ քվինտիլ,աղբի հեռացում,97.2
2023,,,,,IV-րդ քվինտիլ,աղբի հեռացում,96.4
2023,,,,,V-րդ քվինտիլ,աղբի հեռացում,96.0
2023,,,,,,հեռախոս ստացիոնար,99.2
