Year,Իրավունքի տեսակ,Սեռ,Units,Value
2017,Right of constructor or unauthorised buidlings,կին,դեպք,325
2017,Օգտագործում,կին,դեպք,6
2017,Կառուցվող անշարժ գույք գնելու իրավունք,կին,դեպք,66
2018,Սեփականություն,կին,դեպք,13959
2018,Համատեղ սեփականություն,կին,դեպք,6615
2018,Ընդհանուր բաժնային սեփականություն,կին,դեպք,12736
2018,Վարձակալություն,կին,դեպք,519
2018,Ենթավարձակալություն,կին,դեպք,6
2018,Գրավ,կին,դեպք,23
2018,Հողամասի կառուցապատման իրավունք,կին,դեպք,170
2018,Անհատույց օգտագործում,կին,դեպք,24
2018,Սերվիտուտ,կին,դեպք,2
2018,Right of constructor or unauthorised buidlings,կին,դեպք,482
2018,Օգտագործում,կին,դեպք,3
2018,Կառուցվող անշարժ գույք գնելու իրավունք,կին,դեպք,265
2018,Use of unauthorised,կին,դեպք,1
2019,Սեփականություն,կին,դեպք,16206
2019,Համատեղ սեփականություն,կին,դեպք,9784
2019,Ընդհանուր բաժնային սեփականություն,կին,դեպք,14682
2019,Վարձակալություն,կին,դեպք,657
2019,Ենթավարձակալություն,կին,դեպք,6
2019,Գրավ,կին,դեպք,16
2019,Հողամասի կառուցապատման իրավունք,կին,դեպք,155
2019,Անհատույց օգտագործում,կին,դեպք,25
2019,Բնակելի տարածության օգտագործում,կին,դեպք,3
2019,Սերվիտուտ,կին,դեպք,3
2019,Right of constructor or unauthorised buidlings,կին,դեպք,563
2019,Օգտագործում,կին,դեպք,5
2019,Կառուցվող անշարժ գույք գնելու իրավունք,կին,դեպք,843
2019,Use of unauthorised,կին,դեպք,3
2020,Սեփականություն,կին,դեպք,14938
2020,Համատեղ սեփականություն,կին,դեպք,10786
2020,Ընդհանուր բաժնային սեփականություն,կին,դեպք,13450
2020,Վարձակալություն,կին,դեպք,648
2020,Ենթավարձակալություն,կին,դեպք,10
2020,Գրավ,կին,դեպք,22
2020,Հողամասի կառուցապատման իրավունք,կին,դեպք,99
2020,Անհատույց օգտագործում,կին,դեպք,25
2020,Բնակելի տարածության օգտագործում,կին,դեպք,1
2020,Սերվիտուտ,կին,դեպք,5
2020,Right of constructor or unauthorised buidlings,կին,դեպք,498
2020,Օգտագործում,կին,դեպք,27
2020,Կառուցվող անշարժ գույք գնելու իրավունք,կին,դեպք,1776
2021,Սեփականություն,կին,դեպք,20720
2021,Համատեղ սեփականություն,կին,դեպք,9044
2021,Ընդհանուր բաժնային սեփականություն,կին,դեպք,22905
2021,Վարձակալություն,կին,դեպք,947
2021,Ենթավարձակալություն,կին,դեպք,11
2021,Գրավ,կին,դեպք,27
2021,Հողամասի կառուցապատման իրավունք,կին,դեպք,182
2021,Անհատույց օգտագործում,կին,դեպք,43
2021,Բնակելի տարածության օգտագործում,կին,դեպք,3
2021,Սերվիտուտ,կին,դեպք,11
2021,Հավատարմագրային կառավարում,կին,դեպք,1
2021,Right of constructor or unauthorised buidlings,կին,դեպք,550
2021,Օգտագործում,կին,դեպք,6
2021,Կառուցվող անշարժ գույք գնելու իրավունք,կին,դեպք,4599
2021,Use of unauthorised,կին,դեպք,6
2022,Սեփականություն,կին,դեպք,23063
2022,Համատեղ սեփականություն,կին,դեպք,7935
2022,Ընդհանուր բաժնային սեփականություն,կին,դեպք,25159
2022,Վարձակալություն,կին,դեպք,943
2022,Ենթավարձակալություն,կին,դեպք,6
2022,Գրավ,կին,դեպք,41
2022,Հողամասի կառուցապատման իրավունք,կին,դեպք,255
2022,Անհատույց օգտագործում,կին,դեպք,143
2022,Բնակելի տարածության օգտագործում,կին,դեպք,3
2022,Սերվիտուտ,կին,դեպք,6
2022,Right of constructor or unauthorised buidlings,կին,դեպք,814
2022,Օգտագործում,կին,դեպք,17
2022,Կառուցվող անշարժ գույք գնելու իրավունք,կին,դեպք,7157
2022,Use of unauthorised,կին,դեպք,4006
2023,Սեփականություն,կին,դեպք,23685
2023,Համատեղ սեփականություն,կին,դեպք,10031
2023,Ընդհանուր բաժնային սեփականություն,կին,դեպք,28183
2023,Վարձակալություն,կին,դեպք,1056
2023,Ենթավարձակալություն,կին,դեպք,6
2023,Գրավ,կին,դեպք,28
2023,Հողամասի կառուցապատման իրավունք,կին,դեպք,180
2023,Անհատույց օգտագործում,կին,դեպք,37
2023,Բնակելի տարածության օգտագործում,կին,դեպք,1
2023,Սերվիտուտ,կին,դեպք,14
2023,Right of constructor or unauthorised buidlings,կին,դեպք,978
2023,Օգտագործում,կին,դեպք,6
2023,Կառուցվող անշարժ գույք գնելու իրավունք,կին,դեպք,8652
2023,Use of unauthorised,կին,դեպք,2701
2024,Սեփականություն,կին,դեպք,27090
2024,Համատեղ սեփականություն,կին,դեպք,9957
2024,Ընդհանուր բաժնային սեփականություն,կին,դեպք,37603
2024,Վարձակալություն,կին,դեպք,1444
2024,Ենթավարձակալություն,կին,դեպք,9
2024,Գրավ,կին,դեպք,47
2024,Հողամասի կառուցապատման իրավունք,կին,դեպք,188
2024,Անհատույց օգտագործում,կին,դեպք,63
2024,Բնակելի տարածության օգտագործում,կին,դեպք,2
2024,Սերվիտուտ,կին,դեպք,10
2024,Հավատարմագրային կառավարում,կին,դեպք,1
2024,Right of constructor or unauthorised buidlings,կին,դեպք,1011
2024,Օգտագործում,կին,դեպք,5
2024,Կառուցվող անշարժ գույք գնելու իրավունք,կին,դեպք,14105
2024,Use of unauthorised,կին,դեպք,456
2015,Սեփականություն,չեզոք,դեպք,1
2016,Սեփականություն,չեզոք,դեպք,1
2017,Ընդհանուր բաժնային սեփականություն,չեզոք,դեպք,1
2022,Ընդհանուր բաժնային սեփականություն,չեզոք,դեպք,1
2024,Սեփականություն,չեզոք,դեպք,9
2024,Համատեղ սեփականություն,չեզոք,դեպք,3
2024,Ընդհանուր բաժնային սեփականություն,չեզոք,դեպք,10
2024,Կառուցվող անշարժ գույք գնելու իրավունք,չեզոք,դեպք,4
