Year,Units,Սեռ,Տարիք,Կատեգորիա,Value
2018,%,,,ընդամենը՝ համապատասխան տարիքի բնակչությունից,0.11
2019,%,,,ընդամենը՝ համապատասխան տարիքի բնակչությունից,0.11
2020,%,,,ընդամենը՝ համապատասխան տարիքի բնակչությունից,0.11
2015,%,տղամարդ,,ընդամենը՝ համապատասխան տարիքի բնակչությունից,0.12
2016,%,տղամարդ,,ընդամենը՝ համապատասխան տարիքի բնակչությունից,0.12
2017,%,տղամարդ,,ընդամենը՝ համապատասխան տարիքի բնակչությունից,0.12
2018,%,տղամարդ,,ընդամենը՝ համապատասխան տարիքի բնակչությունից,0.11
2019,%,տղամարդ,,ընդամենը՝ համապատասխան տարիքի բնակչությունից,0.11
2020,%,տղամարդ,,ընդամենը՝ համապատասխան տարիքի բնակչությունից,0.11
2015,%,կին,,ընդամենը՝ համապատասխան տարիքի բնակչությունից,0.13
2016,%,կին,,ընդամենը՝ համապատասխան տարիքի բնակչությունից,0.11
2017,%,կին,,ընդամենը՝ համապատասխան տարիքի բնակչությունից,0.12
2018,%,կին,,ընդամենը՝ համապատասխան տարիքի բնակչությունից,0.11
2019,%,կին,,ընդամենը՝ համապատասխան տարիքի բնակչությունից,0.11
2020,%,կին,,ընդամենը՝ համապատասխան տարիքի բնակչությունից,0.1
2015,%,,մինչև 1 տարեկան,,0.16
2016,%,,մինչև 1 տարեկան,,0.12
2017,%,,մինչև 1 տարեկան,,0.16
2018,%,,մինչև 1 տարեկան,,0.13
2019,%,,մինչև 1 տարեկան,,0.15
2020,%,,մինչև 1 տարեկան,,0.12
2015,%,տղամարդ,մինչև 1 տարեկան,,0.15
2016,%,տղամարդ,մինչև 1 տարեկան,,0.12
2017,%,տղամարդ,մինչև 1 տարեկան,,0.14
2018,%,տղամարդ,մինչև 1 տարեկան,,0.14
2019,%,տղամարդ,մինչև 1 տարեկան,,0.13
2020,%,տղամարդ,մինչև 1 տարեկան,,0.13
2015,%,կին,մինչև 1 տարեկան,,0.17
2016,%,կին,մինչև 1 տարեկան,,0.11
2017,%,կին,մինչև 1 տարեկան,,0.18
2018,%,կին,մինչև 1 տարեկան,,0.13
2019,%,կին,մինչև 1 տարեկան,,0.18
2020,%,կին,մինչև 1 տարեկան,,0.1
2015,%,,1-6 տարեկան,,0.08
2016,%,,1-6 տարեկան,,0.08
2017,%,,1-6 տարեկան,,0.07
2018,%,,1-6 տարեկան,,0.07
2019,%,,1-6 տարեկան,,0.07
2020,%,,1-6 տարեկան,,0.06
2015,%,տղամարդ,1-6 տարեկան,,0.08
2016,%,տղամարդ,1-6 տարեկան,,0.09
2017,%,տղամարդ,1-6 տարեկան,,0.07
2018,%,տղամարդ,1-6 տարեկան,,0.07
2019,%,տղամարդ,1-6 տարեկան,,0.07
2020,%,տղամարդ,1-6 տարեկան,,0.06
2015,%,կին,1-6 տարեկան,,0.08
2016,%,կին,1-6 տարեկան,,0.08
2017,%,կին,1-6 տարեկան,,0.06
2018,%,կին,1-6 տարեկան,,0.07
2019,%,կին,1-6 տարեկան,,0.06
2020,%,կին,1-6 տարեկան,,0.05
2015,%,,7-9 տարեկան,,0.13
2016,%,,7-9 տարեկան,,0.12
2017,%,,7-9 տարեկան,,0.14
2018,%,,7-9 տարեկան,,0.11
2019,%,,7-9 տարեկան,,0.11
2020,%,,7-9 տարեկան,,0.1
2015,%,տղամարդ,7-9 տարեկան,,0.13
2016,%,տղամարդ,7-9 տարեկան,,0.12
2017,%,տղամարդ,7-9 տարեկան,,0.15
2018,%,տղամարդ,7-9 տարեկան,,0.12
2019,%,տղամարդ,7-9 տարեկան,,0.12
2020,%,տղամարդ,7-9 տարեկան,,0.1
2015,%,կին,7-9 տարեկան,,0.13
2016,%,կին,7-9 տարեկան,,0.12
2017,%,կին,7-9 տարեկան,,0.13
2018,%,կին,7-9 տարեկան,,0.1
2019,%,կին,7-9 տարեկան,,0.11
2020,%,կին,7-9 տարեկան,,0.09
2015,%,,10-15 տարեկան,,0.12
2016,%,,10-15 տարեկան,,0.11
2017,%,,10-15 տարեկան,,0.1
2018,%,,10-15 տարեկան,,0.09
2019,%,,10-15 տարեկան,,0.09
2020,%,,10-15 տարեկան,,0.09
2015,%,տղամարդ,10-15 տարեկան,,0.12
2016,%,տղամարդ,10-15 տարեկան,,0.12
2017,%,տղամարդ,10-15 տարեկան,,0.11
2018,%,տղամարդ,10-15 տարեկան,,0.09
2019,%,տղամարդ,10-15 տարեկան,,0.09
2020,%,տղամարդ,10-15 տարեկան,,0.09
2015,%,կին,10-15 տարեկան,,0.11
2016,%,կին,10-15 տարեկան,,0.1
2017,%,կին,10-15 տարեկան,,0.09
2018,%,կին,10-15 տարեկան,,0.08
2019,%,կին,10-15 տարեկան,,0.08
2020,%,կին,10-15 տարեկան,,0.08
2015,%,,16-17 տարեկան,,0.29
2016,%,,16-17 տարեկան,,0.26
2017,%,,16-17 տարեկան,,0.3
2018,%,,16-17 տարեկան,,0.36
2019,%,,16-17 տարեկան,,0.3
2020,%,,16-17 տարեկան,,0.35
2015,%,տղամարդ,16-17 տարեկան,,0.27
2016,%,տղամարդ,16-17 տարեկան,,0.25
2017,%,տղամարդ,16-17 տարեկան,,0.26
2018,%,տղամարդ,16-17 տարեկան,,0.33
2019,%,տղամարդ,16-17 տարեկան,,0.29
2020,%,տղամարդ,16-17 տարեկան,,0.34
2015,%,կին,16-17 տարեկան,,0.31
2016,%,կին,16-17 տարեկան,,0.28
2017,%,կին,16-17 տարեկան,,0.34
2018,%,կին,16-17 տարեկան,,0.39
2019,%,կին,16-17 տարեկան,,0.3
2020,%,կին,16-17 տարեկան,,0.35
2021,մարդ,,,,740.0
2021,մարդ,տղամարդ,,,406.0
2021,մարդ,կին,,,334.0
2021,մարդ,,մինչև 1 տարեկան,,38.0
2021,մարդ,տղամարդ,մինչև 1 տարեկան,,20.0
2021,մարդ,կին,մինչև 1 տարեկան,,18.0
2021,մարդ,,1-6 տարեկան,,103.0
2021,մարդ,տղամարդ,1-6 տարեկան,,58.0
2021,մարդ,կին,1-6 տարեկան,,45.0
2021,մարդ,,7-9 տարեկան,,77.0
2021,մարդ,տղամարդ,7-9 տարեկան,,39.0
2021,մարդ,կին,7-9 տարեկան,,38.0
2021,մարդ,,10-15 տարեկան,,245.0
2021,մարդ,տղամարդ,10-15 տարեկան,,139.0
2021,մարդ,կին,10-15 տարեկան,,106.0
2021,մարդ,,16-17 տարեկան,,277.0
2021,մարդ,տղամարդ,16-17 տարեկան,,150.0
2021,մարդ,կին,16-17 տարեկան,,127.0
2021,%,,,ընդամենը՝ համապատասխան տարիքի բնակչությունից,0.1
2021,%,տղամարդ,,ընդամենը՝ համապատասխան տարիքի բնակչությունից,0.11
2021,%,կին,,ընդամենը՝ համապատասխան տարիքի բնակչությունից,0.1
2021,%,,մինչև 1 տարեկան,,0.1
2021,%,տղամարդ,մինչև 1 տարեկան,,0.11
2021,%,կին,մինչև 1 տարեկան,,0.1
2021,%,,1-6 տարեկան,,0.05
2021,%,տղամարդ,1-6 տարեկան,,0.05
2021,%,կին,1-6 տարեկան,,0.04
2021,%,,7-9 տարեկան,,0.06
2021,%,տղամարդ,7-9 տարեկան,,0.06
2021,%,կին,7-9 տարեկան,,0.06
2021,%,,10-15 տարեկան,,0.1
2021,%,տղամարդ,10-15 տարեկան,,0.11
2021,%,կին,10-15 տարեկան,,0.09
2021,%,,16-17 տարեկան,,0.38
2021,%,տղամարդ,16-17 տարեկան,,0.38
2021,%,կին,16-17 տարեկան,,0.38
2022,մարդ,,,,746.0
2022,մարդ,տղամարդ,,,389.0
2022,մարդ,կին,,,357.0
2022,մարդ,,մինչև 1 տարեկան,,33.0
2022,մարդ,տղամարդ,մինչև 1 տարեկան,,15.0
2022,մարդ,կին,մինչև 1 տարեկան,,18.0
2022,մարդ,,1-6 տարեկան,,126.0
2022,մարդ,տղամարդ,1-6 տարեկան,,69.0
2022,մարդ,կին,1-6 տարեկան,,57.0
2022,մարդ,,7-9 տարեկան,,85.0
2022,մարդ,տղամարդ,7-9 տարեկան,,44.0
2022,մարդ,կին,7-9 տարեկան,,41.0
2022,մարդ,,10-15 տարեկան,,244.0
2022,մարդ,տղամարդ,10-15 տարեկան,,128.0
2022,մարդ,կին,10-15 տարեկան,,116.0
2022,մարդ,,16-17 տարեկան,,276.0
2022,մարդ,տղամարդ,16-17 տարեկան,,151.0
2022,մարդ,կին,16-17 տարեկան,,125.0
2022,%,,,ընդամենը՝ համապատասխան տարիքի բնակչությունից,0.1
2022,%,տղամարդ,,ընդամենը՝ համապատասխան տարիքի բնակչությունից,0.1
2022,%,կին,,ընդամենը՝ համապատասխան տարիքի բնակչությունից,0.11
2022,%,,մինչև 1 տարեկան,,0.09
2022,%,տղամարդ,մինչև 1 տարեկան,,0.08
2022,%,կին,մինչև 1 տարեկան,,0.11
2022,%,,1-6 տարեկան,,0.06
2022,%,տղամարդ,1-6 տարեկան,,0.06
2022,%,կին,1-6 տարեկան,,0.05
2022,%,,7-9 տարեկան,,0.07
2022,%,տղամարդ,7-9 տարեկան,,0.07
2022,%,կին,7-9 տարեկան,,0.07
2022,%,,10-15 տարեկան,,0.1
2022,%,տղամարդ,10-15 տարեկան,,0.1
2022,%,կին,10-15 տարեկան,,0.1
2022,%,,16-17 տարեկան,,0.37
2022,%,տղամարդ,16-17 տարեկան,,0.38
2022,%,կին,16-17 տարեկան,,0.36
2023,մարդ,,,,668.0
2023,մարդ,տղամարդ,,,363.0
2023,մարդ,կին,,,305.0
2023,մարդ,,մինչև 1 տարեկան,,47.0
2023,մարդ,տղամարդ,մինչև 1 տարեկան,,21.0
2023,մարդ,կին,մինչև 1 տարեկան,,26.0
2023,մարդ,,1-6 տարեկան,,85.0
2023,մարդ,տղամարդ,1-6 տարեկան,,51.0
2023,մարդ,կին,1-6 տարեկան,,34.0
2023,մարդ,,7-9 տարեկան,,78.0
2023,մարդ,տղամարդ,7-9 տարեկան,,42.0
2023,մարդ,կին,7-9 տարեկան,,36.0
2023,մարդ,,10-15 տարեկան,,219.0
2023,մարդ,տղամարդ,10-15 տարեկան,,118.0
2023,մարդ,կին,10-15 տարեկան,,101.0
2023,մարդ,,16-17 տարեկան,,239.0
2023,մարդ,տղամարդ,16-17 տարեկան,,131.0
2023,մարդ,կին,16-17 տարեկան,,108.0
2023,%,,,ընդամենը՝ համապատասխան տարիքի բնակչությունից,0.1
2023,%,տղամարդ,,ընդամենը՝ համապատասխան տարիքի բնակչությունից,0.1
2023,%,կին,,ընդամենը՝ համապատասխան տարիքի բնակչությունից,0.1
2023,%,,մինչև 1 տարեկան,,0.13
2023,%,տղամարդ,մինչև 1 տարեկան,,0.11
2023,%,կին,մինչև 1 տարեկան,,0.15
2023,%,,1-6 տարեկան,,0.04
2023,%,տղամարդ,1-6 տարեկան,,0.05
2023,%,կին,1-6 տարեկան,,0.03
2023,%,,7-9 տարեկան,,0.07
2023,%,տղամարդ,7-9 տարեկան,,0.07
2023,%,կին,7-9 տարեկան,,0.06
2023,%,,10-15 տարեկան,,0.09
2023,%,տղամարդ,10-15 տարեկան,,0.1
2023,%,կին,10-15 տարեկան,,0.09
2023,%,,16-17 տարեկան,,0.35
2023,%,տղամարդ,16-17 տարեկան,,0.37
2023,%,կին,16-17 տարեկան,,0.33
