Year,Units,Կատեգորիա,Տարիք,Սեռ,Գտնվելու վայրը,Value
2024,%,,15-19,տղամարդ,,6.1
2024,%,,15-19,կին,,7.8
2024,%,,20-24,,,26.5
2024,%,,20-24,տղամարդ,,19.4
2024,%,,20-24,կին,,33.8
2024,%,,15-24,,,16.1
2024,%,,15-24,տղամարդ,,12.0
2024,%,,15-24,կին,,20.8
2024,%,,25-29,,,37.1
2024,%,,25-29,տղամարդ,,21.0
2024,%,,25-29,կին,,54.7
2024,%,,,տղամարդ,,15.0
2024,%,,,կին,,32.6
2024,%,,,,քաղաք,22.3
2024,%,,,,գյուղ,25.0
2024,%,հաշմանդամություն ունեցող,,,,63.7
