Year,Units,Sex,Category,Age,Value
2021,%,,disability,,1.95
2021,%,male,disability,,2.39
2021,%,female,disability,,1.56
2021,%,,in case of losing a breadwinner,,0.46
2021,%,male,in case of losing a breadwinner,,0.41
2021,%,female,in case of losing a breadwinner,,0.5
2021,%,,,up to 51 years old,2.63
2021,%,male,,up to 51 years old,3.09
2021,%,female,,up to 51 years old,2.19
2021,%,,,aged 51-55 years,3.84
2021,%,male,,aged 51-55 years,4.13
2021,%,female,,aged 51-55 years,3.22
2021,%,,,aged 56-62 years,2.73
2021,%,male,,aged 56-62 years,2.81
2021,%,female,,aged 56-62 years,2.67
2021,%,,,aged 63 and over,3.52
2021,%,male,,aged 63 and over,2.15
2021,%,female,,aged 63 and over,4.42
2022,%,,,,3.03
2022,%,male,,,3.15
2022,%,female,,,2.93
2022,%,,old age,,0.59
2022,%,male,old age,,0.3
2022,%,female,old age,,0.85
2022,%,,disability,,1.98
2022,%,male,disability,,2.44
2022,%,female,disability,,1.58
2022,%,,in case of losing a breadwinner,,0.46
2022,%,male,in case of losing a breadwinner,,0.42
2022,%,female,in case of losing a breadwinner,,0.5
2022,%,,,up to 51 years old,2.62
2022,%,male,,up to 51 years old,3.08
2022,%,female,,up to 51 years old,2.17
2022,%,,,aged 51-55 years,3.95
2022,%,male,,aged 51-55 years,4.92
2022,%,female,,aged 51-55 years,3.2
2022,%,,,aged 56-62 years,3.01
2022,%,male,,aged 56-62 years,3.26
2022,%,female,,aged 56-62 years,2.82
2022,%,,,aged 63 and over,4.51
2022,%,male,,aged 63 and over,2.83
2022,%,female,,aged 63 and over,5.61
2023,%,,,,3.34
2023,%,male,,,3.38
2023,%,female,,,3.3
2023,%,,old age,,0.85
2023,%,male,old age,,0.47
2023,%,female,old age,,1.19
2023,%,,disability,,2.03
2023,%,male,disability,,2.49
2023,%,female,disability,,1.61
2023,%,,in case of losing a breadwinner,,0.46
2023,%,male,in case of losing a breadwinner,,0.41
2023,%,female,in case of losing a breadwinner,,0.49
2023,%,,,up to 51 years old,2.77
2023,%,male,,up to 51 years old,3.24
2023,%,female,,up to 51 years old,2.3
2023,%,,,aged 51-55 years,3.88
2023,%,male,,aged 51-55 years,4.73
2023,%,female,,aged 51-55 years,3.17
2023,%,,,aged 56-62 years,3.12
2023,%,male,,aged 56-62 years,3.43
2023,%,female,,aged 56-62 years,2.87
2023,%,,,aged 63 and over,5.06
2023,%,male,,aged 63 and over,3.39
2023,%,female,,aged 63 and over,6.19
2024,%,,,,3.65
2024,%,male,,,3.62
2024,%,female,,,3.68
2024,%,,old age,,1.11
2024,%,male,old age,,0.65
2024,%,female,old age,,1.53
2024,%,,disability,,2.08
2024,%,male,disability,,2.54
2024,%,female,disability,,1.66
2024,%,,in case of losing a breadwinner,,0.46
2024,%,male,in case of losing a breadwinner,,0.42
2024,%,female,in case of losing a breadwinner,,0.5
2024,%,,,up to 51 years old,2.78
2024,%,male,,up to 51 years old,3.25
2024,%,female,,up to 51 years old,2.31
2024,%,,,aged 51-55 years,4.04
2024,%,male,,aged 51-55 years,6.53
2024,%,female,,aged 51-55 years,2.74
2024,%,,,aged 56-62 years,3.47
2024,%,male,,aged 56-62 years,3.4
2024,%,female,,aged 56-62 years,3.56
2024,%,,,aged 63 and over,6.37
2024,%,male,,aged 63 and over,13.45
2024,%,female,,aged 63 and over,1.58
