Year,Units,тип образования,Пол,Value
2015,%,среднепрофессиональное,,10.9
2016,%,среднепрофессиональное,,11.1
2017,%,среднепрофессиональное,,11.5
2018,%,среднепрофессиональное,,11.7
2019,%,среднепрофессиональное,,12.5
2020,%,среднепрофессиональное,,13.9
2015,%,среднепрофессиональное,мужчина,9.5
2016,%,среднепрофессиональное,мужчина,9.8
2017,%,среднепрофессиональное,мужчина,10.0
2018,%,среднепрофессиональное,мужчина,10.4
2019,%,среднепрофессиональное,мужчина,11.2
2020,%,среднепрофессиональное,мужчина,12.8
2015,%,среднепрофессиональное,женщина,12.5
2016,%,среднепрофессиональное,женщина,12.5
2017,%,среднепрофессиональное,женщина,13.1
2018,%,среднепрофессиональное,женщина,13.1
2019,%,среднепрофессиональное,женщина,13.9
2020,%,среднепрофессиональное,женщина,15.1
2015,%,"specialized high education, first stage (bachelor's Degree)",,52.9
2016,%,"specialized high education, first stage (bachelor's Degree)",,54.1
2017,%,"specialized high education, first stage (bachelor's Degree)",,56.4
2018,%,"specialized high education, first stage (bachelor's Degree)",,52.2
2019,%,"specialized high education, first stage (bachelor's Degree)",,50.4
2020,%,"specialized high education, first stage (bachelor's Degree)",,54.4
2015,%,"specialized high education, first stage (bachelor's Degree)",мужчина,47.0
2016,%,"specialized high education, first stage (bachelor's Degree)",мужчина,48.6
2017,%,"specialized high education, first stage (bachelor's Degree)",мужчина,51.5
2018,%,"specialized high education, first stage (bachelor's Degree)",мужчина,48.2
2019,%,"specialized high education, first stage (bachelor's Degree)",мужчина,44.8
2020,%,"specialized high education, first stage (bachelor's Degree)",мужчина,48.3
2015,%,"specialized high education, first stage (bachelor's Degree)",женщина,59.1
2016,%,"specialized high education, first stage (bachelor's Degree)",женщина,60.0
2017,%,"specialized high education, first stage (bachelor's Degree)",женщина,61.8
2018,%,"specialized high education, first stage (bachelor's Degree)",женщина,56.6
2019,%,"specialized high education, first stage (bachelor's Degree)",женщина,56.6
2020,%,"specialized high education, first stage (bachelor's Degree)",женщина,61.1
2015,%,"post-graduate education, second stage (master's Degree)",,12.7
2016,%,"post-graduate education, second stage (master's Degree)",,13.1
2017,%,"post-graduate education, second stage (master's Degree)",,14.8
2018,%,"post-graduate education, second stage (master's Degree)",,14.1
2019,%,"post-graduate education, second stage (master's Degree)",,14.6
2020,%,"post-graduate education, second stage (master's Degree)",,15.7
2015,%,"post-graduate education, second stage (master's Degree)",мужчина,9.9
2016,%,"post-graduate education, second stage (master's Degree)",мужчина,10.7
2017,%,"post-graduate education, second stage (master's Degree)",мужчина,9.9
2018,%,"post-graduate education, second stage (master's Degree)",мужчина,8.9
2019,%,"post-graduate education, second stage (master's Degree)",мужчина,9.1
2020,%,"post-graduate education, second stage (master's Degree)",мужчина,9.5
2015,%,"post-graduate education, second stage (master's Degree)",женщина,15.5
2016,%,"post-graduate education, second stage (master's Degree)",женщина,15.4
2017,%,"post-graduate education, second stage (master's Degree)",женщина,19.6
2018,%,"post-graduate education, second stage (master's Degree)",женщина,19.4
2019,%,"post-graduate education, second stage (master's Degree)",женщина,20.3
2020,%,"post-graduate education, second stage (master's Degree)",женщина,22.4
